path,status,w04_bytes,w04_sha256,w05_prefreeze_bytes,w05_prefreeze_sha256
.codex/README.md,UNCHANGED,494,3df7dd57ee2740974effbfc0b098f1029249f9e9008ea1ee1e770395e40269ec,494,3df7dd57ee2740974effbfc0b098f1029249f9e9008ea1ee1e770395e40269ec
.codex/TASK_PACKET_TEMPLATE.md,UNCHANGED,406,1aba392336974c435c26cdc1c52bce8c70f500491cea04bce41566da75aec342,406,1aba392336974c435c26cdc1c52bce8c70f500491cea04bce41566da75aec342
.codex/WORKTREE_POLICY.md,UNCHANGED,668,d1ebc535fd41b1adccf8f0b50de7d4921713e0b933f939c12de8290ad8065b9f,668,d1ebc535fd41b1adccf8f0b50de7d4921713e0b933f939c12de8290ad8065b9f
.editorconfig,UNCHANGED,240,815a7443611a1a19ce656968bc9aefd29eb8bff77308398a0a7ed17768f71d52,240,815a7443611a1a19ce656968bc9aefd29eb8bff77308398a0a7ed17768f71d52
.env.example,UNCHANGED,223,3a13639a1997c5dc0954861f521049f9d28647ccfe96c8b68948c30ee3ef7658,223,3a13639a1997c5dc0954861f521049f9d28647ccfe96c8b68948c30ee3ef7658
.gitattributes,UNCHANGED,195,8132bdd5edd20f90efda8954a3c10df05b96cf7bb34b15a1eac80c6a9c15cf0f,195,8132bdd5edd20f90efda8954a3c10df05b96cf7bb34b15a1eac80c6a9c15cf0f
.github/CODEOWNERS,UNCHANGED,196,9c418a8473c73a52303004f4f3121d41aaa09d257dca58477fcd8cc445eb129f,196,9c418a8473c73a52303004f4f3121d41aaa09d257dca58477fcd8cc445eb129f
.github/ISSUE_TEMPLATE/bug_report.yml,UNCHANGED,634,5646a4c16ac5c3a0e300263d0d72ba5bff648f80eb79c0b5e28d02c2cbe1e19a,634,5646a4c16ac5c3a0e300263d0d72ba5bff648f80eb79c0b5e28d02c2cbe1e19a
.github/ISSUE_TEMPLATE/config.yml,UNCHANGED,27,13064e7bea658e01e718b414fbb7b3b244f36411fe25ee2055c151f7b534547a,27,13064e7bea658e01e718b414fbb7b3b244f36411fe25ee2055c151f7b534547a
.github/pull_request_template.md,UNCHANGED,452,6b9946aaedce6304edc81b7ad79f9d3d67317511bcb1d9b40cf4d3e8b1404ca7,452,6b9946aaedce6304edc81b7ad79f9d3d67317511bcb1d9b40cf4d3e8b1404ca7
.github/workflows/ci.yml,UNCHANGED,679,5b5dd283073f295aa9d487f5b886c5e25f8984b60e3c07dd239ec3fa5e75898a,679,5b5dd283073f295aa9d487f5b886c5e25f8984b60e3c07dd239ec3fa5e75898a
.gitignore,UNCHANGED,673,a5fc18c568ef0d6d5f1fa064e05ce38cfc02046b8c37acf95ca6d681e8c32c76,673,a5fc18c568ef0d6d5f1fa064e05ce38cfc02046b8c37acf95ca6d681e8c32c76
.python-version,UNCHANGED,5,7b55f8e67b5623c4bef3fa691288da9437d79d3aba156de48d481db32ac7d16d,5,7b55f8e67b5623c4bef3fa691288da9437d79d3aba156de48d481db32ac7d16d
AGENTS.md,MODIFIED_W05,2160,cff844228aaf7c4557f3cbfe94fa662c4df51b635c7edf6114c1f13f46ee8ca9,2226,ffa1dbd4a70674b81a5dda8ca585e67185c509b1067ac0ec52238c30416d56f6
CHANGELOG.md,MODIFIED_W05,3449,c8aea99799bdc486a26e0e11924a241d03e8d41f0ed8c866ed8927359816ab46,4169,a32d0a56ec753232afd2e2656673c9d9eb7d5793d4dbd96d37fd3865792713d9
CONTRIBUTING.md,UNCHANGED,893,0c8dea47db129c5286b441f0c01c881eb0b464b8f26d405540be67d4eded9a53,893,0c8dea47db129c5286b441f0c01c881eb0b464b8f26d405540be67d4eded9a53
README.md,MODIFIED_W05,1828,96e4df8b91ac4e1dd25e0a8ae0d685e04d1f236197f1710bf9f212d4907c28e8,1836,e02e06b97ec9eb2efb619c3a9b6ab3bcf5371575f58fa7ae6754d13a28fb552b
artifacts/README.md,UNCHANGED,258,3b602ad9a9f5a02011952964ded73f392d6f9a73c93b0f77a35173ff7ad23f2b,258,3b602ad9a9f5a02011952964ded73f392d6f9a73c93b0f77a35173ff7ad23f2b
configs/acceptance_registry.json,MODIFIED_W05,23169,5ead78c95f0c92314b3e0d9feddb585464fb817f01de3d1a81cf23f4009100dd,26814,602fc0ae5561aea6c446ceb436156633a52a3aeff8d010aec440dd1b2dda3655
configs/architecture_registry.json,UNCHANGED,12775,996f0c436ad777e35681f3f4ec43600b16dbd539accf64b84a834be4eb625055,12775,996f0c436ad777e35681f3f4ec43600b16dbd539accf64b84a834be4eb625055
configs/backlog_policy.json,ADDED_W05,,,870,b308f77f515902cdab0c149951701817007da755009df2258c5cfa90c2237fec
configs/hydration_manifest.json,MODIFIED_W05,6056,ba2bb6914c7432291bed740a997f31187d8b025dc883a9e8088dac23d8b7e6f6,8350,b6c24affc355bcb816dca71696fc86c07a9aae5d7f3cf1214fc98086fb5efc9d
configs/implementation_plan.json,ADDED_W05,,,152916,84398e9341ed78fa5f3436f4b074a1f0ae03db26680ffc7038dc8c9cc739afaa
configs/repository_policy.json,UNCHANGED,1004,4e46a40ce4fe6d1bc8faa049c5f74aad5db1fe01eb0be2b431b9d25b41132839,1004,4e46a40ce4fe6d1bc8faa049c5f74aad5db1fe01eb0be2b431b9d25b41132839
data/README.md,UNCHANGED,302,00ac41f052e61b9868a179def34bccfac8df9b3227b90dcafa2c2abdb21c52d9,302,00ac41f052e61b9868a179def34bccfac8df9b3227b90dcafa2c2abdb21c52d9
docs/00_PROJECT_CHARTER.md,UNCHANGED,1400,6ba75c6cecc607bc43adf7ec90f8596064f2146c48b32df586b53d4975e9a152,1400,6ba75c6cecc607bc43adf7ec90f8596064f2146c48b32df586b53d4975e9a152
docs/00_TERMINOLOGY.md,UNCHANGED,1532,3b4874ca3e0dba4f188b717ff75b70a7f47709a7667f45658b28098ff6db0bc2,1532,3b4874ca3e0dba4f188b717ff75b70a7f47709a7667f45658b28098ff6db0bc2
docs/01_ARCHITECTURE.md,UNCHANGED,6679,a6f53bb36f185be5000a833dfb4caf5a99432f37575cd6d9908eb16e7f0c9381,6679,a6f53bb36f185be5000a833dfb4caf5a99432f37575cd6d9908eb16e7f0c9381
docs/01_SOURCE_SYNTHESIS.md,UNCHANGED,2017,4bc8cde084797a3315bae218ebce6ea84218774235fed53cca2d8526f289dd63,2017,4bc8cde084797a3315bae218ebce6ea84218774235fed53cca2d8526f289dd63
docs/02_RECONNAISSANCE_FINDINGS_INDEX.md,UNCHANGED,2015,08c1553df1a1b82e2c0f770e750c94b9e1b9f4fd1accc160bb73bc0a25e61be1,2015,08c1553df1a1b82e2c0f770e750c94b9e1b9f4fd1accc160bb73bc0a25e61be1
docs/03_REQUIREMENTS_BASELINE.md,MODIFIED_W05,1618,7010f94346b9525da9334103adb12e2e2c53229beba140a16c8cee1e21dc8d8e,2236,163882e921a59deffe689d981e2b4106af7f0f72b634ca42c87880d7e7b2b3a3
docs/04_REPOSITORY_OPERATIONS.md,UNCHANGED,1613,2caf76a8a85592adf1fea83b4aff6867b622d25ff2975af555eeb1a6a8146868,1613,2caf76a8a85592adf1fea83b4aff6867b622d25ff2975af555eeb1a6a8146868
docs/05_LOCAL_WINDOWS_SETUP.md,UNCHANGED,1147,34d6b5c81b35ab1967e5d2a061eab604f597d53ca1eebf4df6eb3f33dcba5c80,1147,34d6b5c81b35ab1967e5d2a061eab604f597d53ca1eebf4df6eb3f33dcba5c80
docs/06_GITHUB_CODEX_WORKFLOW.md,UNCHANGED,934,3ff557c129c061fb1be7a26a42b17c3ea31b00e4ab35a4d59cbaec030a6fe8da,934,3ff557c129c061fb1be7a26a42b17c3ea31b00e4ab35a4d59cbaec030a6fe8da
docs/07_PACKAGING_INTEGRITY.md,UNCHANGED,1691,25e08209e76a304e2fae09835b90fa5741f506856d84747df066485e0c4c04b2,1691,25e08209e76a304e2fae09835b90fa5741f506856d84747df066485e0c4c04b2
docs/08_REQUIREMENTS_AND_ACCEPTANCE_ARCHITECTURE.md,UNCHANGED,3473,9cbad42b6035b8aeb421bb38dd4e0e99055574d590348da0a1db2fae95ac0043,3473,9cbad42b6035b8aeb421bb38dd4e0e99055574d590348da0a1db2fae95ac0043
docs/09_SECURITY_REPRODUCIBILITY_PERFORMANCE_GOVERNANCE.md,UNCHANGED,1815,42b76936922ee5095954b39cc0805f88113f4040793fc3e70d6c05fcfbd70742,1815,42b76936922ee5095954b39cc0805f88113f4040793fc3e70d6c05fcfbd70742
docs/10_IMPLEMENTATION_MASTER_PLAN.md,ADDED_W05,,,3256,2200528c17a413699aea120a826bdf5619e343910b0ed8164bf57de362146e3d
docs/11_CODEX_EXECUTION_STRATEGY.md,ADDED_W05,,,2160,045cb173be633f17964842ccbda6da5f6e6dbc244c0473df08be92dc05175cca
docs/12_SHARED_CONTRACT_AND_WORKTREE_STRATEGY.md,ADDED_W05,,,840,3649169c14020b0976cf10f24936e453b18cff37ff3837ae1aa8bb449f73f3ea
docs/13_IMPLEMENTATION_EVIDENCE_GATES.md,ADDED_W05,,,975,cff0f23c88c74b78a9e2c300f5aa1928fdc83fb7cd946522c2041c67031bb5ec
docs/architecture/DATAFLOW_AND_STORAGE.md,UNCHANGED,2685,784e9e0ee12304270a1a3125a8a9f5216ca61a2fd2eb6c346d688060cfeb59cc,2685,784e9e0ee12304270a1a3125a8a9f5216ca61a2fd2eb6c346d688060cfeb59cc
docs/architecture/DEPLOYMENT_AND_EXECUTION_LANES.md,UNCHANGED,1254,373bbae28fb40c4d24015d7a1d4b1c4107ecbfb59533ef0860f289b07d4e321c,1254,373bbae28fb40c4d24015d7a1d4b1c4107ecbfb59533ef0860f289b07d4e321c
docs/architecture/INTERFACE_CONTRACTS.md,UNCHANGED,2038,d9a6839eb38b947a8b0102b98f7e3d4ca8a8c6cfcc29fa5fdfb83f7a47c99067,2038,d9a6839eb38b947a8b0102b98f7e3d4ca8a8c6cfcc29fa5fdfb83f7a47c99067
docs/architecture/MODEL_LAYERS.md,UNCHANGED,1753,e0ffb855fb0ef66e9479348712fec5392421caf78f41da35abe3b1beacd119b0,1753,e0ffb855fb0ef66e9479348712fec5392421caf78f41da35abe3b1beacd119b0
docs/architecture/NATIONAL_TAMU_INTERFACE.md,UNCHANGED,1325,c409e537167e830cc9c7e455a325c52efcab06bd164d4b074252207b957730fa,1325,c409e537167e830cc9c7e455a325c52efcab06bd164d4b074252207b957730fa
docs/architecture/PREDICTION_PIPELINE.md,UNCHANGED,1828,58fa7e399dbdcf0483f3ec42e3b0d51c5072c3e29829300667f716f033adc4c2,1828,58fa7e399dbdcf0483f3ec42e3b0d51c5072c3e29829300667f716f033adc4c2
docs/architecture/RESEARCH_AND_LLM_PLANE.md,UNCHANGED,1435,17511efb815e063fd881ab4dce5a841ae3cfc71aec1e3594be26536a8bb2c294,1435,17511efb815e063fd881ab4dce5a841ae3cfc71aec1e3594be26536a8bb2c294
docs/architecture/SYSTEM_BOUNDARIES.md,UNCHANGED,2962,db74bcff43a0ec8dba4bcc94d2fae12b8285a328139ae4c5fbadc4e222a461b4,2962,db74bcff43a0ec8dba4bcc94d2fae12b8285a328139ae4c5fbadc4e222a461b4
docs/context/ACCEPTANCE_CONTEXT.md,UNCHANGED,598,96e6f209115fa169f2c86044eb303b933e6458a2a92c32f497bc615dbb969840,598,96e6f209115fa169f2c86044eb303b933e6458a2a92c32f497bc615dbb969840
docs/context/ADAPTIVE_ARCHITECTURE_CONTEXT.md,UNCHANGED,902,b5e26e0e4b3ea31c8bed7e5047e6e805f9ef220df6a8e66c7ce92bf113ca19e1,902,b5e26e0e4b3ea31c8bed7e5047e6e805f9ef220df6a8e66c7ce92bf113ca19e1
docs/context/AUTONOMY_MLOPS_CONTEXT.md,UNCHANGED,662,d9ba8f7b2bad68405b8ba9b6daf76ece18f54e4ab060cd6cba81c3540674c047,662,d9ba8f7b2bad68405b8ba9b6daf76ece18f54e4ab060cd6cba81c3540674c047
