requirement_id,prior_class,w04_class,prior_status,w04_status,decision,rationale
REQ-001,A,A,ACTIVE,ACTIVE,CONFIRMED,Source language and accepted architecture remain consistent with the existing Level-A/B/C classification.
REQ-002,A,A,ACTIVE,ACTIVE,CONFIRMED,Source language and accepted architecture remain consistent with the existing Level-A/B/C classification.
REQ-003,A,A,ACTIVE,ACTIVE,CONFIRMED,Source language and accepted architecture remain consistent with the existing Level-A/B/C classification.
REQ-004,A,A,ACTIVE,ACTIVE,CONFIRMED,Source language and accepted architecture remain consistent with the existing Level-A/B/C classification.
REQ-005,A,A,ACTIVE,ACTIVE,CONFIRMED,Source language and accepted architecture remain consistent with the existing Level-A/B/C classification.
REQ-006,A,A,ACTIVE,ACTIVE,CONFIRMED,Source language and accepted architecture remain consistent with the existing Level-A/B/C classification.
REQ-007,A,A,ACTIVE,ACTIVE,CONFIRMED,Source language and accepted architecture remain consistent with the existing Level-A/B/C classification.
REQ-008,A,A,ACTIVE,ACTIVE,CONFIRMED,Source language and accepted architecture remain consistent with the existing Level-A/B/C classification.
REQ-009,A,A,ACTIVE,ACTIVE,CONFIRMED,Source language and accepted architecture remain consistent with the existing Level-A/B/C classification.
REQ-010,A,A,ACTIVE,ACTIVE,CONFIRMED,Source language and accepted architecture remain consistent with the existing Level-A/B/C classification.
REQ-011,A,A,ACTIVE,ACTIVE,CONFIRMED,Source language and accepted architecture remain consistent with the existing Level-A/B/C classification.
REQ-012,A,A,ACTIVE,ACTIVE,CONFIRMED,Source language and accepted architecture remain consistent with the existing Level-A/B/C classification.
REQ-013,A,A,ACTIVE,ACTIVE,CONFIRMED,Source language and accepted architecture remain consistent with the existing Level-A/B/C classification.
REQ-014,B,B,DEFAULT,DEFAULT,CONFIRMED,Source language and accepted architecture remain consistent with the existing Level-A/B/C classification.
REQ-015,C,C,HYPOTHESIS_RULE,HYPOTHESIS_RULE,CONFIRMED,Source language and accepted architecture remain consistent with the existing Level-A/B/C classification.
REQ-016,A,A,ACTIVE,ACTIVE,CONFIRMED,Source language and accepted architecture remain consistent with the existing Level-A/B/C classification.
REQ-017,A,A,ACTIVE,ACTIVE,CONFIRMED,Source language and accepted architecture remain consistent with the existing Level-A/B/C classification.
REQ-018,A,A,ACTIVE,ACTIVE,CONFIRMED,Source language and accepted architecture remain consistent with the existing Level-A/B/C classification.
REQ-019,A,A,ACTIVE,ACTIVE,CONFIRMED,Source language and accepted architecture remain consistent with the existing Level-A/B/C classification.
REQ-020,A,A,ACTIVE,ACTIVE,CONFIRMED,Source language and accepted architecture remain consistent with the existing Level-A/B/C classification.
REQ-021,A,A,ACTIVE,ACTIVE,CONFIRMED,Source language and accepted architecture remain consistent with the existing Level-A/B/C classification.
REQ-022,A,A,ACTIVE,ACTIVE,CONFIRMED,Source language and accepted architecture remain consistent with the existing Level-A/B/C classification.
REQ-023,A,A,ACTIVE,ACTIVE,CONFIRMED,Source language and accepted architecture remain consistent with the existing Level-A/B/C classification.
REQ-024,A,A,ACTIVE,ACTIVE,CONFIRMED,Source language and accepted architecture remain consistent with the existing Level-A/B/C classification.
REQ-025,A,A,ACTIVE,ACTIVE,CONFIRMED,Source language and accepted architecture remain consistent with the existing Level-A/B/C classification.
REQ-026,A,A,ACTIVE,ACTIVE,CONFIRMED,Source language and accepted architecture remain consistent with the existing Level-A/B/C classification.
REQ-027,A,A,ACTIVE,ACTIVE,CONFIRMED,Source language and accepted architecture remain consistent with the existing Level-A/B/C classification.
REQ-028,A,A,ACTIVE,ACTIVE,CONFIRMED,Source language and accepted architecture remain consistent with the existing Level-A/B/C classification.
REQ-029,A,A,ACTIVE,ACTIVE,CONFIRMED,Source language and accepted architecture remain consistent with the existing Level-A/B/C classification.
REQ-030,A,A,ACTIVE,ACTIVE,CONFIRMED,Source language and accepted architecture remain consistent with the existing Level-A/B/C classification.
REQ-031,A,A,ACTIVE,ACTIVE,CONFIRMED,Source language and accepted architecture remain consistent with the existing Level-A/B/C classification.
REQ-032,B,B,DEFAULT,DEFAULT,CONFIRMED,Source language and accepted architecture remain consistent with the existing Level-A/B/C classification.
REQ-033,A,A,ACTIVE,ACTIVE,CONFIRMED,Source language and accepted architecture remain consistent with the existing Level-A/B/C classification.
REQ-034,A,A,ACTIVE,ACTIVE,CONFIRMED,Source language and accepted architecture remain consistent with the existing Level-A/B/C classification.
REQ-035,A,A,ACTIVE,ACTIVE,CONFIRMED,Source language and accepted architecture remain consistent with the existing Level-A/B/C classification.
REQ-036,A,A,ACTIVE,ACTIVE,CONFIRMED,Source language and accepted architecture remain consistent with the existing Level-A/B/C classification.
REQ-037,A,A,ACTIVE,ACTIVE,CONFIRMED,Source language and accepted architecture remain consistent with the existing Level-A/B/C classification.
REQ-038,A,A,ACTIVE,ACTIVE,CONFIRMED,Source language and accepted architecture remain consistent with the existing Level-A/B/C classification.
REQ-039,A,A,ACTIVE,ACTIVE,CONFIRMED,Source language and accepted architecture remain consistent with the existing Level-A/B/C classification.
REQ-040,A,A,ACTIVE,ACTIVE,CONFIRMED,Source language and accepted architecture remain consistent with the existing Level-A/B/C classification.
REQ-041,A,A,ACTIVE,ACTIVE,CONFIRMED,Source language and accepted architecture remain consistent with the existing Level-A/B/C classification.
REQ-042,A,A,ACTIVE,ACTIVE,CONFIRMED,Source language and accepted architecture remain consistent with the existing Level-A/B/C classification.
REQ-043,A,A,ACTIVE,ACTIVE,CONFIRMED,Source language and accepted architecture remain consistent with the existing Level-A/B/C classification.
REQ-044,A,A,ACTIVE,ACTIVE,CONFIRMED,Source language and accepted architecture remain consistent with the existing Level-A/B/C classification.
REQ-045,A,A,ACTIVE,ACTIVE,CONFIRMED,Source language and accepted architecture remain consistent with the existing Level-A/B/C classification.
REQ-046,A,A,ACTIVE,ACTIVE,CONFIRMED,Source language and accepted architecture remain consistent with the existing Level-A/B/C classification.
REQ-047,A,A,ACTIVE,ACTIVE,CONFIRMED,Source language and accepted architecture remain consistent with the existing Level-A/B/C classification.
REQ-048,A,A,ACTIVE,ACTIVE,CONFIRMED,Source language and accepted architecture remain consistent with the existing Level-A/B/C classification.
REQ-049,A,A,ACTIVE,ACTIVE,CONFIRMED,Source language and accepted architecture remain consistent with the existing Level-A/B/C classification.
REQ-050,A,A,ACTIVE,ACTIVE,CONFIRMED,Source language and accepted architecture remain consistent with the existing Level-A/B/C classification.
REQ-051,A,A,ACTIVE,ACTIVE,CONFIRMED,Source language and accepted architecture remain consistent with the existing Level-A/B/C classification.
REQ-052,A,A,ACTIVE,ACTIVE,CONFIRMED,Source language and accepted architecture remain consistent with the existing Level-A/B/C classification.
REQ-053,A,A,ACTIVE,ACTIVE,CONFIRMED,Source language and accepted architecture remain consistent with the existing Level-A/B/C classification.
REQ-054,A,A,ACTIVE,ACTIVE,CONFIRMED,Source language and accepted architecture remain consistent with the existing Level-A/B/C classification.
REQ-055,A,A,ACTIVE,ACTIVE,CONFIRMED,Source language and accepted architecture remain consistent with the existing Level-A/B/C classification.
REQ-056,A,A,ACTIVE,ACTIVE,CONFIRMED,Source language and accepted architecture remain consistent with the existing Level-A/B/C classification.
REQ-057,A,A,ACTIVE,ACTIVE,CONFIRMED,Source language and accepted architecture remain consistent with the existing Level-A/B/C classification.
REQ-058,A,A,ACTIVE,ACTIVE,CONFIRMED,Source language and accepted architecture remain consistent with the existing Level-A/B/C classification.
REQ-059,A,A,ACTIVE,ACTIVE,CONFIRMED,Source language and accepted architecture remain consistent with the existing Level-A/B/C classification.
REQ-060,A,A,ACTIVE,ACTIVE,CONFIRMED,Source language and accepted architecture remain consistent with the existing Level-A/B/C classification.
REQ-061,A,A,ACTIVE,ACTIVE,CONFIRMED,Source language and accepted architecture remain consistent with the existing Level-A/B/C classification.
REQ-062,A,A,ACTIVE,ACTIVE,CONFIRMED,Source language and accepted architecture remain consistent with the existing Level-A/B/C classification.
REQ-063,A,A,ACTIVE,ACTIVE,CONFIRMED,Source language and accepted architecture remain consistent with the existing Level-A/B/C classification.
REQ-064,A,A,ACTIVE,ACTIVE,CONFIRMED,Source language and accepted architecture remain consistent with the existing Level-A/B/C classification.
REQ-065,A,A,ACTIVE,ACTIVE,CONFIRMED,Source language and accepted architecture remain consistent with the existing Level-A/B/C classification.
REQ-066,A,A,ACTIVE,ACTIVE,CONFIRMED,Source language and accepted architecture remain consistent with the existing Level-A/B/C classification.
REQ-067,C,C,RESEARCH,RESEARCH,CONFIRMED,Source language and accepted architecture remain consistent with the existing Level-A/B/C classification.
REQ-068,A,A,ACTIVE,ACTIVE,CONFIRMED,Source language and accepted architecture remain consistent with the existing Level-A/B/C classification.
REQ-069,A,A,ACTIVE,ACTIVE,CONFIRMED,Source language and accepted architecture remain consistent with the existing Level-A/B/C classification.
REQ-070,A,B,ACTIVE,DEFAULT,REVISED_W04,W04 audit separated invariant/default/hypothesis semantics or corrected a transient/mixed-status requirement without changing its stable ID.
