requirement_id,title,category,constraint_class,status,source_basis,planned_wave,description,wave_introduced
REQ-001,Exactly 25 controlled waves,program,A,ACTIVE,"master prompt §§12,64",W01-W25,Program retains exactly 25 numbered waves unless the user explicitly changes the count.,W01
REQ-002,One wave per user turn,program,A,ACTIVE,"master prompt §§12,74",W01-W25,Complete exactly one wave per user turn and never silently advance to later waves.,W01
REQ-003,Two principal ZIPs every wave,packaging,A,ACTIVE,"master prompt §§12,67",W01-W25,Every wave emits one full cumulative repository ZIP and one smaller hydration ZIP.,W01
REQ-004,Single cumulative canonical repository,packaging,A,ACTIVE,master prompt §13,W01-W25,"Each cumulative ZIP contains the entire accepted canonical repository state, never a delta-only tree.",W01
REQ-005,Hydration state for fresh-session recovery,packaging,A,ACTIVE,master prompt §14,W01-W25,Maintain structured hydration artifacts sufficient to recover current project state with minimal drift.,W01
REQ-006,Hydration-to-cumulative pack binding,packaging,A,ACTIVE,master prompt §15,W01-W25,Hydration pack identifies and verifies the exact cumulative ZIP via project/wave/version/hash/tree metadata.,W01
REQ-007,Never rebuild from memory when prior repo exists,program,A,ACTIVE,"master prompt §§13,65",W02-W25,Future waves must inspect and mutate the prior canonical repository rather than reconstruct from model memory.,W01
REQ-008,Preserve cumulative integrity and change history,program,A,ACTIVE,master prompt §16,W01-W25,"Deletion, rename, replacement or material restructure must be authorized and recorded with impact/history.",W01
REQ-009,Adaptive source-of-truth precedence,governance,A,ACTIVE,master prompt §11,W01-W25,"Use latest user instruction, invariants, governance, ADRs, docs and verified evidence in the defined precedence order.",W01
REQ-010,Start-of-wave adaptive review,program,A,ACTIVE,master prompt §62,W01-W25,"Every wave challenges planned scope, dependencies, blockers, over/under-engineering and future-wave impact before execution.",W01
REQ-011,End-of-wave improvement review,program,A,ACTIVE,master prompt §63,W01-W25,Every wave records what was learned that should improve the remaining program.,W01
REQ-012,Evidence-backed architecture changes,governance,A,ACTIVE,"master prompt §§5,70",W01-W25,"Material changes require identified problem, evidence/reasoning, tradeoffs, compatibility/migration/testing impact and decision record.",W01
REQ-013,No cargo-cult technology adoption,architecture,A,ACTIVE,master prompt §68,W02-W25,Technology complexity must solve an identified requirement; popularity alone is not justification.,W01
REQ-014,Strong defaults are revisable,governance,B,DEFAULT,master prompt §§3-4,W01-W25,Level-B tools/structures may be replaced by better evidence-backed alternatives without violating project invariants.,W01
REQ-015,Open hypotheses require empirical survival,governance,C,HYPOTHESIS_RULE,master prompt §3,W01-W25,Level-C feature/model ideas are not requirements until validated.,W01
REQ-016,Honest implementation status,governance,A,ACTIVE,"master prompt §§53,60",W01-W25,"Distinguish production-ready, functional starter, scaffold, interface/stub and design-only; never fabricate performance/completion.",W01
REQ-017,Use professional defaults for minor ambiguity,program,A,ACTIVE,master prompt §61,W01-W25,Proceed with defensible documented defaults unless ambiguity would fundamentally change objective or safety.,W01
REQ-018,No secrets in artifacts,security,A,ACTIVE,"master prompt §§3,42,49,53",W01-W25,"Never include credentials, API keys, tokens or .env secrets in repository or packs.",W01
REQ-019,Research agent cannot alter judging rules,governance,A,ACTIVE,master prompt §56; source log 017,W18+,"Ground truth, protected periods, leakage rules, promotion criteria, BAS definition and historical results are protected from autonomous research-agent mutation.",W01
REQ-020,Input identity is content/version based,provenance,A,ACTIVE,W01 adaptive hardening,W01-W25,Host copy suffixes do not define identity; validate internal version/structure/hash and preserve exact uploaded SHA-256.,W01
REQ-021,Texas A&M is primary product objective,objective,A,ACTIVE,master prompt §1,ALL,Optimize the product for extremely high-quality Texas A&M football forecasting.,W01
REQ-022,Broad national historical foundation,objective,A,ACTIVE,"master prompt §§1,17",W03+,Use broad FBS history to learn college-football structure; do not reduce training to A&M-only games.,W01
REQ-023,Meaningful FCS modeling,objective,A,ACTIVE,master prompt §17; source log 014,W11+,Model FCS strongly enough for FBS opponents and cross-division translation.,W01
REQ-024,Lower divisions use coarse priors with uncertainty,objective,A,ACTIVE,master prompt §17; source log 014,W11+,D-II/D-III/NAIA/JUCO origins receive increasingly coarse strength priors; avoid infinite recursive modeling.,W01
REQ-025,Disproportionately deep A&M specialization,objective,A,ACTIVE,"master prompt §§17,47; source log 015",W14+,"A&M receives higher-resolution data, state, player/unit, coaching, matchup, calibration and evaluation treatment.",W01
REQ-026,Win and loss probabilities,outputs,A,ACTIVE,"master prompt §§1,39",W16+,Produce calibrated P(win) and P(loss) for Texas A&M games.,W01
REQ-027,Team and opponent score forecasts,outputs,A,ACTIVE,"master prompt §§1,39",W16+,Produce coherent predicted points for A&M and opponent.,W01
REQ-028,Expected margin forecast,outputs,A,ACTIVE,"master prompt §§1,39",W16+,Produce expected A&M margin consistent with score/win outputs.,W01
REQ-029,Full outcome distributions,outputs,A,ACTIVE,"master prompt §§1,39-40",W16+,Represent uncertainty/distributions rather than only point estimates.,W01
REQ-030,Calibrated uncertainty/confidence,outputs,A,ACTIVE,"master prompt §§1,40",W16+,Quantify and validate forecast uncertainty/confidence.,W01
REQ-031,"Matchup, team, unit and player strength analysis",outputs,A,ACTIVE,master prompt §1,W12-W16,Support matchup intelligence and strength estimates at team/unit/player levels where evidence allows.,W01
