change_id,wave,original_strategy,revised_strategy,reason,affected_requirements,affected_adrs,affected_future_waves
CHANGE-001,W01,ZIP entry order implicitly used for chat chronology,Explicit numerical 001→020 source-log ordering,Archive lists 020 first; chronology errors could resurrect superseded ideas,REQ-131,ADR-022,No 25-wave scope change
CHANGE-002,W01,Exact host filename could be mistaken for artifact identity,Content/internal edition/required structure/SHA identity,Uploaded recon copy has suffixes while internal edition is authoritative,REQ-020,ADR-023,Applies to future pack validation
CHANGE-003,W01,Root PACK_MANIFEST might be treated as authoritative,Use final/manifests/FINAL_FILE_MANIFEST.csv and FINAL_FILE_HASHES.sha256; document root self-entry mismatch,Final manifest validates 216/216; root manifest only mismatches self-referential entry,REQ-008,ADR-024,Wave02 packaging should formalize non-self-referential manifest policy
CHANGE-004,W01,Historical source proposals could be flattened into current requirements,Explicit supersession ledger and source precedence,Source chat contains corrected pretrained/PFF/data-scope ideas,REQ-009,ADR-026,Prevents drift in later waves
CHANGE-005,W01,Wave plan could be treated as fixed task checklist,"Operationalize Level A/B/C classification, hypotheses ledger and opportunity backlog",Master v2.1 explicitly requires adaptive evidence-driven evolution,REQ-010/012/015,ADR-021,No future wave renumbering; scopes remain revisable
CHANGE-006,W02,Pre-create the anticipated full future package tree,Keep W02 src package minimal and defer domain/service packages to W03,Avoid premature architecture lock-in and redundant file growth,REQ-133;REQ-144,ADR-031;ADR-038,W03 explicitly evaluates/finalizes logical boundaries
CHANGE-007,W02,Pack verification/manifest rules remain mostly prose,"Make prior-pair verification, safe extraction, deterministic manifests and pair validation executable",W01 revealed real filename/manifest integrity edge cases,REQ-136;REQ-137;REQ-138;REQ-147;REQ-148,ADR-034;ADR-039,Future waves gain deterministic start/end validation
CHANGE-008,W02,Hydration contents assembled manually,Use machine-readable hydration allowlist plus generated binding/recovery/hashes,Reduces omission/drift risk across 23 remaining waves,REQ-139,ADR-035,Future hydration packs generated consistently
CHANGE-009,W02,GitHub/Codex operating structure could overcommit to future CI/tool schemas,Create minimal cross-platform CI and repository-local Codex contracts only,Preserves verified current value while deferring unneeded complexity,REQ-140;REQ-149;REQ-150,ADR-036;ADR-037,W23 expands CI; Codex config added only if verified/useful
CHANGE-010,W04,Treat prior requirement class/status as already hardened,Re-audit all requirement classes and correct mixed/transient classifications without renumbering IDs,W04 owns requirement hardening; several prior entries mixed strong defaults with invariants or historical wave completion,REQ-070;REQ-071;REQ-077;REQ-086;REQ-093;REQ-104;REQ-115;REQ-133;REQ-154;REQ-160;REQ-173,ADR-055,W05-W25 consume corrected classification
CHANGE-011,W04,Use requirement status text as a proxy for acceptance readiness,Separate lifecycle/classification from acceptance evidence and add full acceptance matrix,Future requirements can be mandatory but legitimately lack implementation evidence in W04,REQ-177;REQ-178;REQ-181;REQ-210,ADR-055;ADR-056,All later waves update acceptance evidence rather than overclaim PASS
CHANGE-012,W04,Choose plausible numeric thresholds for model/data/performance acceptance,Create owner-wave threshold registry with blank/TBD values until evidence exists,Avoid false precision and fabricated metrics before W17/full-data/target-hardware benchmarks,REQ-180;REQ-200;REQ-201,ADR-057;ADR-063,W07-W23 populate thresholds only with evidence
CHANGE-013,W04,Acceptance architecture exists only as prose,Add machine-readable controls plus executable exact-coverage validation for REQ/ADR/RISK mappings,Anti-drift and future automation require verifiable contracts,REQ-177;REQ-204;REQ-208;REQ-209,ADR-056;ADR-064,W05 backlog and all implementation waves consume control IDs
CHANGE-014,W05,Treat implementation critical path like a calendar schedule,Use dependency DAG + dependency-critical gate spine with no duration promises,No empirical task duration/throughput evidence exists; calendar precision would be fabricated,REQ-221;REQ-222;REQ-223;REQ-236,ADR-067;ADR-068;ADR-069,W06-W25
CHANGE-015,W05,Freeze W07-W25 source-dependent tasks from current reconnaissance assumptions,Mark source-dependent tasks provisional and require W06 replan before READY,Wave06 is explicitly mandated to discover better/current sources and may change later architecture,REQ-224;REQ-225;REQ-240,ADR-070;ADR-071;ADR-076,W07-W25
CHANGE-016,W05,Maximize Codex parallelism continuously,Use bounded adaptive parallelism with serialized shared-contract mutation,Parallel edits to PIT/entity/feature/model/promotion contracts create semantic conflicts and merge risk,REQ-227;REQ-228;REQ-239,ADR-073;ADR-074,W06-W25
CHANGE-017,W05,One task/prompt per requirement,Group coherent implementation outcomes while maintaining exact requirement-to-task traceability,One-per-requirement decomposition would create artificial micro-handoffs and duplicate work,REQ-218;REQ-232,ADR-066;ADR-072,W06-W25
CHANGE-018,W06,Availability reconstruction depended mainly on fragmented team/media evidence,"Use versioned official conference/CFP availability reports as primary evidence wherever policy coverage applies, with explicit noncoverage elsewhere",Fresh research found materially broader official recent football availability-report systems,REQ-247;REQ-248;REQ-259,ADR-077;ADR-086,W07-W08;W12-W14
CHANGE-019,W06,Historical weather sources emphasized generic forecast/history and observed weather,Preserve issued forecast model runs with model/version/run-init/lead/valid-time semantics; keep observed/reanalysis separate,NOAA model-run archives and Open-Meteo previous/single-run interfaces materially improve what-was-knowable reconstruction,REQ-245;REQ-246,ADR-078;ADR-086,W08;W13
