packet_id,epic_id,owner_wave,priority,task_ids,depends_on_epics,status,worktree_pattern,shared_contract_policy,required_exit_evidence,stop_conditions
PACKET-001,EPIC-001,W06,MUST,TASK-001;TASK-002;TASK-003;TASK-004;TASK-005;TASK-006,,DONE_CURRENT_STATE,codex/epic-001-<task>,SERIALIZE_IF_MUTATING_SHARED_CONTRACT,Task outputs + listed acceptance controls + tests/validation appropriate to packet,"Stop on dependency failure, protected-control ambiguity, source/access blocker, or required shared-contract ownership conflict."
PACKET-002,EPIC-002,W07,MUST,TASK-007;TASK-008;TASK-009;TASK-010;TASK-011;TASK-012;TASK-190,EPIC-001,DONE_CURRENT_STATE,codex/epic-002-<task>,SERIALIZE_IF_MUTATING_SHARED_CONTRACT,Task outputs + listed acceptance controls + tests/validation appropriate to packet,"Stop on dependency failure, protected-control ambiguity, source/access blocker, or required shared-contract ownership conflict."
PACKET-003,EPIC-003,W08,MUST,TASK-013;TASK-014;TASK-015;TASK-016;TASK-017;TASK-018;TASK-191;TASK-192,EPIC-002,DONE_CURRENT_STATE,codex/epic-003-<task>,SERIALIZE_IF_MUTATING_SHARED_CONTRACT,Task outputs + listed acceptance controls + tests/validation appropriate to packet,"Stop on dependency failure, protected-control ambiguity, source/access blocker, or required shared-contract ownership conflict."
PACKET-004,EPIC-004,W09,MUST,TASK-019;TASK-020;TASK-021;TASK-022;TASK-023;TASK-197,EPIC-002;EPIC-003,DONE_CURRENT_STATE,codex/epic-004-<task>,SERIALIZE_IF_MUTATING_SHARED_CONTRACT,Task outputs + listed acceptance controls + tests/validation appropriate to packet,"Stop on dependency failure, protected-control ambiguity, source/access blocker, or required shared-contract ownership conflict."
PACKET-005,EPIC-005,W10,MUST,TASK-024;TASK-025;TASK-026;TASK-027;TASK-028;TASK-029,EPIC-004,DONE_CURRENT_STATE,codex/epic-005-<task>,SERIALIZE_IF_MUTATING_SHARED_CONTRACT,Task outputs + listed acceptance controls + tests/validation appropriate to packet,"Stop on dependency failure, protected-control ambiguity, source/access blocker, or required shared-contract ownership conflict."
PACKET-006,EPIC-006,W11,MUST,TASK-030;TASK-031;TASK-032;TASK-033;TASK-034;TASK-035;TASK-194,EPIC-005,DONE_CURRENT_STATE,codex/epic-006-<task>,SERIALIZE_IF_MUTATING_SHARED_CONTRACT,Task outputs + listed acceptance controls + tests/validation appropriate to packet,"Stop on dependency failure, protected-control ambiguity, source/access blocker, or required shared-contract ownership conflict."
PACKET-007,EPIC-007,W16-W17,MUST,TASK-036;TASK-037;TASK-038;TASK-039;TASK-040,EPIC-006;EPIC-023,DONE_CURRENT_STATE,codex/epic-007-<task>,SERIALIZE_IF_MUTATING_SHARED_CONTRACT,Task outputs + listed acceptance controls + tests/validation appropriate to packet,"Stop on dependency failure, protected-control ambiguity, source/access blocker, or required shared-contract ownership conflict."
PACKET-008,EPIC-008,W19,MUST,TASK-041;TASK-042;TASK-043;TASK-044;TASK-045;TASK-046,EPIC-001;EPIC-002;EPIC-003;EPIC-004;EPIC-005;EPIC-024,READY_W19,codex/epic-008-<task>,SERIALIZE_IF_MUTATING_SHARED_CONTRACT,Task outputs + listed acceptance controls + tests/validation appropriate to packet,"Stop on dependency failure, protected-control ambiguity, source/access blocker, or required shared-contract ownership conflict."
PACKET-009,EPIC-009,W12,MUST,TASK-047;TASK-048;TASK-049;TASK-050;TASK-051;TASK-052;TASK-193,EPIC-003;EPIC-006,DONE_CURRENT_STATE,codex/epic-009-<task>,SERIALIZE_IF_MUTATING_SHARED_CONTRACT,Task outputs + listed acceptance controls + tests/validation appropriate to packet,"Stop on dependency failure, protected-control ambiguity, source/access blocker, or required shared-contract ownership conflict."
PACKET-010,EPIC-010,W12,MUST,TASK-053;TASK-054;TASK-055;TASK-056;TASK-057;TASK-058;TASK-200,EPIC-002;EPIC-004;EPIC-009,DONE_CURRENT_STATE,codex/epic-010-<task>,SERIALIZE_IF_MUTATING_SHARED_CONTRACT,Task outputs + listed acceptance controls + tests/validation appropriate to packet,"Stop on dependency failure, protected-control ambiguity, source/access blocker, or required shared-contract ownership conflict."
