requirement_id,title,primary_task,artifacts,tests_or_validator,status
REQ-603,Experiment identity is deterministic and immutable,TASK-134,docs/76_CANONICAL_EXPERIMENT_SPEC.md;docs/77_LOCAL_EXPERIMENT_STORE.md;src/aggie_analytics/experimentation/lineage.py;src/aggie_analytics/experimentation/store.py,tests/test_experiment_store_full.py;tests/test_lineage_full.py,COVERED_FULL_REFERENCE
REQ-604,Experiment and result identities are separate,TASK-134,docs/76_CANONICAL_EXPERIMENT_SPEC.md;docs/77_LOCAL_EXPERIMENT_STORE.md;src/aggie_analytics/experimentation/lineage.py;src/aggie_analytics/experimentation/store.py,tests/test_experiment_store_full.py;tests/test_lineage_full.py,COVERED_FULL_REFERENCE
REQ-605,Parent-child experiment lineage is explicit,TASK-134,docs/76_CANONICAL_EXPERIMENT_SPEC.md;docs/77_LOCAL_EXPERIMENT_STORE.md;src/aggie_analytics/experimentation/lineage.py;src/aggie_analytics/experimentation/store.py,tests/test_experiment_store_full.py;tests/test_lineage_full.py,COVERED_FULL_REFERENCE
REQ-606,Experiment code data features and environment are hash-bound,TASK-134,docs/76_CANONICAL_EXPERIMENT_SPEC.md;docs/77_LOCAL_EXPERIMENT_STORE.md;src/aggie_analytics/experimentation/lineage.py;src/aggie_analytics/experimentation/store.py,tests/test_experiment_store_full.py;tests/test_lineage_full.py,COVERED_FULL_REFERENCE
REQ-607,Randomness and seeds are recorded,TASK-134,docs/76_CANONICAL_EXPERIMENT_SPEC.md;docs/77_LOCAL_EXPERIMENT_STORE.md;src/aggie_analytics/experimentation/lineage.py;src/aggie_analytics/experimentation/store.py,tests/test_experiment_store_full.py;tests/test_lineage_full.py,COVERED_FULL_REFERENCE
REQ-608,W17 judging rules are hash sealed for research,TASK-137,docs/89_RESEARCH_THREAT_MODEL.md;governance/PROTECTED_JUDGING_RULE_SEAL.csv;src/aggie_analytics/experimentation/governance.py;src/aggie_analytics/experimentation/promotion_bridge.py,tests/test_experimentation_governance.py;tests/test_promotion_bridge_full.py,COVERED_FULL_REFERENCE
REQ-609,Research agents have no protected metric tuning access,TASK-137,docs/89_RESEARCH_THREAT_MODEL.md;governance/PROTECTED_JUDGING_RULE_SEAL.csv;src/aggie_analytics/experimentation/governance.py;src/aggie_analytics/experimentation/promotion_bridge.py,tests/test_experimentation_governance.py;tests/test_promotion_bridge_full.py,COVERED_FULL_REFERENCE
REQ-610,Protected evaluator is separate from experimenter,TASK-137,docs/89_RESEARCH_THREAT_MODEL.md;governance/PROTECTED_JUDGING_RULE_SEAL.csv;src/aggie_analytics/experimentation/governance.py;src/aggie_analytics/experimentation/promotion_bridge.py,tests/test_experimentation_governance.py;tests/test_promotion_bridge_full.py,COVERED_FULL_REFERENCE
REQ-611,HPO objectives are development only,TASK-135,docs/81_HPO_STUDY_GOVERNANCE.md;docs/92_MLFLOW_ADAPTER.md;docs/93_OPTUNA_ADAPTER.md;src/aggie_analytics/experimentation/hpo.py;src/aggie_analytics/experimentation/hpo_engine.py,tests/test_hpo_governance.py;tests/test_hpo_engine_full.py;tests/test_local_tracker_full.py,COVERED_FULL_REFERENCE
REQ-612,MLflow Tracking is selected replaceable default adapter,TASK-135,docs/81_HPO_STUDY_GOVERNANCE.md;docs/92_MLFLOW_ADAPTER.md;docs/93_OPTUNA_ADAPTER.md;src/aggie_analytics/experimentation/hpo.py;src/aggie_analytics/experimentation/hpo_engine.py,tests/test_hpo_governance.py;tests/test_hpo_engine_full.py;tests/test_local_tracker_full.py,COVERED_FULL_REFERENCE
