adr_id,title,status,constraint_class,wave,decision,evidence_basis,supersedes,notes
ADR-001,National foundation + A&M specialization,ACCEPTED,A/B boundary,W01,Broad national learning with disproportionate A&M specialization; exact statistical decomposition remains revisable.,source logs 001/013/015; master §17,,Baseline decision; Level-B portions remain revisable through evidence-backed ADR.
ADR-002,Scientific BAS headline definition,ACCEPTED,A,W01,"BAS headline is P(A&M performs ≥7 points worse than strictly valid pregame expected margin), with ≥3/14/21 severity support.",source logs 006/010/011; master §18,,Baseline decision; Level-B portions remain revisable through evidence-backed ADR.
ADR-003,SportsDataverse + CFBD public foundation,ACCEPTED,B,W01,"Use SportsDataverse as primary historical/PBP foundation and CFBD as primary supplemental source, subject to Wave06 current research.",source logs 007; recon source priority,,Baseline decision; Level-B portions remain revisable through evidence-backed ADR.
ADR-004,PFF deferred and non-blocking,ACCEPTED,A,W01,PFF is optional future enrichment only; core plan operates without it.,source log 007; recon; master §42,,Baseline decision; Level-B portions remain revisable through evidence-backed ADR.
ADR-005,Point-in-time known-at architecture,ACCEPTED,A,W01,Every historical prediction is reconstructed from observations eligible before prediction timestamp.,source logs 001/009/012; recon; master §27,,Baseline decision; Level-B portions remain revisable through evidence-backed ADR.
ADR-006,Immutable raw + dated observations,ACCEPTED,A,W01,Raw evidence is immutable and mutable state is represented as effective-dated observations/snapshots.,recon canonical rules; master §28,,Baseline decision; Level-B portions remain revisable through evidence-backed ADR.
ADR-007,Canonical IDs separate from source IDs,ACCEPTED,A,W01,Internal canonical entities are stable; source IDs/aliases remain mapped evidence.,source log 005; recon canonical rules,,Baseline decision; Level-B portions remain revisable through evidence-backed ADR.
ADR-008,Empirical feature lifecycle,ACCEPTED,A,W01,"LLM/domain intuition may propose; PIT walk-forward experiments, ablation and stability decide production feature status.",source logs 009/012; master §26,,Baseline decision; Level-B portions remain revisable through evidence-backed ADR.
ADR-009,FBS/FCS/lower-division hierarchy,ACCEPTED,A,W01,"FBS full, FCS meaningful secondary, lower divisions increasingly coarse priors with uncertainty.",source log 014; master §17,,Baseline decision; Level-B portions remain revisable through evidence-backed ADR.
ADR-010,Separate national history from current-team evidence,ACCEPTED,A,W01,Old games teach general football; direct current-team state is driven by current roster/regime/continuity/recent evidence.,source log 013; master W11,,Baseline decision; Level-B portions remain revisable through evidence-backed ADR.
ADR-011,Player/replacement availability architecture,ACCEPTED,A,W01,"Injury impact depends on player value, replacement, usage, availability/effectiveness, matchup and uncertainty.",source log 010; recon v1.1; master §33,,Baseline decision; Level-B portions remain revisable through evidence-backed ADR.
