challenge_id,assumption,result,evidence,wave
ASSUMPTION-CHALLENGE-001,PFF is necessary for sophisticated v1,REJECTED,Free/public SportsDataverse/CFBD plus derived features support core; PFF deferred.,W01
ASSUMPTION-CHALLENGE-002,A currently downloadable pretrained CFB model can be foundational,REJECTED,Later source log could not verify referenced artifact; no dependency allowed.,W01
ASSUMPTION-CHALLENGE-003,Raw 900+ fields should be fed directly to XGBoost,REJECTED,Fields span grains/IDs/leakage/postgame values; feature registry and PIT transforms required.,W01
ASSUMPTION-CHALLENGE-004,Home winning percentage measures stadium strength,REJECTED,Confounded by team quality; use residual/partial pooling.,W01
ASSUMPTION-CHALLENGE-005,Static coach rating is adequate,REJECTED,Role history and shared-context confounding require role-conditioned residuals.,W01
ASSUMPTION-CHALLENGE-006,Resources can be a simple money bonus,REJECTED,Likely double counts roster/coaching/talent; use conditional upstream/resource-efficiency representations.,W01
ASSUMPTION-CHALLENGE-007,Observed weather can stand in for earlier forecast,REJECTED,Temporal leakage; preserve forecast-vs-observed distinction.,W01
ASSUMPTION-CHALLENGE-008,Closing line is valid for all historical forecast times,REJECTED,Later market observations cannot enter earlier forecasts.,W01
ASSUMPTION-CHALLENGE-009,All FCS opponents can share one generic rating,REVISED,FCS needs meaningful team-specific secondary model with cross-division calibration.,W01
ASSUMPTION-CHALLENGE-010,Large LLM or cloud GPU is required for high accuracy,REJECTED,Core is structured ML/data engineering; local-first is sufficient for baseline system.,W01
ASSUMPTION-CHALLENGE-011,Recon pack is the complete historical data lake,REJECTED,It is evidence/schema/policy reconnaissance; bulk materialization remains future work.,W01
ASSUMPTION-CHALLENGE-012,Recon sample profiles are population statistics,REJECTED,Pack explicitly prohibits that interpretation.,W01
ASSUMPTION-CHALLENGE-013,Wave02 should create every future domain package/folder,REJECTED,Wave03 owns logical/system architecture; premature commitment creates churn,W02
ASSUMPTION-CHALLENGE-014,Docker is required for Wave02 reproducibility,REJECTED_FOR_CURRENT_WAVE,Local Python tooling plus cross-platform CI is sufficient for current scope,W02
