requirement_id,planned_wave,current_artifact,acceptance_or_evidence,status,source_basis
REQ-001,W01-W25,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-001 (CURRENTLY_VERIFIED_W04),ACTIVE,"master prompt §§12,64"
REQ-002,W01-W25,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-001 (CURRENTLY_VERIFIED_W04),ACTIVE,"master prompt §§12,74"
REQ-003,W01-W25,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-002 (CURRENTLY_VERIFIED_W04),ACTIVE,"master prompt §§12,67"
REQ-004,W01-W25,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-002 (CURRENTLY_VERIFIED_W04),ACTIVE,master prompt §13
REQ-005,W01-W25,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-002;AC-007 (CURRENTLY_VERIFIED_W04),ACTIVE,master prompt §14
REQ-006,W01-W25,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-001 (CURRENTLY_VERIFIED_W04),ACTIVE,master prompt §15
REQ-007,W02-W25,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-001 (CURRENTLY_VERIFIED_W04),ACTIVE,"master prompt §§13,65"
REQ-008,W01-W25,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-002 (CURRENTLY_VERIFIED_W04),ACTIVE,master prompt §16
REQ-009,W01-W25,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-003 (CURRENTLY_VERIFIED_W04),ACTIVE,master prompt §11
REQ-010,W01-W25,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-006 (CURRENTLY_VERIFIED_W04),ACTIVE,master prompt §62
REQ-011,W01-W25,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-006 (CURRENTLY_VERIFIED_W04),ACTIVE,master prompt §63
REQ-012,W01-W25,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-005;AC-044 (CURRENTLY_VERIFIED_W04),ACTIVE,"master prompt §§5,70"
REQ-013,W02-W25,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-005 (CURRENTLY_VERIFIED_W04),ACTIVE,master prompt §68
REQ-014,W01-W25,governance/REQUIREMENTS_INDEX.csv,W04 acceptance mapping: AC-003;AC-007;AC-044 (CURRENTLY_VERIFIED_W04),DEFAULT,master prompt §§3-4
