label,category,definition,issue_count,allow_freeform_variants
actionable,lifecycle,Controlled lifecycle label used by the generated Jira system.,229,false
advanced,execution-or-domain,Controlled execution-or-domain label used by the generated Jira system.,13,false
advanced-football,execution-or-domain,Controlled execution-or-domain label used by the generated Jira system.,13,false
architecture-decision,execution-or-domain,Controlled execution-or-domain label used by the generated Jira system.,4,false
architecture-review,execution-or-domain,Controlled execution-or-domain label used by the generated Jira system.,1,false
audit,execution-or-domain,Controlled execution-or-domain label used by the generated Jira system.,2,false
bas,execution-or-domain,Controlled execution-or-domain label used by the generated Jira system.,13,false
benchmark,execution-or-domain,Controlled execution-or-domain label used by the generated Jira system.,1,false
conditional,lifecycle,Controlled lifecycle label used by the generated Jira system.,13,false
core-release,lifecycle,Controlled lifecycle label used by the generated Jira system.,203,false
data-contract,execution-or-domain,Controlled execution-or-domain label used by the generated Jira system.,1,false
data-design,execution-or-domain,Controlled execution-or-domain label used by the generated Jira system.,2,false
data-governance,execution-or-domain,Controlled execution-or-domain label used by the generated Jira system.,5,false
data-materialization,execution-or-domain,Controlled execution-or-domain label used by the generated Jira system.,20,false
decision,execution-or-domain,Controlled execution-or-domain label used by the generated Jira system.,1,false
deferred,lifecycle,Controlled lifecycle label used by the generated Jira system.,13,false
design,execution-or-domain,Controlled execution-or-domain label used by the generated Jira system.,46,false
design-implementation,execution-or-domain,Controlled execution-or-domain label used by the generated Jira system.,4,false
documentation,execution-or-domain,Controlled execution-or-domain label used by the generated Jira system.,1,false
domain-design,execution-or-domain,Controlled execution-or-domain label used by the generated Jira system.,1,false
entities,execution-or-domain,Controlled execution-or-domain label used by the generated Jira system.,13,false
environment,execution-or-domain,Controlled execution-or-domain label used by the generated Jira system.,17,false
experiment-design,execution-or-domain,Controlled execution-or-domain label used by the generated Jira system.,19,false
external-blocker,execution-or-domain,Controlled execution-or-domain label used by the generated Jira system.,9,false
features,execution-or-domain,Controlled execution-or-domain label used by the generated Jira system.,13,false
gate,execution-or-domain,Controlled execution-or-domain label used by the generated Jira system.,31,false
governance,execution-or-domain,Controlled execution-or-domain label used by the generated Jira system.,4,false
governance-implementation,execution-or-domain,Controlled execution-or-domain label used by the generated Jira system.,1,false
handoff,execution-or-domain,Controlled execution-or-domain label used by the generated Jira system.,1,false
historical,lifecycle,Controlled lifecycle label used by the generated Jira system.,234,false
historical-open,lifecycle,Controlled lifecycle label used by the generated Jira system.,13,false
implementation,execution-or-domain,Controlled execution-or-domain label used by the generated Jira system.,36,false
integration,execution-or-domain,Controlled execution-or-domain label used by the generated Jira system.,2,false
