reconciliation_id,dimension,value,input_rows,preserved_rows,changed_rows,policy
RECON-001,normalized_temporal_class,ASOF_RECONSTRUCTION_REQUIRED,117,117,0,PRESERVE_VERIFIED_RECON_CLASSIFICATION
RECON-002,normalized_temporal_class,CURRENT_GAME_OR_POSTGAME_NOT_DIRECT_PREGAME,73,73,0,PRESERVE_VERIFIED_RECON_CLASSIFICATION
RECON-003,normalized_temporal_class,DIRECT_PREGAME_CANDIDATE,109,109,0,PRESERVE_VERIFIED_RECON_CLASSIFICATION
RECON-004,normalized_temporal_class,HISTORICAL_AGGREGATE_ONLY,743,743,0,PRESERVE_VERIFIED_RECON_CLASSIFICATION
RECON-005,normalized_temporal_class,POSTGAME_OR_FUTURE_BANNED,12,12,0,PRESERVE_VERIFIED_RECON_CLASSIFICATION
RECON-006,normalized_temporal_class,REVIEW_REQUIRED,130,130,0,PRESERVE_VERIFIED_RECON_CLASSIFICATION
RECON-007,normalized_temporal_class,SAFE_ONLY_WITH_EFFECTIVE_SNAPSHOT,13,13,0,PRESERVE_VERIFIED_RECON_CLASSIFICATION
RECON-008,usage_class,CANDIDATE_OR_DERIVED,811,811,0,PRESERVE_VERIFIED_RECON_CLASSIFICATION
RECON-009,usage_class,CONDITIONAL,2,2,0,PRESERVE_VERIFIED_RECON_CLASSIFICATION
RECON-010,usage_class,CORE_CANDIDATE,2,2,0,PRESERVE_VERIFIED_RECON_CLASSIFICATION
RECON-011,usage_class,EVIDENCE_SOURCE,12,12,0,PRESERVE_VERIFIED_RECON_CLASSIFICATION
RECON-012,usage_class,EXPERIMENTAL,6,6,0,PRESERVE_VERIFIED_RECON_CLASSIFICATION
RECON-013,usage_class,FIELD_OR_METADATA,241,241,0,PRESERVE_VERIFIED_RECON_CLASSIFICATION
RECON-014,usage_class,HISTORICAL_TRANSFORM_ONLY,31,31,0,PRESERVE_VERIFIED_RECON_CLASSIFICATION
RECON-015,usage_class,JOIN_OR_METADATA,86,86,0,PRESERVE_VERIFIED_RECON_CLASSIFICATION
RECON-016,usage_class,PUBLIC_CHALLENGER,3,3,0,PRESERVE_VERIFIED_RECON_CLASSIFICATION
RECON-017,usage_class,RESEARCH_ONLY,1,1,0,PRESERVE_VERIFIED_RECON_CLASSIFICATION
RECON-018,usage_class,STRUCTURAL,1,1,0,PRESERVE_VERIFIED_RECON_CLASSIFICATION
RECON-019,usage_class,SUPPORTED_CANDIDATE,1,1,0,PRESERVE_VERIFIED_RECON_CLASSIFICATION
