path,change_type,notes
AGENTS.md,MODIFIED_W08,Cumulative W08 temporal/governance/handoff update
CHANGELOG.md,MODIFIED_W08,Cumulative W08 temporal/governance/handoff update
README.md,MODIFIED_W08,Cumulative W08 temporal/governance/handoff update
configs/acceptance_registry.json,MODIFIED_W08,Cumulative W08 temporal/governance/handoff update
configs/architecture_registry.json,MODIFIED_W08,Cumulative W08 temporal/governance/handoff update
configs/backlog_policy.json,MODIFIED_W08,Cumulative W08 temporal/governance/handoff update
configs/hydration_manifest.json,MODIFIED_W08,Cumulative W08 temporal/governance/handoff update
configs/implementation_plan.json,MODIFIED_W08,Cumulative W08 temporal/governance/handoff update
configs/temporal_registry.json,ADDED_W08,New W08 temporal/governance/validation artifact
docs/18_POINT_IN_TIME_DATA_ARCHITECTURE.md,ADDED_W08,New W08 temporal/governance/validation artifact
docs/19_ASOF_QUERY_AND_CUTOFF_CONTRACT.md,ADDED_W08,New W08 temporal/governance/validation artifact
docs/20_MUTABLE_DOMAIN_SNAPSHOT_POLICIES.md,ADDED_W08,New W08 temporal/governance/validation artifact
docs/21_LEAKAGE_AND_REPLAY_TEST_SPEC.md,ADDED_W08,New W08 temporal/governance/validation artifact
docs/architecture/DATAFLOW_AND_STORAGE.md,MODIFIED_W08,Cumulative W08 temporal/governance/handoff update
docs/architecture/INTERFACE_CONTRACTS.md,MODIFIED_W08,Cumulative W08 temporal/governance/handoff update
docs/context/ADAPTIVE_ARCHITECTURE_CONTEXT.md,MODIFIED_W08,Cumulative W08 temporal/governance/handoff update
docs/context/DATA_CONTEXT.md,MODIFIED_W08,Cumulative W08 temporal/governance/handoff update
docs/context/IMPLEMENTATION_CONTEXT.md,MODIFIED_W08,Cumulative W08 temporal/governance/handoff update
docs/context/TEMPORAL_CONTEXT.md,ADDED_W08,New W08 temporal/governance/validation artifact
docs/context/UNRESOLVED_DATA_CONTEXT.md,MODIFIED_W08,Cumulative W08 temporal/governance/handoff update
fixtures/pit/leakage_cases.json,ADDED_W08,New W08 temporal/governance/validation artifact
fixtures/pit/observations.json,ADDED_W08,New W08 temporal/governance/validation artifact
