path,change,w01_bytes,w01_sha256,w02_bytes,w02_sha256,authorization,impact
.codex/README.md,ADDED,,,494,3df7dd57ee2740974effbfc0b098f1029249f9e9008ea1ee1e770395e40269ec,Wave02 mission; REQ-008/012 plus relevant W02 REQ/ADR,Operational repository/governance update; no accepted W01 canonical file deleted
.codex/TASK_PACKET_TEMPLATE.md,ADDED,,,406,1aba392336974c435c26cdc1c52bce8c70f500491cea04bce41566da75aec342,Wave02 mission; REQ-008/012 plus relevant W02 REQ/ADR,Operational repository/governance update; no accepted W01 canonical file deleted
.codex/WORKTREE_POLICY.md,ADDED,,,668,d1ebc535fd41b1adccf8f0b50de7d4921713e0b933f939c12de8290ad8065b9f,Wave02 mission; REQ-008/012 plus relevant W02 REQ/ADR,Operational repository/governance update; no accepted W01 canonical file deleted
.editorconfig,ADDED,,,240,815a7443611a1a19ce656968bc9aefd29eb8bff77308398a0a7ed17768f71d52,Wave02 mission; REQ-008/012 plus relevant W02 REQ/ADR,Operational repository/governance update; no accepted W01 canonical file deleted
.env.example,ADDED,,,223,3a13639a1997c5dc0954861f521049f9d28647ccfe96c8b68948c30ee3ef7658,Wave02 mission; REQ-008/012 plus relevant W02 REQ/ADR,Operational repository/governance update; no accepted W01 canonical file deleted
.gitattributes,ADDED,,,195,8132bdd5edd20f90efda8954a3c10df05b96cf7bb34b15a1eac80c6a9c15cf0f,Wave02 mission; REQ-008/012 plus relevant W02 REQ/ADR,Operational repository/governance update; no accepted W01 canonical file deleted
.github/CODEOWNERS,ADDED,,,196,9c418a8473c73a52303004f4f3121d41aaa09d257dca58477fcd8cc445eb129f,Wave02 mission; REQ-008/012 plus relevant W02 REQ/ADR,Operational repository/governance update; no accepted W01 canonical file deleted
.github/ISSUE_TEMPLATE/bug_report.yml,ADDED,,,634,5646a4c16ac5c3a0e300263d0d72ba5bff648f80eb79c0b5e28d02c2cbe1e19a,Wave02 mission; REQ-008/012 plus relevant W02 REQ/ADR,Operational repository/governance update; no accepted W01 canonical file deleted
.github/ISSUE_TEMPLATE/config.yml,ADDED,,,27,13064e7bea658e01e718b414fbb7b3b244f36411fe25ee2055c151f7b534547a,Wave02 mission; REQ-008/012 plus relevant W02 REQ/ADR,Operational repository/governance update; no accepted W01 canonical file deleted
.github/pull_request_template.md,ADDED,,,452,6b9946aaedce6304edc81b7ad79f9d3d67317511bcb1d9b40cf4d3e8b1404ca7,Wave02 mission; REQ-008/012 plus relevant W02 REQ/ADR,Operational repository/governance update; no accepted W01 canonical file deleted
