control_id,task_id,mapping_role,evidence_expectation
AC-001,TASK-186,PRIMARY,Exact cumulative SHA/next-wave/project identity verifies before mutation
AC-001,TASK-187,SUPPORTING,Exact cumulative SHA/next-wave/project identity verifies before mutation
AC-002,TASK-186,PRIMARY,"Manifest/hash coverage, safe paths, no unexplained disappearance, deterministic cumulative packaging"
AC-002,TASK-187,SUPPORTING,"Manifest/hash coverage, safe paths, no unexplained disappearance, deterministic cumulative packaging"
AC-003,TASK-186,PRIMARY,REQ/ADR/RISK/acceptance IDs are unique and traceability coverage is exact
AC-003,TASK-187,SUPPORTING,REQ/ADR/RISK/acceptance IDs are unique and traceability coverage is exact
AC-004,TASK-163,PRIMARY,"Secret patterns, forbidden artifacts and oversized repository payloads yield zero unresolved blocking findings"
AC-004,TASK-186,SUPPORTING,"Secret patterns, forbidden artifacts and oversized repository payloads yield zero unresolved blocking findings"
AC-005,TASK-187,PRIMARY,Accepted dependency/plane/PIT/serving/live architecture rules validate
AC-005,TASK-152,SUPPORTING,Accepted dependency/plane/PIT/serving/live architecture rules validate
AC-006,TASK-186,PRIMARY,All requirements have explicit A/B/C class and revisions preserve stable IDs/history
AC-006,TASK-187,SUPPORTING,All requirements have explicit A/B/C class and revisions preserve stable IDs/history
AC-007,TASK-121,PRIMARY,Every requirement/ADR/risk maps to valid acceptance controls and threshold references
AC-008,TASK-046,PRIMARY,Raw payloads/files are preserved unchanged with retrieval metadata/hashes
AC-009,TASK-006,PRIMARY,Source/schema/grain/unit contracts reject or quarantine material violations
AC-010,TASK-046,PRIMARY,Canonical records retain source IDs/evidence/transform/time/quality lineage
AC-011,TASK-046,PRIMARY,Mutable observations are eligible only when known-at/effective/publication/retrieval rules prove availability at cutoff
AC-012,TASK-018,PRIMARY,Protected historical replay finds no use of information unavailable at the forecast timestamp
AC-013,TASK-018,PRIMARY,"Earlier forecasts use forecast evidence available then, not later observed weather"
AC-014,TASK-018,PRIMARY,Market lane uses provider observations known by forecast cutoff and never leaks closing/future line
AC-015,TASK-018,PRIMARY,Roster/depth/staff/injury observations are effective-dated and as-of safe
AC-016,TASK-046,PRIMARY,Historical features contain no eventual draft outcomes unavailable at the historical cutoff
AC-017,TASK-012,PRIMARY,Ambiguous entity mappings retain candidates/confidence and follow explicit auto-accept/review policy
AC-018,TASK-121,PRIMARY,All representations of a canonical game remain within one split and edge-case policy is enforced
AC-019,TASK-046,PRIMARY,Labels and revisions preserve version/source/cutoff semantics and cannot silently rewrite experiment history
AC-020,TASK-046,PRIMARY,Invalid data is quarantined; missing critical sources follow explicit fallback/degraded/suppress policy
AC-021,TASK-029,PRIMARY,"Production feature promotion requires PIT safety, data quality, walk-forward evidence, ablation/stability and target-specific value"
AC-022,TASK-110,PRIMARY,Candidate champions are compared against declared simple/reproducible baselines
AC-023,TASK-121,PRIMARY,Evaluation uses protected chronological folds/subgroups appropriate to intended forecast use
AC-024,TASK-133,PRIMARY,Protected test windows and promotion criteria are fixed before result inspection and not reused as tuning feedback
AC-025,TASK-133,PRIMARY,Probability forecasts meet evidence-backed calibration/proper-scoring criteria on protected validation
AC-026,TASK-121,PRIMARY,"Score, margin, win, cover and BAS-related distributions are mathematically/statistically coherent"
AC-027,TASK-121,PRIMARY,Uncertainty/OOD behavior is validated for coverage/calibration and does not inject unvalidated directional bias
AC-028,TASK-104,PRIMARY,Historical BAS expected margin is strictly pregame/out-of-sample/cross-fitted or equivalent
AC-029,TASK-104,PRIMARY,Aggie-specific BAS claims survive regime/peer/stability/significance/anti-circularity tests or are rejected
AC-030,TASK-099,PRIMARY,Specialization architecture permits no-adjustment/shrinkage and must demonstrate incremental protected value before promotion
AC-031,TASK-151,PRIMARY,No model/feature self-promotes; versioned protected criteria decide promotion/rejection/rollback
AC-031,TASK-163,SUPPORTING,No model/feature self-promotes; versioned protected criteria decide promotion/rejection/rollback
AC-032,TASK-139,PRIMARY,Research/LLM plane cannot mutate protected judging rules or production champion state outside promotion interface
AC-033,TASK-151,PRIMARY,Historical published forecast can be reconstructed/explained from immutable model/config/feature/data lineage
AC-033,TASK-163,SUPPORTING,Historical published forecast can be reconstructed/explained from immutable model/config/feature/data lineage
AC-034,TASK-151,PRIMARY,Runtime/package/config versions required for training/evaluation/forecast are recorded
AC-034,TASK-163,SUPPORTING,Runtime/package/config versions required for training/evaluation/forecast are recorded
AC-035,TASK-151,PRIMARY,Seeds/sampling config/runtime version are persisted for stochastic processes; irreducible nondeterminism is declared
AC-035,TASK-163,SUPPORTING,Seeds/sampling config/runtime version are persisted for stochastic processes; irreducible nondeterminism is declared
AC-036,TASK-151,PRIMARY,Interrupted safe stages can resume/retry without silently duplicating or corrupting immutable state
AC-036,TASK-163,SUPPORTING,Interrupted safe stages can resume/retry without silently duplicating or corrupting immutable state
AC-037,TASK-187,PRIMARY,Served snapshot exposes as-of/freshness; stale snapshot is visibly stale and never mislabeled current
AC-037,TASK-152,SUPPORTING,Served snapshot exposes as-of/freshness; stale snapshot is visibly stale and never mislabeled current
AC-038,TASK-151,PRIMARY,Representative/full workloads are benchmarked on target hardware for RAM/runtime/storage before fixed budgets are approved
AC-038,TASK-163,SUPPORTING,Representative/full workloads are benchmarked on target hardware for RAM/runtime/storage before fixed budgets are approved
AC-039,TASK-151,PRIMARY,Recovery preserves immutable histories and operational backup/restore procedure is tested
AC-039,TASK-163,SUPPORTING,Recovery preserves immutable histories and operational backup/restore procedure is tested
AC-040,TASK-163,PRIMARY,"Archives/inputs are treated as untrusted, path-safe and contract-validated; source content is never executed as instructions/code"
AC-040,TASK-186,SUPPORTING,"Archives/inputs are treated as untrusted, path-safe and contract-validated; source content is never executed as instructions/code"
AC-041,TASK-163,PRIMARY,Final dependency surface has version/provenance/security/integrity checks appropriate to risk
AC-041,TASK-186,SUPPORTING,Final dependency surface has version/provenance/security/integrity checks appropriate to risk
AC-042,TASK-163,PRIMARY,Logs contain no secrets or prohibited restricted raw payloads and use approved redaction/structured metadata
AC-042,TASK-186,SUPPORTING,Logs contain no secrets or prohibited restricted raw payloads and use approved redaction/structured metadata
AC-043,TASK-006,PRIMARY,Owner/terms/license/attribution/redistribution/public-repo suitability is accepted before external publication
AC-044,TASK-121,PRIMARY,Blocking failures identify affected controls/requirements/evidence and cannot be silently waived
AC-045,TASK-186,PRIMARY,Designed/scaffolded/implemented/validated states and performance claims are reported exactly without fabricated evidence
AC-045,TASK-187,SUPPORTING,Designed/scaffolded/implemented/validated states and performance claims are reported exactly without fabricated evidence
AC-046,TASK-187,PRIMARY,Serving depends on published forecast snapshots/lineage and cannot bypass raw/PIT/model internals
AC-046,TASK-152,SUPPORTING,Serving depends on published forecast snapshots/lineage and cannot bypass raw/PIT/model internals
AC-047,TASK-187,PRIMARY,A&M uses shared canonical/PIT truth via explicit specialization interface and may shrink to no adjustment
AC-047,TASK-152,SUPPORTING,A&M uses shared canonical/PIT truth via explicit specialization interface and may shrink to no adjustment
AC-048,TASK-187,PRIMARY,Future live lane cannot feed same-game pregame features; pregame prior may flow one-way into live lane
AC-048,TASK-152,SUPPORTING,Future live lane cannot feed same-game pregame features; pregame prior may flow one-way into live lane
AC-049,TASK-187,PRIMARY,Every cumulative requirement maps to at least one valid task and every task uses known phase/epic IDs
AC-050,TASK-187,PRIMARY,Task dependencies reference existing tasks and the dependency graph is acyclic
AC-051,TASK-187,PRIMARY,Packets declare scope/dependencies/outputs/tests/stop conditions and isolated worktree policy
AC-052,TASK-187,PRIMARY,Unfrozen shared contracts have one mutation owner at a time and parallel packets identify exclusions
AC-053,TASK-006,PRIMARY,W06 explicitly updates source-dependent task status/dependencies/plan before W07 source-dependent tasks become READY
AC-054,TASK-187,PRIMARY,Backlog contains no unsupported hours/dates/velocity promises; complexity semantics are non-temporal
AC-055,TASK-187,PRIMARY,"Stable task IDs, statuses, plan version and change history preserve planned/blocked/done/superseded distinctions"
AC-056,TASK-187,PRIMARY,Dependency-critical gates and acceptance/evidence responsibilities are explicitly represented and traceable
AC-056,TASK-001,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-001,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-009,TASK-001,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-002,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-002,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-009,TASK-002,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-003,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-003,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-009,TASK-003,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-004,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-004,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-009,TASK-004,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-005,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-005,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-009,TASK-005,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-006,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-006,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-010,TASK-007,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-007,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-007,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-010,TASK-008,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-008,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-008,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-010,TASK-009,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-009,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-009,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-010,TASK-010,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-010,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-010,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-010,TASK-011,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-011,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-011,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-010,TASK-012,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-012,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-012,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-011,TASK-013,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-013,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-013,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-011,TASK-014,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-014,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-014,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-011,TASK-015,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-015,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-015,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-011,TASK-016,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-016,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-016,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-011,TASK-017,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-017,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-017,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-018,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-011,TASK-018,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-018,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-019,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-019,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-009,TASK-019,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-020,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-020,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-009,TASK-020,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-021,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-021,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-009,TASK-021,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-022,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-022,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-009,TASK-022,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-019,TASK-023,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
