conflict_id,sources,finding,authority_resolution,action,status
CONFLICT-001,README.md,Current README described W24 and said W25 was next although W25 is terminal/complete.,Current operational pointer stale; historical W24 statements remain provenance.,Align README current-state section and preserve historical docs.,RESOLVED_IN_V2
CONFLICT-002,CONTRIBUTING.md;.codex/*,"Active files used wave-era language and codex/<epic>-<task>, conflicting with Jira-linked post-W25 execution.",Post-W25 active controls must use one Jira-linked convention.,Use codex/BAT-123-short-description and compatibility pointers.,RESOLVED_IN_V2
CONFLICT-003,configs/backlog_policy.json,next_ready_task TASK-041 conflicts with final handoff backlog and dependency-driven post-W25 selection.,Final W25 backlog/current live Jira outrank old W18 pointer.,Replace fixed stale pointer with final-backlog/live-Jira selection policy.,RESOLVED_IN_V2
CONFLICT-004,governance/CURRENT_BACKLOG.yaml,next_ready_task HANDOFF-001 despite FINAL_BACKLOG marking it blocked and HANDOFF-002 Ready.,Final backlog row status is more specific/current.,"Record blocked HANDOFF-001 and independent Ready HANDOFF-002, subject to live Jira.",RESOLVED_IN_V2
CONFLICT-005,configs/repository_policy.json;tools/repo_integrity.py,"Root .git was forbidden, so strict validation would fail in a real checkout.",Root .git is runtime metadata; nested .git/copies remain forbidden and packaging excludes root .git.,Update policy/tools/tests.,RESOLVED_IN_V2
CONFLICT-006,.github/pull_request_template.md,Template lacked Jira/internal IDs/source/AC/security/rollback/limitations fields.,End-to-end traceability requires those fields without micro-bureaucracy.,Replace with coherent PR template and checklists.,RESOLVED_IN_V2
CONFLICT-007,.github/CODEOWNERS,Placeholder contained no actual owner.,Repository owner is verified as KevinSGarrett; protected scopes can be assigned without requiring all-path approval.,Assign protected control paths; enforcement remains a separate human-approved GitHub setting.,RESOLVED_IN_V2
CONFLICT-008,jira/,Directory was empty and had no authority/sync/schema contract.,Prompt requires an AI-readable mirror/index that does not compete with live Jira.,"Add local mirror contract, schemas, maps, audit and validator.",RESOLVED_IN_V2
CONFLICT-009,repository operating system,No single post-W25 entrypoint or complete prompt compliance trace existed.,One canonical entrypoint and auditable 56-section coverage are required.,"Create instructions/START_HERE.md, manifest, policies, compliance matrix and validator.",RESOLVED_IN_V2
CONFLICT-010,external discovery,Archive lacks .git and requested BAT site is not authorized; previous completion wording overstated certainty.,Unavailable external state must remain explicitly unverified.,"Add audit artifacts, reconciliation tool and hard preconditions; do not claim live mapping complete.",OPEN_EXTERNAL
