repo_relative_path,size_bytes,line_count,sha256,authority_level,role,top_directory,extension,parse_status
.codex/README.md,494,11,3df7dd57ee2740974effbfc0b098f1029249f9e9008ea1ee1e770395e40269ec,SUPPORTING,Supporting repository artifact,.codex,.md,OK
.codex/TASK_PACKET_TEMPLATE.md,406,32,1aba392336974c435c26cdc1c52bce8c70f500491cea04bce41566da75aec342,SUPPORTING,Supporting repository artifact,.codex,.md,OK
.codex/WORKTREE_POLICY.md,668,17,d1ebc535fd41b1adccf8f0b50de7d4921713e0b933f939c12de8290ad8065b9f,SUPPORTING,Supporting repository artifact,.codex,.md,OK
.editorconfig,240,16,815a7443611a1a19ce656968bc9aefd29eb8bff77308398a0a7ed17768f71d52,SUPPORTING,Supporting repository artifact,.editorconfig,.editorconfig,OK
.env.example,223,4,3a13639a1997c5dc0954861f521049f9d28647ccfe96c8b68948c30ee3ef7658,SUPPORTING,Supporting repository artifact,.env.example,.example,OK
.gitattributes,195,12,8132bdd5edd20f90efda8954a3c10df05b96cf7bb34b15a1eac80c6a9c15cf0f,SUPPORTING,Supporting repository artifact,.gitattributes,.gitattributes,OK
.github/CODEOWNERS,196,4,9c418a8473c73a52303004f4f3121d41aaa09d257dca58477fcd8cc445eb129f,SUPPORTING,Supporting repository artifact,.github,CODEOWNERS,OK
.github/ISSUE_TEMPLATE/bug_report.yml,634,24,5646a4c16ac5c3a0e300263d0d72ba5bff648f80eb79c0b5e28d02c2cbe1e19a,SUPPORTING,Supporting repository artifact,.github,.yml,OK
.github/ISSUE_TEMPLATE/config.yml,27,1,13064e7bea658e01e718b414fbb7b3b244f36411fe25ee2055c151f7b534547a,SUPPORTING,Supporting repository artifact,.github,.yml,OK
.github/pull_request_template.md,452,21,6b9946aaedce6304edc81b7ad79f9d3d67317511bcb1d9b40cf4d3e8b1404ca7,SUPPORTING,Supporting repository artifact,.github,.md,OK
.github/workflows/ci.yml,2486,77,79d65c3c4dcfd58b68b536d50cb296ba4f7b18c85eeb4662879a7927c69019df,SUPPORTING,Supporting repository artifact,.github,.yml,OK
.github/workflows/security.yml,571,25,64780116ec9d1561d472ce989db627ebc6b8b5239c2ab6241207d83c4bf17351,SUPPORTING,Supporting repository artifact,.github,.yml,OK
.gitignore,806,58,05a587aa01c3b526854e8d48fcc3a211b53cdec6a43e8a488c43a5eab8155a33,SUPPORTING,Supporting repository artifact,.gitignore,.gitignore,OK
.python-version,5,1,7b55f8e67b5623c4bef3fa691288da9437d79d3aba156de48d481db32ac7d16d,SUPPORTING,Supporting repository artifact,.python-version,.python-version,OK
AGENTS.md,1310,21,0e2c4e1f2ee5b17dedfff53dfcb28c0306e915ec387b2003e9f82b5527681cde,PROTECTED_INVARIANT,Protected project rule or sealed governance artifact,AGENTS.md,.md,OK
CHANGELOG.md,19945,269,c58767afad284c26a496d22f1cb7b84d23cfd26b62554a9efa175c4b1f53158a,SUPPORTING,Supporting repository artifact,CHANGELOG.md,.md,OK
CONTRIBUTING.md,893,13,0c8dea47db129c5286b441f0c01c881eb0b464b8f26d405540be67d4eded9a53,SUPPORTING,Supporting repository artifact,CONTRIBUTING.md,.md,OK
README.md,3434,75,5bd89dde6700dd5804e4b1722ff3ae59576bff66a54923bda44db763fd640646,SUPPORTING,Supporting repository artifact,README.md,.md,OK
artifacts/README.md,258,3,3b602ad9a9f5a02011952964ded73f392d6f9a73c93b0f77a35173ff7ad23f2b,SUPPORTING,Supporting repository artifact,artifacts,.md,OK
configs/acceptance_registry.json,630816,15332,005628e57406c4243b40a5f515952f812d9c9f988d25723db14e659cc6abaa8f,CURRENT_MACHINE_REGISTRY,Machine-readable governance or implementation registry,configs,.json,OK
configs/architecture_registry.json,14629,533,a13ada012009709d0511c6e043e6b38306e44d6a1c0572792108ab9e6ea1c91c,CURRENT_MACHINE_REGISTRY,Machine-readable governance or implementation registry,configs,.json,OK
configs/backlog_policy.json,1926,46,2c570c0d260ea4b5f2c211f474928ffede7253ca7e5d1659e007c93638ae6a8e,CURRENT_MACHINE_REGISTRY,Machine-readable governance or implementation registry,configs,.json,OK
configs/bas_science_registry.json,1799,53,d4eb21b5902d084824f1965ba116260e99771ba59045674dee662511bd6cf808,CURRENT_MACHINE_REGISTRY,Machine-readable governance or implementation registry,configs,.json,OK
configs/context_intelligence_registry.json,1849,33,8f9b7cbd0de5b9ec32e5f68802da1d548c68bd5117778fd6553ce1c08408cfb6,CURRENT_MACHINE_REGISTRY,Machine-readable governance or implementation registry,configs,.json,OK
configs/entity_registry.json,16533,447,66f4c69f830e34c23745b42bbcbc98b482bf141c3cb8a0e49bfd32c7fc99c647,CURRENT_MACHINE_REGISTRY,Machine-readable governance or implementation registry,configs,.json,OK
configs/experiment_artifact_policy.json,281,11,9e56bf71e65541df1701c46337f7367f9b792064afc72ea8834ee29ff07ee861,CURRENT_MACHINE_REGISTRY,Machine-readable governance or implementation registry,configs,.json,OK
configs/experiment_research_registry.json,5374,113,f2ed563906cd8914618bf4073bd2e95e2ea3635e16e7bbb664a14c2d37f270e6,CURRENT_MACHINE_REGISTRY,Machine-readable governance or implementation registry,configs,.json,OK
configs/experiment_store_policy.json,521,26,eaf37aad659ebf07e84b92b858adf117eefa22bc963920a77f9fbf12593c35da,CURRENT_MACHINE_REGISTRY,Machine-readable governance or implementation registry,configs,.json,OK
configs/feature_lifecycle_registry.json,2033,76,66b7549d373507277498bb945ae9923704d7097f14a36240fac3d331fcb1a943,CURRENT_MACHINE_REGISTRY,Machine-readable governance or implementation registry,configs,.json,OK
configs/hpo_registry.json,476,18,9c0f7862b5ca901687c6f7c0ffdd775996d90b5ce41f4a5782d6ae2aa1f25f6e,CURRENT_MACHINE_REGISTRY,Machine-readable governance or implementation registry,configs,.json,OK
configs/hydration_manifest.json,60075,1958,52544e0c6934facb27f931dde908d5f8af7f6a877ec8215f9f9801516b7166bf,CURRENT_MACHINE_REGISTRY,Machine-readable governance or implementation registry,configs,.json,OK
configs/implementation_plan.json,183436,4493,5f22adcef70b5b7c5fef7900f5edfa57bf362e884a3b525ed71bf68be8528573,CURRENT_MACHINE_REGISTRY,Machine-readable governance or implementation registry,configs,.json,OK
configs/judging_rule_seal.json,3936,87,8e1cb61d850babc5e80bd156aa79f6bbd5575d461df0d83ec6f6eed2a71fe758,PROTECTED_INVARIANT,Protected project rule or sealed governance artifact,configs,.json,OK
configs/model_architecture_registry.json,1913,42,635228c63cf38a044b3b6fa8a6779aed2c577ebd2f492b9b45d0e0f1727fb820,CURRENT_MACHINE_REGISTRY,Machine-readable governance or implementation registry,configs,.json,OK
configs/player_intelligence_registry.json,2615,65,7ef331f15d8e341e823be1089d5f136fa8c00dbbdccf70d164002146c9e89a22,CURRENT_MACHINE_REGISTRY,Machine-readable governance or implementation registry,configs,.json,OK
configs/raw_feature_registry.json,3789,112,2e88c24bff06accc1231aad953e9657f7a52158983de4cf24586a95b16c44f69,CURRENT_MACHINE_REGISTRY,Machine-readable governance or implementation registry,configs,.json,OK
configs/repository_policy.json,1004,56,4e46a40ce4fe6d1bc8faa049c5f74aad5db1fe01eb0be2b431b9d25b41132839,PROTECTED_INVARIANT,Protected project rule or sealed governance artifact,configs,.json,OK
configs/research_execution_registry.json,476,11,55011de6949802cf563c7a79f55420157c8ca641edf69f40fcbf2085b3be7938,CURRENT_MACHINE_REGISTRY,Machine-readable governance or implementation registry,configs,.json,OK
configs/research_resource_policy.json,383,17,acc7721bac101384e457ab89a774843a3c067a34c047e06093187ca4b6d2f279,CURRENT_MACHINE_REGISTRY,Machine-readable governance or implementation registry,configs,.json,OK
configs/result_comparison_policy.json,486,24,57c253b7b41ed00b61fa33003c7b27a1d1ac2b3fedf658ef91d867f314cba6fc,CURRENT_MACHINE_REGISTRY,Machine-readable governance or implementation registry,configs,.json,OK
configs/tamu_specialization_registry.json,1816,39,f30bc0fa6c9f939cac8327cfc8e00120ee8ffacef6fdc10c6934e20f67038d48,CURRENT_MACHINE_REGISTRY,Machine-readable governance or implementation registry,configs,.json,OK
configs/team_state_registry.json,2898,70,5342e3ba89afa2d0bca57acdc7c75239d7ba7b0b26bf2a306161531015fc7975,CURRENT_MACHINE_REGISTRY,Machine-readable governance or implementation registry,configs,.json,OK
configs/temporal_registry.json,16583,389,0319642bfaef5000535227d30bce3a6654e38e8df82a57cce4e7803ffe36eb6b,CURRENT_MACHINE_REGISTRY,Machine-readable governance or implementation registry,configs,.json,OK
configs/tournament_registry.json,631,19,be1f301f4ad7f1c29f55c05ed5029babf58d8199b98580a2d235fe859066a393,CURRENT_MACHINE_REGISTRY,Machine-readable governance or implementation registry,configs,.json,OK
configs/validation_science_registry.json,2609,60,b9a01439c457232102b3d0f24f599a6cf852c712122574a64fb91c87d7c33c21,CURRENT_MACHINE_REGISTRY,Machine-readable governance or implementation registry,configs,.json,OK
data/README.md,302,3,00ac41f052e61b9868a179def34bccfac8df9b3227b90dcafa2c2abdb21c52d9,SUPPORTING,Supporting repository artifact,data,.md,OK
docs/00_PROJECT_CHARTER.md,1400,23,6ba75c6cecc607bc43adf7ec90f8596064f2146c48b32df586b53d4975e9a152,ACCEPTED_DESIGN,Accepted architecture/design/protocol source,docs,.md,OK
docs/00_TERMINOLOGY.md,1532,17,3b4874ca3e0dba4f188b717ff75b70a7f47709a7667f45658b28098ff6db0bc2,ACCEPTED_DESIGN,Accepted architecture/design/protocol source,docs,.md,OK
docs/01_ARCHITECTURE.md,6679,132,a6f53bb36f185be5000a833dfb4caf5a99432f37575cd6d9908eb16e7f0c9381,ACCEPTED_DESIGN,Accepted architecture/design/protocol source,docs,.md,OK
docs/01_SOURCE_SYNTHESIS.md,2017,19,4bc8cde084797a3315bae218ebce6ea84218774235fed53cca2d8526f289dd63,ACCEPTED_DESIGN,Accepted architecture/design/protocol source,docs,.md,OK
docs/02_RECONNAISSANCE_FINDINGS_INDEX.md,2015,20,08c1553df1a1b82e2c0f770e750c94b9e1b9f4fd1accc160bb73bc0a25e61be1,ACCEPTED_DESIGN,Accepted architecture/design/protocol source,docs,.md,OK
docs/03_REQUIREMENTS_BASELINE.md,2658,31,bfa3f9965178fb579a1c1991e015db532f8bc8d289b697077f5038e5b913c92f,ACCEPTED_DESIGN,Accepted architecture/design/protocol source,docs,.md,OK
