failure_id,reason_code,outcome_class,retry_policy,scientific_rejection
FAIL-001,CODE_ERROR,OPERATIONAL,yes,false
FAIL-002,OOM,OPERATIONAL,yes,false
FAIL-003,TIMEOUT,OPERATIONAL,yes,false
FAIL-004,DISK_EXHAUSTED,OPERATIONAL,yes,false
FAIL-005,DATA_UNAVAILABLE,DATA,conditional,false
FAIL-006,SCHEMA_ERROR,DATA,conditional,false
FAIL-007,RIGHTS_BLOCKED,RIGHTS,no_without_policy_change,false
FAIL-008,JUDGING_RULE_SEAL_INVALID,GOVERNANCE,no_until_fixed,false
FAIL-009,PROTECTED_SPLIT_REQUESTED,GOVERNANCE,no_until_spec_fixed,false
FAIL-010,REPLAY_MISMATCH,REPLAY,conditional,false
FAIL-011,NO_INCREMENTAL_VALUE,SCIENTIFIC,only_with_new_hypothesis_or_data,true
FAIL-012,UNSTABLE,SCIENTIFIC,only_with_new_hypothesis_or_data,true
FAIL-013,DOMINATED,SCIENTIFIC,only_with_changed_candidate,true
FAIL-014,INCONCLUSIVE,SCIENTIFIC,conditional,false
