task_id,source_status,jira_workflow_state,historical_classification,scoped_maturity,evidence_state,related_post_wave_issue,interpretation
TASK-001,DONE,DONE,HISTORICAL_SCOPED_COMPLETED,CONTRACT_DEFINED,VERIFIED,POST-SUBTASK-141,Original scoped completion only; post-wave issue carries any higher-maturity obligation.
TASK-002,DONE,DONE,HISTORICAL_SCOPED_COMPLETED,CONTRACT_DEFINED,VERIFIED,POST-SUBTASK-141,Original scoped completion only; post-wave issue carries any higher-maturity obligation.
TASK-003,DONE,DONE,HISTORICAL_SCOPED_COMPLETED,CONTRACT_DEFINED,VERIFIED,POST-SUBTASK-069,Original scoped completion only; post-wave issue carries any higher-maturity obligation.
TASK-004,DONE,DONE,HISTORICAL_SCOPED_COMPLETED,CONTRACT_DEFINED,VERIFIED,POST-SUBTASK-141,Original scoped completion only; post-wave issue carries any higher-maturity obligation.
TASK-005,DONE,DONE,HISTORICAL_SCOPED_COMPLETED,CONTRACT_DEFINED,VERIFIED,POST-SUBTASK-033,Original scoped completion only; post-wave issue carries any higher-maturity obligation.
TASK-006,DONE,DONE,HISTORICAL_SCOPED_COMPLETED,CONTRACT_DEFINED,VERIFIED,POST-SUBTASK-114,Original scoped completion only; post-wave issue carries any higher-maturity obligation.
TASK-007,DONE,DONE,HISTORICAL_SCOPED_COMPLETED,CONTRACT_DEFINED,VERIFIED,POST-SUBTASK-042,Original scoped completion only; post-wave issue carries any higher-maturity obligation.
TASK-008,DONE,DONE,HISTORICAL_SCOPED_COMPLETED,CONTRACT_DEFINED,VERIFIED,POST-SUBTASK-042,Original scoped completion only; post-wave issue carries any higher-maturity obligation.
TASK-009,DONE,DONE,HISTORICAL_SCOPED_COMPLETED,CONTRACT_DEFINED,VERIFIED,POST-SUBTASK-042,Original scoped completion only; post-wave issue carries any higher-maturity obligation.
TASK-010,DONE,DONE,HISTORICAL_SCOPED_COMPLETED,CONTRACT_DEFINED,VERIFIED,POST-SUBTASK-141,Original scoped completion only; post-wave issue carries any higher-maturity obligation.
TASK-011,DONE,DONE,HISTORICAL_SCOPED_COMPLETED,CONTRACT_DEFINED,VERIFIED,POST-SUBTASK-141,Original scoped completion only; post-wave issue carries any higher-maturity obligation.
TASK-012,DONE,DONE,HISTORICAL_SCOPED_COMPLETED,CONTRACT_DEFINED,VERIFIED,POST-SUBTASK-078,Original scoped completion only; post-wave issue carries any higher-maturity obligation.
TASK-013,DONE,DONE,HISTORICAL_SCOPED_COMPLETED,CONTRACT_DEFINED,VERIFIED,POST-SUBTASK-051,Original scoped completion only; post-wave issue carries any higher-maturity obligation.
TASK-014,DONE,DONE,HISTORICAL_SCOPED_COMPLETED,CONTRACT_DEFINED,VERIFIED,POST-SUBTASK-051,Original scoped completion only; post-wave issue carries any higher-maturity obligation.
TASK-015,DONE,DONE,HISTORICAL_SCOPED_COMPLETED,CONTRACT_DEFINED,VERIFIED,POST-SUBTASK-069,Original scoped completion only; post-wave issue carries any higher-maturity obligation.
TASK-016,DONE,DONE,HISTORICAL_SCOPED_COMPLETED,CONTRACT_DEFINED,VERIFIED,POST-SUBTASK-051,Original scoped completion only; post-wave issue carries any higher-maturity obligation.
