dataset_registry_id,source_id,source,dataset_or_endpoint,family,grain,w06_schema_description,historical_coverage,w06_pit_note,inventory_provenance,w06_status,reconciled_raw_field_count,schema_status,schema_policy,notes,source_owner,source_url,source_access_method,source_authentication,source_cost,source_terms_or_license,source_redistribution,source_public_repo_suitability,source_rights_review_status,provenance_augmented_wave
DS-0001,SRC-001,SportsDataverse/cfbfastR-cfb-data,play_by_play,sportsdataverse,one row per play,reported columns=380,dataset-dependent,Historical game outputs require prior-game aggregation; mutable datasets require snapshot review,recon v1.2 expanded dataset inventory,CONFIRMED_W06,380,FIELD_REGISTRY_AVAILABLE,DO_NOT_INVENT_FIELDS,,SportsDataverse / cfbfastR,https://github.com/sportsdataverse/cfbfastR-cfb-data,bulk repository/releases,none,free,PUBLIC_REPOSITORY_UPSTREAM_TERMS_REVIEW,DERIVED_PUBLIC_REPO_REVIEW,DERIVED_ONLY_OR_REVIEW,W06_CLASSIFIED_NOT_LEGAL_OPINION,W12_CATCHUP_TASK197
DS-0002,SRC-001,SportsDataverse/cfbfastR-cfb-data,team_box,sportsdataverse,one row per team (2 per game),reported columns=21,dataset-dependent,Historical game outputs require prior-game aggregation; mutable datasets require snapshot review,recon v1.2 expanded dataset inventory,CONFIRMED_W06,21,FIELD_REGISTRY_AVAILABLE,DO_NOT_INVENT_FIELDS,,SportsDataverse / cfbfastR,https://github.com/sportsdataverse/cfbfastR-cfb-data,bulk repository/releases,none,free,PUBLIC_REPOSITORY_UPSTREAM_TERMS_REVIEW,DERIVED_PUBLIC_REPO_REVIEW,DERIVED_ONLY_OR_REVIEW,W06_CLASSIFIED_NOT_LEGAL_OPINION,W12_CATCHUP_TASK197
DS-0003,SRC-001,SportsDataverse/cfbfastR-cfb-data,player_box,sportsdataverse,one row per player per stat category,reported columns=56,dataset-dependent,Historical game outputs require prior-game aggregation; mutable datasets require snapshot review,recon v1.2 expanded dataset inventory,CONFIRMED_W06,56,FIELD_REGISTRY_AVAILABLE,DO_NOT_INVENT_FIELDS,,SportsDataverse / cfbfastR,https://github.com/sportsdataverse/cfbfastR-cfb-data,bulk repository/releases,none,free,PUBLIC_REPOSITORY_UPSTREAM_TERMS_REVIEW,DERIVED_PUBLIC_REPO_REVIEW,DERIVED_ONLY_OR_REVIEW,W06_CLASSIFIED_NOT_LEGAL_OPINION,W12_CATCHUP_TASK197
DS-0004,SRC-001,SportsDataverse/cfbfastR-cfb-data,adv_team,sportsdataverse,one row per team per game,reported columns=77,dataset-dependent,Historical game outputs require prior-game aggregation; mutable datasets require snapshot review,recon v1.2 expanded dataset inventory,CONFIRMED_W06,77,FIELD_REGISTRY_AVAILABLE,DO_NOT_INVENT_FIELDS,,SportsDataverse / cfbfastR,https://github.com/sportsdataverse/cfbfastR-cfb-data,bulk repository/releases,none,free,PUBLIC_REPOSITORY_UPSTREAM_TERMS_REVIEW,DERIVED_PUBLIC_REPO_REVIEW,DERIVED_ONLY_OR_REVIEW,W06_CLASSIFIED_NOT_LEGAL_OPINION,W12_CATCHUP_TASK197
DS-0005,SRC-001,SportsDataverse/cfbfastR-cfb-data,adv_passing,sportsdataverse,one row per passer per game,reported columns=23,dataset-dependent,Historical game outputs require prior-game aggregation; mutable datasets require snapshot review,recon v1.2 expanded dataset inventory,CONFIRMED_W06,23,FIELD_REGISTRY_AVAILABLE,DO_NOT_INVENT_FIELDS,,SportsDataverse / cfbfastR,https://github.com/sportsdataverse/cfbfastR-cfb-data,bulk repository/releases,none,free,PUBLIC_REPOSITORY_UPSTREAM_TERMS_REVIEW,DERIVED_PUBLIC_REPO_REVIEW,DERIVED_ONLY_OR_REVIEW,W06_CLASSIFIED_NOT_LEGAL_OPINION,W12_CATCHUP_TASK197
DS-0006,SRC-001,SportsDataverse/cfbfastR-cfb-data,adv_rushing,sportsdataverse,one row per rusher per game,reported columns=15,dataset-dependent,Historical game outputs require prior-game aggregation; mutable datasets require snapshot review,recon v1.2 expanded dataset inventory,CONFIRMED_W06,15,FIELD_REGISTRY_AVAILABLE,DO_NOT_INVENT_FIELDS,,SportsDataverse / cfbfastR,https://github.com/sportsdataverse/cfbfastR-cfb-data,bulk repository/releases,none,free,PUBLIC_REPOSITORY_UPSTREAM_TERMS_REVIEW,DERIVED_PUBLIC_REPO_REVIEW,DERIVED_ONLY_OR_REVIEW,W06_CLASSIFIED_NOT_LEGAL_OPINION,W12_CATCHUP_TASK197
DS-0007,SRC-001,SportsDataverse/cfbfastR-cfb-data,adv_receiving,sportsdataverse,one row per receiver per game,reported columns=15,dataset-dependent,Historical game outputs require prior-game aggregation; mutable datasets require snapshot review,recon v1.2 expanded dataset inventory,CONFIRMED_W06,15,FIELD_REGISTRY_AVAILABLE,DO_NOT_INVENT_FIELDS,,SportsDataverse / cfbfastR,https://github.com/sportsdataverse/cfbfastR-cfb-data,bulk repository/releases,none,free,PUBLIC_REPOSITORY_UPSTREAM_TERMS_REVIEW,DERIVED_PUBLIC_REPO_REVIEW,DERIVED_ONLY_OR_REVIEW,W06_CLASSIFIED_NOT_LEGAL_OPINION,W12_CATCHUP_TASK197
DS-0008,SRC-001,SportsDataverse/cfbfastR-cfb-data,adv_defensive,sportsdataverse,one row per defensive team unit per game,reported columns=21,dataset-dependent,Historical game outputs require prior-game aggregation; mutable datasets require snapshot review,recon v1.2 expanded dataset inventory,CONFIRMED_W06,21,FIELD_REGISTRY_AVAILABLE,DO_NOT_INVENT_FIELDS,,SportsDataverse / cfbfastR,https://github.com/sportsdataverse/cfbfastR-cfb-data,bulk repository/releases,none,free,PUBLIC_REPOSITORY_UPSTREAM_TERMS_REVIEW,DERIVED_PUBLIC_REPO_REVIEW,DERIVED_ONLY_OR_REVIEW,W06_CLASSIFIED_NOT_LEGAL_OPINION,W12_CATCHUP_TASK197
DS-0009,SRC-001,SportsDataverse/cfbfastR-cfb-data,adv_turnover,sportsdataverse,one row per team per game,reported columns=14,dataset-dependent,Historical game outputs require prior-game aggregation; mutable datasets require snapshot review,recon v1.2 expanded dataset inventory,CONFIRMED_W06,14,FIELD_REGISTRY_AVAILABLE,DO_NOT_INVENT_FIELDS,,SportsDataverse / cfbfastR,https://github.com/sportsdataverse/cfbfastR-cfb-data,bulk repository/releases,none,free,PUBLIC_REPOSITORY_UPSTREAM_TERMS_REVIEW,DERIVED_PUBLIC_REPO_REVIEW,DERIVED_ONLY_OR_REVIEW,W06_CLASSIFIED_NOT_LEGAL_OPINION,W12_CATCHUP_TASK197
DS-0010,SRC-001,SportsDataverse/cfbfastR-cfb-data,adv_drives,sportsdataverse,one row per team per game,reported columns=10,dataset-dependent,Historical game outputs require prior-game aggregation; mutable datasets require snapshot review,recon v1.2 expanded dataset inventory,CONFIRMED_W06,10,FIELD_REGISTRY_AVAILABLE,DO_NOT_INVENT_FIELDS,,SportsDataverse / cfbfastR,https://github.com/sportsdataverse/cfbfastR-cfb-data,bulk repository/releases,none,free,PUBLIC_REPOSITORY_UPSTREAM_TERMS_REVIEW,DERIVED_PUBLIC_REPO_REVIEW,DERIVED_ONLY_OR_REVIEW,W06_CLASSIFIED_NOT_LEGAL_OPINION,W12_CATCHUP_TASK197
DS-0011,SRC-001,SportsDataverse/cfbfastR-cfb-data,adv_situational,sportsdataverse,one row per team per game,reported columns=73,dataset-dependent,Historical game outputs require prior-game aggregation; mutable datasets require snapshot review,recon v1.2 expanded dataset inventory,CONFIRMED_W06,73,FIELD_REGISTRY_AVAILABLE,DO_NOT_INVENT_FIELDS,,SportsDataverse / cfbfastR,https://github.com/sportsdataverse/cfbfastR-cfb-data,bulk repository/releases,none,free,PUBLIC_REPOSITORY_UPSTREAM_TERMS_REVIEW,DERIVED_PUBLIC_REPO_REVIEW,DERIVED_ONLY_OR_REVIEW,W06_CLASSIFIED_NOT_LEGAL_OPINION,W12_CATCHUP_TASK197
