evidence_id,file,column,rows,non_null,missing,missing_pct,dtype_observed,evidence_kind,interpretation,promotion_use
MISS-0001,resources/samples/KNIGHT_2024_PUBLIC_FBS_FOOTBALL_SPEND_SAMPLE.csv,coverage_note,22,22,0,0.0,object,materialized_sample_or_curated_evidence,REPRESENTATIVE_SAMPLE_ONLY_NOT_POPULATION_STATISTIC,MEASURE_AGAIN_ON_MATERIALIZED_SOURCE_SNAPSHOT
MISS-0002,resources/samples/KNIGHT_2024_PUBLIC_FBS_FOOTBALL_SPEND_SAMPLE.csv,institution_or_benchmark,22,22,0,0.0,object,materialized_sample_or_curated_evidence,REPRESENTATIVE_SAMPLE_ONLY_NOT_POPULATION_STATISTIC,MEASURE_AGAIN_ON_MATERIALIZED_SOURCE_SNAPSHOT
MISS-0003,resources/samples/KNIGHT_2024_PUBLIC_FBS_FOOTBALL_SPEND_SAMPLE.csv,source,22,22,0,0.0,object,materialized_sample_or_curated_evidence,REPRESENTATIVE_SAMPLE_ONLY_NOT_POPULATION_STATISTIC,MEASURE_AGAIN_ON_MATERIALIZED_SOURCE_SNAPSHOT
MISS-0004,resources/samples/KNIGHT_2024_PUBLIC_FBS_FOOTBALL_SPEND_SAMPLE.csv,total_football_spending_usd_2024,22,22,0,0.0,int64,materialized_sample_or_curated_evidence,REPRESENTATIVE_SAMPLE_ONLY_NOT_POPULATION_STATISTIC,MEASURE_AGAIN_ON_MATERIALIZED_SOURCE_SNAPSHOT
MISS-0005,resources/samples/KNIGHT_TAMU_REAL_SAMPLE.csv,evidence_quality,14,14,0,0.0,object,materialized_sample_or_curated_evidence,REPRESENTATIVE_SAMPLE_ONLY_NOT_POPULATION_STATISTIC,MEASURE_AGAIN_ON_MATERIALIZED_SOURCE_SNAPSHOT
MISS-0006,resources/samples/KNIGHT_TAMU_REAL_SAMPLE.csv,fiscal_year,14,14,0,0.0,int64,materialized_sample_or_curated_evidence,REPRESENTATIVE_SAMPLE_ONLY_NOT_POPULATION_STATISTIC,MEASURE_AGAIN_ON_MATERIALIZED_SOURCE_SNAPSHOT
MISS-0007,resources/samples/KNIGHT_TAMU_REAL_SAMPLE.csv,metric,14,14,0,0.0,object,materialized_sample_or_curated_evidence,REPRESENTATIVE_SAMPLE_ONLY_NOT_POPULATION_STATISTIC,MEASURE_AGAIN_ON_MATERIALIZED_SOURCE_SNAPSHOT
MISS-0008,resources/samples/KNIGHT_TAMU_REAL_SAMPLE.csv,source,14,14,0,0.0,object,materialized_sample_or_curated_evidence,REPRESENTATIVE_SAMPLE_ONLY_NOT_POPULATION_STATISTIC,MEASURE_AGAIN_ON_MATERIALIZED_SOURCE_SNAPSHOT
MISS-0009,resources/samples/KNIGHT_TAMU_REAL_SAMPLE.csv,value_usd,14,14,0,0.0,int64,materialized_sample_or_curated_evidence,REPRESENTATIVE_SAMPLE_ONLY_NOT_POPULATION_STATISTIC,MEASURE_AGAIN_ON_MATERIALIZED_SOURCE_SNAPSHOT
MISS-0010,sportsdataverse/samples/real_game_401628455/REAL_SAMPLE_MANIFEST.csv,coverage,6,6,0,0.0,object,index_or_request_metadata,REPRESENTATIVE_SAMPLE_ONLY_NOT_POPULATION_STATISTIC,MEASURE_AGAIN_ON_MATERIALIZED_SOURCE_SNAPSHOT
MISS-0011,sportsdataverse/samples/real_game_401628455/REAL_SAMPLE_MANIFEST.csv,file,6,6,0,0.0,object,index_or_request_metadata,REPRESENTATIVE_SAMPLE_ONLY_NOT_POPULATION_STATISTIC,MEASURE_AGAIN_ON_MATERIALIZED_SOURCE_SNAPSHOT
MISS-0012,sportsdataverse/samples/real_game_401628455/REAL_SAMPLE_MANIFEST.csv,limitations,6,6,0,0.0,object,index_or_request_metadata,REPRESENTATIVE_SAMPLE_ONLY_NOT_POPULATION_STATISTIC,MEASURE_AGAIN_ON_MATERIALIZED_SOURCE_SNAPSHOT
MISS-0013,sportsdataverse/samples/real_game_401628455/REAL_SAMPLE_MANIFEST.csv,source,6,6,0,0.0,object,index_or_request_metadata,REPRESENTATIVE_SAMPLE_ONLY_NOT_POPULATION_STATISTIC,MEASURE_AGAIN_ON_MATERIALIZED_SOURCE_SNAPSHOT
MISS-0014,sportsdataverse/samples/real_game_401628455/REAL_SAMPLE_MANIFEST.csv,status,6,6,0,0.0,object,index_or_request_metadata,REPRESENTATIVE_SAMPLE_ONLY_NOT_POPULATION_STATISTIC,MEASURE_AGAIN_ON_MATERIALIZED_SOURCE_SNAPSHOT
MISS-0015,sportsdataverse/samples/real_game_401628455/betting_selected_real_fields.csv,game_id,1,1,0,0.0,int64,materialized_sample_or_curated_evidence,REPRESENTATIVE_SAMPLE_ONLY_NOT_POPULATION_STATISTIC,MEASURE_AGAIN_ON_MATERIALIZED_SOURCE_SNAPSHOT
MISS-0016,sportsdataverse/samples/real_game_401628455/betting_selected_real_fields.csv,game_spread,1,1,0,0.0,float64,materialized_sample_or_curated_evidence,REPRESENTATIVE_SAMPLE_ONLY_NOT_POPULATION_STATISTIC,MEASURE_AGAIN_ON_MATERIALIZED_SOURCE_SNAPSHOT
MISS-0017,sportsdataverse/samples/real_game_401628455/betting_selected_real_fields.csv,game_spread_available,1,1,0,0.0,bool,materialized_sample_or_curated_evidence,REPRESENTATIVE_SAMPLE_ONLY_NOT_POPULATION_STATISTIC,MEASURE_AGAIN_ON_MATERIALIZED_SOURCE_SNAPSHOT
MISS-0018,sportsdataverse/samples/real_game_401628455/betting_selected_real_fields.csv,home_favorite,1,1,0,0.0,bool,materialized_sample_or_curated_evidence,REPRESENTATIVE_SAMPLE_ONLY_NOT_POPULATION_STATISTIC,MEASURE_AGAIN_ON_MATERIALIZED_SOURCE_SNAPSHOT
MISS-0019,sportsdataverse/samples/real_game_401628455/betting_selected_real_fields.csv,home_team_spread,1,1,0,0.0,float64,materialized_sample_or_curated_evidence,REPRESENTATIVE_SAMPLE_ONLY_NOT_POPULATION_STATISTIC,MEASURE_AGAIN_ON_MATERIALIZED_SOURCE_SNAPSHOT
MISS-0020,sportsdataverse/samples/real_game_401628455/betting_selected_real_fields.csv,odds_source,1,0,1,100.0,float64,materialized_sample_or_curated_evidence,REPRESENTATIVE_SAMPLE_ONLY_NOT_POPULATION_STATISTIC,MEASURE_AGAIN_ON_MATERIALIZED_SOURCE_SNAPSHOT
MISS-0021,sportsdataverse/samples/real_game_401628455/betting_selected_real_fields.csv,over_under,1,1,0,0.0,float64,materialized_sample_or_curated_evidence,REPRESENTATIVE_SAMPLE_ONLY_NOT_POPULATION_STATISTIC,MEASURE_AGAIN_ON_MATERIALIZED_SOURCE_SNAPSHOT
MISS-0022,sportsdataverse/samples/real_game_401628455/betting_selected_real_fields.csv,season,1,1,0,0.0,int64,materialized_sample_or_curated_evidence,REPRESENTATIVE_SAMPLE_ONLY_NOT_POPULATION_STATISTIC,MEASURE_AGAIN_ON_MATERIALIZED_SOURCE_SNAPSHOT
MISS-0023,sportsdataverse/samples/real_game_401628455/betting_selected_real_fields.csv,week,1,1,0,0.0,int64,materialized_sample_or_curated_evidence,REPRESENTATIVE_SAMPLE_ONLY_NOT_POPULATION_STATISTIC,MEASURE_AGAIN_ON_MATERIALIZED_SOURCE_SNAPSHOT
MISS-0024,sportsdataverse/samples/real_game_401628455/linescores_real_rows.csv,game_id,8,8,0,0.0,int64,materialized_sample_or_curated_evidence,REPRESENTATIVE_SAMPLE_ONLY_NOT_POPULATION_STATISTIC,MEASURE_AGAIN_ON_MATERIALIZED_SOURCE_SNAPSHOT
MISS-0025,sportsdataverse/samples/real_game_401628455/linescores_real_rows.csv,period,8,8,0,0.0,int64,materialized_sample_or_curated_evidence,REPRESENTATIVE_SAMPLE_ONLY_NOT_POPULATION_STATISTIC,MEASURE_AGAIN_ON_MATERIALIZED_SOURCE_SNAPSHOT
MISS-0026,sportsdataverse/samples/real_game_401628455/linescores_real_rows.csv,season,8,8,0,0.0,int64,materialized_sample_or_curated_evidence,REPRESENTATIVE_SAMPLE_ONLY_NOT_POPULATION_STATISTIC,MEASURE_AGAIN_ON_MATERIALIZED_SOURCE_SNAPSHOT
MISS-0027,sportsdataverse/samples/real_game_401628455/linescores_real_rows.csv,team_abbreviation,8,8,0,0.0,object,materialized_sample_or_curated_evidence,REPRESENTATIVE_SAMPLE_ONLY_NOT_POPULATION_STATISTIC,MEASURE_AGAIN_ON_MATERIALIZED_SOURCE_SNAPSHOT
MISS-0028,sportsdataverse/samples/real_game_401628455/linescores_real_rows.csv,team_id,8,8,0,0.0,int64,materialized_sample_or_curated_evidence,REPRESENTATIVE_SAMPLE_ONLY_NOT_POPULATION_STATISTIC,MEASURE_AGAIN_ON_MATERIALIZED_SOURCE_SNAPSHOT
MISS-0029,sportsdataverse/samples/real_game_401628455/linescores_real_rows.csv,value,8,8,0,0.0,int64,materialized_sample_or_curated_evidence,REPRESENTATIVE_SAMPLE_ONLY_NOT_POPULATION_STATISTIC,MEASURE_AGAIN_ON_MATERIALIZED_SOURCE_SNAPSHOT
