control_id,title,domain,evidence_mode,owner_wave,blocking_scope,release_blocking,current_status,criterion,threshold_refs
AC-001,Prior-wave pair binding,program,STATIC,W01-W25,PROGRAM_GATE,True,PASS_W04,Exact cumulative SHA/next-wave/project identity verifies before mutation,
AC-002,Cumulative repository integrity,packaging,STATIC,W01-W25,PACK_GATE,True,PASS_W04,"Manifest/hash coverage, safe paths, no unexplained disappearance, deterministic cumulative packaging",
AC-003,Governance ID and traceability integrity,governance,STATIC,W01-W25,PACK_GATE,True,PASS_W04,REQ/ADR/RISK/acceptance IDs are unique and traceability coverage is exact,
AC-004,Secret and forbidden-artifact gate,security,STATIC,W01-W25,PACK_GATE,True,PASS_W23_REFERENCE,"Secret patterns, forbidden artifacts and oversized repository payloads yield zero unresolved blocking findings",
AC-005,Architecture conformance,architecture,STATIC,W03+,MERGE_GATE,True,PASS_W04,Accepted dependency/plane/PIT/serving/live architecture rules validate,
AC-006,Constraint classification audit integrity,governance,REVIEW,W04+,GOVERNANCE_GATE,True,PASS_W04,All requirements have explicit A/B/C class and revisions preserve stable IDs/history,
AC-007,Acceptance registry integrity,acceptance,STATIC,W04+,PACK_GATE,True,PASS_W04,Every requirement/ADR/risk maps to valid acceptance controls and threshold references,
AC-008,Immutable raw evidence and hashes,data,INTEGRATION,W07+,DATA_RELEASE,True,DEFINED_PENDING_OWNER,Raw payloads/files are preserved unchanged with retrieval metadata/hashes,
AC-009,Source contract validation,data,CONTRACT,W06-W09,DATA_RELEASE,True,DEFINED_PENDING_OWNER,Source/schema/grain/unit contracts reject or quarantine material violations,THR-013
AC-010,Canonical provenance completeness,data governance,INTEGRATION,W07+,DATA_RELEASE,True,CONTRACT_VERIFIED_W07_IMPLEMENTATION_PENDING_W19,Canonical records retain source IDs/evidence/transform/time/quality lineage,
AC-011,PIT known-at gateway,temporal,TEMPORAL_REPLAY,W08+,DATA_MODEL_RELEASE,True,PASS_W08_CONTRACT_SYNTHETIC_REAL_DATA_PENDING,Mutable observations are eligible only when known-at/effective/publication/retrieval rules prove availability at cutoff,
AC-012,Future-information leakage battery,temporal,TEMPORAL_REPLAY,W08+,MODEL_PROMOTION,True,PASS_W08_CONTRACT_SYNTHETIC_REAL_DATA_PENDING,Protected historical replay finds no use of information unavailable at the forecast timestamp,
AC-013,Weather snapshot temporal safety,temporal,TEMPORAL_REPLAY,W08+,MODEL_PROMOTION,True,PASS_W08_CONTRACT_SYNTHETIC_REAL_DATA_PENDING,"Earlier forecasts use forecast evidence available then, not later observed weather",
AC-014,Market snapshot temporal safety,temporal,TEMPORAL_REPLAY,W08+,MODEL_PROMOTION,True,PASS_W08_CONTRACT_SYNTHETIC_REAL_DATA_PENDING,Market lane uses provider observations known by forecast cutoff and never leaks closing/future line,
AC-015,Roster/staff/availability snapshot temporal safety,temporal,TEMPORAL_REPLAY,W08-W12,MODEL_PROMOTION,True,PASS_W08_CONTRACT_SYNTHETIC_REAL_DATA_PENDING,Roster/depth/staff/injury observations are effective-dated and as-of safe,
AC-016,Future NFL Draft information ban,temporal,TEMPORAL_REPLAY,W08-W12,MODEL_PROMOTION,True,PASS_W08_CONTRACT_SYNTHETIC_REAL_DATA_PENDING,Historical features contain no eventual draft outcomes unavailable at the historical cutoff,
AC-017,Entity resolution confidence/review,data governance,INTEGRATION,W07+,DATA_RELEASE,True,CONTRACT_VERIFIED_W07_LABELED_EVAL_PENDING_W19,Ambiguous entity mappings retain candidates/confidence and follow explicit auto-accept/review policy,THR-008
AC-018,Canonical-game split safety,validation,UNIT_REPLAY,W08-W17,MODEL_PROMOTION,True,DEFINED_PENDING_OWNER,All representations of a canonical game remain within one split and edge-case policy is enforced,
AC-019,Versioned label semantics,data governance,CONTRACT,W08+,MODEL_PROMOTION,True,DEFINED_PENDING_OWNER,Labels and revisions preserve version/source/cutoff semantics and cannot silently rewrite experiment history,
AC-020,Data quality quarantine and degraded mode,data governance,INTEGRATION,W07+,DATA_RELEASE,True,DEFINED_PENDING_OWNER,Invalid data is quarantined; missing critical sources follow explicit fallback/degraded/suppress policy,THR-009;THR-013
AC-021,Feature lifecycle evidence gate,features,SCIENTIFIC,W10+,FEATURE_PROMOTION,True,PASS_W10_CONTRACT_EMPIRICAL_PENDING,"Production feature promotion requires PIT safety, data quality, walk-forward evidence, ablation/stability and target-specific value",THR-007
AC-022,Strong baseline presence,modeling,SCIENTIFIC,W16-W17,MODEL_PROMOTION,True,PASS_W17_PROTOCOL_REAL_RESULTS_PENDING,Candidate champions are compared against declared simple/reproducible baselines,
AC-023,Chronological walk-forward evaluation,validation,SCIENTIFIC,W17+,MODEL_PROMOTION,True,PASS_W17_PROTOCOL_REAL_RESULTS_PENDING,Evaluation uses protected chronological folds/subgroups appropriate to intended forecast use,
AC-024,Protected-test seal,validation,GOVERNANCE_SCIENCE,W17+,MODEL_PROMOTION,True,PASS_W17_PROTOCOL_SEALED,Protected test windows and promotion criteria are fixed before result inspection and not reused as tuning feedback,
AC-025,Probability calibration acceptance,modeling,SCIENTIFIC,W16-W17,MODEL_PROMOTION,True,PASS_W17_PROTOCOL_THRESHOLDS_RESULTS_PENDING,Probability forecasts meet evidence-backed calibration/proper-scoring criteria on protected validation,THR-001;THR-002;THR-003
AC-026,Cross-target forecast coherence,modeling,UNIT_SCIENCE,W16+,MODEL_PROMOTION,True,DEFINED_PENDING_OWNER,"Score, margin, win, cover and BAS-related distributions are mathematically/statistically coherent",
AC-027,Uncertainty and OOD validation,modeling,SCIENTIFIC,W16-W17,MODEL_PROMOTION,True,PASS_W17_PROTOCOL_THRESHOLDS_RESULTS_PENDING,Uncertainty/OOD behavior is validated for coverage/calibration and does not inject unvalidated directional bias,THR-014;THR-015
AC-028,BAS leakage-safe cross-fit label,BAS,TEMPORAL_SCIENCE,W15-W17,MODEL_PROMOTION,True,DEFINED_PENDING_OWNER,Historical BAS expected margin is strictly pregame/out-of-sample/cross-fitted or equivalent,
AC-029,BAS significance stability anti-circularity,BAS,SCIENTIFIC,W15-W17,FEATURE_MODEL_PROMOTION,True,PASS_W17_PROTOCOL_REAL_RESULTS_PENDING,Aggie-specific BAS claims survive regime/peer/stability/significance/anti-circularity tests or are rejected,THR-006
AC-030,A&M specialization null/shrinkage acceptance,TAMU,SCIENTIFIC,W14-W17,MODEL_PROMOTION,True,PASS_W17_PROTOCOL_REAL_RESULTS_PENDING,Specialization architecture permits no-adjustment/shrinkage and must demonstrate incremental protected value before promotion,THR-005
AC-031,Champion/challenger promotion gate,MLOps,GOVERNANCE_SCIENCE,W17-W21,MODEL_PROMOTION,True,PASS_W17_REFERENCE_GATE_REAL_RESULTS_PENDING,No model/feature self-promotes; versioned protected criteria decide promotion/rejection/rollback,THR-001;THR-002;THR-003;THR-004
AC-032,Research-agent protection,research,STATIC_INTEGRATION,W18+,RESEARCH_TO_PROD_GATE,True,PASS_W18_REFERENCE_GATE,Research/LLM plane cannot mutate protected judging rules or production champion state outside promotion interface,
AC-033,Forecast lineage replay,reproducibility,REPLAY,W16-W23,FORECAST_PUBLICATION,True,PASS_W22_FUNCTIONAL_STARTER_SYNTHETIC_REPLAY_REAL_HISTORICAL_PENDING,Historical published forecast can be reconstructed/explained from immutable model/config/feature/data lineage,
AC-034,Environment/config capture,reproducibility,STATIC_INTEGRATION,W20-W23,MODEL_FORECAST_RELEASE,True,PASS_W23_RUNTIME_MANIFEST_REFERENCE,Runtime/package/config versions required for training/evaluation/forecast are recorded,
AC-035,Stochastic reproducibility record,reproducibility,UNIT_REPLAY,W16+,MODEL_PROMOTION,True,DEFINED_PENDING_OWNER,Seeds/sampling config/runtime version are persisted for stochastic processes; irreducible nondeterminism is declared,
AC-036,Resumable/idempotent batch behavior,operations,INTEGRATION,W19-W21,OPERATIONS_GATE,False,PASS_W21_FUNCTIONAL_STARTER,Interrupted safe stages can resume/retry without silently duplicating or corrupting immutable state,
