adr_id,acceptance_control_ids,status,notes
ADR-001,AC-047;AC-030,MAPPED,W04 acceptance traceability; owning-wave evidence remains separate from ADR acceptance.
ADR-002,AC-028;AC-029,MAPPED,W04 acceptance traceability; owning-wave evidence remains separate from ADR acceptance.
ADR-003,AC-032,MAPPED,W04 acceptance traceability; owning-wave evidence remains separate from ADR acceptance.
ADR-004,AC-003;AC-005,MAPPED,W04 acceptance traceability; owning-wave evidence remains separate from ADR acceptance.
ADR-005,AC-005,MAPPED,W04 acceptance traceability; owning-wave evidence remains separate from ADR acceptance.
ADR-006,AC-033;AC-046,MAPPED,W04 acceptance traceability; owning-wave evidence remains separate from ADR acceptance.
ADR-007,AC-003;AC-005,MAPPED,W04 acceptance traceability; owning-wave evidence remains separate from ADR acceptance.
ADR-008,AC-011;AC-012,MAPPED,W04 acceptance traceability; owning-wave evidence remains separate from ADR acceptance.
ADR-009,AC-003;AC-005,MAPPED,W04 acceptance traceability; owning-wave evidence remains separate from ADR acceptance.
ADR-010,AC-003;AC-005,MAPPED,W04 acceptance traceability; owning-wave evidence remains separate from ADR acceptance.
ADR-011,AC-005,MAPPED,W04 acceptance traceability; owning-wave evidence remains separate from ADR acceptance.
ADR-012,AC-003;AC-005,MAPPED,W04 acceptance traceability; owning-wave evidence remains separate from ADR acceptance.
ADR-013,AC-028;AC-029,MAPPED,W04 acceptance traceability; owning-wave evidence remains separate from ADR acceptance.
ADR-014,AC-014,MAPPED,W04 acceptance traceability; owning-wave evidence remains separate from ADR acceptance.
ADR-015,AC-003;AC-005,MAPPED,W04 acceptance traceability; owning-wave evidence remains separate from ADR acceptance.
ADR-016,AC-028;AC-029,MAPPED,W04 acceptance traceability; owning-wave evidence remains separate from ADR acceptance.
ADR-017,AC-032,MAPPED,W04 acceptance traceability; owning-wave evidence remains separate from ADR acceptance.
ADR-018,AC-003;AC-005,MAPPED,W04 acceptance traceability; owning-wave evidence remains separate from ADR acceptance.
ADR-019,AC-032,MAPPED,W04 acceptance traceability; owning-wave evidence remains separate from ADR acceptance.
ADR-020,AC-002,MAPPED,W04 acceptance traceability; owning-wave evidence remains separate from ADR acceptance.
ADR-021,AC-003;AC-005,MAPPED,W04 acceptance traceability; owning-wave evidence remains separate from ADR acceptance.
ADR-022,AC-002,MAPPED,W04 acceptance traceability; owning-wave evidence remains separate from ADR acceptance.
ADR-023,AC-002,MAPPED,W04 acceptance traceability; owning-wave evidence remains separate from ADR acceptance.
ADR-024,AC-002,MAPPED,W04 acceptance traceability; owning-wave evidence remains separate from ADR acceptance.
ADR-025,AC-032,MAPPED,W04 acceptance traceability; owning-wave evidence remains separate from ADR acceptance.
ADR-026,AC-003;AC-005,MAPPED,W04 acceptance traceability; owning-wave evidence remains separate from ADR acceptance.
ADR-027,AC-003;AC-005,MAPPED,W04 acceptance traceability; owning-wave evidence remains separate from ADR acceptance.
ADR-028,AC-003;AC-005,MAPPED,W04 acceptance traceability; owning-wave evidence remains separate from ADR acceptance.
ADR-029,AC-021,MAPPED,W04 acceptance traceability; owning-wave evidence remains separate from ADR acceptance.
ADR-030,AC-014,MAPPED,W04 acceptance traceability; owning-wave evidence remains separate from ADR acceptance.
ADR-031,AC-005,MAPPED,W04 acceptance traceability; owning-wave evidence remains separate from ADR acceptance.
ADR-032,AC-028;AC-029,MAPPED,W04 acceptance traceability; owning-wave evidence remains separate from ADR acceptance.
ADR-033,AC-028;AC-029,MAPPED,W04 acceptance traceability; owning-wave evidence remains separate from ADR acceptance.
ADR-034,AC-002,MAPPED,W04 acceptance traceability; owning-wave evidence remains separate from ADR acceptance.
ADR-035,AC-002,MAPPED,W04 acceptance traceability; owning-wave evidence remains separate from ADR acceptance.
ADR-036,AC-003;AC-005,MAPPED,W04 acceptance traceability; owning-wave evidence remains separate from ADR acceptance.
ADR-037,AC-003;AC-005,MAPPED,W04 acceptance traceability; owning-wave evidence remains separate from ADR acceptance.
ADR-038,AC-005,MAPPED,W04 acceptance traceability; owning-wave evidence remains separate from ADR acceptance.
ADR-039,AC-003;AC-005,MAPPED,W04 acceptance traceability; owning-wave evidence remains separate from ADR acceptance.
ADR-040,AC-005,MAPPED,W04 acceptance traceability; owning-wave evidence remains separate from ADR acceptance.
ADR-041,AC-033;AC-046,MAPPED,W04 acceptance traceability; owning-wave evidence remains separate from ADR acceptance.
ADR-042,AC-038,MAPPED,W04 acceptance traceability; owning-wave evidence remains separate from ADR acceptance.
ADR-043,AC-038,MAPPED,W04 acceptance traceability; owning-wave evidence remains separate from ADR acceptance.
ADR-044,AC-003;AC-005,MAPPED,W04 acceptance traceability; owning-wave evidence remains separate from ADR acceptance.
ADR-045,AC-011;AC-012,MAPPED,W04 acceptance traceability; owning-wave evidence remains separate from ADR acceptance.
ADR-046,AC-047;AC-030,MAPPED,W04 acceptance traceability; owning-wave evidence remains separate from ADR acceptance.
ADR-047,AC-028;AC-029,MAPPED,W04 acceptance traceability; owning-wave evidence remains separate from ADR acceptance.
ADR-048,AC-032,MAPPED,W04 acceptance traceability; owning-wave evidence remains separate from ADR acceptance.
ADR-049,AC-011;AC-012,MAPPED,W04 acceptance traceability; owning-wave evidence remains separate from ADR acceptance.
ADR-050,AC-011;AC-012,MAPPED,W04 acceptance traceability; owning-wave evidence remains separate from ADR acceptance.
ADR-051,AC-021,MAPPED,W04 acceptance traceability; owning-wave evidence remains separate from ADR acceptance.
ADR-052,AC-033;AC-046,MAPPED,W04 acceptance traceability; owning-wave evidence remains separate from ADR acceptance.
ADR-053,AC-005,MAPPED,W04 acceptance traceability; owning-wave evidence remains separate from ADR acceptance.
ADR-054,AC-005,MAPPED,W04 acceptance traceability; owning-wave evidence remains separate from ADR acceptance.
ADR-055,AC-006;AC-007,MAPPED,W04 acceptance traceability; owning-wave evidence remains separate from ADR acceptance.
ADR-056,AC-007,MAPPED,W04 acceptance traceability; owning-wave evidence remains separate from ADR acceptance.
ADR-057,AC-007,MAPPED,W04 acceptance traceability; owning-wave evidence remains separate from ADR acceptance.
ADR-058,AC-011;AC-012,MAPPED,W04 acceptance traceability; owning-wave evidence remains separate from ADR acceptance.
ADR-059,AC-024;AC-031,MAPPED,W04 acceptance traceability; owning-wave evidence remains separate from ADR acceptance.
ADR-060,AC-007,MAPPED,W04 acceptance traceability; owning-wave evidence remains separate from ADR acceptance.
ADR-061,AC-032,MAPPED,W04 acceptance traceability; owning-wave evidence remains separate from ADR acceptance.
ADR-062,AC-021,MAPPED,W04 acceptance traceability; owning-wave evidence remains separate from ADR acceptance.
ADR-063,AC-038,MAPPED,W04 acceptance traceability; owning-wave evidence remains separate from ADR acceptance.
ADR-064,AC-007,MAPPED,W04 acceptance traceability; owning-wave evidence remains separate from ADR acceptance.
ADR-065,AC-049,MAPPED,W05 backlog/implementation-plan traceability; later owner-wave evidence remains separate.
ADR-066,AC-049;AC-055,MAPPED,W05 backlog/implementation-plan traceability; later owner-wave evidence remains separate.
ADR-067,AC-050;AC-054,MAPPED,W05 backlog/implementation-plan traceability; later owner-wave evidence remains separate.
ADR-068,AC-056,MAPPED,W05 backlog/implementation-plan traceability; later owner-wave evidence remains separate.
ADR-069,AC-054,MAPPED,W05 backlog/implementation-plan traceability; later owner-wave evidence remains separate.
ADR-070,AC-053,MAPPED,W05 backlog/implementation-plan traceability; later owner-wave evidence remains separate.
ADR-071,AC-053,MAPPED,W05 backlog/implementation-plan traceability; later owner-wave evidence remains separate.
ADR-072,AC-051,MAPPED,W05 backlog/implementation-plan traceability; later owner-wave evidence remains separate.
ADR-073,AC-052,MAPPED,W05 backlog/implementation-plan traceability; later owner-wave evidence remains separate.
ADR-074,AC-051,MAPPED,W05 backlog/implementation-plan traceability; later owner-wave evidence remains separate.
ADR-075,AC-051;AC-056,MAPPED,W05 backlog/implementation-plan traceability; later owner-wave evidence remains separate.
ADR-076,AC-053;AC-055,MAPPED,W05 backlog/implementation-plan traceability; later owner-wave evidence remains separate.
ADR-077,AC-015;AC-059,MAPPED,W06 source-research decision; later implementation/scientific evidence remains separate.
ADR-078,AC-013;AC-059,MAPPED,W06 source-research decision; later implementation/scientific evidence remains separate.
ADR-079,AC-014;AC-043;AC-059,MAPPED,W06 source-research decision; later implementation/scientific evidence remains separate.
ADR-080,AC-009;AC-020;AC-058,MAPPED,W06 source-research decision; later implementation/scientific evidence remains separate.
ADR-081,AC-011;AC-019;AC-059,MAPPED,W06 source-research decision; later implementation/scientific evidence remains separate.
ADR-082,AC-010;AC-058;AC-059,MAPPED,W06 source-research decision; later implementation/scientific evidence remains separate.
ADR-083,AC-043;AC-058,MAPPED,W06 source-research decision; later implementation/scientific evidence remains separate.
ADR-084,AC-020;AC-043;AC-059,MAPPED,W06 source-research decision; later implementation/scientific evidence remains separate.
ADR-085,AC-005;AC-046,MAPPED,W06 source-research decision; later implementation/scientific evidence remains separate.
ADR-086,AC-008;AC-011;AC-015,MAPPED,W06 source-research decision; later implementation/scientific evidence remains separate.
ADR-087,AC-053;AC-057;AC-060,MAPPED,W06 source-research decision; later implementation/scientific evidence remains separate.
ADR-088,AC-043;AC-059,MAPPED,W06 source-research decision; later implementation/scientific evidence remains separate.
ADR-089,AC-061,MAPPED,W07 entity architecture decision; implementation/labeled evidence remains separate where specified.
ADR-090,AC-062;AC-064,MAPPED,W07 entity architecture decision; implementation/labeled evidence remains separate where specified.
ADR-091,AC-062,MAPPED,W07 entity architecture decision; implementation/labeled evidence remains separate where specified.
ADR-092,AC-017;AC-063,MAPPED,W07 entity architecture decision; implementation/labeled evidence remains separate where specified.
ADR-093,AC-061;AC-062,MAPPED,W07 entity architecture decision; implementation/labeled evidence remains separate where specified.
