source_id,owner,dataset,url,ownership_class,access_method,authentication,cost,terms_or_license,redistribution,attribution,public_repository_suitability,local_only_recommendation,review_status,notes
SRC-001,SportsDataverse / cfbfastR,cfbfastR-cfb-data,https://github.com/sportsdataverse/cfbfastR-cfb-data,NONOFFICIAL_DERIVED,bulk repository/releases,none,free,PUBLIC_REPOSITORY_UPSTREAM_TERMS_REVIEW,DERIVED_PUBLIC_REPO_REVIEW,source-specific,DERIVED_ONLY_OR_REVIEW,YES,W06_CLASSIFIED_NOT_LEGAL_OPINION,"Current repo documents ~19 primary dataset families and ~928 columns; many feeds are derived from ESPN/raw upstream sources, so upstream provenance/rights must remain explicit."
SRC-002,Rad Sports Analytics / CollegeFootballData,CollegeFootballData API,https://api.collegefootballdata.com/,NONOFFICIAL_AGGREGATOR,REST; exporter; GraphQL tiers,API key,free + paid tiers,TERMS_GOVERNED_API,TERMS_REVIEW_REQUIRED,source-specific,DERIVED_ONLY_OR_REVIEW,NO,W06_CLASSIFIED_NOT_LEGAL_OPINION,"Current Swagger v5.17.0 exposes games, PBP, drives, portal, recruiting, ratings, betting, draft, advanced metrics and live endpoints. Tier/terms are current and must be snapshot-recorded."
SRC-003,Open-Meteo,Historical Weather / Historical Forecast,https://open-meteo.com/en/docs/historical-weather-api,NONOFFICIAL_WEATHER_AGGREGATOR,REST API,none/customer API key for paid,free noncommercial + paid commercial,CC_BY_4_0_DATA_PLUS_API_TERMS,ATTRIBUTION_AND_PLAN_REVIEW,source-specific,DERIVED_ONLY_OR_REVIEW,NO,W06_CLASSIFIED_NOT_LEGAL_OPINION,Observed/reanalysis must never substitute for an earlier forecast snapshot.
SRC-004,Knight Commission / Newhouse,College Athletics Database,https://www.knightnewhousedata.org/,NONOFFICIAL_CURATED,web/custom reporting,none,free,REVIEW_TERMS,REVIEW_REQUIRED,source-specific,DERIVED_ONLY_OR_REVIEW,NO,W06_CLASSIFIED_NOT_LEGAL_OPINION,"Useful for program-level resource context, not direct private-school football spending reconstruction."
SRC-005,Official school athletics sites,rosters/schedules/game notes/media guides,school-specific,OFFICIAL,HTML/PDF/download,none,free,REVIEW_TERMS,REVIEW_REQUIRED,source-specific,DERIVED_ONLY_OR_REVIEW,NO,W06_CLASSIFIED_NOT_LEGAL_OPINION,Archive every retrieval/publication version; do not infer historical visibility from current edited page.
SRC-006,PFF,College football premium grades/data,https://www.pff.com/college,NONOFFICIAL_COMMERCIAL,licensed product,subscription/license,paid,REVIEW_TERMS,REVIEW_REQUIRED,source-specific,DERIVED_ONLY_OR_REVIEW,NO,W06_CLASSIFIED_NOT_LEGAL_OPINION,Explicitly deferred by project governance unless user reactivates. No implementation dependency.
SRC-007,U.S. Department of Education,EADA athletics data,https://ope.ed.gov/athletics/,OFFICIAL_GOVERNMENT,bulk/custom download,none,free,US_GOV_PUBLIC_DATA_TERMS,PUBLIC_DATA_WITH_PROVENANCE,source-specific,GENERALLY_YES_WITH_PROVENANCE,NO,W06_CLASSIFIED_NOT_LEGAL_OPINION,
SRC-008,U.S. Department of Education / NCES,IPEDS,https://nces.ed.gov/ipeds/use-the-data,OFFICIAL_GOVERNMENT,bulk download/API tools,none,free,US_GOV_PUBLIC_DATA_TERMS,PUBLIC_DATA_WITH_PROVENANCE,source-specific,GENERALLY_YES_WITH_PROVENANCE,NO,W06_CLASSIFIED_NOT_LEGAL_OPINION,
SRC-009,Texas A&M Athletics,A&M roster/schedule/stats/archive,https://12thman.com/sports/football,OFFICIAL,HTML/PDF,none,free,REVIEW_TERMS,REVIEW_REQUIRED,source-specific,DERIVED_ONLY_OR_REVIEW,NO,W06_CLASSIFIED_NOT_LEGAL_OPINION,
SRC-010,National College Football Awards Association,award watch lists/calendar,https://collegefootballawards.com/,OFFICIAL_ORGANIZATION,HTML/news releases,none,free,REVIEW_TERMS,REVIEW_REQUIRED,source-specific,DERIVED_ONLY_OR_REVIEW,NO,W06_CLASSIFIED_NOT_LEGAL_OPINION,
