requirement_id,title,status,category,constraint_class,historical_task_ids,post_wave_issue_ids,mapping_disposition,source_ref_id,mapped
REQ-001,Exactly 25 controlled waves,ACTIVE,program,A,TASK-185;TASK-186;TASK-187;TASK-188;TASK-189,POST-SUBTASK-141,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00235,true
REQ-002,One wave per user turn,ACTIVE,program,A,TASK-187,POST-SUBTASK-141,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00236,true
REQ-003,Two principal ZIPs every wave,ACTIVE,packaging,A,TASK-186,POST-SUBTASK-141,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00237,true
REQ-004,Single cumulative canonical repository,ACTIVE,packaging,A,TASK-186,POST-SUBTASK-141,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00238,true
REQ-005,Hydration state for fresh-session recovery,ACTIVE,packaging,A,TASK-186,POST-SUBTASK-141,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00239,true
REQ-006,Hydration-to-cumulative pack binding,ACTIVE,packaging,A,TASK-186,POST-SUBTASK-141,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00240,true
REQ-007,Never rebuild from memory when prior repo exists,ACTIVE,program,A,TASK-187,POST-SUBTASK-078,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00241,true
REQ-008,Preserve cumulative integrity and change history,ACTIVE,program,A,TASK-187,POST-SUBTASK-141,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00242,true
REQ-009,Adaptive source-of-truth precedence,ACTIVE,governance,A,TASK-187,POST-SUBTASK-141,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00243,true
REQ-010,Start-of-wave adaptive review,ACTIVE,program,A,TASK-187,POST-SUBTASK-141,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00244,true
REQ-011,End-of-wave improvement review,ACTIVE,program,A,TASK-187,POST-SUBTASK-141,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00245,true
REQ-012,Evidence-backed architecture changes,ACTIVE,governance,A,TASK-187,POST-SUBTASK-141,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00246,true
REQ-013,No cargo-cult technology adoption,ACTIVE,architecture,A,TASK-187,POST-SUBTASK-141,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00247,true
REQ-014,Strong defaults are revisable,DEFAULT,governance,B,TASK-187,POST-SUBTASK-141,PRESERVED_WITH_POST_WAVE_GOVERNANCE_MAPPING,SRCREF-00248,true
REQ-015,Open hypotheses require empirical survival,HYPOTHESIS_RULE,governance,C,TASK-187,POST-SUBTASK-078,PRESERVED_WITH_POST_WAVE_GOVERNANCE_MAPPING,SRCREF-00249,true
REQ-016,Honest implementation status,ACTIVE,governance,A,TASK-187,POST-SUBTASK-123,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00250,true
REQ-017,Use professional defaults for minor ambiguity,ACTIVE,program,A,TASK-187,POST-SUBTASK-141,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00251,true
REQ-018,No secrets in artifacts,ACTIVE,security,A,TASK-187,POST-SUBTASK-132,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00252,true
REQ-019,Research agent cannot alter judging rules,ACTIVE,governance,A,TASK-134;TASK-135;TASK-136;TASK-137;TASK-138;TASK-139,POST-SUBTASK-096,ONGOING_ENFORCEMENT_OR_IMPLEMENTATION,SRCREF-00253,true
