source_id,baseline_source_id,owner,dataset_or_surface,domain,w24_change,status,project_role,independent_corroboration,point_in_time_role,access_governance,official_url,evidence_checked_utc,notes
SRC-002,SRC-002,CollegeFootballData,REST API + 2026 downloadable/modeling products,multi-domain,REFINED,PRIMARY,PRIMARY_AGGREGATOR,YES_WITH_UPSTREAM_CAUTION,DIRECT_OR_SNAPSHOT_BY_ENDPOINT,"API key/tier and current terms govern automated use",https://collegefootballdata.com/,2026-08-09T00:30:00Z,"Current API and 2026 workflows remain active; no W24 evidence of a breaking replacement. Preserve endpoint/schema snapshotting."
SRC-001,SRC-001,SportsDataverse,cfbfastR-cfb-data,game/pbp/team/player,REFINED,PRIMARY,DERIVED_ANALYSIS_DATA,NO,POSTGAME_OR_SNAPSHOT_BY_DATASET,"Open repository; upstream/redistribution rights remain source-specific",https://github.com/sportsdataverse/cfbfastR-cfb-data,2026-08-09T00:30:00Z,"Repository now explicitly documents that analysis-ready tables are rectangularized from enriched final JSON in cfbfastR-cfb-raw. Do not count sibling layers as independent evidence."
SRC-061,,SportsDataverse,cfbfastR-cfb-raw,game/pbp/upstream provenance,NEW,VALIDATION,UPSTREAM_PROVENANCE,NO,POSTGAME_OR_SNAPSHOT_BY_CAPTURE,"Open repository; ESPN/upstream terms and redistribution remain separately governed",https://github.com/sportsdataverse/cfbfastR-cfb-raw,2026-08-09T00:30:00Z,"Raw + enriched per-game JSON upstream of cfbfastR-cfb-data. Useful for replay diagnostics/provenance and reprocessing, not independent corroboration."
SRC-003,SRC-003,Open-Meteo,Historical Forecast / Previous Runs / Single Runs,weather,REFINED,SECONDARY,FORECAST_RECONSTRUCTION,YES,DIRECT_PREGAME_SAFE_WHEN_RUN_SEMANTICS_CAPTURED,"Free endpoint is non-commercial; commercial customer use requires an eligible paid plan; historical/ensemble customer APIs require Professional or higher",https://open-meteo.com/en/features,2026-08-09T00:30:00Z,"Historical forecast layers remain valuable. Capture model/run initialization and retrieval evidence; do not substitute observed weather for an earlier forecast."
SRC-062,,Open-Meteo,Ensemble Mean API,weather uncertainty,NEW,RESEARCH_ONLY,WEATHER_UNCERTAINTY_CANDIDATE,YES,CURRENT_OR_RECENT_PREGAME_ONLY,"Free non-commercial or eligible paid plan; historical/ensemble customer access requires Professional or higher",https://open-meteo.com/en/docs/ensemble-mean-api,2026-08-09T00:30:00Z,"Mean and spread are stored for an extended period, mostly since March 2026. Valuable forward uncertainty candidate but too shallow to become a mandatory long-history feature."
SRC-017,SRC-017,Southeastern Conference,Football Student-Athlete Availability Reports,availability,UNCHANGED,PRIMARY,TAMU_AVAILABILITY_PRIMARY,YES,DIRECT_PREGAME_SAFE_BY_REPORT_VERSION,"Official public reports; archive/redistribution terms still require source-specific review",https://www.secsports.com/fbreports,2026-08-09T00:30:00Z,"Fall 2026 reporting surface remains active. Preserve each published version and final pregame update."
SRC-019,SRC-019,Atlantic Coast Conference,Football Student-Athlete Availability Reporting,availability,UNCHANGED,SECONDARY,OFFICIAL_CONFERENCE_AVAILABILITY,YES,DIRECT_PREGAME_SAFE_BY_REPORT_VERSION,"Official public reports; source-specific terms",https://theacc.com/sports/2025/8/28/availability-reporting-football.aspx,2026-08-09T00:30:00Z,"Current reporting/archive surface remains available."
SRC-020,SRC-020,Big 12 Conference,Football Player Availability Reporting,availability,UNCHANGED,SECONDARY,OFFICIAL_CONFERENCE_AVAILABILITY,YES,DIRECT_PREGAME_SAFE_BY_REPORT_VERSION,"Official public reports; source-specific terms",https://big12sports.com/sports/2025/8/14/FBreporting.aspx,2026-08-09T00:30:00Z,"Current page points to Fall 2026 and previous reports."
SRC-025,SRC-025,College Football Playoff,Student-Athlete Availability Reporting,availability,UNCHANGED,SECONDARY,OFFICIAL_POSTSEASON_AVAILABILITY,YES,DIRECT_PREGAME_SAFE_BY_REPORT_VERSION,"Official public reports; source-specific terms",https://collegefootballplayoff.com/sports/2025/11/12/reports.aspx,2026-08-09T00:30:00Z,"Policy remains active for playoff participants; preserve report publication chronology."
SRC-013,SRC-013,NCAA,Football Playing Rules / 2026 updates,regulatory context,REFINED,PRIMARY,EFFECTIVE_DATED_RULE_ENVIRONMENT,YES,DIRECT_SAFE_BY_EFFECTIVE_DATE,"Official governing-body publications",https://www.ncaa.org/championships/playing-rules/football-playing-rules/,2026-08-09T00:30:00Z,"2026 targeting penalty changes reinforce explicit effective-dated rule/availability semantics; no architecture replacement required."
