join_path_id,evidence_kind,source_artifact,contract_id,left_source,right_source,entity_or_relation,join_expression,join_type,confidence,required_validation,risk,canonical_policy,semantic_validation_required,left,right,join_key_or_method,notes,dataset,join_key_candidate,present,note,join_method,A&M evidence,canonical entity,national source counterpart,join strategy
JP-0001,CANONICAL_JOIN_CONTRACT,cross_source/CANONICAL_JOIN_CONTRACTS.csv,JOIN-001,SportsDataverse,CFBD,game,SportsDataverse game_id ↔ CFBD game.id,direct candidate,HIGH,Validate equality on sampled seasons; fallback composite if mismatch,Do not assume forever without contract tests,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,,,,,,,,,
JP-0002,CANONICAL_JOIN_CONTRACT,cross_source/CANONICAL_JOIN_CONTRACTS.csv,JOIN-002,SportsDataverse,CFBD,team,source team IDs / names ↔ CFBD team.id,mapping table,MEDIUM,Build canonical source_entity_map with aliases/effective dates,Conference/name changes require effective dating,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,,,,,,,,,
JP-0003,CANONICAL_JOIN_CONTRACT,cross_source/CANONICAL_JOIN_CONTRACTS.csv,JOIN-003,Texas A&M Official,CFBD/SportsDataverse,game,date + A&M + opponent + venue + season/week,composite reconciliation,HIGH,Official schedule has no guaranteed shared game ID,Kickoff windows/times can change,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,,,,,,,,,
JP-0004,CANONICAL_JOIN_CONTRACT,cross_source/CANONICAL_JOIN_CONTRACTS.csv,JOIN-004,Texas A&M Official,CFBD/SportsDataverse,player,name + season + team + position + external IDs when available,entity resolution,MEDIUM,Never merge on name alone; preserve uncertainty/review,Transfers/name collisions,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,,,,,,,,,
JP-0005,CANONICAL_JOIN_CONTRACT,cross_source/CANONICAL_JOIN_CONTRACTS.csv,JOIN-005,CFBD roster,CFBD recruiting,player,roster id/recruitIds ↔ recruit athleteId/id,direct/bridge candidate,MEDIUM,Validate ID semantics before hard join,Multiple recruit IDs possible,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,,,,,,,,,
JP-0006,CANONICAL_JOIN_CONTRACT,cross_source/CANONICAL_JOIN_CONTRACTS.csv,JOIN-006,CFBD/SportsDataverse,Weather,game-weather,venue lat/lon + timestamp + source mode,derived,HIGH,Use forecast run valid at snapshot for pregame; reanalysis only for observed conditions,Avoid hindsight weather,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,,,,,,,,,
JP-0007,CANONICAL_JOIN_CONTRACT,cross_source/CANONICAL_JOIN_CONTRACTS.csv,JOIN-007,CFBD,Venue datasets,venue,CFBD venue.id + normalized name + coordinates,entity resolution,HIGH,CFBD/official current metadata outranks stale third-party labels,Venue renames/moves,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,,,,,,,,,
JP-0008,CANONICAL_JOIN_CONTRACT,cross_source/CANONICAL_JOIN_CONTRACTS.csv,JOIN-008,EADA,IPEDS,institution,institution identifiers/crosswalk,direct/crosswalk,HIGH,Use official identifiers when materialized,Year-specific changes possible,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,,,,,,,,,
JP-0009,CANONICAL_JOIN_CONTRACT,cross_source/CANONICAL_JOIN_CONTRACTS.csv,JOIN-009,Knight/MFRS,IPEDS/EADA,institution,institution identity + year,crosswalk,MEDIUM,Public-school enrichment only; preserve missing private detail,Do not impute rich private spending,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,,,,,,,,,
JP-0010,CANONICAL_JOIN_CONTRACT,cross_source/CANONICAL_JOIN_CONTRACTS.csv,JOIN-010,Resources,Football team,institution-team,canonical institution ↔ canonical team effective-dated,crosswalk,MEDIUM,Needed for renamed/reclassified schools,One institution may sponsor differently over time,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,,,,,,,,,
JP-0011,CANONICAL_JOIN_CONTRACT,cross_source/CANONICAL_JOIN_CONTRACTS.csv,JOIN-011,Betting,Game,market snapshot,game identity + provider + retrieved_at/line timestamp,temporal join,HIGH,Opening/current/closing lines must remain distinct,Closing line unsafe for earlier forecast,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,,,,,,,,,
JP-0012,CANONICAL_JOIN_CONTRACT,cross_source/CANONICAL_JOIN_CONTRACTS.csv,JOIN-012,Official A&M staff,CFBD coach,coach,canonical coach identity + role effective date,entity resolution,MEDIUM,Official A&M source leads current role; CFBD useful career history,Role/title granularity differs,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,,,,,,,,,
JP-0013,JOIN_KEY_MATRIX,JOIN_KEY_MATRIX.csv,,,,,,Direct ESPN game ID,HIGH,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,SportsDataverse play_by_play,SportsDataverse schedules,game_id,Validate types/casts,,,,,,,,,
JP-0014,JOIN_KEY_MATRIX,JOIN_KEY_MATRIX.csv,,,,,,Direct ESPN drive ID,HIGH,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,SportsDataverse plays,drives,drive.id / drive id,Canonical naming required,,,,,,,,,
JP-0015,JOIN_KEY_MATRIX,JOIN_KEY_MATRIX.csv,,,,,,Direct/near-direct,HIGH,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,SportsDataverse tables,game_rosters,game_id + team/player identifiers,Player ID availability varies by block,,,,,,,,,
JP-0016,JOIN_KEY_MATRIX,JOIN_KEY_MATRIX.csv,,,,,,Needs cross-source canonical map,MEDIUM,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,SportsDataverse,CFBD,team/game identity,Build canonical team/game mappings in 25-wave project,,,,,,,,,
JP-0017,JOIN_KEY_MATRIX,JOIN_KEY_MATRIX.csv,,,,,,Derived join,HIGH,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,Weather,game/venue,venue lat/lon + kickoff timestamp,Requires canonical venue and timezone,,,,,,,,,
JP-0018,JOIN_KEY_MATRIX,JOIN_KEY_MATRIX.csv,,,,,,Derived join,MEDIUM,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,Resources,team-season,canonical program + fiscal/season mapping,Fiscal-year vs football-season mapping policy needed,,,,,,,,,
JP-0019,JOIN_KEY_MATRIX,JOIN_KEY_MATRIX.csv,,,,,,MEDIUM,Must inspect real export,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,PFF optional,canonical player/team/game,Names/IDs/season/week depending export,,,,,,,,,,
JP-0020,JOIN_KEY_MATRIX,JOIN_KEY_MATRIX.csv,,,,,,Direct within CFBD,HIGH,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,CFBD Game,CFBD Betting/WP/Weather,game id (`id` / `gameId`),Use canonical game ID; snapshot market/weather by retrieval time.,,,,,,,,,
JP-0021,JOIN_KEY_MATRIX,JOIN_KEY_MATRIX.csv,,,,,,Direct within CFBD,HIGH,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,CFBD Team,CFBD Game,team id (`id` vs `homeId`/`awayId`),Team names remain aliases/display fields.,,,,,,,,,
JP-0022,JOIN_KEY_MATRIX,JOIN_KEY_MATRIX.csv,,,,,,Derived,HIGH,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,CFBD Team/Venue,Open-Meteo,venue latitude/longitude + kickoff timestamp,Separate observed historical weather from forecast-time weather.,,,,,,,,,
JP-0023,JOIN_KEY_MATRIX,JOIN_KEY_MATRIX.csv,,,,,,Direct/near-direct,HIGH,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,CFBD Recruit,CFBD RosterPlayer,Recruit.athleteId / RosterPlayer.id + RosterPlayer.recruitIds,Validate actual null coverage in live sample.,,,,,,,,,
JP-0024,JOIN_KEY_MATRIX,JOIN_KEY_MATRIX.csv,,,,,,Candidate cross-source direct IDs + canonical fallback,MEDIUM_HIGH,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,SportsDataverse,CFBD,game/team/venue/player IDs,Must be verified on authenticated CFBD real samples before direct-join guarantee.,,,,,,,,,
JP-0025,JOIN_KEY_MATRIX,JOIN_KEY_MATRIX.csv,,,,,,Direct then canonicalized,HIGH,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,CFBD game,canonical venue,venueId -> canonical_venue_id,Use normalized venue fallback only when ID absent,,,,,,,,,
JP-0026,JOIN_KEY_MATRIX,JOIN_KEY_MATRIX.csv,,,,,,Derived geospatial/time query,HIGH,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,canonical venue,Open-Meteo,latitude + longitude + timezone + timestamp,Store returned grid-cell coordinates/elevation and source mode,,,,,,,,,
JP-0027,JOIN_KEY_MATRIX,JOIN_KEY_MATRIX.csv,,,,,,Derived,HIGH,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,team/game,travel feature row,team_id + canonical_game_id,Compute for both teams; current and cumulative travel,,,,,,,,,
JP-0028,SPORTSDATAVERSE_FIELD_PRESENCE,analysis/SPORTSDATAVERSE_JOIN_KEY_FIELD_AUDIT.csv,,,,,,,,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,adv_defensive,game_id,True,Presence only; semantic compatibility/type normalization still required.,,,,,
JP-0029,SPORTSDATAVERSE_FIELD_PRESENCE,analysis/SPORTSDATAVERSE_JOIN_KEY_FIELD_AUDIT.csv,,,,,,,,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,adv_defensive,season,True,Presence only; semantic compatibility/type normalization still required.,,,,,
JP-0030,SPORTSDATAVERSE_FIELD_PRESENCE,analysis/SPORTSDATAVERSE_JOIN_KEY_FIELD_AUDIT.csv,,,,,,,,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,adv_defensive,week,True,Presence only; semantic compatibility/type normalization still required.,,,,,
JP-0031,SPORTSDATAVERSE_FIELD_PRESENCE,analysis/SPORTSDATAVERSE_JOIN_KEY_FIELD_AUDIT.csv,,,,,,,,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,adv_drives,game_id,True,Presence only; semantic compatibility/type normalization still required.,,,,,
JP-0032,SPORTSDATAVERSE_FIELD_PRESENCE,analysis/SPORTSDATAVERSE_JOIN_KEY_FIELD_AUDIT.csv,,,,,,,,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,adv_drives,season,True,Presence only; semantic compatibility/type normalization still required.,,,,,
