risk_id,risk,severity,likelihood,mitigation,status,owner_wave,final_disposition,jira_issue_ids,source_ref_id,mapped
RISK-001,Temporal leakage from season/future/postgame fields,CRITICAL,HIGH,W08 PIT contracts/tests; feature temporal classes; protected leakage battery,OPEN,MULTI,OPEN_HANDOFF,POST-SUBTASK-060,SRCREF-01577,true
RISK-002,Closing-line or realized-weather hindsight contaminates earlier snapshots,CRITICAL,HIGH,Immutable timestamped market/weather evidence and cutoffs,OPEN,MULTI,OPEN_HANDOFF,POST-SUBTASK-069,SRCREF-01578,true
RISK-003,Cross-source entity-resolution errors merge/split wrong player/team/game,HIGH,HIGH,"Canonical IDs, source maps, confidence, contract tests and unresolved queue",OPEN,MULTI,OPEN_HANDOFF,POST-SUBTASK-069,SRCREF-01579,true
RISK-004,Historical injury/depth evidence sparse or retrospective,HIGH,HIGH,"Evidence confidence, snapshot acquisition, missingness/uncertainty; do not invent",OPEN,MULTI,OPEN_HANDOFF,POST-SUBTASK-078,SRCREF-01580,true
RISK-005,Feature selection overfits protected validation periods,HIGH,MEDIUM,"Nested/rolling evaluation, holdout protection, stability and family ablations",OPEN,MULTI,OPEN_HANDOFF,POST-SUBTASK-105,SRCREF-01581,true
RISK-006,BAS learns fan narrative/noise instead of persistent A&M effect,HIGH,MEDIUM,"General underperformance baseline, Aggie Excess, cross-fit labels, significance/regime tests",OPEN,MULTI,OPEN_HANDOFF,POST-SUBTASK-096,SRCREF-01582,true
RISK-007,A&M specialization overfits small sample,HIGH,HIGH,"National foundation, shrinkage, peer cohorts, A&M weighting only when walk-forward improves",OPEN,MULTI,OPEN_HANDOFF,POST-SUBTASK-087,SRCREF-01583,true
RISK-008,Resource features double-count talent/coaching/roster advantages,MEDIUM,HIGH,"Ablations, residual/resource-efficiency designs, feature redundancy analysis",OPEN,MULTI,OPEN_HANDOFF,POST-SUBTASK-060,SRCREF-01584,true
RISK-009,Private-school financial missingness creates systematic bias,MEDIUM,HIGH,"Universal EADA baseline, enriched public lane, explicit missingness; no fabricated values",OPEN,MULTI,OPEN_HANDOFF,POST-SUBTASK-078,SRCREF-01585,true
RISK-010,PFF or commercial source dependency blocks reproducibility,LOW,HIGH,PFF deferred/optional; core must operate without it,OPEN,MULTI,OPEN_HANDOFF,POST-SUBTASK-141,SRCREF-01586,true
RISK-011,Public API/schema/rate-limit changes break ingestion,HIGH,MEDIUM,"Wave06 source audit, versioned contracts, fallbacks, source risk register",OPEN,MULTI,OPEN_HANDOFF,POST-SUBTASK-141,SRCREF-01587,true
RISK-012,Licensing/redistribution uncertainty exposes public repo risk,HIGH,MEDIUM,Source governance registry; local-only raw default when uncertain,OPEN,MULTI,OPEN_HANDOFF,POST-SUBTASK-078,SRCREF-01588,true
RISK-013,Root recon PACK_MANIFEST self-entry appears corrupt,LOW,LOW,Use authoritative final manifests; document single self-reference mismatch; do not infer broader corruption,OPEN,MULTI,OPEN_HANDOFF,POST-SUBTASK-141,SRCREF-01589,true
RISK-014,Source-chat ZIP archive order causes chronology inversion,MEDIUM,HIGH,Numeric 001→020 sorting is explicit Wave01/next-session rule,OPEN,MULTI,OPEN_HANDOFF,POST-SUBTASK-141,SRCREF-01590,true
RISK-015,Host filename suffix causes false pack mismatch,LOW,MEDIUM,"Validate content/internal edition/hash, not exact copy filename",OPEN,MULTI,OPEN_HANDOFF,POST-SUBTASK-141,SRCREF-01591,true
RISK-016,Complex model architecture adds cost without predictive gain,MEDIUM,MEDIUM,Simple baselines/champion; complexity must win evidence-backed comparison,OPEN,MULTI,OPEN_HANDOFF,POST-SUBTASK-078,SRCREF-01592,true
RISK-017,FCS/lower-division recursion explodes scope,MEDIUM,MEDIUM,FBS/FCS hierarchy and coarse lower-division priors with uncertainty,OPEN,MULTI,OPEN_HANDOFF,POST-SUBTASK-078,SRCREF-01593,true
RISK-018,Coach effects confounded by players/co-staff/scheme/opponents,HIGH,HIGH,Residual/hierarchical role-conditioned models and uncertainty,OPEN,MULTI,OPEN_HANDOFF,POST-SUBTASK-078,SRCREF-01594,true
RISK-019,Home-field effect confounded by team quality,MEDIUM,HIGH,Neutral-equivalent residual and shrinkage; no raw home win percentage,OPEN,MULTI,OPEN_HANDOFF,POST-SUBTASK-141,SRCREF-01595,true
RISK-020,Transfer translation uses simplistic conference stereotype,MEDIUM,MEDIUM,Same-player cohorts + continuous opponent/context strength + uncertainty,OPEN,MULTI,OPEN_HANDOFF,POST-SUBTASK-078,SRCREF-01596,true
RISK-021,Model outputs contradict score/margin/win/BAS relationships,HIGH,MEDIUM,Joint-score/simulation coherence contract and consistency tests,OPEN,MULTI,OPEN_HANDOFF,POST-SUBTASK-096,SRCREF-01597,true
RISK-022,Autonomous agent modifies judging rules or hides bad results,CRITICAL,MEDIUM,Protected immutable validation/promotion/ground-truth governance,OPEN,MULTI,OPEN_HANDOFF,POST-SUBTASK-105,SRCREF-01598,true
