master_requirement,primary_artifacts,reference_implementation,tests,status
experiment tracking,docs/77_LOCAL_EXPERIMENT_STORE.md;docs/92_MLFLOW_ADAPTER.md;governance/EXPERIMENT_STORE_SCHEMA_CATALOG.csv,store.py;local_tracker.py;adapters.py,test_experiment_store_full.py;test_local_tracker_full.py,COVERED_FULL_REFERENCE
hyperparameter optimization,docs/81_HPO_STUDY_GOVERNANCE.md;docs/82_HPO_PRUNING_AND_STOPPING.md;docs/93_OPTUNA_ADAPTER.md,hpo.py;hpo_engine.py,test_hpo_governance.py;test_hpo_engine_full.py,COVERED_FULL_REFERENCE
feature tournament,docs/79_FEATURE_TOURNAMENT_PROTOCOL.md;governance/FEATURE_TOURNAMENT_STAGE_MATRIX.csv,feature_tournament.py;tournaments.py,test_feature_tournament.py;test_feature_tournament_full.py,COVERED_FULL_REFERENCE
model tournament,docs/80_MODEL_TOURNAMENT_PROTOCOL.md;governance/MODEL_TOURNAMENT_BASELINE_MATRIX.csv;governance/MODEL_TOURNAMENT_COMPATIBILITY_MATRIX.csv,model_tournament.py;tournaments.py,test_model_tournament.py;test_model_tournament_full.py,COVERED_FULL_REFERENCE
experiment queue,docs/78_RESEARCH_QUEUE_SCHEDULER.md;governance/EXPERIMENT_QUEUE_POLICY.csv;governance/RESOURCE_ADMISSION_RULES.csv,queue.py;scheduler.py;store.py,test_experiment_store_full.py;test_resource_scheduler_full.py,COVERED_FULL_REFERENCE
research hypotheses,docs/67_HYPOTHESIS_AND_EXPERIMENT_QUEUE.md;docs/87_FAILURE_AND_NEGATIVE_EVIDENCE.md;governance/HYPOTHESIS_QUEUE_POLICY.csv,hypotheses.py;local_tracker.py,test_hypothesis_queue.py,COVERED_FULL_REFERENCE
branches/worktrees,docs/85_WORKTREE_ISOLATION.md;docs/90_LOCAL_RESOURCE_ORCHESTRATION.md;governance/WORKTREE_LOCK_CATALOG.csv,worktree.py;locks.py;scheduler.py,test_worktree_resource_policy.py;test_locks_full.py,COVERED_FULL_REFERENCE
automatic replay,docs/84_REPLAY_ENGINE.md;governance/REPLAY_CHECK_CATALOG.csv,replay.py;replay_engine.py,test_replay_adoption.py;test_replay_engine_full.py,COVERED_FULL_REFERENCE
promotion gates,docs/88_CHALLENGER_ADOPTION.md;docs/89_RESEARCH_THREAT_MODEL.md,promotion_bridge.py;governance.py;adoption.py,test_promotion_bridge_full.py;test_experimentation_governance.py,COVERED_FULL_REFERENCE
rejection,docs/87_FAILURE_AND_NEGATIVE_EVIDENCE.md;governance/RESEARCH_FAILURE_TAXONOMY.csv,adoption.py;queue.py,test_replay_adoption.py;test_experiment_store_full.py,COVERED_FULL_REFERENCE
experiment lineage,docs/76_CANONICAL_EXPERIMENT_SPEC.md;docs/83_RESULT_PACKET_AND_EVIDENCE.md,lineage.py;contracts.py;store.py,test_lineage_full.py;test_experiment_store_full.py,COVERED_FULL_REFERENCE
immutable judging rules,docs/89_RESEARCH_THREAT_MODEL.md;governance/PROTECTED_JUDGING_RULE_SEAL.csv,governance.py;promotion_bridge.py,test_experimentation_governance.py;test_promotion_bridge_full.py,COVERED_FULL_REFERENCE
Phase-5 challenger framework,docs/91_ADVANCED_CHALLENGER_GATE.md;governance/ADVANCED_CHALLENGER_ADMISSION.csv,advanced_challengers.py;governance.py,test_advanced_challenger_full.py,COVERED_FULL_REFERENCE
