schema_version,decision_id,source_id,provider,dataset,domain,human_reviewer,owner_authorization_basis,technical_reviewer,review_date,terms_url,terms_version_date,terms_snapshot_name,terms_snapshot_sha256,terms_http_status,robots_url,robots_snapshot_name,robots_snapshot_sha256,robots_http_status,robots_target_result,crawl_delay_seconds,authorized_acquisition_route,allowed_access,local_storage_decision,derived_use_decision,model_training_decision,publication_decision,redistribution_decision,retention_decision,attribution_decision,deletion_decision,unresolved_questions,lane_disposition,rights_decision,production_materialization_allowed,substitute_source_ids,required_data_outcome_status,required_data_outcome_nonblocking,decision_reason,revalidation_trigger,supersedes_decision_id,policy_version,rights_metadata_nonblocking,private_research_acquisition_allowed
2.0.0,PRIVATE-RESEARCH-SRC-004,SRC-004,Knight Commission / Newhouse,College Athletics Database,resources/finance,Kevin Garrett (project owner directive),UNIVERSAL_PRIVATE_RESEARCH_ACQUISITION_2026-08-09,Codex (technical policy review; not legal counsel),2026-08-09,SOURCE_SPECIFIC_PUBLIC_SITE,PUBLIC_FACTUAL_LANE_REVIEWED_2026-08-09,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,https://www.knightnewhousedata.org/robots.txt,knight_robots,c47eab88da8c5fbd3c64eaca06674150675d1e7111ec19956c9334c0f74463c8,404,NO_POSITIVE_POLICY_SIGNAL,NONE_DECLARED,DIRECT_API_HTTP_BROWSER_SCRAPFLY_SCRAPERAPI_PUBLIC_DOWNLOAD_OR_OWNER_CREDENTIALED_ROUTE_AS_TECHNICALLY_APPROPRIATE,PUBLIC_OR_OWNER_CREDENTIALED_FACTUAL_DATA_FOR_PRIVATE_RESEARCH,ALLOW_IMMUTABLE_RAW_AND_NORMALIZED_DATA_OUTSIDE_GIT,ALLOW_PRIVATE_LOCAL_ANALYSIS_FEATURES_AND_MODELS,ALLOW_LOCAL_MODEL_TRAINING,SEPARATE_FUTURE_PUBLICATION_REVIEW_REQUIRED_NO_RAW_PAYLOAD_PUBLICATION,DO_NOT_PUBLISH_OR_REDISTRIBUTE_RAW_THIRD_PARTY_PAYLOADS,LOCAL_RETENTION_ALLOWED_UNDER_EXTERNAL_DATA_ROOT_AND_DISK_POLICY,PRESERVE_SOURCE_URL_TIMESTAMP_AND_PROVENANCE_METADATA,PRESERVE_AUTHORITATIVE_CAPTURES_DELETE_ONLY_VERIFIED_RECONSTRUCTIBLE_TEMPORARIES,LICENSE_TERMS_AND_REDISTRIBUTION_STATUS_RETAINED_AS_NONBLOCKING_METADATA,PRIVATE_RESEARCH_ALLOWED,METADATA_ONLY_NONBLOCKING,true,SRC-007;SRC-008;SRC-044,ACQUISITION_ALLOWED_PRIVATE_RESEARCH,true,OWNER_UNIVERSAL_PRIVATE_RESEARCH_POLICY_ALLOWS_LOCAL_ACQUISITION_AND_TRAINING,PUBLIC_DISTRIBUTION_REPOSITORY_INCLUSION_OR_COMMERCIALIZATION_PROPOSED,RIGHTS-SUP-001,UNIVERSAL_PRIVATE_RESEARCH_ACQUISITION_2026-08-09,true,true
2.0.0,PRIVATE-RESEARCH-SRC-006,SRC-006,PFF,College football premium grades/data,advanced charting,Kevin Garrett (project owner directive),UNIVERSAL_PRIVATE_RESEARCH_ACQUISITION_2026-08-09,Codex (technical policy review; not legal counsel),2026-08-09,https://www.pff.com/terms,UNVERSIONED_ACCESSED_2026-08-09,pff_terms,98965cca71edb4e45e5d086ae2dbe880e2a0c1eed3592f9107bb1c96a10a7f95,200,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,DIRECT_API_HTTP_BROWSER_SCRAPFLY_SCRAPERAPI_PUBLIC_DOWNLOAD_OR_OWNER_CREDENTIALED_ROUTE_AS_TECHNICALLY_APPROPRIATE,PUBLIC_OR_OWNER_CREDENTIALED_FACTUAL_DATA_FOR_PRIVATE_RESEARCH,ALLOW_IMMUTABLE_RAW_AND_NORMALIZED_DATA_OUTSIDE_GIT,ALLOW_PRIVATE_LOCAL_ANALYSIS_FEATURES_AND_MODELS,ALLOW_LOCAL_MODEL_TRAINING,SEPARATE_FUTURE_PUBLICATION_REVIEW_REQUIRED_NO_RAW_PAYLOAD_PUBLICATION,DO_NOT_PUBLISH_OR_REDISTRIBUTE_RAW_THIRD_PARTY_PAYLOADS,LOCAL_RETENTION_ALLOWED_UNDER_EXTERNAL_DATA_ROOT_AND_DISK_POLICY,PRESERVE_SOURCE_URL_TIMESTAMP_AND_PROVENANCE_METADATA,PRESERVE_AUTHORITATIVE_CAPTURES_DELETE_ONLY_VERIFIED_RECONSTRUCTIBLE_TEMPORARIES,LICENSE_TERMS_AND_REDISTRIBUTION_STATUS_RETAINED_AS_NONBLOCKING_METADATA,PRIVATE_RESEARCH_ALLOWED,METADATA_ONLY_NONBLOCKING,true,SRC-002,ACQUISITION_ALLOWED_PRIVATE_RESEARCH,true,OWNER_UNIVERSAL_PRIVATE_RESEARCH_POLICY_ALLOWS_LOCAL_ACQUISITION_AND_TRAINING,PUBLIC_DISTRIBUTION_REPOSITORY_INCLUSION_OR_COMMERCIALIZATION_PROPOSED,RIGHTS-SUP-002,UNIVERSAL_PRIVATE_RESEARCH_ACQUISITION_2026-08-09,true,true
2.0.0,PRIVATE-RESEARCH-SRC-007,SRC-007,U.S. Department of Education,EADA athletics data,resources/finance,Kevin Garrett (project owner directive),UNIVERSAL_PRIVATE_RESEARCH_ACQUISITION_2026-08-09,Codex (technical policy review; not legal counsel),2026-08-09,US_GOVERNMENT_PUBLIC_DATA_POLICY,CURRENT_ACCESSED_2026-08-09,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,DIRECT_API_HTTP_BROWSER_SCRAPFLY_SCRAPERAPI_PUBLIC_DOWNLOAD_OR_OWNER_CREDENTIALED_ROUTE_AS_TECHNICALLY_APPROPRIATE,PUBLIC_OR_OWNER_CREDENTIALED_FACTUAL_DATA_FOR_PRIVATE_RESEARCH,ALLOW_IMMUTABLE_RAW_AND_NORMALIZED_DATA_OUTSIDE_GIT,ALLOW_PRIVATE_LOCAL_ANALYSIS_FEATURES_AND_MODELS,ALLOW_LOCAL_MODEL_TRAINING,SEPARATE_FUTURE_PUBLICATION_REVIEW_REQUIRED_NO_RAW_PAYLOAD_PUBLICATION,DO_NOT_PUBLISH_OR_REDISTRIBUTE_RAW_THIRD_PARTY_PAYLOADS,LOCAL_RETENTION_ALLOWED_UNDER_EXTERNAL_DATA_ROOT_AND_DISK_POLICY,PRESERVE_SOURCE_URL_TIMESTAMP_AND_PROVENANCE_METADATA,PRESERVE_AUTHORITATIVE_CAPTURES_DELETE_ONLY_VERIFIED_RECONSTRUCTIBLE_TEMPORARIES,LICENSE_TERMS_AND_REDISTRIBUTION_STATUS_RETAINED_AS_NONBLOCKING_METADATA,PRIVATE_RESEARCH_ALLOWED,METADATA_ONLY_NONBLOCKING,true,NONE_PRIMARY_SOURCE,ACQUISITION_ALLOWED_PRIVATE_RESEARCH,true,OWNER_UNIVERSAL_PRIVATE_RESEARCH_POLICY_ALLOWS_LOCAL_ACQUISITION_AND_TRAINING,PUBLIC_DISTRIBUTION_REPOSITORY_INCLUSION_OR_COMMERCIALIZATION_PROPOSED,RIGHTS-SUP-003,UNIVERSAL_PRIVATE_RESEARCH_ACQUISITION_2026-08-09,true,true
2.0.0,PRIVATE-RESEARCH-SRC-008,SRC-008,U.S. Department of Education / NCES,IPEDS,institution/resources,Kevin Garrett (project owner directive),UNIVERSAL_PRIVATE_RESEARCH_ACQUISITION_2026-08-09,Codex (technical policy review; not legal counsel),2026-08-09,US_GOVERNMENT_PUBLIC_DATA_POLICY,CURRENT_ACCESSED_2026-08-09,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,DIRECT_API_HTTP_BROWSER_SCRAPFLY_SCRAPERAPI_PUBLIC_DOWNLOAD_OR_OWNER_CREDENTIALED_ROUTE_AS_TECHNICALLY_APPROPRIATE,PUBLIC_OR_OWNER_CREDENTIALED_FACTUAL_DATA_FOR_PRIVATE_RESEARCH,ALLOW_IMMUTABLE_RAW_AND_NORMALIZED_DATA_OUTSIDE_GIT,ALLOW_PRIVATE_LOCAL_ANALYSIS_FEATURES_AND_MODELS,ALLOW_LOCAL_MODEL_TRAINING,SEPARATE_FUTURE_PUBLICATION_REVIEW_REQUIRED_NO_RAW_PAYLOAD_PUBLICATION,DO_NOT_PUBLISH_OR_REDISTRIBUTE_RAW_THIRD_PARTY_PAYLOADS,LOCAL_RETENTION_ALLOWED_UNDER_EXTERNAL_DATA_ROOT_AND_DISK_POLICY,PRESERVE_SOURCE_URL_TIMESTAMP_AND_PROVENANCE_METADATA,PRESERVE_AUTHORITATIVE_CAPTURES_DELETE_ONLY_VERIFIED_RECONSTRUCTIBLE_TEMPORARIES,LICENSE_TERMS_AND_REDISTRIBUTION_STATUS_RETAINED_AS_NONBLOCKING_METADATA,PRIVATE_RESEARCH_ALLOWED,METADATA_ONLY_NONBLOCKING,true,NONE_PRIMARY_SOURCE,ACQUISITION_ALLOWED_PRIVATE_RESEARCH,true,OWNER_UNIVERSAL_PRIVATE_RESEARCH_POLICY_ALLOWS_LOCAL_ACQUISITION_AND_TRAINING,PUBLIC_DISTRIBUTION_REPOSITORY_INCLUSION_OR_COMMERCIALIZATION_PROPOSED,RIGHTS-SUP-004,UNIVERSAL_PRIVATE_RESEARCH_ACQUISITION_2026-08-09,true,true
2.0.0,PRIVATE-RESEARCH-SRC-010,SRC-010,National College Football Awards Association,award watch lists/calendar,preseason honors,Kevin Garrett (project owner directive),UNIVERSAL_PRIVATE_RESEARCH_ACQUISITION_2026-08-09,Codex (technical policy review; not legal counsel),2026-08-09,SOURCE_SPECIFIC_PUBLIC_SITE,PUBLIC_FACTUAL_LANE_REVIEWED_2026-08-09,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,https://collegefootballawards.com/robots.txt,awards_robots,84f7242b69a0d079d88d20a768e20124979f0499d2b0e5b947cc4b32bc07dff9,200,ALLOW,NONE_DECLARED,DIRECT_API_HTTP_BROWSER_SCRAPFLY_SCRAPERAPI_PUBLIC_DOWNLOAD_OR_OWNER_CREDENTIALED_ROUTE_AS_TECHNICALLY_APPROPRIATE,PUBLIC_OR_OWNER_CREDENTIALED_FACTUAL_DATA_FOR_PRIVATE_RESEARCH,ALLOW_IMMUTABLE_RAW_AND_NORMALIZED_DATA_OUTSIDE_GIT,ALLOW_PRIVATE_LOCAL_ANALYSIS_FEATURES_AND_MODELS,ALLOW_LOCAL_MODEL_TRAINING,SEPARATE_FUTURE_PUBLICATION_REVIEW_REQUIRED_NO_RAW_PAYLOAD_PUBLICATION,DO_NOT_PUBLISH_OR_REDISTRIBUTE_RAW_THIRD_PARTY_PAYLOADS,LOCAL_RETENTION_ALLOWED_UNDER_EXTERNAL_DATA_ROOT_AND_DISK_POLICY,PRESERVE_SOURCE_URL_TIMESTAMP_AND_PROVENANCE_METADATA,PRESERVE_AUTHORITATIVE_CAPTURES_DELETE_ONLY_VERIFIED_RECONSTRUCTIBLE_TEMPORARIES,LICENSE_TERMS_AND_REDISTRIBUTION_STATUS_RETAINED_AS_NONBLOCKING_METADATA,PRIVATE_RESEARCH_ALLOWED,METADATA_ONLY_NONBLOCKING,true,SRC-002,ACQUISITION_ALLOWED_PRIVATE_RESEARCH,true,OWNER_UNIVERSAL_PRIVATE_RESEARCH_POLICY_ALLOWS_LOCAL_ACQUISITION_AND_TRAINING,PUBLIC_DISTRIBUTION_REPOSITORY_INCLUSION_OR_COMMERCIALIZATION_PROPOSED,RIGHTS-SUP-005,UNIVERSAL_PRIVATE_RESEARCH_ACQUISITION_2026-08-09,true,true
2.0.0,PRIVATE-RESEARCH-SRC-012,SRC-012,Recognized preseason selectors,preseason all-conference/all-America,preseason honors,Kevin Garrett (project owner directive),UNIVERSAL_PRIVATE_RESEARCH_ACQUISITION_2026-08-09,Codex (technical policy review; not legal counsel),2026-08-09,SOURCE_SPECIFIC_PUBLIC_SITE,PUBLIC_FACTUAL_LANE_REVIEWED_2026-08-09,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC,SOURCE_SPECIFIC,DIRECT_API_HTTP_BROWSER_SCRAPFLY_SCRAPERAPI_PUBLIC_DOWNLOAD_OR_OWNER_CREDENTIALED_ROUTE_AS_TECHNICALLY_APPROPRIATE,PUBLIC_OR_OWNER_CREDENTIALED_FACTUAL_DATA_FOR_PRIVATE_RESEARCH,ALLOW_IMMUTABLE_RAW_AND_NORMALIZED_DATA_OUTSIDE_GIT,ALLOW_PRIVATE_LOCAL_ANALYSIS_FEATURES_AND_MODELS,ALLOW_LOCAL_MODEL_TRAINING,SEPARATE_FUTURE_PUBLICATION_REVIEW_REQUIRED_NO_RAW_PAYLOAD_PUBLICATION,DO_NOT_PUBLISH_OR_REDISTRIBUTE_RAW_THIRD_PARTY_PAYLOADS,LOCAL_RETENTION_ALLOWED_UNDER_EXTERNAL_DATA_ROOT_AND_DISK_POLICY,PRESERVE_SOURCE_URL_TIMESTAMP_AND_PROVENANCE_METADATA,PRESERVE_AUTHORITATIVE_CAPTURES_DELETE_ONLY_VERIFIED_RECONSTRUCTIBLE_TEMPORARIES,LICENSE_TERMS_AND_REDISTRIBUTION_STATUS_RETAINED_AS_NONBLOCKING_METADATA,PRIVATE_RESEARCH_ALLOWED,METADATA_ONLY_NONBLOCKING,true,SRC-002,ACQUISITION_ALLOWED_PRIVATE_RESEARCH,true,OWNER_UNIVERSAL_PRIVATE_RESEARCH_POLICY_ALLOWS_LOCAL_ACQUISITION_AND_TRAINING,PUBLIC_DISTRIBUTION_REPOSITORY_INCLUSION_OR_COMMERCIALIZATION_PROPOSED,RIGHTS-SUP-006,UNIVERSAL_PRIVATE_RESEARCH_ACQUISITION_2026-08-09,true,true
2.0.0,PRIVATE-RESEARCH-SRC-018,SRC-018,Big Ten Conference,Gameday Availability Reports,injuries/availability,Kevin Garrett (project owner directive),UNIVERSAL_PRIVATE_RESEARCH_ACQUISITION_2026-08-09,Codex (technical policy review; not legal counsel),2026-08-09,SOURCE_SPECIFIC_PUBLIC_SITE,PUBLIC_FACTUAL_LANE_REVIEWED_2026-08-09,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,https://bigten.org/robots.txt,bigten_robots,bef7896e42ba3660c7c534f5d54d3eeb4e63a2227382a86d98c9a8f1e1e948d6,200,ALLOW,NONE_DECLARED,DIRECT_API_HTTP_BROWSER_SCRAPFLY_SCRAPERAPI_PUBLIC_DOWNLOAD_OR_OWNER_CREDENTIALED_ROUTE_AS_TECHNICALLY_APPROPRIATE,PUBLIC_OR_OWNER_CREDENTIALED_FACTUAL_DATA_FOR_PRIVATE_RESEARCH,ALLOW_IMMUTABLE_RAW_AND_NORMALIZED_DATA_OUTSIDE_GIT,ALLOW_PRIVATE_LOCAL_ANALYSIS_FEATURES_AND_MODELS,ALLOW_LOCAL_MODEL_TRAINING,SEPARATE_FUTURE_PUBLICATION_REVIEW_REQUIRED_NO_RAW_PAYLOAD_PUBLICATION,DO_NOT_PUBLISH_OR_REDISTRIBUTE_RAW_THIRD_PARTY_PAYLOADS,LOCAL_RETENTION_ALLOWED_UNDER_EXTERNAL_DATA_ROOT_AND_DISK_POLICY,PRESERVE_SOURCE_URL_TIMESTAMP_AND_PROVENANCE_METADATA,PRESERVE_AUTHORITATIVE_CAPTURES_DELETE_ONLY_VERIFIED_RECONSTRUCTIBLE_TEMPORARIES,LICENSE_TERMS_AND_REDISTRIBUTION_STATUS_RETAINED_AS_NONBLOCKING_METADATA,PRIVATE_RESEARCH_ALLOWED,METADATA_ONLY_NONBLOCKING,true,SRC-002,ACQUISITION_ALLOWED_PRIVATE_RESEARCH,true,OWNER_UNIVERSAL_PRIVATE_RESEARCH_POLICY_ALLOWS_LOCAL_ACQUISITION_AND_TRAINING,PUBLIC_DISTRIBUTION_REPOSITORY_INCLUSION_OR_COMMERCIALIZATION_PROPOSED,RIGHTS-SUP-007,UNIVERSAL_PRIVATE_RESEARCH_ACQUISITION_2026-08-09,true,true
2.0.0,PRIVATE-RESEARCH-SRC-019,SRC-019,Atlantic Coast Conference,Availability Reporting,injuries/availability,Kevin Garrett (project owner directive),UNIVERSAL_PRIVATE_RESEARCH_ACQUISITION_2026-08-09,Codex (technical policy review; not legal counsel),2026-08-09,SOURCE_SPECIFIC_PUBLIC_SITE,PUBLIC_FACTUAL_LANE_REVIEWED_2026-08-09,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,https://theacc.com/robots.txt,acc_robots,bb01f376f844316fa17dcb1929a91a88ca1c460c18c89d91ebefcb0fea6b92d9,200,ALLOW,5,DIRECT_API_HTTP_BROWSER_SCRAPFLY_SCRAPERAPI_PUBLIC_DOWNLOAD_OR_OWNER_CREDENTIALED_ROUTE_AS_TECHNICALLY_APPROPRIATE,PUBLIC_OR_OWNER_CREDENTIALED_FACTUAL_DATA_FOR_PRIVATE_RESEARCH,ALLOW_IMMUTABLE_RAW_AND_NORMALIZED_DATA_OUTSIDE_GIT,ALLOW_PRIVATE_LOCAL_ANALYSIS_FEATURES_AND_MODELS,ALLOW_LOCAL_MODEL_TRAINING,SEPARATE_FUTURE_PUBLICATION_REVIEW_REQUIRED_NO_RAW_PAYLOAD_PUBLICATION,DO_NOT_PUBLISH_OR_REDISTRIBUTE_RAW_THIRD_PARTY_PAYLOADS,LOCAL_RETENTION_ALLOWED_UNDER_EXTERNAL_DATA_ROOT_AND_DISK_POLICY,PRESERVE_SOURCE_URL_TIMESTAMP_AND_PROVENANCE_METADATA,PRESERVE_AUTHORITATIVE_CAPTURES_DELETE_ONLY_VERIFIED_RECONSTRUCTIBLE_TEMPORARIES,LICENSE_TERMS_AND_REDISTRIBUTION_STATUS_RETAINED_AS_NONBLOCKING_METADATA,PRIVATE_RESEARCH_ALLOWED,METADATA_ONLY_NONBLOCKING,true,SRC-002,ACQUISITION_ALLOWED_PRIVATE_RESEARCH,true,OWNER_UNIVERSAL_PRIVATE_RESEARCH_POLICY_ALLOWS_LOCAL_ACQUISITION_AND_TRAINING,PUBLIC_DISTRIBUTION_REPOSITORY_INCLUSION_OR_COMMERCIALIZATION_PROPOSED,RIGHTS-SUP-008,UNIVERSAL_PRIVATE_RESEARCH_ACQUISITION_2026-08-09,true,true
2.0.0,PRIVATE-RESEARCH-SRC-020,SRC-020,Big 12 Conference,Player Availability Reporting,injuries/availability,Kevin Garrett (project owner directive),UNIVERSAL_PRIVATE_RESEARCH_ACQUISITION_2026-08-09,Codex (technical policy review; not legal counsel),2026-08-09,SOURCE_SPECIFIC_PUBLIC_SITE,PUBLIC_FACTUAL_LANE_REVIEWED_2026-08-09,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,https://big12sports.com/robots.txt,big12_robots,bb01f376f844316fa17dcb1929a91a88ca1c460c18c89d91ebefcb0fea6b92d9,200,ALLOW,5,DIRECT_API_HTTP_BROWSER_SCRAPFLY_SCRAPERAPI_PUBLIC_DOWNLOAD_OR_OWNER_CREDENTIALED_ROUTE_AS_TECHNICALLY_APPROPRIATE,PUBLIC_OR_OWNER_CREDENTIALED_FACTUAL_DATA_FOR_PRIVATE_RESEARCH,ALLOW_IMMUTABLE_RAW_AND_NORMALIZED_DATA_OUTSIDE_GIT,ALLOW_PRIVATE_LOCAL_ANALYSIS_FEATURES_AND_MODELS,ALLOW_LOCAL_MODEL_TRAINING,SEPARATE_FUTURE_PUBLICATION_REVIEW_REQUIRED_NO_RAW_PAYLOAD_PUBLICATION,DO_NOT_PUBLISH_OR_REDISTRIBUTE_RAW_THIRD_PARTY_PAYLOADS,LOCAL_RETENTION_ALLOWED_UNDER_EXTERNAL_DATA_ROOT_AND_DISK_POLICY,PRESERVE_SOURCE_URL_TIMESTAMP_AND_PROVENANCE_METADATA,PRESERVE_AUTHORITATIVE_CAPTURES_DELETE_ONLY_VERIFIED_RECONSTRUCTIBLE_TEMPORARIES,LICENSE_TERMS_AND_REDISTRIBUTION_STATUS_RETAINED_AS_NONBLOCKING_METADATA,PRIVATE_RESEARCH_ALLOWED,METADATA_ONLY_NONBLOCKING,true,SRC-002,ACQUISITION_ALLOWED_PRIVATE_RESEARCH,true,OWNER_UNIVERSAL_PRIVATE_RESEARCH_POLICY_ALLOWS_LOCAL_ACQUISITION_AND_TRAINING,PUBLIC_DISTRIBUTION_REPOSITORY_INCLUSION_OR_COMMERCIALIZATION_PROPOSED,RIGHTS-SUP-009,UNIVERSAL_PRIVATE_RESEARCH_ACQUISITION_2026-08-09,true,true
2.0.0,PRIVATE-RESEARCH-SRC-021,SRC-021,American Conference,Football Player Availability Reports,injuries/availability,Kevin Garrett (project owner directive),UNIVERSAL_PRIVATE_RESEARCH_ACQUISITION_2026-08-09,Codex (technical policy review; not legal counsel),2026-08-09,SOURCE_SPECIFIC_PUBLIC_SITE,PUBLIC_FACTUAL_LANE_REVIEWED_2026-08-09,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,https://theamerican.org/robots.txt,american_robots,bb01f376f844316fa17dcb1929a91a88ca1c460c18c89d91ebefcb0fea6b92d9,200,ALLOW,5,DIRECT_API_HTTP_BROWSER_SCRAPFLY_SCRAPERAPI_PUBLIC_DOWNLOAD_OR_OWNER_CREDENTIALED_ROUTE_AS_TECHNICALLY_APPROPRIATE,PUBLIC_OR_OWNER_CREDENTIALED_FACTUAL_DATA_FOR_PRIVATE_RESEARCH,ALLOW_IMMUTABLE_RAW_AND_NORMALIZED_DATA_OUTSIDE_GIT,ALLOW_PRIVATE_LOCAL_ANALYSIS_FEATURES_AND_MODELS,ALLOW_LOCAL_MODEL_TRAINING,SEPARATE_FUTURE_PUBLICATION_REVIEW_REQUIRED_NO_RAW_PAYLOAD_PUBLICATION,DO_NOT_PUBLISH_OR_REDISTRIBUTE_RAW_THIRD_PARTY_PAYLOADS,LOCAL_RETENTION_ALLOWED_UNDER_EXTERNAL_DATA_ROOT_AND_DISK_POLICY,PRESERVE_SOURCE_URL_TIMESTAMP_AND_PROVENANCE_METADATA,PRESERVE_AUTHORITATIVE_CAPTURES_DELETE_ONLY_VERIFIED_RECONSTRUCTIBLE_TEMPORARIES,LICENSE_TERMS_AND_REDISTRIBUTION_STATUS_RETAINED_AS_NONBLOCKING_METADATA,PRIVATE_RESEARCH_ALLOWED,METADATA_ONLY_NONBLOCKING,true,SRC-002,ACQUISITION_ALLOWED_PRIVATE_RESEARCH,true,OWNER_UNIVERSAL_PRIVATE_RESEARCH_POLICY_ALLOWS_LOCAL_ACQUISITION_AND_TRAINING,PUBLIC_DISTRIBUTION_REPOSITORY_INCLUSION_OR_COMMERCIALIZATION_PROPOSED,RIGHTS-SUP-010,UNIVERSAL_PRIVATE_RESEARCH_ACQUISITION_2026-08-09,true,true
