epic_id,phase_id,owner_wave,title,objective,priority,replan_gate,status
EPIC-001,PHASE-1,W06,Comprehensive data-universe research,"Revalidate and expand the source universe, licensing/PIT feasibility, source priorities and fallbacks using fresh research.",MUST,NONE,DONE_W06
EPIC-002,PHASE-1,W07,Canonical entities and identity resolution,"Define canonical identity, source mappings, temporal identity and unresolved-resolution workflow.",MUST,W06_REPLAN,DONE_W07
EPIC-003,PHASE-1,W08,Point-in-time state architecture,Implement the temporal semantics that make historical forecasts reconstructible without future information.,MUST,W06_REPLAN,DONE_W08
EPIC-004,PHASE-1,W09,Raw feature registry and schema discovery,Build schema discovery and feature metadata so raw fields are classified before engineering/promotion.,MUST,W06_REPLAN,READY_W09
EPIC-005,PHASE-1,W10,Feature engineering and lifecycle,"Create PIT-safe transforms, screening, ablation and promotion/demotion workflow.",MUST,W06_REPLAN,REVALIDATED_W06_PLANNED
EPIC-006,PHASE-1,W11,Team state and early-season intelligence,"Build strength state, priors, recency, regime and lower-division hierarchy with uncertainty.",MUST,W06_REPLAN,REVALIDATED_W06_PLANNED
EPIC-007,PHASE-1,W16-W17,Foundation baseline model capability,"Establish simple and boosted national baselines, calibration and walk-forward benchmarks before complex challengers.",MUST,W06_REPLAN,W16_BASELINE_CONTRACTS_COMPLETE_W17_PROTOCOL_PENDING
EPIC-008,PHASE-1,W19,Foundation implementation realization,Create functional starter adapters/contracts/storage/entity/PIT/feature implementations from the latest accepted designs.,MUST,W06_REPLAN,REVALIDATED_W06_PLANNED
EPIC-009,PHASE-2,W12,"Player, roster, depth and availability state","Represent player value, depth, availability, usage, replacement and uncertainty at prediction time.",MUST,W06_REPLAN,REVALIDATED_W06_PLANNED
EPIC-010,PHASE-2,W12,"Transfers, recruiting and prospect priors",Translate incoming talent/production across competitive context without hard-coded conference penalties.,MUST,W06_REPLAN,REVALIDATED_W06_PLANNED
EPIC-011,PHASE-2,W13,Coaching and staff intelligence,"Represent effective-dated role episodes, development residuals, scheme/tendency and decision evidence with partial pooling.",MUST,W06_REPLAN,DONE_W13_CONTRACT_ONLY
EPIC-012,PHASE-2,W13,"Environment, resources, venue and travel context",Represent environment and resource signals without inventing private-school values or hard-coded home bonuses.,MUST,W06_REPLAN,DONE_W13_CONTRACT_ONLY
EPIC-013,PHASE-2,W13,"Possession, field position and special teams mechanics","Represent opportunity volume, hidden yards and specialists as separable candidate subsystems.",MUST,W06_REPLAN,DONE_W13_CONTRACT_ONLY
EPIC-014,PHASE-2,W13,"Opponent adjustment, style and schedule stress",Normalize performance by opponent quality and represent matchup/style/workload context.,MUST,W06_REPLAN,DONE_W13_CONTRACT_ONLY
EPIC-015,PHASE-2,W19-W20,Advanced intelligence implementation realization,Implement selected advanced state/feature components behind stable PIT-safe interfaces.,MUST,W06_REPLAN,REVALIDATED_W06_PLANNED
EPIC-016,PHASE-3,W14,Texas A&M high-resolution state,Define deeper A&M roster/unit/regime/matchup state while preserving one canonical truth.,MUST,W06_REPLAN,REVALIDATED_W06_PLANNED
EPIC-017,PHASE-3,W14,A&M specialization architecture,"Compare residual, hierarchical multi-task, stacking and other specialization forms without forcing a nonzero adjustment.",MUST,W06_REPLAN,REVALIDATED_W06_PLANNED
EPIC-018,PHASE-3,W15,Scientific BAS labels and cross-fitting,Formalize leakage-safe performance residuals and BAS severity labels.,MUST,W06_REPLAN,REVALIDATED_W06_PLANNED
EPIC-019,PHASE-3,W15-W17,BAS decomposition and statistical validation,"Evaluate Aggie Excess, peer/regime/component hypotheses without hard-coding fan narratives.",MUST,W06_REPLAN,REVALIDATED_W06_PLANNED
EPIC-020,PHASE-3,W20,A&M specialization and BAS starter implementation,Implement selected specialization/BAS interfaces and integrate them with coherent forecast assembly.,MUST,W06_REPLAN,REVALIDATED_W06_PLANNED
