task_id,phase_id,epic_id,owner_wave,title,task_type,priority,complexity_class,execution_lane,status,depends_on,requirement_ids,acceptance_control_ids,outputs,mutation_scope,replan_gate,critical_dependency_gate,notes
TASK-001,PHASE-1,EPIC-001,W06,Freeze W06 research method and stopping rules,RESEARCH_GOVERNANCE,MUST,C3,SHARED_CONTRACT,DONE,,REQ-198;REQ-232;REQ-233,AC-009;AC-055;AC-056,DATA_RESEARCH_METHOD.md; SOURCE_RESEARCH_LOG.csv,docs/data research governance,NONE,NO,
TASK-002,PHASE-1,EPIC-001,W06,Execute multi-pass domain and source discovery,RESEARCH,MUST,C4,RESEARCH_LANE,DONE,TASK-001,REQ-198;REQ-232;REQ-233,AC-009;AC-055;AC-056,DATA_UNIVERSE_MASTER.csv; DATA_DOMAIN_COVERAGE_MATRIX.csv,,NONE,NO,
TASK-003,PHASE-1,EPIC-001,W06,"Audit access, licensing, historical depth and PIT feasibility",RESEARCH,MUST,C4,RESEARCH_LANE,DONE,TASK-002,REQ-198;REQ-232;REQ-233,AC-009;AC-055;AC-056,SOURCE_ACCESS_LICENSE_MATRIX.csv; POINT_IN_TIME_FEASIBILITY_MATRIX.csv,,NONE,NO,
TASK-004,PHASE-1,EPIC-001,W06,"Inventory schemas/endpoints, redundancy and source risks",RESEARCH,MUST,C4,RESEARCH_LANE,DONE,TASK-002,REQ-198;REQ-232;REQ-233,AC-009;AC-055;AC-056,DATASET_ENDPOINT_COLUMN_INVENTORY.csv; SOURCE_REDUNDANCY_MAP.csv; DATA_SOURCE_RISK_REGISTER.csv,,NONE,NO,
TASK-005,PHASE-1,EPIC-001,W06,Decide source priorities and acquisition strategy,DECISION,MUST,C4,SHARED_CONTRACT,DONE,TASK-003;TASK-004,REQ-198;REQ-232;REQ-233,AC-009;AC-055;AC-056,SOURCE_PRIORITY_DECISIONS.md; DATA_ACQUISITION_PLAN.md; DATA_MISSINGNESS_STRATEGY.md,,NONE,NO,
TASK-006,PHASE-1,EPIC-001,W06,Run W06 architecture/backlog replan gate,GATE,MUST,C5,PROTECTED_GATE,DONE,TASK-005,REQ-054;REQ-057;REQ-198;REQ-211;REQ-224;REQ-225;REQ-232;REQ-233;REQ-241;REQ-242;REQ-258,AC-009;AC-043;AC-053;AC-055;AC-056;AC-057;AC-060,WAVE_06_ARCHITECTURE_IMPACT.md; WAVE_PLAN_REVISIONS.md; revalidated implementation WBS; W06 source research artifacts,,NONE,YES,Mandatory replan checkpoint before source-dependent implementation tasks become READY.
TASK-007,PHASE-1,EPIC-002,W07,Define canonical entity semantics and stable ID policy,DESIGN,MUST,C5,SHARED_CONTRACT,DONE,TASK-006,REQ-037;REQ-159;REQ-261;REQ-262;REQ-263;REQ-264;REQ-268;REQ-269;REQ-270;REQ-271;REQ-272;REQ-273;REQ-274,AC-010;AC-055;AC-056;AC-061;AC-062;AC-063,docs/14_CANONICAL_ENTITY_ARCHITECTURE.md; governance/CANONICAL_ENTITY_CATALOG.csv; governance/CANONICAL_RELATIONSHIP_CATALOG.csv; configs/entity_registry.json; schemas/canonical/entities.json,canonical schema/contracts,W06_REPLAN,NO,W07 contract complete; materialized canonical data remains W19.
TASK-008,PHASE-1,EPIC-002,W07,"Define source mapping, aliases and temporal identity contracts",DESIGN,MUST,C4,SOLO_WORKTREE,DONE,TASK-007,REQ-038;REQ-040;REQ-058;REQ-159;REQ-252;REQ-265;REQ-267;REQ-268;REQ-269;REQ-270;REQ-271;REQ-272;REQ-273,AC-010;AC-055;AC-056;AC-062;AC-065,docs/15_SOURCE_MAPPING_AND_EVIDENCE_IDENTITY.md; governance/SOURCE_MAPPING_METHODS.csv; schemas/canonical/source_mapping.json,,W06_REPLAN,NO,Source mapping/evidence identity contract frozen in W07.
TASK-009,PHASE-1,EPIC-002,W07,Design deterministic/fuzzy entity-resolution pipeline,DESIGN,MUST,C4,SOLO_WORKTREE,DONE,TASK-008,REQ-037;REQ-038;REQ-196;REQ-266;REQ-274;REQ-278;REQ-282,AC-010;AC-017;AC-055;AC-056;AC-062;AC-063,docs/16_ENTITY_RESOLUTION_AND_REVIEW.md; governance/ENTITY_RESOLUTION_STATES.csv; configs/entity_registry.json,,W06_REPLAN,NO,Fuzzy candidate ranking is review-only; THR-008 remains unset pending W19 labeled evidence.
TASK-010,PHASE-1,EPIC-002,W07,"Define confidence, quarantine and unresolved-review workflow",DESIGN,MUST,C4,SOLO_WORKTREE,DONE,TASK-009,REQ-049;REQ-058;REQ-196;REQ-277;REQ-279;REQ-280,AC-010;AC-017;AC-055;AC-056;AC-063;AC-064,docs/16_ENTITY_RESOLUTION_AND_REVIEW.md; schemas/canonical/resolution_decision.json,,W06_REPLAN,NO,Unresolved/review/merge/split decision workflow contract frozen.
