source_id,source,dataset_or_endpoint,family,grain,important_fields_or_schema,historical_coverage,pit_note,inventory_provenance,current_status
SRC-001,SportsDataverse/cfbfastR-cfb-data,play_by_play,sportsdataverse,one row per play,reported columns=380,dataset-dependent,Historical game outputs require prior-game aggregation; mutable datasets require snapshot review,recon v1.2 expanded dataset inventory,CONFIRMED_W06
SRC-001,SportsDataverse/cfbfastR-cfb-data,team_box,sportsdataverse,one row per team (2 per game),reported columns=21,dataset-dependent,Historical game outputs require prior-game aggregation; mutable datasets require snapshot review,recon v1.2 expanded dataset inventory,CONFIRMED_W06
SRC-001,SportsDataverse/cfbfastR-cfb-data,player_box,sportsdataverse,one row per player per stat category,reported columns=56,dataset-dependent,Historical game outputs require prior-game aggregation; mutable datasets require snapshot review,recon v1.2 expanded dataset inventory,CONFIRMED_W06
SRC-001,SportsDataverse/cfbfastR-cfb-data,adv_team,sportsdataverse,one row per team per game,reported columns=77,dataset-dependent,Historical game outputs require prior-game aggregation; mutable datasets require snapshot review,recon v1.2 expanded dataset inventory,CONFIRMED_W06
SRC-001,SportsDataverse/cfbfastR-cfb-data,adv_passing,sportsdataverse,one row per passer per game,reported columns=23,dataset-dependent,Historical game outputs require prior-game aggregation; mutable datasets require snapshot review,recon v1.2 expanded dataset inventory,CONFIRMED_W06
SRC-001,SportsDataverse/cfbfastR-cfb-data,adv_rushing,sportsdataverse,one row per rusher per game,reported columns=15,dataset-dependent,Historical game outputs require prior-game aggregation; mutable datasets require snapshot review,recon v1.2 expanded dataset inventory,CONFIRMED_W06
SRC-001,SportsDataverse/cfbfastR-cfb-data,adv_receiving,sportsdataverse,one row per receiver per game,reported columns=15,dataset-dependent,Historical game outputs require prior-game aggregation; mutable datasets require snapshot review,recon v1.2 expanded dataset inventory,CONFIRMED_W06
SRC-001,SportsDataverse/cfbfastR-cfb-data,adv_defensive,sportsdataverse,one row per defensive team unit per game,reported columns=21,dataset-dependent,Historical game outputs require prior-game aggregation; mutable datasets require snapshot review,recon v1.2 expanded dataset inventory,CONFIRMED_W06
SRC-001,SportsDataverse/cfbfastR-cfb-data,adv_turnover,sportsdataverse,one row per team per game,reported columns=14,dataset-dependent,Historical game outputs require prior-game aggregation; mutable datasets require snapshot review,recon v1.2 expanded dataset inventory,CONFIRMED_W06
SRC-001,SportsDataverse/cfbfastR-cfb-data,adv_drives,sportsdataverse,one row per team per game,reported columns=10,dataset-dependent,Historical game outputs require prior-game aggregation; mutable datasets require snapshot review,recon v1.2 expanded dataset inventory,CONFIRMED_W06
