path,w17_size_bytes,w17_sha256,w18_size_bytes,w18_sha256,status
.codex/README.md,494,3df7dd57ee2740974effbfc0b098f1029249f9e9008ea1ee1e770395e40269ec,494,3df7dd57ee2740974effbfc0b098f1029249f9e9008ea1ee1e770395e40269ec,UNCHANGED
.codex/TASK_PACKET_TEMPLATE.md,406,1aba392336974c435c26cdc1c52bce8c70f500491cea04bce41566da75aec342,406,1aba392336974c435c26cdc1c52bce8c70f500491cea04bce41566da75aec342,UNCHANGED
.codex/WORKTREE_POLICY.md,668,d1ebc535fd41b1adccf8f0b50de7d4921713e0b933f939c12de8290ad8065b9f,668,d1ebc535fd41b1adccf8f0b50de7d4921713e0b933f939c12de8290ad8065b9f,UNCHANGED
.editorconfig,240,815a7443611a1a19ce656968bc9aefd29eb8bff77308398a0a7ed17768f71d52,240,815a7443611a1a19ce656968bc9aefd29eb8bff77308398a0a7ed17768f71d52,UNCHANGED
.env.example,223,3a13639a1997c5dc0954861f521049f9d28647ccfe96c8b68948c30ee3ef7658,223,3a13639a1997c5dc0954861f521049f9d28647ccfe96c8b68948c30ee3ef7658,UNCHANGED
.gitattributes,195,8132bdd5edd20f90efda8954a3c10df05b96cf7bb34b15a1eac80c6a9c15cf0f,195,8132bdd5edd20f90efda8954a3c10df05b96cf7bb34b15a1eac80c6a9c15cf0f,UNCHANGED
.github/CODEOWNERS,196,9c418a8473c73a52303004f4f3121d41aaa09d257dca58477fcd8cc445eb129f,196,9c418a8473c73a52303004f4f3121d41aaa09d257dca58477fcd8cc445eb129f,UNCHANGED
.github/ISSUE_TEMPLATE/bug_report.yml,634,5646a4c16ac5c3a0e300263d0d72ba5bff648f80eb79c0b5e28d02c2cbe1e19a,634,5646a4c16ac5c3a0e300263d0d72ba5bff648f80eb79c0b5e28d02c2cbe1e19a,UNCHANGED
.github/ISSUE_TEMPLATE/config.yml,27,13064e7bea658e01e718b414fbb7b3b244f36411fe25ee2055c151f7b534547a,27,13064e7bea658e01e718b414fbb7b3b244f36411fe25ee2055c151f7b534547a,UNCHANGED
.github/pull_request_template.md,452,6b9946aaedce6304edc81b7ad79f9d3d67317511bcb1d9b40cf4d3e8b1404ca7,452,6b9946aaedce6304edc81b7ad79f9d3d67317511bcb1d9b40cf4d3e8b1404ca7,UNCHANGED
.github/workflows/ci.yml,679,5b5dd283073f295aa9d487f5b886c5e25f8984b60e3c07dd239ec3fa5e75898a,679,5b5dd283073f295aa9d487f5b886c5e25f8984b60e3c07dd239ec3fa5e75898a,UNCHANGED
.gitignore,673,a5fc18c568ef0d6d5f1fa064e05ce38cfc02046b8c37acf95ca6d681e8c32c76,806,05a587aa01c3b526854e8d48fcc3a211b53cdec6a43e8a488c43a5eab8155a33,MODIFIED_CUMULATIVELY
.python-version,5,7b55f8e67b5623c4bef3fa691288da9437d79d3aba156de48d481db32ac7d16d,5,7b55f8e67b5623c4bef3fa691288da9437d79d3aba156de48d481db32ac7d16d,UNCHANGED
AGENTS.md,1785,20e7a2ec86a9511115582a9a6a320dfb7479d91824f619fdcda3977f62e099c3,2381,3e06ee276851b65a612108686ebf46242697b81d167ec82543c06bf3fee4acdc,MODIFIED_CUMULATIVELY
CHANGELOG.md,13563,ff84177e372ab86f15a1922ee29d7040930234ee6bce3cfc5db1183ca14973eb,15306,efcdca73da311749c67bfefaacfc91d3b99f7a8d3f6ab5673c6044e199484e82,MODIFIED_CUMULATIVELY
CONTRIBUTING.md,893,0c8dea47db129c5286b441f0c01c881eb0b464b8f26d405540be67d4eded9a53,893,0c8dea47db129c5286b441f0c01c881eb0b464b8f26d405540be67d4eded9a53,UNCHANGED
README.md,1826,5b8a73d6d91d3d63ee20a72b7df117db3352a71d1cb686a9a6fb243438ca4338,3818,f4f5547e7d27982d7d6ede3e5b02d3e0fa3d579509cb486426bb986fbcbb373f,MODIFIED_CUMULATIVELY
artifacts/README.md,258,3b602ad9a9f5a02011952964ded73f392d6f9a73c93b0f77a35173ff7ad23f2b,258,3b602ad9a9f5a02011952964ded73f392d6f9a73c93b0f77a35173ff7ad23f2b,UNCHANGED
configs/acceptance_registry.json,493568,157f3bb34e279d5025b48da2a7b874360e421f6738df62cf1fe681e4adf928af,594955,7e15638c9d8b1e1ba8f022045d1f9b2e2e4a5bd8f46715c771a44d13324efdfa,MODIFIED_CUMULATIVELY
