source_id,target_id,relationship,hard,source_basis
EPIC-001,POST-SUBTASK-051,RELATES_TO,false,Historical/post-wave reconciliation
EPIC-002,POST-SUBTASK-042,RELATES_TO,false,Historical/post-wave reconciliation
EPIC-003,POST-SUBTASK-078,RELATES_TO,false,Historical/post-wave reconciliation
EPIC-004,POST-SUBTASK-105,RELATES_TO,false,Historical/post-wave reconciliation
EPIC-005,POST-SUBTASK-105,RELATES_TO,false,Historical/post-wave reconciliation
EPIC-006,POST-SUBTASK-078,RELATES_TO,false,Historical/post-wave reconciliation
EPIC-007,POST-SUBTASK-105,RELATES_TO,false,Historical/post-wave reconciliation
EPIC-008,POST-SUBTASK-060,RELATES_TO,false,Historical/post-wave reconciliation
EPIC-009,POST-SUBTASK-078,RELATES_TO,false,Historical/post-wave reconciliation
EPIC-010,POST-SUBTASK-123,RELATES_TO,false,Historical/post-wave reconciliation
EPIC-011,POST-SUBTASK-069,RELATES_TO,false,Historical/post-wave reconciliation
EPIC-012,POST-SUBTASK-069,RELATES_TO,false,Historical/post-wave reconciliation
EPIC-013,POST-SUBTASK-141,RELATES_TO,false,Historical/post-wave reconciliation
EPIC-014,POST-SUBTASK-141,RELATES_TO,false,Historical/post-wave reconciliation
EPIC-015,POST-SUBTASK-060,RELATES_TO,false,Historical/post-wave reconciliation
EPIC-016,POST-SUBTASK-087,RELATES_TO,false,Historical/post-wave reconciliation
EPIC-017,POST-SUBTASK-087,RELATES_TO,false,Historical/post-wave reconciliation
EPIC-018,POST-SUBTASK-096,RELATES_TO,false,Historical/post-wave reconciliation
EPIC-019,POST-SUBTASK-096,RELATES_TO,false,Historical/post-wave reconciliation
EPIC-020,POST-SUBTASK-096,RELATES_TO,false,Historical/post-wave reconciliation
EPIC-021,POST-SUBTASK-096,RELATES_TO,false,Historical/post-wave reconciliation
EPIC-022,POST-SUBTASK-078,RELATES_TO,false,Historical/post-wave reconciliation
EPIC-023,POST-SUBTASK-105,RELATES_TO,false,Historical/post-wave reconciliation
EPIC-024,POST-SUBTASK-105,RELATES_TO,false,Historical/post-wave reconciliation
EPIC-025,POST-SUBTASK-078,RELATES_TO,false,Historical/post-wave reconciliation
EPIC-026,POST-SUBTASK-114,RELATES_TO,false,Historical/post-wave reconciliation
EPIC-027,POST-SUBTASK-096,RELATES_TO,false,Historical/post-wave reconciliation
EPIC-028,POST-SUBTASK-123,RELATES_TO,false,Historical/post-wave reconciliation
EPIC-029,POST-SUBTASK-150,RELATES_TO,false,Historical/post-wave reconciliation
EPIC-030,POST-SUBTASK-159,RELATES_TO,false,Historical/post-wave reconciliation
EPIC-031,POST-SUBTASK-141,RELATES_TO,false,Historical/post-wave reconciliation
EPIC-032,POST-SUBTASK-078,RELATES_TO,false,Historical/post-wave reconciliation
EPIC-033,POST-SUBTASK-141,RELATES_TO,false,Historical/post-wave reconciliation
POST-SUBTASK-024,POST-EPIC-003,BLOCKS,true,Issue dependency contract
POST-SUBTASK-033,POST-EPIC-004,BLOCKS,true,Issue dependency contract
POST-SUBTASK-042,POST-EPIC-005,BLOCKS,true,Issue dependency contract
POST-SUBTASK-048,POST-EPIC-006,BLOCKS,true,Issue dependency contract
POST-SUBTASK-030,POST-EPIC-007,BLOCKS,true,Issue dependency contract
POST-SUBTASK-048,POST-EPIC-007,BLOCKS,true,Issue dependency contract
POST-SUBTASK-051,POST-EPIC-008,BLOCKS,true,Issue dependency contract
POST-SUBTASK-060,POST-EPIC-008,BLOCKS,true,Issue dependency contract
POST-SUBTASK-063,POST-EPIC-009,BLOCKS,true,Issue dependency contract
POST-SUBTASK-069,POST-EPIC-009,BLOCKS,true,Issue dependency contract
POST-SUBTASK-078,POST-EPIC-009,BLOCKS,true,Issue dependency contract
POST-SUBTASK-078,POST-EPIC-010,BLOCKS,true,Issue dependency contract
POST-SUBTASK-084,POST-EPIC-010,BLOCKS,true,Issue dependency contract
POST-SUBTASK-078,POST-EPIC-011,BLOCKS,true,Issue dependency contract
POST-SUBTASK-084,POST-EPIC-011,BLOCKS,true,Issue dependency contract
POST-SUBTASK-090,POST-EPIC-011,BLOCKS,true,Issue dependency contract
POST-SUBTASK-105,POST-EPIC-012,BLOCKS,true,Issue dependency contract
POST-SUBTASK-111,POST-EPIC-013,BLOCKS,true,Issue dependency contract
POST-SUBTASK-002,POST-EPIC-014,BLOCKS,true,Issue dependency contract
POST-SUBTASK-024,POST-EPIC-014,BLOCKS,true,Issue dependency contract
POST-SUBTASK-009,POST-EPIC-015,BLOCKS,true,Issue dependency contract
POST-SUBTASK-114,POST-EPIC-015,BLOCKS,true,Issue dependency contract
POST-SUBTASK-123,POST-EPIC-015,BLOCKS,true,Issue dependency contract
POST-SUBTASK-132,POST-EPIC-015,BLOCKS,true,Issue dependency contract
POST-SUBTASK-141,POST-EPIC-016,BLOCKS,true,Issue dependency contract
POST-SUBTASK-141,POST-EPIC-017,BLOCKS,true,Issue dependency contract
POST-SUBTASK-040,POST-EPIC-018,BLOCKS,true,Issue dependency contract
POST-EPIC-001,POST-STORY-001,PARENT_CHILD,false,Canonical hierarchy
POST-EPIC-001,POST-STORY-002,PARENT_CHILD,false,Canonical hierarchy
POST-SUBTASK-001,POST-STORY-002,BLOCKS,true,Issue dependency contract
POST-EPIC-001,POST-STORY-003,PARENT_CHILD,false,Canonical hierarchy
POST-SUBTASK-002,POST-STORY-003,BLOCKS,true,Issue dependency contract
POST-SUBTASK-006,POST-STORY-003,BLOCKS,true,Issue dependency contract
POST-EPIC-001,POST-STORY-004,PARENT_CHILD,false,Canonical hierarchy
POST-SUBTASK-009,POST-STORY-004,BLOCKS,true,Issue dependency contract
POST-EPIC-002,POST-STORY-005,PARENT_CHILD,false,Canonical hierarchy
POST-EPIC-002,POST-STORY-006,PARENT_CHILD,false,Canonical hierarchy
POST-SUBTASK-015,POST-STORY-006,BLOCKS,true,Issue dependency contract
POST-EPIC-002,POST-STORY-007,PARENT_CHILD,false,Canonical hierarchy
POST-SUBTASK-015,POST-STORY-007,BLOCKS,true,Issue dependency contract
POST-EPIC-002,POST-STORY-008,PARENT_CHILD,false,Canonical hierarchy
POST-SUBTASK-018,POST-STORY-008,BLOCKS,true,Issue dependency contract
POST-SUBTASK-021,POST-STORY-008,BLOCKS,true,Issue dependency contract
POST-EPIC-003,POST-STORY-009,PARENT_CHILD,false,Canonical hierarchy
POST-SUBTASK-006,POST-STORY-009,BLOCKS,true,Issue dependency contract
POST-SUBTASK-018,POST-STORY-009,BLOCKS,true,Issue dependency contract
POST-SUBTASK-021,POST-STORY-009,BLOCKS,true,Issue dependency contract
POST-SUBTASK-022,POST-STORY-009,BLOCKS,true,Issue dependency contract
POST-EPIC-003,POST-STORY-010,PARENT_CHILD,false,Canonical hierarchy
POST-SUBTASK-027,POST-STORY-010,BLOCKS,true,Issue dependency contract
POST-EPIC-003,POST-STORY-011,PARENT_CHILD,false,Canonical hierarchy
POST-SUBTASK-027,POST-STORY-011,BLOCKS,true,Issue dependency contract
POST-SUBTASK-030,POST-STORY-011,BLOCKS,true,Issue dependency contract
POST-EPIC-004,POST-STORY-012,PARENT_CHILD,false,Canonical hierarchy
POST-SUBTASK-033,POST-STORY-012,BLOCKS,true,Issue dependency contract
POST-EPIC-004,POST-STORY-013,PARENT_CHILD,false,Canonical hierarchy
POST-SUBTASK-036,POST-STORY-013,BLOCKS,true,Issue dependency contract
POST-EPIC-004,POST-STORY-014,PARENT_CHILD,false,Canonical hierarchy
POST-SUBTASK-039,POST-STORY-014,BLOCKS,true,Issue dependency contract
POST-EPIC-005,POST-STORY-015,PARENT_CHILD,false,Canonical hierarchy
POST-SUBTASK-042,POST-STORY-015,BLOCKS,true,Issue dependency contract
POST-EPIC-005,POST-STORY-016,PARENT_CHILD,false,Canonical hierarchy
POST-SUBTASK-045,POST-STORY-016,BLOCKS,true,Issue dependency contract
POST-EPIC-005,POST-STORY-017,PARENT_CHILD,false,Canonical hierarchy
POST-SUBTASK-048,POST-STORY-017,BLOCKS,true,Issue dependency contract
POST-EPIC-006,POST-STORY-018,PARENT_CHILD,false,Canonical hierarchy
POST-SUBTASK-048,POST-STORY-018,BLOCKS,true,Issue dependency contract
POST-EPIC-006,POST-STORY-019,PARENT_CHILD,false,Canonical hierarchy
POST-SUBTASK-051,POST-STORY-019,BLOCKS,true,Issue dependency contract
POST-SUBTASK-054,POST-STORY-019,BLOCKS,true,Issue dependency contract
POST-EPIC-006,POST-STORY-020,PARENT_CHILD,false,Canonical hierarchy
POST-SUBTASK-057,POST-STORY-020,BLOCKS,true,Issue dependency contract
POST-EPIC-007,POST-STORY-021,PARENT_CHILD,false,Canonical hierarchy
POST-SUBTASK-030,POST-STORY-021,BLOCKS,true,Issue dependency contract
POST-SUBTASK-048,POST-STORY-021,BLOCKS,true,Issue dependency contract
POST-EPIC-007,POST-STORY-022,PARENT_CHILD,false,Canonical hierarchy
POST-SUBTASK-063,POST-STORY-022,BLOCKS,true,Issue dependency contract
POST-EPIC-007,POST-STORY-023,PARENT_CHILD,false,Canonical hierarchy
POST-SUBTASK-030,POST-STORY-023,BLOCKS,true,Issue dependency contract
POST-SUBTASK-048,POST-STORY-023,BLOCKS,true,Issue dependency contract
POST-EPIC-008,POST-STORY-024,PARENT_CHILD,false,Canonical hierarchy
POST-SUBTASK-051,POST-STORY-024,BLOCKS,true,Issue dependency contract
POST-SUBTASK-060,POST-STORY-024,BLOCKS,true,Issue dependency contract
POST-EPIC-008,POST-STORY-025,PARENT_CHILD,false,Canonical hierarchy
POST-SUBTASK-072,POST-STORY-025,BLOCKS,true,Issue dependency contract
POST-EPIC-008,POST-STORY-026,PARENT_CHILD,false,Canonical hierarchy
POST-SUBTASK-075,POST-STORY-026,BLOCKS,true,Issue dependency contract
POST-EPIC-009,POST-STORY-027,PARENT_CHILD,false,Canonical hierarchy
POST-SUBTASK-048,POST-STORY-027,BLOCKS,true,Issue dependency contract
POST-SUBTASK-063,POST-STORY-027,BLOCKS,true,Issue dependency contract
POST-SUBTASK-066,POST-STORY-027,BLOCKS,true,Issue dependency contract
POST-SUBTASK-069,POST-STORY-027,BLOCKS,true,Issue dependency contract
POST-EPIC-009,POST-STORY-028,PARENT_CHILD,false,Canonical hierarchy
POST-SUBTASK-078,POST-STORY-028,BLOCKS,true,Issue dependency contract
POST-SUBTASK-081,POST-STORY-028,BLOCKS,true,Issue dependency contract
POST-EPIC-009,POST-STORY-029,PARENT_CHILD,false,Canonical hierarchy
POST-SUBTASK-084,POST-STORY-029,BLOCKS,true,Issue dependency contract
POST-SUBTASK-102,POST-STORY-029,BLOCKS,true,Issue dependency contract
POST-EPIC-010,POST-STORY-030,PARENT_CHILD,false,Canonical hierarchy
POST-SUBTASK-051,POST-STORY-030,BLOCKS,true,Issue dependency contract
POST-SUBTASK-078,POST-STORY-030,BLOCKS,true,Issue dependency contract
POST-EPIC-010,POST-STORY-031,PARENT_CHILD,false,Canonical hierarchy
POST-SUBTASK-084,POST-STORY-031,BLOCKS,true,Issue dependency contract
POST-SUBTASK-090,POST-STORY-031,BLOCKS,true,Issue dependency contract
POST-EPIC-010,POST-STORY-032,PARENT_CHILD,false,Canonical hierarchy
POST-SUBTASK-093,POST-STORY-032,BLOCKS,true,Issue dependency contract
POST-SUBTASK-102,POST-STORY-032,BLOCKS,true,Issue dependency contract
POST-EPIC-011,POST-STORY-033,PARENT_CHILD,false,Canonical hierarchy
POST-SUBTASK-078,POST-STORY-033,BLOCKS,true,Issue dependency contract
POST-SUBTASK-084,POST-STORY-033,BLOCKS,true,Issue dependency contract
POST-SUBTASK-090,POST-STORY-033,BLOCKS,true,Issue dependency contract
POST-EPIC-011,POST-STORY-034,PARENT_CHILD,false,Canonical hierarchy
POST-SUBTASK-099,POST-STORY-034,BLOCKS,true,Issue dependency contract
POST-EPIC-011,POST-STORY-035,PARENT_CHILD,false,Canonical hierarchy
POST-SUBTASK-087,POST-STORY-035,BLOCKS,true,Issue dependency contract
POST-SUBTASK-096,POST-STORY-035,BLOCKS,true,Issue dependency contract
POST-SUBTASK-102,POST-STORY-035,BLOCKS,true,Issue dependency contract
POST-EPIC-012,POST-STORY-036,PARENT_CHILD,false,Canonical hierarchy
POST-SUBTASK-024,POST-STORY-036,BLOCKS,true,Issue dependency contract
POST-SUBTASK-105,POST-STORY-036,BLOCKS,true,Issue dependency contract
POST-EPIC-012,POST-STORY-037,PARENT_CHILD,false,Canonical hierarchy
POST-SUBTASK-108,POST-STORY-037,BLOCKS,true,Issue dependency contract
POST-EPIC-012,POST-STORY-038,PARENT_CHILD,false,Canonical hierarchy
POST-SUBTASK-111,POST-STORY-038,BLOCKS,true,Issue dependency contract
POST-EPIC-013,POST-STORY-039,PARENT_CHILD,false,Canonical hierarchy
POST-SUBTASK-111,POST-STORY-039,BLOCKS,true,Issue dependency contract
POST-EPIC-013,POST-STORY-040,PARENT_CHILD,false,Canonical hierarchy
POST-SUBTASK-117,POST-STORY-040,BLOCKS,true,Issue dependency contract
POST-EPIC-013,POST-STORY-041,PARENT_CHILD,false,Canonical hierarchy
POST-SUBTASK-009,POST-STORY-041,BLOCKS,true,Issue dependency contract
POST-SUBTASK-120,POST-STORY-041,BLOCKS,true,Issue dependency contract
POST-EPIC-014,POST-STORY-042,PARENT_CHILD,false,Canonical hierarchy
POST-SUBTASK-002,POST-STORY-042,BLOCKS,true,Issue dependency contract
