issue_id,source_gap_id,area,priority,issue,resolution_path,blocking_now,status,planned_wave
ISSUE-001,GAP-001,SportsDataverse,MEDIUM,Season roster schema column-count inconsistency,Profile actual season roster asset and freeze contract,NO,OPEN,W06-W19
ISSUE-002,GAP-002,SportsDataverse/CFBD,HIGH,Betting spread sign/provider semantics differ,Implement canonical spread convention + provider/timestamp contract tests,NO,OPEN,W06-W19
ISSUE-003,GAP-003,CFBD,MEDIUM,Authenticated live sample payloads not materialized in pack,Run included acquisition tool locally with environment-variable key,NO,OPEN,W06-W19
ISSUE-004,GAP-004,Open-Meteo,LOW,Direct dynamic API JSON not materialized,Run included no-key acquisition tool locally,NO,OPEN,W06-W19
ISSUE-005,GAP-005,EADA,MEDIUM,Raw annual federal data file not materialized,Download official annual data and profile with included strategy before production resources,NO,OPEN,W06-W19
ISSUE-006,GAP-006,All sources,HIGH,Full-population missingness/value distributions not measured,Materialize production-era datasets and run full profiling pipeline,NO,OPEN,W06-W19
ISSUE-007,GAP-007,All feature families,HIGH,Statistical correlations/duplication not measured on full training matrix,Run correlation clustering/ablation after point-in-time feature matrix exists,NO,OPEN,W06-W19
ISSUE-008,GAP-008,Entity resolution,HIGH,Cross-source team/game/player/coach mappings not fully validated at scale,Build source_entity_map and contract-test sampled seasons,NO,OPEN,W06-W19
ISSUE-009,GAP-009,Texas A&M,HIGH,Historical game-week depth/injury coverage is uneven,Acquire official game notes/depth/flip cards and assign evidence confidence,NO,OPEN,W06-W19
ISSUE-010,GAP-010,Resources,HIGH,First-known-public timestamps for annual reports not fully materialized,Store report publication/availability timestamps; lag features appropriately,NO,OPEN,W06-W19
ISSUE-011,GAP-011,Weather,MEDIUM,Historical forecast-run coverage must be verified for desired forecast snapshots,Use archived forecast/previous-run products where available; observed reanalysis only for observed-condition features,NO,OPEN,W06-W19
ISSUE-012,GAP-012,PFF,NONE,Optional charting enrichment intentionally deferred,No action for v1; future add-on only if user chooses and legitimate export available,NO,OPEN,W06-W19
ISSUE-013,GAP-013,Draft development,MEDIUM,Historical CFBD draft outcomes have not yet been fully materialized/profiled in the pack,Acquire completed draft history and validate player/team identity joins,NO,OPEN,W06-W19
ISSUE-014,GAP-014,Preseason honors,MEDIUM,No single normalized historical national archive yet spans all conference teams/selectors/watch lists,"Build dated honor ingestion across conference offices, NCFAA, and approved selectors",NO,OPEN,W06-W19
ISSUE-015,GAP-015,Coach role effects,HIGH,Role-conditioned coach residuals are specified but not statistically estimated,Build role episodes and hierarchical residual model after full historical data materialization,NO,OPEN,W06-W19
ISSUE-016,GAP-016,Transfer translation,HIGH,Same-player pre/post-transfer translation model not yet trained,Build historical transfer cohort and position-specific translation models,NO,OPEN,W06-W19
