risk_id,acceptance_control_ids,status,notes
RISK-001,AC-011;AC-012,MAPPED,Controls mitigate/detect risk; OPEN risk may remain until owner-wave evidence passes.
RISK-002,AC-014,MAPPED,Controls mitigate/detect risk; OPEN risk may remain until owner-wave evidence passes.
RISK-003,AC-017,MAPPED,Controls mitigate/detect risk; OPEN risk may remain until owner-wave evidence passes.
RISK-004,AC-007;AC-044,MAPPED,Controls mitigate/detect risk; OPEN risk may remain until owner-wave evidence passes.
RISK-005,AC-007;AC-044,MAPPED,Controls mitigate/detect risk; OPEN risk may remain until owner-wave evidence passes.
RISK-006,AC-038,MAPPED,Controls mitigate/detect risk; OPEN risk may remain until owner-wave evidence passes.
RISK-007,AC-007;AC-044,MAPPED,Controls mitigate/detect risk; OPEN risk may remain until owner-wave evidence passes.
RISK-008,AC-009;AC-020,MAPPED,Controls mitigate/detect risk; OPEN risk may remain until owner-wave evidence passes.
RISK-009,AC-007;AC-044,MAPPED,Controls mitigate/detect risk; OPEN risk may remain until owner-wave evidence passes.
RISK-010,AC-009;AC-020,MAPPED,Controls mitigate/detect risk; OPEN risk may remain until owner-wave evidence passes.
RISK-011,AC-009;AC-020,MAPPED,Controls mitigate/detect risk; OPEN risk may remain until owner-wave evidence passes.
RISK-012,AC-043,MAPPED,Controls mitigate/detect risk; OPEN risk may remain until owner-wave evidence passes.
RISK-013,AC-002;AC-040,MAPPED,Controls mitigate/detect risk; OPEN risk may remain until owner-wave evidence passes.
RISK-014,AC-002;AC-040,MAPPED,Controls mitigate/detect risk; OPEN risk may remain until owner-wave evidence passes.
RISK-015,AC-002;AC-040,MAPPED,Controls mitigate/detect risk; OPEN risk may remain until owner-wave evidence passes.
RISK-016,AC-005,MAPPED,Controls mitigate/detect risk; OPEN risk may remain until owner-wave evidence passes.
RISK-017,AC-007;AC-044,MAPPED,Controls mitigate/detect risk; OPEN risk may remain until owner-wave evidence passes.
RISK-018,AC-023;AC-025;AC-031,MAPPED,Controls mitigate/detect risk; OPEN risk may remain until owner-wave evidence passes.
RISK-019,AC-007;AC-044,MAPPED,Controls mitigate/detect risk; OPEN risk may remain until owner-wave evidence passes.
RISK-020,AC-007;AC-044,MAPPED,Controls mitigate/detect risk; OPEN risk may remain until owner-wave evidence passes.
RISK-021,AC-023;AC-025;AC-031,MAPPED,Controls mitigate/detect risk; OPEN risk may remain until owner-wave evidence passes.
RISK-022,AC-032,MAPPED,Controls mitigate/detect risk; OPEN risk may remain until owner-wave evidence passes.
RISK-023,AC-038,MAPPED,Controls mitigate/detect risk; OPEN risk may remain until owner-wave evidence passes.
RISK-024,AC-007;AC-044,MAPPED,Controls mitigate/detect risk; OPEN risk may remain until owner-wave evidence passes.
RISK-025,AC-038,MAPPED,Controls mitigate/detect risk; OPEN risk may remain until owner-wave evidence passes.
RISK-026,AC-032,MAPPED,Controls mitigate/detect risk; OPEN risk may remain until owner-wave evidence passes.
RISK-027,AC-007;AC-044,MAPPED,Controls mitigate/detect risk; OPEN risk may remain until owner-wave evidence passes.
RISK-028,AC-011;AC-012,MAPPED,Controls mitigate/detect risk; OPEN risk may remain until owner-wave evidence passes.
RISK-029,AC-002;AC-040,MAPPED,Controls mitigate/detect risk; OPEN risk may remain until owner-wave evidence passes.
RISK-030,AC-002;AC-040,MAPPED,Controls mitigate/detect risk; OPEN risk may remain until owner-wave evidence passes.
RISK-031,AC-002;AC-040,MAPPED,Controls mitigate/detect risk; OPEN risk may remain until owner-wave evidence passes.
RISK-032,AC-005,MAPPED,Controls mitigate/detect risk; OPEN risk may remain until owner-wave evidence passes.
RISK-033,AC-007;AC-044,MAPPED,Controls mitigate/detect risk; OPEN risk may remain until owner-wave evidence passes.
RISK-034,AC-007;AC-044,MAPPED,Controls mitigate/detect risk; OPEN risk may remain until owner-wave evidence passes.
RISK-035,AC-004;AC-042,MAPPED,Controls mitigate/detect risk; OPEN risk may remain until owner-wave evidence passes.
RISK-036,AC-007;AC-044,MAPPED,Controls mitigate/detect risk; OPEN risk may remain until owner-wave evidence passes.
RISK-037,AC-005,MAPPED,Controls mitigate/detect risk; OPEN risk may remain until owner-wave evidence passes.
RISK-038,AC-017,MAPPED,Controls mitigate/detect risk; OPEN risk may remain until owner-wave evidence passes.
RISK-039,AC-037,MAPPED,Controls mitigate/detect risk; OPEN risk may remain until owner-wave evidence passes.
RISK-040,AC-032,MAPPED,Controls mitigate/detect risk; OPEN risk may remain until owner-wave evidence passes.
RISK-041,AC-009;AC-020,MAPPED,Controls mitigate/detect risk; OPEN risk may remain until owner-wave evidence passes.
RISK-042,AC-023;AC-025;AC-031,MAPPED,Controls mitigate/detect risk; OPEN risk may remain until owner-wave evidence passes.
