local_id,issue_type,execution_mode,workflow_state,ready,packet_path,directly_executable,aggregate_gate_only,parent_id,governance_traceability_gate
POST-SUBTASK-024,Subtask,ATOMIC_EXECUTION,READY,true,jira/ai/work_packets/POST-SUBTASK-024.md,true,false,POST-STORY-008,POST-SUBTASK-024
POST-SUBTASK-045,Subtask,ATOMIC_EXECUTION,IN_PROGRESS,true,jira/ai/work_packets/POST-SUBTASK-045.md,true,false,POST-STORY-015,POST-SUBTASK-051
POST-SUBTASK-126,Subtask,ATOMIC_EXECUTION,READY,true,jira/ai/work_packets/POST-SUBTASK-126.md,true,false,POST-STORY-042,POST-SUBTASK-132
POST-EPIC-001,Epic,AGGREGATE_GATE,BACKLOG,false,jira/ai/work_packets/POST-EPIC-001.md,false,true,,POST-SUBTASK-009
POST-EPIC-002,Epic,AGGREGATE_GATE,BACKLOG,false,jira/ai/work_packets/POST-EPIC-002.md,false,true,,POST-SUBTASK-024
POST-EPIC-003,Epic,AGGREGATE_GATE,BACKLOG,false,jira/ai/work_packets/POST-EPIC-003.md,false,true,,POST-SUBTASK-033
POST-EPIC-004,Epic,AGGREGATE_GATE,BACKLOG,false,jira/ai/work_packets/POST-EPIC-004.md,false,true,,POST-SUBTASK-042
POST-EPIC-005,Epic,AGGREGATE_GATE,BACKLOG,false,jira/ai/work_packets/POST-EPIC-005.md,false,true,,POST-SUBTASK-051
POST-EPIC-006,Epic,AGGREGATE_GATE,BACKLOG,false,jira/ai/work_packets/POST-EPIC-006.md,false,true,,POST-SUBTASK-060
POST-EPIC-007,Epic,AGGREGATE_GATE,BACKLOG,false,jira/ai/work_packets/POST-EPIC-007.md,false,true,,POST-SUBTASK-069
POST-EPIC-008,Epic,AGGREGATE_GATE,BACKLOG,false,jira/ai/work_packets/POST-EPIC-008.md,false,true,,POST-SUBTASK-078
POST-EPIC-009,Epic,AGGREGATE_GATE,BACKLOG,false,jira/ai/work_packets/POST-EPIC-009.md,false,true,,POST-SUBTASK-087
POST-EPIC-010,Epic,AGGREGATE_GATE,BACKLOG,false,jira/ai/work_packets/POST-EPIC-010.md,false,true,,POST-SUBTASK-096
POST-EPIC-011,Epic,AGGREGATE_GATE,BACKLOG,false,jira/ai/work_packets/POST-EPIC-011.md,false,true,,POST-SUBTASK-105
POST-EPIC-012,Epic,AGGREGATE_GATE,BACKLOG,false,jira/ai/work_packets/POST-EPIC-012.md,false,true,,POST-SUBTASK-114
POST-EPIC-013,Epic,AGGREGATE_GATE,BACKLOG,false,jira/ai/work_packets/POST-EPIC-013.md,false,true,,POST-SUBTASK-123
POST-EPIC-014,Epic,AGGREGATE_GATE,BACKLOG,false,jira/ai/work_packets/POST-EPIC-014.md,false,true,,POST-SUBTASK-132
POST-EPIC-015,Epic,AGGREGATE_GATE,BACKLOG,false,jira/ai/work_packets/POST-EPIC-015.md,false,true,,POST-SUBTASK-141
POST-EPIC-016,Epic,AGGREGATE_GATE,DEFERRED,false,jira/ai/work_packets/POST-EPIC-016.md,false,true,,POST-SUBTASK-150
POST-EPIC-017,Epic,AGGREGATE_GATE,DEFERRED,false,jira/ai/work_packets/POST-EPIC-017.md,false,true,,POST-SUBTASK-159
