local_id,jira_key,import_id,issue_type,summary,parent,epic,phase,priority,workflow_state,maturity_before,maturity_after,evidence_state,ready,blocked_by,critical_path,component,execution_lane,execution_mode,historical_classification,owner_wave,read_file_count,touch_file_count,source_ids,primary_source_refs,canonical_record,generated_markdown
EPIC-001,BAT-1,100001,Epic,[EPIC-001] Comprehensive data-universe research,,,PHASE-1,P1,DONE,CONTRACT_DEFINED,CONTRACT_DEFINED,VERIFIED,false,,true,pit-temporal,SHARED_CONTRACT,HISTORICAL_REFERENCE,HISTORICAL_SCOPED_COMPLETED,W06,2,2,EPIC-001,SRCREF-00001;SRCREF-01961,jira/records/issues/epics/EPIC-001_comprehensive_data_universe_research.json,jira/issues/epics/EPIC-001_comprehensive_data_universe_research.md
EPIC-002,BAT-2,100002,Epic,[EPIC-002] Canonical entities and identity resolution,,,PHASE-1,P1,DONE,CONTRACT_DEFINED,CONTRACT_DEFINED,VERIFIED,false,,true,entities,SHARED_CONTRACT,HISTORICAL_REFERENCE,HISTORICAL_SCOPED_COMPLETED,W07,2,2,EPIC-002,SRCREF-00002;SRCREF-01962,jira/records/issues/epics/EPIC-002_canonical_entities_and_identity_resolution.json,jira/issues/epics/EPIC-002_canonical_entities_and_identity_resolution.md
EPIC-003,BAT-3,100003,Epic,[EPIC-003] Point-in-time state architecture,,,PHASE-1,P1,DONE,CONTRACT_DEFINED,CONTRACT_DEFINED,VERIFIED,false,,true,modeling,SHARED_CONTRACT,HISTORICAL_REFERENCE,HISTORICAL_SCOPED_COMPLETED,W08,2,2,EPIC-003,SRCREF-00003;SRCREF-01963,jira/records/issues/epics/EPIC-003_point_in_time_state_architecture.json,jira/issues/epics/EPIC-003_point_in_time_state_architecture.md
EPIC-004,BAT-4,100004,Epic,[EPIC-004] Raw feature registry and schema discovery,,,PHASE-1,P1,DONE,CONTRACT_DEFINED,CONTRACT_DEFINED,VERIFIED,false,,true,validation-promotion,SHARED_CONTRACT,HISTORICAL_REFERENCE,HISTORICAL_SCOPED_COMPLETED,W09,2,2,EPIC-004,SRCREF-00004;SRCREF-01964,jira/records/issues/epics/EPIC-004_raw_feature_registry_and_schema_discovery.json,jira/issues/epics/EPIC-004_raw_feature_registry_and_schema_discovery.md
EPIC-005,BAT-5,100005,Epic,[EPIC-005] Feature engineering and lifecycle,,,PHASE-1,P1,DONE,CONTRACT_DEFINED,CONTRACT_DEFINED,VERIFIED,false,,true,validation-promotion,SHARED_CONTRACT,HISTORICAL_REFERENCE,HISTORICAL_SCOPED_COMPLETED,W10,2,2,EPIC-005,SRCREF-00005;SRCREF-01965,jira/records/issues/epics/EPIC-005_feature_engineering_and_lifecycle.json,jira/issues/epics/EPIC-005_feature_engineering_and_lifecycle.md
EPIC-006,BAT-6,100006,Epic,[EPIC-006] Team state and early-season intelligence,,,PHASE-1,P1,DONE,CONTRACT_DEFINED,CONTRACT_DEFINED,VERIFIED,false,,true,modeling,SHARED_CONTRACT,HISTORICAL_REFERENCE,HISTORICAL_SCOPED_COMPLETED,W11,2,2,EPIC-006,SRCREF-00006;SRCREF-01966,jira/records/issues/epics/EPIC-006_team_state_and_early_season_intelligence.json,jira/issues/epics/EPIC-006_team_state_and_early_season_intelligence.md
EPIC-007,BAT-7,100007,Epic,[EPIC-007] Foundation baseline model capability,,,PHASE-1,P1,DONE,CONTRACT_DEFINED,CONTRACT_DEFINED,VERIFIED,false,,true,validation-promotion,SHARED_CONTRACT,HISTORICAL_REFERENCE,HISTORICAL_SCOPED_COMPLETED,W16-W17,2,2,EPIC-007,SRCREF-00007;SRCREF-01967,jira/records/issues/epics/EPIC-007_foundation_baseline_model_capability.json,jira/issues/epics/EPIC-007_foundation_baseline_model_capability.md
EPIC-008,BAT-8,100008,Epic,[EPIC-008] Foundation implementation realization,,,PHASE-1,P1,DONE,CONTRACT_DEFINED,FUNCTIONAL_STARTER,VERIFIED,false,,true,feature-engineering,SHARED_CONTRACT,HISTORICAL_REFERENCE,HISTORICAL_SCOPED_COMPLETED,W19,2,2,EPIC-008,SRCREF-00008;SRCREF-01968,jira/records/issues/epics/EPIC-008_foundation_implementation_realization.json,jira/issues/epics/EPIC-008_foundation_implementation_realization.md
EPIC-009,BAT-9,100009,Epic,"[EPIC-009] Player, roster, depth and availability state",,,PHASE-2,P1,DONE,CONTRACT_DEFINED,CONTRACT_DEFINED,VERIFIED,false,,true,modeling,SHARED_CONTRACT,HISTORICAL_REFERENCE,HISTORICAL_SCOPED_COMPLETED,W12,2,2,EPIC-009,SRCREF-00009;SRCREF-01969,jira/records/issues/epics/EPIC-009_player_roster_depth_and_availability_state.json,jira/issues/epics/EPIC-009_player_roster_depth_and_availability_state.md
EPIC-010,BAT-10,100010,Epic,"[EPIC-010] Transfers, recruiting and prospect priors",,,PHASE-2,P1,DONE,CONTRACT_DEFINED,CONTRACT_DEFINED,VERIFIED,false,,true,serving-product,SHARED_CONTRACT,HISTORICAL_REFERENCE,HISTORICAL_SCOPED_COMPLETED,W12,2,2,EPIC-010,SRCREF-00010;SRCREF-01970,jira/records/issues/epics/EPIC-010_transfers_recruiting_and_prospect_priors.json,jira/issues/epics/EPIC-010_transfers_recruiting_and_prospect_priors.md
EPIC-011,BAT-11,100011,Epic,[EPIC-011] Coaching and staff intelligence,,,PHASE-2,P1,DONE,CONTRACT_DEFINED,CONTRACT_DEFINED,VERIFIED,false,,true,player-context-intelligence,SHARED_CONTRACT,HISTORICAL_REFERENCE,HISTORICAL_SCOPED_COMPLETED,W13,2,2,EPIC-011,SRCREF-00011;SRCREF-01971,jira/records/issues/epics/EPIC-011_coaching_and_staff_intelligence.json,jira/issues/epics/EPIC-011_coaching_and_staff_intelligence.md
EPIC-012,BAT-12,100012,Epic,"[EPIC-012] Environment, resources, venue and travel context",,,PHASE-2,P1,DONE,CONTRACT_DEFINED,CONTRACT_DEFINED,VERIFIED,false,,true,player-context-intelligence,SHARED_CONTRACT,HISTORICAL_REFERENCE,HISTORICAL_SCOPED_COMPLETED,W13,2,2,EPIC-012,SRCREF-00012;SRCREF-01972,jira/records/issues/epics/EPIC-012_environment_resources_venue_and_travel_context.json,jira/issues/epics/EPIC-012_environment_resources_venue_and_travel_context.md
EPIC-013,BAT-13,100013,Epic,"[EPIC-013] Possession, field position and special teams mechanics",,,PHASE-2,P1,DONE,CONTRACT_DEFINED,CONTRACT_DEFINED,VERIFIED,false,,true,release-readiness,SHARED_CONTRACT,HISTORICAL_REFERENCE,HISTORICAL_SCOPED_COMPLETED,W13,2,2,EPIC-013,SRCREF-00013;SRCREF-01973,jira/records/issues/epics/EPIC-013_possession_field_position_and_special_teams_mechanics.json,jira/issues/epics/EPIC-013_possession_field_position_and_special_teams_mechanics.md
EPIC-014,BAT-14,100014,Epic,"[EPIC-014] Opponent adjustment, style and schedule stress",,,PHASE-2,P1,DONE,CONTRACT_DEFINED,CONTRACT_DEFINED,VERIFIED,false,,true,release-readiness,SHARED_CONTRACT,HISTORICAL_REFERENCE,HISTORICAL_SCOPED_COMPLETED,W13,2,2,EPIC-014,SRCREF-00014;SRCREF-01974,jira/records/issues/epics/EPIC-014_opponent_adjustment_style_and_schedule_stress.json,jira/issues/epics/EPIC-014_opponent_adjustment_style_and_schedule_stress.md
EPIC-015,BAT-15,100015,Epic,[EPIC-015] Advanced intelligence implementation realization,,,PHASE-2,P1,DONE,CONTRACT_DEFINED,FUNCTIONAL_STARTER,VERIFIED,false,,true,feature-engineering,SHARED_CONTRACT,HISTORICAL_REFERENCE,HISTORICAL_SCOPED_COMPLETED,W19-W20,2,2,EPIC-015,SRCREF-00015;SRCREF-01975,jira/records/issues/epics/EPIC-015_advanced_intelligence_implementation_realization.json,jira/issues/epics/EPIC-015_advanced_intelligence_implementation_realization.md
EPIC-016,BAT-16,100016,Epic,[EPIC-016] Texas A&M high-resolution state,,,PHASE-3,P1,DONE,CONTRACT_DEFINED,CONTRACT_DEFINED,VERIFIED,false,,true,tamu-specialization,SHARED_CONTRACT,HISTORICAL_REFERENCE,HISTORICAL_SCOPED_COMPLETED,W14,2,2,EPIC-016,SRCREF-00016;SRCREF-01976,jira/records/issues/epics/EPIC-016_texas_a_and_m_high_resolution_state.json,jira/issues/epics/EPIC-016_texas_a_and_m_high_resolution_state.md
EPIC-017,BAT-17,100017,Epic,[EPIC-017] A&M specialization architecture,,,PHASE-3,P1,DONE,CONTRACT_DEFINED,CONTRACT_DEFINED,VERIFIED,false,,true,tamu-specialization,SHARED_CONTRACT,HISTORICAL_REFERENCE,HISTORICAL_SCOPED_COMPLETED,W14,2,2,EPIC-017,SRCREF-00017;SRCREF-01977,jira/records/issues/epics/EPIC-017_a_and_m_specialization_architecture.json,jira/issues/epics/EPIC-017_a_and_m_specialization_architecture.md
