issue_id,summary,reason,blocking_issue,blocking_evidence,unblock_condition,priority,downstream_impact,critical_path,execution_lane,execution_mode
POST-SUBTASK-009,[POST-SUBTASK-009] Govern THR-011 and THR-012 values and clear or retain the W23 local-production gate,"AC038_THRESHOLD_AUTHORITY_BLOCKER: accepted benchmark v1 preserves target_match=false and authoritative_for_thr_011_012=false without override; the six-stage supplement is a synthetic resource proxy, not a material production workflow; no predeclared threshold-derivation/headroom method exists. THR-011/012 remain blank and AC-038/TASK-163 remain blocked.",,,"Provide an accepted representative material-workflow benchmark whose declared target authority passes without override, with a threshold derivation/headroom method declared before pass/fail evaluation; then synchronize THR-011/012, AC-038, TASK-161/TASK-163, and the strict W23 validator from protected evidence without relaxing an observed failure.",P0,13,true,PROTECTED_GATE,ATOMIC_EXECUTION
POST-SUBTASK-010,[POST-SUBTASK-010] Measure safe local worktree and pipeline concurrency under target resource limits,UNSATISFIED_HARD_DEPENDENCIES: POST-SUBTASK-009,POST-SUBTASK-009,PARTIAL,Complete and verify all hard dependencies at required maturity/evidence.,P0,2,false,OPERATIONS,ATOMIC_EXECUTION
POST-SUBTASK-011,[POST-SUBTASK-011] Measure disk growth and define evidence-backed artifact retention budgets,UNSATISFIED_HARD_DEPENDENCIES: POST-SUBTASK-009;POST-SUBTASK-010,POST-SUBTASK-009;POST-SUBTASK-010,PARTIAL;PLANNED,Complete and verify all hard dependencies at required maturity/evidence.,P0,1,false,OPERATIONS,ATOMIC_EXECUTION
POST-SUBTASK-012,[POST-SUBTASK-012] Implement and test resource stop conditions and graceful degradation,UNSATISFIED_HARD_DEPENDENCIES: POST-SUBTASK-009;POST-SUBTASK-010;POST-SUBTASK-011,POST-SUBTASK-009;POST-SUBTASK-010;POST-SUBTASK-011,PARTIAL;PLANNED;PLANNED,Complete and verify all hard dependencies at required maturity/evidence.,P0,0,false,OPERATIONS,ATOMIC_EXECUTION
POST-SUBTASK-168,[POST-SUBTASK-168] Operate continuing governed OpenAI candidate assistance on dependency-ready real project work,USER_SCOPE_OVERRIDE_BAS_ONLY: assistive-plane execution is paused; preserve existing evidence and do not resume without a later explicit user instruction.,,,,P0,3,false,RESEARCH_LANE,ATOMIC_EXECUTION
POST-SUBTASK-199,[POST-SUBTASK-199] Run the bounded Qwen patch-only capability and cross-family quality pilot after separate paid OpenRouter authorization,USER_SCOPE_OVERRIDE_BAS_ONLY: assistive-plane execution is paused; preserve existing evidence and do not resume without a later explicit user instruction.,,,,P0,2,false,RESEARCH_LANE,ATOMIC_EXECUTION
POST-SUBTASK-200,"[POST-SUBTASK-200] Operate empirically admitted OpenRouter assistive routes with independent usage, provenance, cleanup, and handoff evidence",EMPIRICAL_ROUTE_NOT_ADMITTED,POST-SUBTASK-199,PARTIAL,POST-SUBTASK-199 passes for at least one exact task/model/provider route within the separately authorized USD 25 hard limit and current released stage.,P0,0,false,RESEARCH_LANE,ATOMIC_EXECUTION
POST-SUBTASK-201,"[POST-SUBTASK-201] Implement the unified ready-work inventory, routing, readiness, budget, provenance, bypass, utilization, and completeness foundation",USER_SCOPE_OVERRIDE_BAS_ONLY: assistive-plane execution is paused; preserve existing evidence and do not resume without a later explicit user instruction.,,,,P0,3,true,SHARED_CONTRACT,ATOMIC_EXECUTION
POST-SUBTASK-202,"[POST-SUBTASK-202] Qualify Cursor Cloud Agents with exact Codex model, serial safety pilots, bounded concurrency, and reviewed candidate integration",USER_SCOPE_OVERRIDE_BAS_ONLY: assistive-plane execution is paused; preserve existing evidence and do not resume without a later explicit user instruction.,POST-SUBTASK-201,PARTIAL,Complete and verify all hard dependencies at required maturity/evidence.,P0,1,false,RESEARCH_LANE,ATOMIC_EXECUTION
POST-SUBTASK-203,[POST-SUBTASK-203] Qualify and operate local models on exact evidence-backed task formats,USER_SCOPE_OVERRIDE_BAS_ONLY: assistive-plane execution is paused; preserve existing evidence and do not resume without a later explicit user instruction.,POST-SUBTASK-201,PARTIAL,Complete and verify all hard dependencies at required maturity/evidence.,P0,1,false,RESEARCH_LANE,ATOMIC_EXECUTION
