schema_version,generated_at_utc,source_id,provider_alias,source_role,acquisition_priority,production_disposition,credential_contract_state,credential_present_redacted,provider_entitlement_verified,technical_smoke_disposition,technical_smoke_http_status,source_rights_state,rights_decision_id,rights_decision,readiness_status,concrete_reason_code,unblock_condition,human_reviewer,human_review_date,terms_or_policy_version_date,access_purpose_decision,retention_decision,model_training_decision,publication_decision,redistribution_decision,deletion_decision,unresolved_questions,substitute_source_ids,production_access_ready,downstream_materialization_allowed,downstream_consumer_contract,credential_value_included,response_body_included
1,2026-08-09T16:24:29Z,SRC-001,SportsDataverse / cfbfastR,DERIVED_ANALYSIS_DATA,PRIMARY,CANDIDATE_CONTRACT_AND_RIGHTS_REVIEW_REQUIRED,NO_CREDENTIAL_REQUIRED_FOR_SELECTED_MODE,,,BLOCKED,,VERIFIED_REJECTED,RIGHTS-T1-001,BLOCK,REJECTED,EXPLICIT_SOURCE_RIGHTS_DECISION_BLOCK,Use approved substitute source IDs SRC-002; reconsider this direct route only on EXPLICIT_COMPATIBLE_DATA_LICENSE_AND_UPSTREAM_AUTHORIZATION.,Kevin Garrett (project owner),2026-08-09,tier1_rights_decisions.csv:RIGHTS-T1-001@2026-08-09,BLOCK_PRODUCTION_DIRECT_ROUTE_USE_APPROVED_SUBSTITUTE,BLOCK_BULK_DATA_DOWNLOAD_FOR_PRODUCTION_MATERIALIZATION,BLOCK_LOCAL_MODEL_TRAINING,ALLOW_ONLY_CITATION_AND_INDEPENDENTLY_IMPLEMENTED_CODE_NOT_REPOSITORY_DATA,BLOCK_RAW_AND_DERIVED_DATA_REPACKAGE,NO_SOURCE_PAYLOAD_RETAINED_DELETE_ANY_ACCIDENTAL_CAPTURE,PRODUCTION_BLOCKED_REVALIDATE_ON:EXPLICIT_COMPATIBLE_DATA_LICENSE_AND_UPSTREAM_AUTHORIZATION,SRC-002,false,false,FAIL_CLOSED_USE_APPROVED_SUBSTITUTE_OR_SOURCE_SPECIFIC_UNBLOCK_CONDITION,false,false
1,2026-08-09T16:24:29Z,SRC-002,Rad Sports Analytics / CollegeFootballData,PRIMARY_AGGREGATOR,PRIMARY,CANDIDATE_CONTRACT_AND_RIGHTS_REVIEW_REQUIRED,CONFIGURED_SELECTED_AUTHENTICATED_LANE_RIGHTS_AND_SMOKE_GATES_REMAIN,true,true,TECHNICAL_SMOKE_SUCCEEDED_RIGHTS_UNRESOLVED,200,VERIFIED_PRODUCTION_APPROVED,RIGHTS-T1-002,ALLOW_WITH_CONDITIONS,READY,ALL_PRODUCTION_ACCESS_GATES_PASS,"No access unblock is required; continue to enforce PIT, immutable snapshot, provenance, rate-limit, and source-contract gates during materialization.",Kevin Garrett (project owner),2026-08-09,tier1_rights_decisions.csv:RIGHTS-T1-002@2026-08-09,ALLOW_PERSONAL_NONCOMMERCIAL_LOCAL_ANALYTICS,ALLOW_IMMUTABLE_RAW_SNAPSHOTS_OUTSIDE_GIT_ON_THIS_PERSONAL_HOST,ALLOW_LOCAL_MODEL_TRAINING,ALLOW_CODE_AGGREGATE_METRICS_AND_NONREVERSIBLE_MODEL_ARTIFACTS_WITH_ATTRIBUTION_NO_RAW_ROWS,PROHIBIT_API_DATA_RESale_OR_REDISTRIBUTION_WITHOUT_EXPLICIT_PERMISSION,DELETE_LOCAL_RAW_SNAPSHOTS_PER_RETENTION_BUDGET_OR_SOURCE_REVOCATION,NONE_FOR_CURRENT_PERSONAL_NONCOMMERCIAL_SCOPE,,true,true,ALLOW_ONLY_SOURCE_ID_ACTIONS_ADMITTED_BY_SOURCE_RIGHTS_REGISTRY,false,false
1,2026-08-09T16:24:29Z,SRC-003,Open-Meteo,FORECAST_RECONSTRUCTION,SECONDARY,CANDIDATE_CONTRACT_AND_RIGHTS_REVIEW_REQUIRED,NO_CREDENTIAL_REQUIRED_FOR_SELECTED_MODE,,,TECHNICAL_SMOKE_SUCCEEDED,200,VERIFIED_PRODUCTION_APPROVED,RIGHTS-T1-003,ALLOW_WITH_CONDITIONS,READY,ALL_PRODUCTION_ACCESS_GATES_PASS,"No access unblock is required; continue to enforce PIT, immutable snapshot, provenance, rate-limit, and source-contract gates during materialization.",Kevin Garrett (project owner),2026-08-09,tier1_rights_decisions.csv:RIGHTS-T1-003@2026-08-09,ALLOW_PERSONAL_NONCOMMERCIAL_LOCAL_ANALYTICS,ALLOW_IMMUTABLE_RAW_SNAPSHOTS_OUTSIDE_GIT_ON_THIS_PERSONAL_HOST,ALLOW_LOCAL_MODEL_TRAINING,ALLOW_DERIVED_OUTPUTS_WITH_OPEN_METEO_AND_UPSTREAM_PROVIDER_ATTRIBUTION_NO_RAW_REPOSITORY_PAYLOADS,CC_BY_4_0_PERMITS_WITH_ATTRIBUTION_BUT_PROJECT_POLICY_PROHIBITS_RAW_DATA_IN_GIT,DELETE_LOCAL_RAW_SNAPSHOTS_PER_RETENTION_BUDGET_OR_SOURCE_REVOCATION,NONE_FOR_CURRENT_PERSONAL_NONCOMMERCIAL_SCOPE,,true,true,ALLOW_ONLY_SOURCE_ID_ACTIONS_ADMITTED_BY_SOURCE_RIGHTS_REGISTRY,false,false
1,2026-08-09T16:24:29Z,SRC-004,Knight Commission / Newhouse,resource context/validation,PRIMARY,CANDIDATE_CONTRACT_AND_RIGHTS_REVIEW_REQUIRED,NO_CREDENTIAL_REQUIRED_FOR_SELECTED_MODE,,,BLOCKED,,VERIFIED_EXPERIMENTAL_APPROVED,RIGHTS-SUP-001,ALLOW_WITH_CONDITIONS,BLOCKED_RIGHTS,EXPERIMENTAL_ONLY_NOT_PRODUCTION_READY,Do not use this route for production materialization; use approved substitute source IDs SRC-007;SRC-008;SRC-044 or revalidate on TERMS_ROBOTS_LICENSE_OR_ACCESS_CHANGE; PROVIDER_REQUEST; COMMERCIAL_USE; RAW_PUBLICATION; OR 2027-08-09.,Kevin Garrett (project owner),2026-08-09,supplemental_rights_decisions.csv:RIGHTS-SUP-001@2026-08-09,BLOCK_PRODUCTION_DIRECT_ROUTE_USE_APPROVED_SUBSTITUTE,ALLOW_IMMUTABLE_RAW_SNAPSHOTS_OUTSIDE_GIT_WITH_HASHED_MANIFEST,ALLOW_LOCAL_MODEL_TRAINING,ALLOW_CODE_PROVENANCE_CITATIONS_AGGREGATES_AND_NONREVERSIBLE_MODEL_OUTPUTS_NO_RESTRICTED_RAW_PAYLOADS,NO_RESTRICTED_OR_COMMERCIAL_RAW_PAYLOAD_REDISTRIBUTION; PUBLIC_GOVERNMENT_DATA_REMAINS_OUTSIDE_GIT_BY_PROJECT_POLICY,DELETE_LOCAL_RAW_SNAPSHOTS_PER_RETENTION_BUDGET_OR_SOURCE_REVOCATION,PRODUCTION_BLOCKED_REVALIDATE_ON:TERMS_ROBOTS_LICENSE_OR_ACCESS_CHANGE; PROVIDER_REQUEST; COMMERCIAL_USE; RAW_PUBLICATION; OR 2027-08-09,SRC-007;SRC-008;SRC-044,false,false,FAIL_CLOSED_USE_APPROVED_SUBSTITUTE_OR_SOURCE_SPECIFIC_UNBLOCK_CONDITION,false,false
1,2026-08-09T16:24:29Z,SRC-005,Official school athletics sites,official team evidence and validation,PRIMARY,CANDIDATE_CONTRACT_AND_RIGHTS_REVIEW_REQUIRED,NO_CREDENTIAL_REQUIRED_FOR_SELECTED_MODE,,,BLOCKED,,VERIFIED_REFERENCE_ONLY,RIGHTS-T1-004,REFERENCE_ONLY,BLOCKED_RIGHTS,PRODUCTION_ACQUISITION_NOT_APPROVED,Do not use this route for production materialization; use approved substitute source IDs NONE or revalidate on EXPLICIT_SOURCE_SPECIFIC_LICENSE_OR_PERMISSION.,Kevin Garrett (project owner),2026-08-09,tier1_rights_decisions.csv:RIGHTS-T1-004@2026-08-09,BLOCK_PRODUCTION_DIRECT_ROUTE_USE_APPROVED_SUBSTITUTE,ALLOW_ONLY_SMALL_CITED_DOCUMENTS_OR_OPERATOR_NOTES_OUTSIDE_GIT_WHEN_NEEDED; NO_SITE_MIRROR,BLOCK_LOCAL_MODEL_TRAINING,ALLOW_CITATIONS_AND_INDEPENDENT_FACTUAL_SUMMARIES_ONLY,PROHIBIT_RAW_SITE_CONTENT_REPUBLICATION,DELETE_LOCAL_RAW_SNAPSHOTS_PER_RETENTION_BUDGET_OR_SOURCE_REVOCATION,PRODUCTION_BLOCKED_REVALIDATE_ON:EXPLICIT_SOURCE_SPECIFIC_LICENSE_OR_PERMISSION,,false,false,FAIL_CLOSED_USE_APPROVED_SUBSTITUTE_OR_SOURCE_SPECIFIC_UNBLOCK_CONDITION,false,false
1,2026-08-09T16:24:29Z,SRC-006,PFF,optional enrichment only,DEFERRED,DEFERRED_USER_REACTIVATION_REQUIRED,CREDENTIAL_UNDEFINED_PENDING_LICENSE_AND_RIGHTS,,false,BLOCKED,,VERIFIED_REJECTED,RIGHTS-SUP-002,REJECTED,REJECTED,EXPLICIT_SOURCE_RIGHTS_DECISION_BLOCK,Use approved substitute source IDs SRC-002; reconsider this direct route only on TERMS_ROBOTS_LICENSE_OR_ACCESS_CHANGE; PROVIDER_REQUEST; COMMERCIAL_USE; RAW_PUBLICATION; OR 2027-08-09.,Kevin Garrett (project owner),2026-08-09,supplemental_rights_decisions.csv:RIGHTS-SUP-002@2026-08-09,BLOCK_PRODUCTION_DIRECT_ROUTE_USE_APPROVED_SUBSTITUTE,NO_UNLICENSED_PROVIDER_PAYLOAD_STORAGE,BLOCK_LOCAL_MODEL_TRAINING,ALLOW_CODE_PROVENANCE_CITATIONS_AGGREGATES_AND_NONREVERSIBLE_MODEL_OUTPUTS_NO_RESTRICTED_RAW_PAYLOADS,NO_RESTRICTED_OR_COMMERCIAL_RAW_PAYLOAD_REDISTRIBUTION; PUBLIC_GOVERNMENT_DATA_REMAINS_OUTSIDE_GIT_BY_PROJECT_POLICY,NO_SOURCE_PAYLOAD_RETAINED_DELETE_ANY_ACCIDENTAL_CAPTURE,PRODUCTION_BLOCKED_REVALIDATE_ON:TERMS_ROBOTS_LICENSE_OR_ACCESS_CHANGE; PROVIDER_REQUEST; COMMERCIAL_USE; RAW_PUBLICATION; OR 2027-08-09,SRC-002,false,false,FAIL_CLOSED_USE_APPROVED_SUBSTITUTE_OR_SOURCE_SPECIFIC_UNBLOCK_CONDITION,false,false
1,2026-08-09T16:24:29Z,SRC-007,U.S. Department of Education,public/private program resource lane,PRIMARY,CANDIDATE_CONTRACT_AND_RIGHTS_REVIEW_REQUIRED,NO_CREDENTIAL_REQUIRED_FOR_SELECTED_MODE,,,BLOCKED,,VERIFIED_PRODUCTION_APPROVED,RIGHTS-SUP-003,ALLOW_WITH_CONDITIONS,BLOCKED_PROVIDER,BOUNDED_TECHNICAL_SMOKE_NOT_YET_SUCCESSFUL,Run the source-specific bounded metadata-only access smoke for the approved route; retain a blocked state if the provider is unavailable and use an approved substitute for the required data outcome.,Kevin Garrett (project owner),2026-08-09,supplemental_rights_decisions.csv:RIGHTS-SUP-003@2026-08-09,ALLOW_PERSONAL_NONCOMMERCIAL_LOCAL_ANALYTICS,ALLOW_IMMUTABLE_RAW_SNAPSHOTS_OUTSIDE_GIT_WITH_HASHED_MANIFEST,ALLOW_LOCAL_MODEL_TRAINING,ALLOW_CODE_PROVENANCE_CITATIONS_AGGREGATES_AND_NONREVERSIBLE_MODEL_OUTPUTS_NO_RESTRICTED_RAW_PAYLOADS,NO_RESTRICTED_OR_COMMERCIAL_RAW_PAYLOAD_REDISTRIBUTION; PUBLIC_GOVERNMENT_DATA_REMAINS_OUTSIDE_GIT_BY_PROJECT_POLICY,DELETE_LOCAL_RAW_SNAPSHOTS_PER_RETENTION_BUDGET_OR_SOURCE_REVOCATION,NONE_FOR_CURRENT_PERSONAL_NONCOMMERCIAL_SCOPE,,false,false,FAIL_CLOSED_USE_APPROVED_SUBSTITUTE_OR_SOURCE_SPECIFIC_UNBLOCK_CONDITION,false,false
1,2026-08-09T16:24:29Z,SRC-008,U.S. Department of Education / NCES,institution identity/context/resource covariates,SECONDARY,CANDIDATE_CONTRACT_AND_RIGHTS_REVIEW_REQUIRED,NO_CREDENTIAL_REQUIRED_FOR_SELECTED_MODE,,,BLOCKED,,VERIFIED_PRODUCTION_APPROVED,RIGHTS-SUP-004,ALLOW_WITH_CONDITIONS,BLOCKED_PROVIDER,BOUNDED_TECHNICAL_SMOKE_NOT_YET_SUCCESSFUL,Run the source-specific bounded metadata-only access smoke for the approved route; retain a blocked state if the provider is unavailable and use an approved substitute for the required data outcome.,Kevin Garrett (project owner),2026-08-09,supplemental_rights_decisions.csv:RIGHTS-SUP-004@2026-08-09,ALLOW_PERSONAL_NONCOMMERCIAL_LOCAL_ANALYTICS,ALLOW_IMMUTABLE_RAW_SNAPSHOTS_OUTSIDE_GIT_WITH_HASHED_MANIFEST,ALLOW_LOCAL_MODEL_TRAINING,ALLOW_CODE_PROVENANCE_CITATIONS_AGGREGATES_AND_NONREVERSIBLE_MODEL_OUTPUTS_NO_RESTRICTED_RAW_PAYLOADS,NO_RESTRICTED_OR_COMMERCIAL_RAW_PAYLOAD_REDISTRIBUTION; PUBLIC_GOVERNMENT_DATA_REMAINS_OUTSIDE_GIT_BY_PROJECT_POLICY,DELETE_LOCAL_RAW_SNAPSHOTS_PER_RETENTION_BUDGET_OR_SOURCE_REVOCATION,NONE_FOR_CURRENT_PERSONAL_NONCOMMERCIAL_SCOPE,,false,false,FAIL_CLOSED_USE_APPROVED_SUBSTITUTE_OR_SOURCE_SPECIFIC_UNBLOCK_CONDITION,false,false
1,2026-08-09T16:24:29Z,SRC-009,Texas A&M Athletics,highest-resolution A&M evidence,PRIMARY,CANDIDATE_CONTRACT_AND_RIGHTS_REVIEW_REQUIRED,NO_CREDENTIAL_REQUIRED_FOR_SELECTED_MODE,,,BLOCKED,,VERIFIED_PRODUCTION_APPROVED,RIGHTS-T1-005,ALLOW_WITH_CONDITIONS,BLOCKED_PROVIDER,BOUNDED_TECHNICAL_SMOKE_NOT_YET_SUCCESSFUL,Run the source-specific bounded metadata-only access smoke for the approved route; retain a blocked state if the provider is unavailable and use an approved substitute for the required data outcome.,Kevin Garrett (project owner),2026-08-09,tier1_rights_decisions.csv:RIGHTS-T1-005@2026-08-09,ALLOW_PERSONAL_NONCOMMERCIAL_LOCAL_ANALYTICS,ALLOW_IMMUTABLE_FACTUAL_RAW_SNAPSHOTS_OUTSIDE_GIT_NO_SITE_MIRROR,ALLOW_LOCAL_MODEL_TRAINING,ALLOW_CODE_CITATIONS_AGGREGATES_AND_NONREVERSIBLE_MODEL_OUTPUTS_NO_RAW_SITE_CONTENT,PROHIBIT_RAW_SITE_CONTENT_OR_BULK_FACTUAL_REPACKAGE,DELETE_LOCAL_RAW_SNAPSHOTS_PER_RETENTION_BUDGET_OR_SOURCE_REVOCATION,NONE_FOR_CURRENT_PERSONAL_NONCOMMERCIAL_SCOPE,,false,false,FAIL_CLOSED_USE_APPROVED_SUBSTITUTE_OR_SOURCE_SPECIFIC_UNBLOCK_CONDITION,false,false
1,2026-08-09T16:24:29Z,SRC-010,National College Football Awards Association,dated consensus prior candidate,PRIMARY,CANDIDATE_CONTRACT_AND_RIGHTS_REVIEW_REQUIRED,NO_CREDENTIAL_REQUIRED_FOR_SELECTED_MODE,,,BLOCKED,,VERIFIED_PRODUCTION_APPROVED,RIGHTS-SUP-005,ALLOW_WITH_CONDITIONS,BLOCKED_PROVIDER,BOUNDED_TECHNICAL_SMOKE_NOT_YET_SUCCESSFUL,Run the source-specific bounded metadata-only access smoke for the approved route; retain a blocked state if the provider is unavailable and use an approved substitute for the required data outcome.,Kevin Garrett (project owner),2026-08-09,supplemental_rights_decisions.csv:RIGHTS-SUP-005@2026-08-09,ALLOW_PERSONAL_NONCOMMERCIAL_LOCAL_ANALYTICS,ALLOW_IMMUTABLE_RAW_SNAPSHOTS_OUTSIDE_GIT_WITH_HASHED_MANIFEST,ALLOW_LOCAL_MODEL_TRAINING,ALLOW_CODE_PROVENANCE_CITATIONS_AGGREGATES_AND_NONREVERSIBLE_MODEL_OUTPUTS_NO_RESTRICTED_RAW_PAYLOADS,NO_RESTRICTED_OR_COMMERCIAL_RAW_PAYLOAD_REDISTRIBUTION; PUBLIC_GOVERNMENT_DATA_REMAINS_OUTSIDE_GIT_BY_PROJECT_POLICY,DELETE_LOCAL_RAW_SNAPSHOTS_PER_RETENTION_BUDGET_OR_SOURCE_REVOCATION,NONE_FOR_CURRENT_PERSONAL_NONCOMMERCIAL_SCOPE,SRC-002,false,false,FAIL_CLOSED_USE_APPROVED_SUBSTITUTE_OR_SOURCE_SPECIFIC_UNBLOCK_CONDITION,false,false
