risk_id,risk,severity,likelihood,mitigation,status,owner_wave
RISK-001,Temporal leakage from season/future/postgame fields,CRITICAL,HIGH,W08 PIT contracts/tests; feature temporal classes; protected leakage battery,OPEN,MULTI
RISK-002,Closing-line or realized-weather hindsight contaminates earlier snapshots,CRITICAL,HIGH,Immutable timestamped market/weather evidence and cutoffs,OPEN,MULTI
RISK-003,Cross-source entity-resolution errors merge/split wrong player/team/game,HIGH,HIGH,"Canonical IDs, source maps, confidence, contract tests and unresolved queue",OPEN,MULTI
RISK-004,Historical injury/depth evidence sparse or retrospective,HIGH,HIGH,"Evidence confidence, snapshot acquisition, missingness/uncertainty; do not invent",OPEN,MULTI
RISK-005,Feature selection overfits protected validation periods,HIGH,MEDIUM,"Nested/rolling evaluation, holdout protection, stability and family ablations",OPEN,MULTI
RISK-006,BAS learns fan narrative/noise instead of persistent A&M effect,HIGH,MEDIUM,"General underperformance baseline, Aggie Excess, cross-fit labels, significance/regime tests",OPEN,MULTI
RISK-007,A&M specialization overfits small sample,HIGH,HIGH,"National foundation, shrinkage, peer cohorts, A&M weighting only when walk-forward improves",OPEN,MULTI
RISK-008,Resource features double-count talent/coaching/roster advantages,MEDIUM,HIGH,"Ablations, residual/resource-efficiency designs, feature redundancy analysis",OPEN,MULTI
RISK-009,Private-school financial missingness creates systematic bias,MEDIUM,HIGH,"Universal EADA baseline, enriched public lane, explicit missingness; no fabricated values",OPEN,MULTI
RISK-010,PFF or commercial source dependency blocks reproducibility,LOW,HIGH,PFF deferred/optional; core must operate without it,OPEN,MULTI
RISK-011,Public API/schema/rate-limit changes break ingestion,HIGH,MEDIUM,"Wave06 source audit, versioned contracts, fallbacks, source risk register",OPEN,MULTI
RISK-012,Licensing/redistribution uncertainty exposes public repo risk,HIGH,MEDIUM,Source governance registry; local-only raw default when uncertain,OPEN,MULTI
RISK-013,Root recon PACK_MANIFEST self-entry appears corrupt,LOW,LOW,Use authoritative final manifests; document single self-reference mismatch; do not infer broader corruption,OPEN,MULTI
