redundancy_id,level,basis,domain_or_name,members,overlap_type,decision,semantic_merge_allowed,notes
RED-001,SOURCE_OR_DATASET,W06_RESEARCH,games/schedules/scores,SRC-001;SRC-002;SRC-015;SRC-042;SRC-034;SRC-033,near_duplicate,Use one canonical primary plus official reconciliation/fallback; do not store six indistinguishable copies.,false,Preserved W06 decision.
RED-002,SOURCE_OR_DATASET,W06_RESEARCH,play-by-play,SRC-001;SRC-002;SRC-034;SRC-033;SRC-035,overlap_not_identical,Public baseline from SRC-001/002; commercial only if measurable added fields/latency justify.,false,Preserved W06 decision.
RED-003,SOURCE_OR_DATASET,W06_RESEARCH,rosters,SRC-001;SRC-002;SRC-005;SRC-009;SRC-034,overlap_with_identity_differences,Canonical IDs and effective dates reconcile; A&M official takes specialization priority.,false,Preserved W06 decision.
RED-004,SOURCE_OR_DATASET,W06_RESEARCH,availability,SRC-017;SRC-018;SRC-019;SRC-020;SRC-021;SRC-022;SRC-023;SRC-024;SRC-025;SRC-033,official_primary_plus_aggregator,Official reports primary when covered; licensed aggregator fallback/media enrichment.,false,Preserved W06 decision.
RED-005,SOURCE_OR_DATASET,W06_RESEARCH,weather forecasts,SRC-026;SRC-027;SRC-028,same_physical_signal_different_model/archive,"Preserve provider/model/run; choose issued forecast by cutoff, not blend blindly.",false,Preserved W06 decision.
RED-006,SOURCE_OR_DATASET,W06_RESEARCH,observed weather,SRC-003;SRC-029,overlap,NOAA official observations/reanalysis for labels/verification; Open-Meteo convenience secondary.,false,Preserved W06 decision.
RED-007,SOURCE_OR_DATASET,W06_RESEARCH,markets,SRC-032;SRC-033;SRC-002;SRC-001,overlap_timestamp_quality_varies,Timestamped snapshot providers preferred for PIT market lane; public lines useful benchmark/fallback.,false,Preserved W06 decision.
RED-008,SOURCE_OR_DATASET,W06_RESEARCH,polls/rankings,SRC-039;SRC-040;SRC-041;SRC-002,distinct_consensus_sources,Keep source/selector separate; never collapse into one truth.,false,Preserved W06 decision.
RED-009,SOURCE_OR_DATASET,W06_RESEARCH,program finance,SRC-004;SRC-007;SRC-008;SRC-044,overlapping_different_scope,EADA/Knight athletics finance; IPEDS institution context; IRS private nonprofit proxy only.,false,Preserved W06 decision.
RED-010,SOURCE_OR_DATASET,W06_RESEARCH,recruiting,SRC-002;SRC-058,derived_overlap,Audit shared upstreams/terms; avoid false independent-source corroboration.,false,Preserved W06 decision.
RED-011,SOURCE_OR_DATASET,W06_RESEARCH,transfers,SRC-002;SRC-046;SRC-047,overlap_different_access,CFBD structured primary candidate; NCAA rules/aggregate validation; publisher pages research-only unless rights clear.,false,Preserved W06 decision.
RED-012,SOURCE_OR_DATASET,W06_RESEARCH,draft,SRC-002;SRC-038,structured_plus_official,CFBD convenient structured; NFL official validation.,false,Preserved W06 decision.
RED-013,SOURCE_OR_DATASET,W06_RESEARCH,lower division stats,SRC-015;SRC-048;SRC-049;SRC-050,division_specific,Use official body by division; normalize strength rather than forcing one schema.,false,Preserved W06 decision.
RED-014,SOURCE_OR_DATASET,W06_RESEARCH,advanced charting/tracking,SRC-035;SRC-036;SRC-037;SRC-006,commercial_overlap,Research-only tournament after baseline; cost/rights/coverage must earn adoption.,false,Preserved W06 decision.
RED-015,SOURCE_OR_DATASET,W06_RESEARCH,live feeds,SRC-059;SRC-034;SRC-033;SRC-035,commercial_or_paid_overlap,Keep Phase-5 isolated; select only if live project is activated.,false,Preserved W06 decision.
RFRED-1001,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,abbreviation,RF-000909;RF-001125,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 2 source(s), 2 dataset/model(s)."
