field,axis,requiredness,meaning,selection_rule,allowed_null,notes
observed_at,EVENT,OPTIONAL,When the underlying event/measurement occurred or was observed.,Never proves public knowability by itself.,YES,Preserve source/raw timestamp separately when present.
published_at,KNOWLEDGE,OPTIONAL,Source-asserted publication/release time for a versioned artifact.,May seed first_known_at only when publication semantics are defensible.,YES,Mutable pages without version history cannot inherit a guessed historic publish time.
source_reported_at,KNOWLEDGE,OPTIONAL,Timestamp reported by the upstream provider for the observation/version.,Requires source semantics and provenance; not automatically trusted as first public availability.,YES,Keep original value and normalized UTC value.
retrieved_at,SYSTEM_KNOWLEDGE,REQUIRED_FOR_CAPTURE,When this project captured/retrieved the evidence.,Conservative upper bound on knowability and fallback when earlier public availability cannot be defended.,NO_FOR_RAW_CAPTURE,Distinct retrievals remain distinct even for identical bytes.
first_known_at,KNOWLEDGE,REQUIRED_FOR_PIT_USE,Earliest defensible time the exact information/version was publicly knowable.,Must be <= forecast/training feature cutoff for eligibility.,NO_FOR_PIT_ELIGIBLE,Derived from evidence policy; never guessed from season labels.
valid_from,VALIDITY,OPTIONAL,Start of the real-world interval/state for which the observation applies.,Target/event time must lie in interval when the domain is interval-valued.,YES,Future-effective facts may be known before valid_from.
valid_to,VALIDITY,OPTIONAL,Exclusive end of the real-world interval/state for which the observation applies.,Target/event time must be < valid_to when present.,YES,Open-ended intervals allowed.
effective_at,VALIDITY,OPTIONAL,Point effective time for a rule/state/change when interval semantics begin at one instant.,"Applied to target/event time, not substituted for knowledge time.",YES,Usually equivalent to valid_from for point changes.
prediction_eligible_at,DERIVED_KNOWLEDGE,DERIVED,Earliest defensible knowledge time under a named PIT policy version.,"Cache/derived field only; query still checks target validity, domain policy, revision state and cutoff.",YES,Not a raw source timestamp and never sufficient alone.
model_initialized_at,MODEL_RUN,WEATHER_ONLY,Forecast-model initialization/run cycle time.,Does not prove user-visible/public availability by itself.,YES,Weather-specific.
model_available_at,KNOWLEDGE,WEATHER_ONLY,Earliest defensible availability of the exact forecast run/product.,Must be <= prediction cutoff.,YES,Preferred first_known basis for issued weather runs.
forecast_valid_at,VALIDITY,WEATHER_ONLY,Time/environment instant the weather forecast predicts.,Must match/cover the game target time according to domain interpolation policy.,YES,Separate from initialization and retrieval.
reporting_period_start,VALIDITY,RESOURCE_ONLY,Beginning of financial/resource reporting period.,Descriptive validity only; does not establish publication timing.,YES,Resource-specific.
reporting_period_end,VALIDITY,RESOURCE_ONLY,End of financial/resource reporting period.,Descriptive validity only; does not establish publication timing.,YES,Resource-specific.
game_end_at,EVENT,GAME_OUTPUT_ONLY,When a source game was completed for purposes of historical aggregates/labels.,Prior-game output cannot enter features until both game completion and source evidence knowability precede cutoff.,YES,Labels may be learned only after completion in chronological training replay.
