local_id,import_id,jira_key,jira_issue_id,verified,last_synced_at
EPIC-001,100001,BAT-1,24141,true,2026-08-10T04:24:34.496382+00:00
EPIC-002,100002,BAT-2,24142,true,2026-08-10T04:24:34.496382+00:00
EPIC-003,100003,BAT-3,24143,true,2026-08-10T04:24:34.496382+00:00
EPIC-004,100004,BAT-4,24144,true,2026-08-10T04:24:34.496382+00:00
EPIC-005,100005,BAT-5,24145,true,2026-08-10T04:24:34.496382+00:00
EPIC-006,100006,BAT-6,24146,true,2026-08-10T04:24:34.496382+00:00
EPIC-007,100007,BAT-7,24147,true,2026-08-10T04:24:34.496382+00:00
EPIC-008,100008,BAT-8,24148,true,2026-08-10T04:24:34.496382+00:00
EPIC-009,100009,BAT-9,24149,true,2026-08-10T04:24:34.496382+00:00
EPIC-010,100010,BAT-10,24150,true,2026-08-10T04:24:34.496382+00:00
EPIC-011,100011,BAT-11,24151,true,2026-08-10T04:24:34.496382+00:00
EPIC-012,100012,BAT-12,24152,true,2026-08-10T04:24:34.496382+00:00
EPIC-013,100013,BAT-13,24153,true,2026-08-10T04:24:34.496382+00:00
EPIC-014,100014,BAT-14,24154,true,2026-08-10T04:24:34.496382+00:00
EPIC-015,100015,BAT-15,24155,true,2026-08-10T04:24:34.496382+00:00
EPIC-016,100016,BAT-16,24156,true,2026-08-10T04:24:34.496382+00:00
EPIC-017,100017,BAT-17,24157,true,2026-08-10T04:24:34.496382+00:00
EPIC-018,100018,BAT-18,24158,true,2026-08-10T04:24:34.496382+00:00
EPIC-019,100019,BAT-19,24159,true,2026-08-10T04:24:34.496382+00:00
EPIC-020,100020,BAT-20,24160,true,2026-08-10T04:24:34.496382+00:00
EPIC-021,100021,BAT-21,24161,true,2026-08-10T04:24:34.496382+00:00
EPIC-022,100022,BAT-22,24162,true,2026-08-10T04:24:34.496382+00:00
EPIC-023,100023,BAT-23,24163,true,2026-08-10T04:24:34.496382+00:00
EPIC-024,100024,BAT-24,24164,true,2026-08-10T04:24:34.496382+00:00
EPIC-025,100025,BAT-25,24165,true,2026-08-10T04:24:34.496382+00:00
EPIC-026,100026,BAT-26,24166,true,2026-08-10T04:24:34.496382+00:00
EPIC-027,100027,BAT-27,24167,true,2026-08-10T04:24:34.496382+00:00
EPIC-028,100028,BAT-28,24168,true,2026-08-10T04:24:34.496382+00:00
EPIC-029,100029,BAT-29,24169,true,2026-08-10T04:24:34.496382+00:00
EPIC-030,100030,BAT-30,24170,true,2026-08-10T04:24:34.496382+00:00
EPIC-031,100031,BAT-31,24171,true,2026-08-10T04:24:34.496382+00:00
EPIC-032,100032,BAT-32,24172,true,2026-08-10T04:24:34.496382+00:00
EPIC-033,100033,BAT-33,24173,true,2026-08-10T04:24:34.496382+00:00
POST-EPIC-001,100034,BAT-34,24174,true,2026-08-10T04:24:34.496382+00:00
POST-EPIC-002,100035,BAT-35,24175,true,2026-08-10T04:24:34.496382+00:00
POST-EPIC-003,100036,BAT-36,24176,true,2026-08-10T04:24:34.496382+00:00
POST-EPIC-004,100037,BAT-37,24177,true,2026-08-10T04:24:34.496382+00:00
POST-EPIC-005,100038,BAT-38,24178,true,2026-08-10T04:24:34.496382+00:00
POST-EPIC-006,100039,BAT-39,24179,true,2026-08-10T04:24:34.496382+00:00
POST-EPIC-007,100040,BAT-40,24180,true,2026-08-10T04:24:34.496382+00:00
POST-EPIC-008,100041,BAT-41,24181,true,2026-08-10T04:24:34.496382+00:00
POST-EPIC-009,100042,BAT-42,24182,true,2026-08-10T04:24:34.496382+00:00
POST-EPIC-010,100043,BAT-43,24183,true,2026-08-10T04:24:34.496382+00:00
POST-EPIC-011,100044,BAT-44,24184,true,2026-08-10T04:24:34.496382+00:00
POST-EPIC-012,100045,BAT-45,24185,true,2026-08-10T04:24:34.496382+00:00
POST-EPIC-013,100046,BAT-46,24186,true,2026-08-10T04:24:34.496382+00:00
POST-EPIC-014,100047,BAT-47,24187,true,2026-08-10T04:24:34.496382+00:00
POST-EPIC-015,100048,BAT-48,24188,true,2026-08-10T04:24:34.496382+00:00
POST-EPIC-016,100049,BAT-49,24189,true,2026-08-10T04:24:34.496382+00:00
POST-EPIC-017,100050,BAT-50,24190,true,2026-08-10T04:24:34.496382+00:00
POST-STORY-001,100051,BAT-51,24191,true,2026-08-10T04:24:34.496382+00:00
POST-STORY-002,100052,BAT-52,24192,true,2026-08-10T04:24:34.496382+00:00
POST-STORY-003,100053,BAT-53,24193,true,2026-08-10T04:24:34.496382+00:00
POST-STORY-004,100054,BAT-54,24194,true,2026-08-10T04:24:34.496382+00:00
POST-STORY-005,100055,BAT-55,24195,true,2026-08-10T04:24:34.496382+00:00
POST-STORY-006,100056,BAT-56,24196,true,2026-08-10T04:24:34.496382+00:00
POST-STORY-007,100057,BAT-57,24197,true,2026-08-10T04:24:34.496382+00:00
POST-STORY-008,100058,BAT-58,24198,true,2026-08-10T04:24:34.496382+00:00
POST-STORY-009,100059,BAT-59,24199,true,2026-08-10T04:24:34.496382+00:00
POST-STORY-010,100060,BAT-60,24200,true,2026-08-10T04:24:34.496382+00:00
POST-STORY-011,100061,BAT-61,24201,true,2026-08-10T04:24:34.496382+00:00
POST-STORY-012,100062,BAT-62,24202,true,2026-08-10T04:24:34.496382+00:00
POST-STORY-013,100063,BAT-63,24203,true,2026-08-10T04:24:34.496382+00:00
POST-STORY-014,100064,BAT-64,24204,true,2026-08-10T04:24:34.496382+00:00
POST-STORY-015,100065,BAT-65,24205,true,2026-08-10T04:24:34.496382+00:00
POST-STORY-016,100066,BAT-66,24206,true,2026-08-10T04:24:34.496382+00:00
POST-STORY-017,100067,BAT-67,24207,true,2026-08-10T04:24:34.496382+00:00
POST-STORY-018,100068,BAT-68,24208,true,2026-08-10T04:24:34.496382+00:00
POST-STORY-019,100069,BAT-69,24209,true,2026-08-10T04:24:34.496382+00:00
POST-STORY-020,100070,BAT-70,24210,true,2026-08-10T04:24:34.496382+00:00
POST-STORY-021,100071,BAT-71,24211,true,2026-08-10T04:24:34.496382+00:00
POST-STORY-022,100072,BAT-72,24212,true,2026-08-10T04:24:34.496382+00:00
POST-STORY-023,100073,BAT-73,24213,true,2026-08-10T04:24:34.496382+00:00
POST-STORY-024,100074,BAT-74,24214,true,2026-08-10T04:24:34.496382+00:00
POST-STORY-025,100075,BAT-75,24215,true,2026-08-10T04:24:34.496382+00:00
POST-STORY-026,100076,BAT-76,24216,true,2026-08-10T04:24:34.496382+00:00
POST-STORY-027,100077,BAT-77,24217,true,2026-08-10T04:24:34.496382+00:00
POST-STORY-028,100078,BAT-78,24218,true,2026-08-10T04:24:34.496382+00:00
POST-STORY-029,100079,BAT-79,24219,true,2026-08-10T04:24:34.496382+00:00
POST-STORY-030,100080,BAT-80,24220,true,2026-08-10T04:24:34.496382+00:00
POST-STORY-031,100081,BAT-81,24221,true,2026-08-10T04:24:34.496382+00:00
POST-STORY-032,100082,BAT-82,24222,true,2026-08-10T04:24:34.496382+00:00
POST-STORY-033,100083,BAT-83,24223,true,2026-08-10T04:24:34.496382+00:00
POST-STORY-034,100084,BAT-84,24224,true,2026-08-10T04:24:34.496382+00:00
POST-STORY-035,100085,BAT-85,24225,true,2026-08-10T04:24:34.496382+00:00
POST-STORY-036,100086,BAT-86,24226,true,2026-08-10T04:24:34.496382+00:00
POST-STORY-037,100087,BAT-87,24227,true,2026-08-10T04:24:34.496382+00:00
POST-STORY-038,100088,BAT-88,24228,true,2026-08-10T04:24:34.496382+00:00
POST-STORY-039,100089,BAT-89,24229,true,2026-08-10T04:24:34.496382+00:00
POST-STORY-040,100090,BAT-90,24230,true,2026-08-10T04:24:34.496382+00:00
POST-STORY-041,100091,BAT-91,24231,true,2026-08-10T04:24:34.496382+00:00
POST-STORY-042,100092,BAT-92,24232,true,2026-08-10T04:24:34.496382+00:00
POST-STORY-043,100093,BAT-93,24233,true,2026-08-10T04:24:34.496382+00:00
POST-STORY-044,100094,BAT-94,24234,true,2026-08-10T04:24:34.496382+00:00
POST-STORY-045,100095,BAT-95,24235,true,2026-08-10T04:24:34.496382+00:00
POST-STORY-046,100096,BAT-96,24236,true,2026-08-10T04:24:34.496382+00:00
POST-STORY-047,100097,BAT-97,24237,true,2026-08-10T04:24:34.496382+00:00
POST-STORY-048,100098,BAT-98,24238,true,2026-08-10T04:24:34.496382+00:00
POST-STORY-049,100099,BAT-99,24239,true,2026-08-10T04:24:34.496382+00:00
POST-STORY-050,100100,BAT-100,24240,true,2026-08-10T04:24:34.496382+00:00
POST-STORY-051,100101,BAT-101,24241,true,2026-08-10T04:24:34.496382+00:00
POST-STORY-052,100102,BAT-102,24242,true,2026-08-10T04:24:34.496382+00:00
POST-STORY-053,100103,BAT-103,24243,true,2026-08-10T04:24:34.496382+00:00
TASK-001,100104,BAT-104,24244,true,2026-08-10T04:24:34.496382+00:00
TASK-002,100105,BAT-105,24245,true,2026-08-10T04:24:34.496382+00:00
TASK-003,100106,BAT-106,24246,true,2026-08-10T04:24:34.496382+00:00
TASK-004,100107,BAT-107,24247,true,2026-08-10T04:24:34.496382+00:00
TASK-005,100108,BAT-108,24248,true,2026-08-10T04:24:34.496382+00:00
TASK-006,100109,BAT-109,24249,true,2026-08-10T04:24:34.496382+00:00
TASK-007,100110,BAT-110,24250,true,2026-08-10T04:24:34.496382+00:00
TASK-008,100111,BAT-111,24251,true,2026-08-10T04:24:34.496382+00:00
TASK-009,100112,BAT-112,24252,true,2026-08-10T04:24:34.496382+00:00
TASK-010,100113,BAT-113,24253,true,2026-08-10T04:24:34.496382+00:00
TASK-011,100114,BAT-114,24254,true,2026-08-10T04:24:34.496382+00:00
TASK-012,100115,BAT-115,24255,true,2026-08-10T04:24:34.496382+00:00
TASK-013,100116,BAT-116,24256,true,2026-08-10T04:24:34.496382+00:00
TASK-014,100117,BAT-117,24257,true,2026-08-10T04:24:34.496382+00:00
TASK-015,100118,BAT-118,24258,true,2026-08-10T04:24:34.496382+00:00
TASK-016,100119,BAT-119,24259,true,2026-08-10T04:24:34.496382+00:00
TASK-017,100120,BAT-120,24260,true,2026-08-10T04:24:34.496382+00:00
TASK-018,100121,BAT-121,24261,true,2026-08-10T04:24:34.496382+00:00
TASK-019,100122,BAT-122,24262,true,2026-08-10T04:24:34.496382+00:00
TASK-020,100123,BAT-123,24263,true,2026-08-10T04:24:34.496382+00:00
TASK-021,100124,BAT-124,24264,true,2026-08-10T04:24:34.496382+00:00
TASK-022,100125,BAT-125,24265,true,2026-08-10T04:24:34.496382+00:00
TASK-023,100126,BAT-126,24266,true,2026-08-10T04:24:34.496382+00:00
TASK-024,100127,BAT-127,24267,true,2026-08-10T04:24:34.496382+00:00
TASK-025,100128,BAT-128,24268,true,2026-08-10T04:24:34.496382+00:00
TASK-026,100129,BAT-129,24269,true,2026-08-10T04:24:34.496382+00:00
TASK-027,100130,BAT-130,24270,true,2026-08-10T04:24:34.496382+00:00
TASK-028,100131,BAT-131,24271,true,2026-08-10T04:24:34.496382+00:00
TASK-029,100132,BAT-132,24272,true,2026-08-10T04:24:34.496382+00:00
TASK-030,100133,BAT-133,24273,true,2026-08-10T04:24:34.496382+00:00
TASK-031,100134,BAT-134,24274,true,2026-08-10T04:24:34.496382+00:00
TASK-032,100135,BAT-135,24275,true,2026-08-10T04:24:34.496382+00:00
TASK-033,100136,BAT-136,24276,true,2026-08-10T04:24:34.496382+00:00
TASK-034,100137,BAT-137,24277,true,2026-08-10T04:24:34.496382+00:00
TASK-035,100138,BAT-138,24278,true,2026-08-10T04:24:34.496382+00:00
TASK-036,100139,BAT-139,24279,true,2026-08-10T04:24:34.496382+00:00
TASK-037,100140,BAT-140,24280,true,2026-08-10T04:24:34.496382+00:00
TASK-038,100141,BAT-141,24281,true,2026-08-10T04:24:34.496382+00:00
TASK-039,100142,BAT-142,24282,true,2026-08-10T04:24:34.496382+00:00
TASK-040,100143,BAT-143,24283,true,2026-08-10T04:24:34.496382+00:00
TASK-041,100144,BAT-144,24284,true,2026-08-10T04:24:34.496382+00:00
TASK-042,100145,BAT-145,24285,true,2026-08-10T04:24:34.496382+00:00
TASK-043,100146,BAT-146,24286,true,2026-08-10T04:24:34.496382+00:00
TASK-044,100147,BAT-147,24287,true,2026-08-10T04:24:34.496382+00:00
TASK-045,100148,BAT-148,24288,true,2026-08-10T04:24:34.496382+00:00
TASK-046,100149,BAT-149,24289,true,2026-08-10T04:24:34.496382+00:00
TASK-047,100150,BAT-150,24290,true,2026-08-10T04:24:34.496382+00:00
TASK-048,100151,BAT-151,24291,true,2026-08-10T04:24:34.496382+00:00
TASK-049,100152,BAT-152,24292,true,2026-08-10T04:24:34.496382+00:00
TASK-050,100153,BAT-153,24293,true,2026-08-10T04:24:34.496382+00:00
TASK-051,100154,BAT-154,24294,true,2026-08-10T04:24:34.496382+00:00
TASK-052,100155,BAT-155,24295,true,2026-08-10T04:24:34.496382+00:00
TASK-053,100156,BAT-156,24296,true,2026-08-10T04:24:34.496382+00:00
TASK-054,100157,BAT-157,24297,true,2026-08-10T04:24:34.496382+00:00
TASK-055,100158,BAT-158,24298,true,2026-08-10T04:24:34.496382+00:00
TASK-056,100159,BAT-159,24299,true,2026-08-10T04:24:34.496382+00:00
TASK-057,100160,BAT-160,24300,true,2026-08-10T04:24:34.496382+00:00
TASK-058,100161,BAT-161,24301,true,2026-08-10T04:24:34.496382+00:00
TASK-059,100162,BAT-162,24302,true,2026-08-10T04:24:34.496382+00:00
TASK-060,100163,BAT-163,24303,true,2026-08-10T04:24:34.496382+00:00
TASK-061,100164,BAT-164,24304,true,2026-08-10T04:24:34.496382+00:00
TASK-062,100165,BAT-165,24305,true,2026-08-10T04:24:34.496382+00:00
TASK-063,100166,BAT-166,24306,true,2026-08-10T04:24:34.496382+00:00
TASK-064,100167,BAT-167,24307,true,2026-08-10T04:24:34.496382+00:00
TASK-065,100168,BAT-168,24308,true,2026-08-10T04:24:34.496382+00:00
TASK-066,100169,BAT-169,24309,true,2026-08-10T04:24:34.496382+00:00
TASK-067,100170,BAT-170,24310,true,2026-08-10T04:24:34.496382+00:00
TASK-068,100171,BAT-171,24311,true,2026-08-10T04:24:34.496382+00:00
TASK-069,100172,BAT-172,24312,true,2026-08-10T04:24:34.496382+00:00
TASK-070,100173,BAT-173,24313,true,2026-08-10T04:24:34.496382+00:00
TASK-071,100174,BAT-174,24314,true,2026-08-10T04:24:34.496382+00:00
TASK-072,100175,BAT-175,24315,true,2026-08-10T04:24:34.496382+00:00
TASK-073,100176,BAT-176,24316,true,2026-08-10T04:24:34.496382+00:00
TASK-074,100177,BAT-177,24317,true,2026-08-10T04:24:34.496382+00:00
TASK-075,100178,BAT-178,24318,true,2026-08-10T04:24:34.496382+00:00
TASK-076,100179,BAT-179,24319,true,2026-08-10T04:24:34.496382+00:00
TASK-077,100180,BAT-180,24320,true,2026-08-10T04:24:34.496382+00:00
TASK-078,100181,BAT-181,24321,true,2026-08-10T04:24:34.496382+00:00
TASK-079,100182,BAT-182,24322,true,2026-08-10T04:24:34.496382+00:00
TASK-080,100183,BAT-183,24323,true,2026-08-10T04:24:34.496382+00:00
TASK-081,100184,BAT-184,24324,true,2026-08-10T04:24:34.496382+00:00
TASK-082,100185,BAT-185,24325,true,2026-08-10T04:24:34.496382+00:00
TASK-083,100186,BAT-186,24326,true,2026-08-10T04:24:34.496382+00:00
TASK-084,100187,BAT-187,24327,true,2026-08-10T04:24:34.496382+00:00
TASK-085,100188,BAT-188,24328,true,2026-08-10T04:24:34.496382+00:00
TASK-086,100189,BAT-189,24329,true,2026-08-10T04:24:34.496382+00:00
TASK-087,100190,BAT-190,24330,true,2026-08-10T04:24:34.496382+00:00
TASK-088,100191,BAT-191,24331,true,2026-08-10T04:24:34.496382+00:00
TASK-089,100192,BAT-192,24332,true,2026-08-10T04:24:34.496382+00:00
TASK-090,100193,BAT-193,24333,true,2026-08-10T04:24:34.496382+00:00
TASK-091,100194,BAT-194,24334,true,2026-08-10T04:24:34.496382+00:00
TASK-092,100195,BAT-195,24335,true,2026-08-10T04:24:34.496382+00:00
TASK-093,100196,BAT-196,24336,true,2026-08-10T04:24:34.496382+00:00
TASK-094,100197,BAT-197,24337,true,2026-08-10T04:24:34.496382+00:00
TASK-095,100198,BAT-198,24338,true,2026-08-10T04:24:34.496382+00:00
TASK-096,100199,BAT-199,24339,true,2026-08-10T04:24:34.496382+00:00
TASK-097,100200,BAT-200,24340,true,2026-08-10T04:24:34.496382+00:00
TASK-098,100201,BAT-201,24341,true,2026-08-10T04:24:34.496382+00:00
TASK-099,100202,BAT-202,24342,true,2026-08-10T04:24:34.496382+00:00
TASK-100,100203,BAT-203,24343,true,2026-08-10T04:24:34.496382+00:00
TASK-101,100204,BAT-204,24344,true,2026-08-10T04:24:34.496382+00:00
TASK-102,100205,BAT-205,24345,true,2026-08-10T04:24:34.496382+00:00
TASK-103,100206,BAT-206,24346,true,2026-08-10T04:24:34.496382+00:00
TASK-104,100207,BAT-207,24347,true,2026-08-10T04:24:34.496382+00:00
TASK-105,100208,BAT-208,24348,true,2026-08-10T04:24:34.496382+00:00
TASK-106,100209,BAT-209,24349,true,2026-08-10T04:24:34.496382+00:00
TASK-107,100210,BAT-210,24350,true,2026-08-10T04:24:34.496382+00:00
TASK-108,100211,BAT-211,24351,true,2026-08-10T04:24:34.496382+00:00
TASK-109,100212,BAT-212,24352,true,2026-08-10T04:24:34.496382+00:00
TASK-110,100213,BAT-213,24353,true,2026-08-10T04:24:34.496382+00:00
TASK-111,100214,BAT-214,24354,true,2026-08-10T04:24:34.496382+00:00
TASK-112,100215,BAT-215,24355,true,2026-08-10T04:24:34.496382+00:00
TASK-113,100216,BAT-216,24356,true,2026-08-10T04:24:34.496382+00:00
TASK-114,100217,BAT-217,24357,true,2026-08-10T04:24:34.496382+00:00
TASK-115,100218,BAT-218,24358,true,2026-08-10T04:24:34.496382+00:00
TASK-116,100219,BAT-219,24359,true,2026-08-10T04:24:34.496382+00:00
TASK-117,100220,BAT-220,24360,true,2026-08-10T04:24:34.496382+00:00
TASK-118,100221,BAT-221,24361,true,2026-08-10T04:24:34.496382+00:00
TASK-119,100222,BAT-222,24362,true,2026-08-10T04:24:34.496382+00:00
TASK-120,100223,BAT-223,24363,true,2026-08-10T04:24:34.496382+00:00
TASK-121,100224,BAT-224,24364,true,2026-08-10T04:24:34.496382+00:00
TASK-122,100225,BAT-225,24365,true,2026-08-10T04:24:34.496382+00:00
TASK-123,100226,BAT-226,24366,true,2026-08-10T04:24:34.496382+00:00
TASK-124,100227,BAT-227,24367,true,2026-08-10T04:24:34.496382+00:00
TASK-125,100228,BAT-228,24368,true,2026-08-10T04:24:34.496382+00:00
TASK-126,100229,BAT-229,24369,true,2026-08-10T04:24:34.496382+00:00
TASK-127,100230,BAT-230,24370,true,2026-08-10T04:24:34.496382+00:00
TASK-128,100231,BAT-231,24371,true,2026-08-10T04:24:34.496382+00:00
TASK-129,100232,BAT-232,24372,true,2026-08-10T04:24:34.496382+00:00
TASK-130,100233,BAT-233,24373,true,2026-08-10T04:24:34.496382+00:00
TASK-131,100234,BAT-234,24374,true,2026-08-10T04:24:34.496382+00:00
TASK-132,100235,BAT-235,24375,true,2026-08-10T04:24:34.496382+00:00
TASK-133,100236,BAT-236,24376,true,2026-08-10T04:24:34.496382+00:00
TASK-134,100237,BAT-237,24377,true,2026-08-10T04:24:34.496382+00:00
TASK-135,100238,BAT-238,24378,true,2026-08-10T04:24:34.496382+00:00
TASK-136,100239,BAT-239,24379,true,2026-08-10T04:24:34.496382+00:00
TASK-137,100240,BAT-240,24380,true,2026-08-10T04:24:34.496382+00:00
TASK-138,100241,BAT-241,24381,true,2026-08-10T04:24:34.496382+00:00
TASK-139,100242,BAT-242,24382,true,2026-08-10T04:24:34.496382+00:00
TASK-140,100243,BAT-243,24383,true,2026-08-10T04:24:34.496382+00:00
TASK-141,100244,BAT-244,24384,true,2026-08-10T04:24:34.496382+00:00
TASK-142,100245,BAT-245,24385,true,2026-08-10T04:24:34.496382+00:00
TASK-143,100246,BAT-246,24386,true,2026-08-10T04:24:34.496382+00:00
TASK-144,100247,BAT-247,24387,true,2026-08-10T04:24:34.496382+00:00
TASK-145,100248,BAT-248,24388,true,2026-08-10T04:24:34.496382+00:00
TASK-146,100249,BAT-249,24389,true,2026-08-10T04:24:34.496382+00:00
TASK-147,100250,BAT-250,24390,true,2026-08-10T04:24:34.496382+00:00
TASK-148,100251,BAT-251,24391,true,2026-08-10T04:24:34.496382+00:00
TASK-149,100252,BAT-252,24392,true,2026-08-10T04:24:34.496382+00:00
TASK-150,100253,BAT-253,24393,true,2026-08-10T04:24:34.496382+00:00
TASK-151,100254,BAT-254,24394,true,2026-08-10T04:24:34.496382+00:00
TASK-152,100255,BAT-255,24395,true,2026-08-10T04:24:34.496382+00:00
TASK-153,100256,BAT-256,24396,true,2026-08-10T04:24:34.496382+00:00
TASK-154,100257,BAT-257,24397,true,2026-08-10T04:24:34.496382+00:00
TASK-155,100258,BAT-258,24398,true,2026-08-10T04:24:34.496382+00:00
TASK-156,100259,BAT-259,24399,true,2026-08-10T04:24:34.496382+00:00
TASK-157,100260,BAT-260,24400,true,2026-08-10T04:24:34.496382+00:00
TASK-158,100261,BAT-261,24401,true,2026-08-10T04:24:34.496382+00:00
TASK-159,100262,BAT-262,24402,true,2026-08-10T04:24:34.496382+00:00
TASK-160,100263,BAT-263,24403,true,2026-08-10T04:24:34.496382+00:00
TASK-161,100264,BAT-265,24405,true,2026-08-10T04:24:34.496382+00:00
TASK-162,100265,BAT-267,24407,true,2026-08-10T04:24:34.496382+00:00
TASK-163,100266,BAT-268,24408,true,2026-08-10T04:24:34.496382+00:00
TASK-164,100267,BAT-270,24410,true,2026-08-10T04:24:34.496382+00:00
TASK-165,100268,BAT-272,24412,true,2026-08-10T04:24:34.496382+00:00
TASK-166,100269,BAT-274,24414,true,2026-08-10T04:24:34.496382+00:00
TASK-167,100270,BAT-276,24416,true,2026-08-10T04:24:34.496382+00:00
TASK-168,100271,BAT-278,24418,true,2026-08-10T04:24:34.496382+00:00
TASK-169,100272,BAT-280,24420,true,2026-08-10T04:24:34.496382+00:00
TASK-170,100273,BAT-282,24422,true,2026-08-10T04:24:34.496382+00:00
TASK-171,100274,BAT-284,24424,true,2026-08-10T04:24:34.496382+00:00
TASK-172,100275,BAT-286,24426,true,2026-08-10T04:24:34.496382+00:00
TASK-173,100276,BAT-288,24428,true,2026-08-10T04:24:34.496382+00:00
TASK-174,100277,BAT-290,24430,true,2026-08-10T04:24:34.496382+00:00
TASK-175,100278,BAT-293,24433,true,2026-08-10T04:24:34.496382+00:00
TASK-176,100279,BAT-295,24435,true,2026-08-10T04:24:34.496382+00:00
TASK-177,100280,BAT-296,24436,true,2026-08-10T04:24:34.496382+00:00
TASK-178,100281,BAT-298,24438,true,2026-08-10T04:24:34.496382+00:00
TASK-179,100282,BAT-300,24440,true,2026-08-10T04:24:34.496382+00:00
TASK-180,100283,BAT-302,24442,true,2026-08-10T04:24:34.496382+00:00
TASK-181,100284,BAT-304,24444,true,2026-08-10T04:24:34.496382+00:00
TASK-182,100285,BAT-306,24446,true,2026-08-10T04:24:34.496382+00:00
TASK-183,100286,BAT-308,24448,true,2026-08-10T04:24:34.496382+00:00
TASK-184,100287,BAT-310,24450,true,2026-08-10T04:24:34.496382+00:00
TASK-185,100288,BAT-312,24452,true,2026-08-10T04:24:34.496382+00:00
TASK-186,100289,BAT-314,24454,true,2026-08-10T04:24:34.496382+00:00
TASK-187,100290,BAT-316,24456,true,2026-08-10T04:24:34.496382+00:00
TASK-188,100291,BAT-318,24458,true,2026-08-10T04:24:34.496382+00:00
TASK-189,100292,BAT-320,24460,true,2026-08-10T04:24:34.496382+00:00
TASK-190,100293,BAT-322,24462,true,2026-08-10T04:24:34.496382+00:00
TASK-191,100294,BAT-324,24464,true,2026-08-10T04:24:34.496382+00:00
TASK-192,100295,BAT-325,24465,true,2026-08-10T04:24:34.496382+00:00
TASK-193,100296,BAT-328,24468,true,2026-08-10T04:24:34.496382+00:00
TASK-194,100297,BAT-329,24469,true,2026-08-10T04:24:34.496382+00:00
TASK-195,100298,BAT-331,24471,true,2026-08-10T04:24:34.496382+00:00
TASK-196,100299,BAT-333,24473,true,2026-08-10T04:24:34.496382+00:00
TASK-197,100300,BAT-335,24475,true,2026-08-10T04:24:34.496382+00:00
TASK-198,100301,BAT-347,24487,true,2026-08-10T04:24:34.496382+00:00
TASK-199,100302,BAT-348,24488,true,2026-08-10T04:24:34.496382+00:00
TASK-200,100303,BAT-349,24489,true,2026-08-10T04:24:34.496382+00:00
TASK-201,100304,BAT-350,24490,true,2026-08-10T04:24:34.496382+00:00
POST-SUBTASK-001,100305,BAT-351,24491,true,2026-08-10T04:24:34.496382+00:00
POST-SUBTASK-002,100306,BAT-352,24492,true,2026-08-10T04:24:34.496382+00:00
POST-SUBTASK-003,100307,BAT-353,24493,true,2026-08-10T04:24:34.496382+00:00
POST-SUBTASK-004,100308,BAT-354,24494,true,2026-08-10T04:24:34.496382+00:00
POST-SUBTASK-005,100309,BAT-355,24495,true,2026-08-10T04:24:34.496382+00:00
POST-SUBTASK-006,100310,BAT-356,24496,true,2026-08-10T04:24:34.496382+00:00
POST-SUBTASK-007,100311,BAT-357,24497,true,2026-08-10T04:24:34.496382+00:00
POST-SUBTASK-008,100312,BAT-358,24498,true,2026-08-10T04:24:34.496382+00:00
POST-SUBTASK-009,100313,BAT-359,24499,true,2026-08-10T04:24:34.496382+00:00
POST-SUBTASK-010,100314,BAT-360,24500,true,2026-08-10T04:24:34.496382+00:00
POST-SUBTASK-011,100315,BAT-361,24501,true,2026-08-10T04:24:34.496382+00:00
