sequence,task_id,owner_wave,title,meaning,not_a_duration_estimate
1,TASK-006,W06,Run W06 architecture/backlog replan gate,Dependency-critical gate spine; not a duration schedule.,true
2,TASK-012,W07,Freeze canonical identity contracts and acceptance evidence plan,Dependency-critical gate spine; not a duration schedule.,true
3,TASK-018,W08,Freeze PIT gateway as mandatory feature-entry boundary,Dependency-critical gate spine; not a duration schedule.,true
4,TASK-023,W09,Freeze registry schema and source-to-feature-candidate handoff,Dependency-critical gate spine; not a duration schedule.,true
5,TASK-029,W10,Freeze target-specific feature lifecycle gate,Dependency-critical gate spine; not a duration schedule.,true
6,TASK-035,W11,Freeze team-state/early-season interface for downstream intelligence,Dependency-critical gate spine; not a duration schedule.,true
7,TASK-058,W12,Freeze advanced player-input contract,Dependency-critical gate spine; not a duration schedule.,true
8,TASK-082,W13,Freeze matchup/context adjustment interfaces,Dependency-critical gate spine; not a duration schedule.,true
9,TASK-099,W14,Freeze specialization candidates for W16/W17 comparison,Dependency-critical gate spine; not a duration schedule.,true
10,TASK-104,W15,Freeze BAS labeling contract,Dependency-critical gate spine; not a duration schedule.,true
11,TASK-121,W16,Freeze model/joint-score architecture candidates,Dependency-critical gate spine; not a duration schedule.,true
12,TASK-133,W17,Freeze validation/promotion science baseline,Dependency-critical gate spine; not a duration schedule.,true
13,TASK-139,W18,Pass autonomous research governance gate,Dependency-critical gate spine; not a duration schedule.,true
14,TASK-046,W19,Pass foundation implementation gate,Dependency-critical gate spine; not a duration schedule.,true
15,TASK-087,W20,Run advanced feature family ablation readiness gate,Dependency-critical gate spine; not a duration schedule.,true
16,TASK-115,W20,Pass A&M/BAS starter integration gate,Dependency-critical gate spine; not a duration schedule.,true
17,TASK-145,W20,Pass starter forecast-model integration gate,Dependency-critical gate spine; not a duration schedule.,true
18,TASK-151,W21,Pass weekly pipeline idempotency/resume gate,Dependency-critical gate spine; not a duration schedule.,true
19,TASK-157,W22,Pass snapshot-only serving and product acceptance gate,Dependency-critical gate spine; not a duration schedule.,true
20,TASK-163,W23,Pass local production operations gate,Dependency-critical gate spine; not a duration schedule.,true
21,TASK-178,W24,Pass W24 end-to-end readiness gate,Dependency-critical gate spine; not a duration schedule.,true
22,TASK-184,W25,Freeze final cumulative/hydration Codex handoff,Dependency-critical gate spine; not a duration schedule.,true
