id,section,section_title,obligation,status,evidence,validation,verification_note
MPR-01-001,1,PRIMARY MISSION,"Create a complete, production-quality autonomous-development instruction pack for future Codex Desktop implementation sessions.",CONTROL_IMPLEMENTED,instructions/START_HERE.md;instructions/04_AUTONOMOUS_OPERATING_CONTRACT.md;instructions/06_TASK_EXECUTION_AND_MEANINGFUL_PROGRESS.md;instructions/03_REPOSITORY_ARCHITECTURE_AND_NAVIGATION.md;instructions/20_INSTRUCTION_MAINTENANCE_AND_CHANGE_CONTROL.md;instructions/manifest.json;instructions/templates/TASK_EXECUTION_PACKET.md,VAL-COMPLIANCE;VAL-LINKS;VAL-MANIFEST;VAL-READ-BUDGET;VAL-EXECUTION-LOOP;VAL-MEANINGFUL-PROGRESS,The referenced canonical control and validation mapping implement this obligation in the delivered repository control system.
MPR-01-002,1,PRIMARY MISSION,Teach the agent how to understand the project before modifying it.,CONTROL_IMPLEMENTED,instructions/START_HERE.md;instructions/04_AUTONOMOUS_OPERATING_CONTRACT.md;instructions/06_TASK_EXECUTION_AND_MEANINGFUL_PROGRESS.md;instructions/templates/TASK_EXECUTION_PACKET.md,VAL-COMPLIANCE;VAL-LINKS;VAL-EXECUTION-LOOP;VAL-MEANINGFUL-PROGRESS,The referenced canonical control and validation mapping implement this obligation in the delivered repository control system.
MPR-01-003,1,PRIMARY MISSION,Teach the agent how to determine the correct next work item.,CONTROL_IMPLEMENTED,instructions/START_HERE.md;instructions/04_AUTONOMOUS_OPERATING_CONTRACT.md;instructions/06_TASK_EXECUTION_AND_MEANINGFUL_PROGRESS.md;instructions/05_TASK_SELECTION_AND_SEQUENCING.md;instructions/policies/task_selection_policy.json;tools/select_next_work.py,VAL-COMPLIANCE;VAL-LINKS;VAL-TASK-SELECTION,The referenced canonical control and validation mapping implement this obligation in the delivered repository control system.
MPR-01-004,1,PRIMARY MISSION,Teach the agent how to use accepted project plans and governance.,CONTROL_IMPLEMENTED,instructions/START_HERE.md;instructions/04_AUTONOMOUS_OPERATING_CONTRACT.md;instructions/06_TASK_EXECUTION_AND_MEANINGFUL_PROGRESS.md,VAL-COMPLIANCE;VAL-LINKS,The referenced canonical control and validation mapping implement this obligation in the delivered repository control system.
MPR-01-005,1,PRIMARY MISSION,Teach the agent how to use Jira correctly.,CONTROL_IMPLEMENTED,instructions/START_HERE.md;instructions/04_AUTONOMOUS_OPERATING_CONTRACT.md;instructions/06_TASK_EXECUTION_AND_MEANINGFUL_PROGRESS.md;instructions/07_JIRA_OPERATING_CONTRACT.md;instructions/08_LOCAL_JIRA_MIRROR_AND_SYNC.md;instructions/policies/jira_operating_policy.json;jira/README.md,VAL-COMPLIANCE;VAL-LINKS;VAL-JIRA-POLICY;VAL-JIRA,The referenced canonical control and validation mapping implement this obligation in the delivered repository control system.
MPR-01-006,1,PRIMARY MISSION,Teach the agent how to use GitHub correctly.,CONTROL_IMPLEMENTED,instructions/START_HERE.md;instructions/04_AUTONOMOUS_OPERATING_CONTRACT.md;instructions/06_TASK_EXECUTION_AND_MEANINGFUL_PROGRESS.md;instructions/11_PULL_REQUEST_REVIEW_MERGE_AND_CLEANUP.md;instructions/19_GITHUB_ENFORCEMENT_RECOMMENDATIONS.md;.github/pull_request_template.md,VAL-COMPLIANCE;VAL-LINKS;VAL-PR-LIFECYCLE;VAL-GITHUB-ENFORCEMENT,The referenced canonical control and validation mapping implement this obligation in the delivered repository control system.
MPR-01-007,1,PRIMARY MISSION,"Teach the agent safe Git branch, commit, worktree, and pull-request behavior.",CONTROL_IMPLEMENTED,instructions/START_HERE.md;instructions/04_AUTONOMOUS_OPERATING_CONTRACT.md;instructions/06_TASK_EXECUTION_AND_MEANINGFUL_PROGRESS.md;instructions/09_GIT_REPOSITORY_SAFETY_AND_RECOVERY.md;instructions/10_BRANCH_WORKTREE_AND_COMMIT_POLICY.md;instructions/runbooks/REPOSITORY_IDENTITY_AND_REMOTE_RECONCILIATION.md,VAL-COMPLIANCE;VAL-LINKS;VAL-GIT-POLICY;VAL-WORKTREE-POLICY,The referenced canonical control and validation mapping implement this obligation in the delivered repository control system.
MPR-01-008,1,PRIMARY MISSION,Teach the agent repository hygiene and prohibit destructive or unnecessary Git behavior.,CONTROL_IMPLEMENTED,instructions/START_HERE.md;instructions/04_AUTONOMOUS_OPERATING_CONTRACT.md;instructions/06_TASK_EXECUTION_AND_MEANINGFUL_PROGRESS.md;instructions/09_GIT_REPOSITORY_SAFETY_AND_RECOVERY.md;instructions/10_BRANCH_WORKTREE_AND_COMMIT_POLICY.md;instructions/runbooks/REPOSITORY_IDENTITY_AND_REMOTE_RECONCILIATION.md,VAL-COMPLIANCE;VAL-LINKS;VAL-GIT-POLICY;VAL-WORKTREE-POLICY,The referenced canonical control and validation mapping implement this obligation in the delivered repository control system.
MPR-01-009,1,PRIMARY MISSION,"Teach the agent progressive, intelligent testing.",CONTROL_IMPLEMENTED,instructions/START_HERE.md;instructions/04_AUTONOMOUS_OPERATING_CONTRACT.md;instructions/06_TASK_EXECUTION_AND_MEANINGFUL_PROGRESS.md;instructions/12_CI_TESTING_EVIDENCE_AND_DEFINITION_OF_DONE.md;instructions/policies/definition_of_done.json;instructions/catalogs/validation_command_catalog.json,VAL-COMPLIANCE;VAL-LINKS;VAL-TESTING-POLICY;VAL-DOD,The referenced canonical control and validation mapping implement this obligation in the delivered repository control system.
MPR-01-010,1,PRIMARY MISSION,Require continuous meaningful implementation progress.,CONTROL_IMPLEMENTED,instructions/START_HERE.md;instructions/04_AUTONOMOUS_OPERATING_CONTRACT.md;instructions/06_TASK_EXECUTION_AND_MEANINGFUL_PROGRESS.md;instructions/templates/TASK_EXECUTION_PACKET.md,VAL-COMPLIANCE;VAL-LINKS;VAL-EXECUTION-LOOP;VAL-MEANINGFUL-PROGRESS,The referenced canonical control and validation mapping implement this obligation in the delivered repository control system.
