source_ref_id,repo_relative_path,windows_absolute_path,document_sha256,heading,start_line,end_line,anchor_excerpt,anchor_hash,source_type,authority_level,why_relevant,last_verified
SRCREF-00001,governance/EPIC_CATALOG.csv,C:\BatteredAggieSyndrome\governance\EPIC_CATALOG.csv,af67f805fef397b91903c65a04b422ef2d57f9f0eff62311609002b63e8801ea,,2,2,"EPIC-001,PHASE-1,W06,Comprehensive data-universe research,""Revalidate and expand the source universe, licensing/PIT feasibility, source priorities and fallbacks using fresh research."",MUST,NONE,DONE_W06",17a653195404efa5f20245591b14e6b64964f567b8743ce35232e3607a58c39a,csv,CURRENT_MACHINE_REGISTRY,Authoritative registry row for EPIC-001,2026-08-08
SRCREF-00002,governance/EPIC_CATALOG.csv,C:\BatteredAggieSyndrome\governance\EPIC_CATALOG.csv,af67f805fef397b91903c65a04b422ef2d57f9f0eff62311609002b63e8801ea,,3,3,"EPIC-002,PHASE-1,W07,Canonical entities and identity resolution,""Define canonical identity, source mappings, temporal identity and unresolved-resolution workflow."",MUST,W06_REPLAN,DONE_W07",8b022f476eb3284c82da6998c10bf932ea6564908293349ec55b121f5368b517,csv,CURRENT_MACHINE_REGISTRY,Authoritative registry row for EPIC-002,2026-08-08
SRCREF-00003,governance/EPIC_CATALOG.csv,C:\BatteredAggieSyndrome\governance\EPIC_CATALOG.csv,af67f805fef397b91903c65a04b422ef2d57f9f0eff62311609002b63e8801ea,,4,4,"EPIC-003,PHASE-1,W08,Point-in-time state architecture,Implement the temporal semantics that make historical forecasts reconstructible without future information.,MUST,W06_REPLAN,DONE_W08",9901ecdb2fa5fe0134109443a2ccbb326d6b4052469cb1911346e11ab08644de,csv,CURRENT_MACHINE_REGISTRY,Authoritative registry row for EPIC-003,2026-08-08
SRCREF-00004,governance/EPIC_CATALOG.csv,C:\BatteredAggieSyndrome\governance\EPIC_CATALOG.csv,af67f805fef397b91903c65a04b422ef2d57f9f0eff62311609002b63e8801ea,,5,5,"EPIC-004,PHASE-1,W09,Raw feature registry and schema discovery,Build schema discovery and feature metadata so raw fields are classified before engineering/promotion.,MUST,W06_REPLAN,READY_W09",3f2616f5c34604fbe9f38c0265bcd039ba37f7b9e44cccd326bfe5702430a4ab,csv,CURRENT_MACHINE_REGISTRY,Authoritative registry row for EPIC-004,2026-08-08
SRCREF-00005,governance/EPIC_CATALOG.csv,C:\BatteredAggieSyndrome\governance\EPIC_CATALOG.csv,af67f805fef397b91903c65a04b422ef2d57f9f0eff62311609002b63e8801ea,,6,6,"EPIC-005,PHASE-1,W10,Feature engineering and lifecycle,""Create PIT-safe transforms, screening, ablation and promotion/demotion workflow."",MUST,W06_REPLAN,REVALIDATED_W06_PLANNED",c8073108a2885d3d74a3c70bd124542b8c744f0fe91d7b3c62b940ee3dccfc77,csv,CURRENT_MACHINE_REGISTRY,Authoritative registry row for EPIC-005,2026-08-08
SRCREF-00006,governance/EPIC_CATALOG.csv,C:\BatteredAggieSyndrome\governance\EPIC_CATALOG.csv,af67f805fef397b91903c65a04b422ef2d57f9f0eff62311609002b63e8801ea,,7,7,"EPIC-006,PHASE-1,W11,Team state and early-season intelligence,""Build strength state, priors, recency, regime and lower-division hierarchy with uncertainty."",MUST,W06_REPLAN,REVALIDATED_W06_PLANNED",a20ccc1296b2ed4472829df900b88079b1a16b9cad380ac37b7240de95349f2b,csv,CURRENT_MACHINE_REGISTRY,Authoritative registry row for EPIC-006,2026-08-08
SRCREF-00007,governance/EPIC_CATALOG.csv,C:\BatteredAggieSyndrome\governance\EPIC_CATALOG.csv,af67f805fef397b91903c65a04b422ef2d57f9f0eff62311609002b63e8801ea,,8,8,"EPIC-007,PHASE-1,W16-W17,Foundation baseline model capability,""Establish simple and boosted national baselines, calibration and walk-forward benchmarks before complex challengers."",MUST,W06_REPLAN,W16_BASELINE_CONTRACTS_COMPLETE_W17_PROTOCOL_PENDING",88eceaf553a3225dedf16ba69a3ce9c43bb9ce86501609bd202a5d6357003fc5,csv,CURRENT_MACHINE_REGISTRY,Authoritative registry row for EPIC-007,2026-08-08
SRCREF-00008,governance/EPIC_CATALOG.csv,C:\BatteredAggieSyndrome\governance\EPIC_CATALOG.csv,af67f805fef397b91903c65a04b422ef2d57f9f0eff62311609002b63e8801ea,,9,9,"EPIC-008,PHASE-1,W19,Foundation implementation realization,Create functional starter adapters/contracts/storage/entity/PIT/feature implementations from the latest accepted designs.,MUST,W06_REPLAN,REVALIDATED_W06_PLANNED",a3a7095bed4504252043846c234ef3a3d52c89a1dca3dce811a3a47d718819f3,csv,CURRENT_MACHINE_REGISTRY,Authoritative registry row for EPIC-008,2026-08-08
SRCREF-00009,governance/EPIC_CATALOG.csv,C:\BatteredAggieSyndrome\governance\EPIC_CATALOG.csv,af67f805fef397b91903c65a04b422ef2d57f9f0eff62311609002b63e8801ea,,10,10,"EPIC-009,PHASE-2,W12,""Player, roster, depth and availability state"",""Represent player value, depth, availability, usage, replacement and uncertainty at prediction time."",MUST,W06_REPLAN,REVALIDATED_W06_PLANNED",987bb13c09e04298af6f9186ecde186607f217e92ca2a1138d268db31c71694f,csv,CURRENT_MACHINE_REGISTRY,Authoritative registry row for EPIC-009,2026-08-08
SRCREF-00010,governance/EPIC_CATALOG.csv,C:\BatteredAggieSyndrome\governance\EPIC_CATALOG.csv,af67f805fef397b91903c65a04b422ef2d57f9f0eff62311609002b63e8801ea,,11,11,"EPIC-010,PHASE-2,W12,""Transfers, recruiting and prospect priors"",Translate incoming talent/production across competitive context without hard-coded conference penalties.,MUST,W06_REPLAN,REVALIDATED_W06_PLANNED",9791270c0ba2c167ef726cc75c71190f5d0d236608743b797652a86e8b63160f,csv,CURRENT_MACHINE_REGISTRY,Authoritative registry row for EPIC-010,2026-08-08
