field_id,field_name,required,description
ERF-001,result_id,true,Immutable hash/content identity of result packet.
ERF-002,experiment_id,true,References immutable experiment specification.
ERF-003,attempt_id,true,"Execution attempt; failed retry with same exact spec may increment attempt, changed spec requires new experiment."
ERF-004,artifact_manifest_hash,true,Hash of artifact manifest; large artifacts remain external/local.
ERF-005,development_metrics,true,Development-only metrics available to research plane.
ERF-006,protected_metrics,false,Must be absent/null in research-plane packet; protected evaluator stores separately.
ERF-007,environment_fingerprint,true,Runtime reproducibility evidence.
ERF-008,stdout_stderr_hashes,true,Execution log hashes/sanitized references.
ERF-009,replay_status,true,PENDING/VERIFIED/MISMATCH/NOT_REQUIRED.
ERF-010,recommendation,true,REJECT/INCONCLUSIVE/ADOPT_AS_CHALLENGER/PROMOTION_REVIEW_REQUIRED; never PROMOTE.
ERF-011,reason,true,Decision rationale.
ERF-012,created_at_utc,true,Immutable audit time.
ERF-013,failure_class,false,Scientific/data/infrastructure/reproducibility/governance failure class.
ERF-014,tournament_id,false,Feature/model tournament identity when result participates in a tournament.
ERF-015,comparison_compatibility_hash,false,Hash/reference proving candidates were semantically comparable.
ERF-016,search_study_id,false,HPO study identity when produced by bounded search.
