predecessor_task_id,successor_task_id,dependency_type,reason
TASK-001,TASK-002,HARD,Declared WBS dependency
TASK-002,TASK-003,HARD,Declared WBS dependency
TASK-002,TASK-004,HARD,Declared WBS dependency
TASK-003,TASK-005,HARD,Declared WBS dependency
TASK-004,TASK-005,HARD,Declared WBS dependency
TASK-005,TASK-006,HARD,Declared WBS dependency
TASK-006,TASK-007,HARD,Declared WBS dependency
TASK-007,TASK-008,HARD,Declared WBS dependency
TASK-008,TASK-009,HARD,Declared WBS dependency
TASK-009,TASK-010,HARD,Declared WBS dependency
TASK-007,TASK-011,HARD,Declared WBS dependency
TASK-006,TASK-011,HARD,Declared WBS dependency
TASK-010,TASK-012,HARD,Declared WBS dependency
TASK-011,TASK-012,HARD,Declared WBS dependency
TASK-012,TASK-013,HARD,Declared WBS dependency
TASK-013,TASK-014,HARD,Declared WBS dependency
TASK-013,TASK-015,HARD,Declared WBS dependency
TASK-014,TASK-016,HARD,Declared WBS dependency
TASK-015,TASK-016,HARD,Declared WBS dependency
TASK-014,TASK-017,HARD,Declared WBS dependency
TASK-016,TASK-018,HARD,Declared WBS dependency
TASK-017,TASK-018,HARD,Declared WBS dependency
TASK-018,TASK-019,HARD,Declared WBS dependency
TASK-019,TASK-020,HARD,Declared WBS dependency
TASK-020,TASK-021,HARD,Declared WBS dependency
TASK-021,TASK-022,HARD,Declared WBS dependency
TASK-022,TASK-023,HARD,Declared WBS dependency
TASK-023,TASK-024,HARD,Declared WBS dependency
TASK-024,TASK-025,HARD,Declared WBS dependency
TASK-024,TASK-026,HARD,Declared WBS dependency
TASK-025,TASK-027,HARD,Declared WBS dependency
TASK-026,TASK-027,HARD,Declared WBS dependency
TASK-027,TASK-028,HARD,Declared WBS dependency
TASK-028,TASK-029,HARD,Declared WBS dependency
TASK-029,TASK-030,HARD,Declared WBS dependency
TASK-030,TASK-031,HARD,Declared WBS dependency
TASK-030,TASK-032,HARD,Declared WBS dependency
TASK-030,TASK-033,HARD,Declared WBS dependency
TASK-031,TASK-034,HARD,Declared WBS dependency
TASK-032,TASK-034,HARD,Declared WBS dependency
TASK-033,TASK-034,HARD,Declared WBS dependency
TASK-034,TASK-035,HARD,Declared WBS dependency
TASK-035,TASK-036,HARD,Declared WBS dependency
