source_id,dataset,domain,classification,source_specific_semantics,snapshot_required,required_timestamp_fields,historical_backfill_risk,ban_or_guardrail
SRC-001,cfbfastR-cfb-data,games/PBP/box/advanced/rosters/betting,REVIEW_REQUIRED,HISTORICAL_GAME_OUTPUT_SAFE_VIA_PRIOR_GAME_AGGREGATION,YES,game/start/date plus source fields; derived release time not universal,MEDIUM,Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.
SRC-002,CollegeFootballData API,games/PBP/drives/teams/players/recruiting/transfers/ratings/weather/betting,REVIEW_REQUIRED,FIELD_BY_FIELD_PIT_REVIEW,YES,"endpoint-specific; game start, line data, etc.",MEDIUM,Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.
SRC-003,Historical Weather / Historical Forecast,weather,POSTGAME_ONLY_OR_BANNED,OBSERVED_POSTGAME_OR_CONTEXT_ONLY,YES,valid time; API/model metadata,MEDIUM,Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.
SRC-004,College Athletics Database,resources/finance,HISTORICAL_AGGREGATE_ONLY,HISTORICAL_AGGREGATE_ONLY,CONDITIONAL,fiscal/reporting year,HIGH,Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.
SRC-005,rosters/schedules/game notes/media guides,team/roster/context,DIRECT_PREGAME_SAFE,DIRECT_PREGAME_CANDIDATE_IF_PUBLICATION_DATED,YES,page/document publication/update when available,HIGH,Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.
SRC-006,College football premium grades/data,advanced charting,REVIEW_REQUIRED,REVIEW_REQUIRED,CONDITIONAL,varies,MEDIUM,Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.
SRC-007,EADA athletics data,resources/finance,HISTORICAL_AGGREGATE_ONLY,HISTORICAL_AGGREGATE_ONLY,CONDITIONAL,survey year/report year,MEDIUM,Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.
SRC-008,IPEDS,institution/resources,HISTORICAL_AGGREGATE_ONLY,HISTORICAL_AGGREGATE_ONLY,CONDITIONAL,academic/fiscal collection year,MEDIUM,Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.
SRC-009,A&M roster/schedule/stats/archive,TAMU specialization,DIRECT_PREGAME_SAFE,DIRECT_PREGAME_CANDIDATE_IF_DATED,CONDITIONAL,event/document date/publication where available,MEDIUM,Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.
SRC-010,award watch lists/calendar,preseason honors,DIRECT_PREGAME_SAFE,DIRECT_PREGAME_SAFE_AFTER_PUBLICATION,CONDITIONAL,announcement date,MEDIUM,Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.
SRC-011,stats/schedules/archives/game notes,conference validation/context,DIRECT_PREGAME_SAFE,DIRECT_OR_HISTORICAL_BY_FIELD,CONDITIONAL,event/publication date,MEDIUM,Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.
SRC-012,preseason all-conference/all-America,preseason honors,DIRECT_PREGAME_SAFE,DIRECT_PREGAME_SAFE_AFTER_PUBLICATION,CONDITIONAL,announcement date,MEDIUM,Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.
SRC-013,Football Playing Rules + legislation/LSDBi,rules/regulatory era,DIRECT_PREGAME_SAFE,DIRECT_SAFE_BY_EFFECTIVE_DATE,CONDITIONAL,adoption/effective/publication date,MEDIUM,Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.
SRC-014,gamebooks incl. officials/participation,game/officials/participation,POSTGAME_ONLY_OR_BANNED,POSTGAME_FOR_GAME_STATS; PREGAME_FOR_PREP_DOCS,CONDITIONAL,game/document date,MEDIUM,Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.
SRC-015,Football Statistics & Records,team/player stats/lower divisions/attendance,REVIEW_REQUIRED,HISTORICAL_GAME_OUTPUT_SAFE_VIA_PRIOR_GAME_AGGREGATION,CONDITIONAL,season/week/game,MEDIUM,Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.
SRC-016,Membership Directory,entity identity/membership,DIRECT_PREGAME_SAFE,DIRECT_IDENTITY_METADATA,CONDITIONAL,current/effective membership fields,MEDIUM,Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.
SRC-017,Football Student-Athlete Availability Reports,injuries/availability,DIRECT_PREGAME_SAFE,DIRECT_PREGAME_SAFE_AFTER_PUBLICATION,YES,report publication/update; final 90 min pregame,MEDIUM,Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.
SRC-018,Gameday Availability Reports,injuries/availability,DIRECT_PREGAME_SAFE,DIRECT_PREGAME_SAFE_AFTER_PUBLICATION,YES,gameday report/publication,MEDIUM,Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.
SRC-019,Availability Reporting,injuries/availability,DIRECT_PREGAME_SAFE,DIRECT_PREGAME_SAFE_AFTER_PUBLICATION,YES,two nights/night before/2h pregame reports,MEDIUM,Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.
SRC-020,Player Availability Reporting,injuries/availability,DIRECT_PREGAME_SAFE,DIRECT_PREGAME_SAFE_AFTER_PUBLICATION,YES,daily starting 3 days pregame; final 90m,MEDIUM,Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.
SRC-021,Football Player Availability Reports,injuries/availability,DIRECT_PREGAME_SAFE,DIRECT_PREGAME_SAFE_AFTER_PUBLICATION,YES,no later than 2h pre-kick,MEDIUM,Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.
SRC-022,Football Availability Reporting,injuries/availability,DIRECT_PREGAME_SAFE,DIRECT_PREGAME_SAFE_AFTER_PUBLICATION,YES,initial 3 days prior + gameday update,MEDIUM,Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.
SRC-023,Football Availability Reports,injuries/availability,DIRECT_PREGAME_SAFE,DIRECT_PREGAME_SAFE_AFTER_PUBLICATION,YES,policy/report publication,MEDIUM,Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.
SRC-024,Football Availability Reports,injuries/availability,DIRECT_PREGAME_SAFE,DIRECT_PREGAME_SAFE_AFTER_PUBLICATION,YES,gameday report publication,MEDIUM,Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.
