candidate_id,requested_repository,canonical_repository,domain,reviewed_commit,reviewed_release,license_metadata,decision,integration_phase,integration_boundary,rationale,empirical_admission_gate,risk_and_constraint,current_action
OSR-001,sportsdataverse/sportsdataverse-py,sportsdataverse/sportsdataverse-py,acquisition,357fd18788680f3442dd22f86befbc33e52fb013,v0.0.75,MIT,ADAPT_NOW,IMMEDIATE_ACQUISITION,SourceAdapter + isolated pinned acquisition environment,"Broad CFB ESPN/NCAA/stats.ncaa.org/Fox/Yahoo parsers, release loaders, crosswalks, rosters and enrichment eliminate substantial custom parser work.","A bounded real-game smoke must preserve raw/normalized separation, row/schema identities, and cross-source reconciliation before each domain is admitted.",Large mandatory dependency surface including XGBoost; upstream data remains noncanonical and output timestamps do not automatically prove PIT eligibility.,Implement an optional SportsDataverse CFB adapter and keep the 1 GB toolchain outside the base runtime.
OSR-002,sportsdataverse/cfbfastR-cfb-data,sportsdataverse/cfbfastR-cfb-data,historical_data,9d8cc8113fa521177d1b8784828fa17fba191b48,espn_cfb_team_box,NO_ASSERTION,ADOPT_NOW,IMMEDIATE_HISTORICAL_DATA,Immutable release capture -> RawSnapshotStore -> canonical normalization,Nineteen rectangular CFB datasets and approximately 928 documented columns already provide the historical lake bootstrap used by the project.,"Release asset hash, season/domain coverage, schema drift, source lineage, and PIT eligibility must pass independently.",Derived ESPN/raw lineage is not independent corroboration; release tags are dataset-specific and coverage varies by season.,Retain as the bulk historical foundation and formalize release-index acquisition rather than rebuilding its rectangularization pipeline.
OSR-003,sportsdataverse/sportsdataverse-data,sportsdataverse/sportsdataverse-data,historical_data,b8631fe13186a4e12285ce9f14eb8e8dced3b10d,nfl_ratings_weekly,MIT,ADAPT_NOW,IMMEDIATE_HISTORICAL_DATA,Release catalog resolver only; no canonical schema authority,Central release-store metadata shortens discovery and refresh checks for SportsDataverse assets.,"Resolved asset tag, URL, byte size, and content hash must match the captured manifest.","The repository is an index/release host, not proof that every release is current, complete, or PIT-safe.",Use its release conventions in the acquisition registry; do not add the R package to production.
OSR-004,CFBD/cfbd-python,CFBD/cfbd-python,acquisition,f9125f31fc6fdf2faa21e829529ac2055dd2f510,,NO_ASSERTION,ADAPT_NOW,IMMEDIATE_ACQUISITION,Optional typed client behind existing credential-free acquisition evidence boundary,"Generated endpoint models cover games, plays, teams, venues, recruiting, rankings and advanced metrics and reduce client maintenance.",Typed output must reconcile byte-for-byte field semantics against preserved direct HTTP JSON for representative endpoints.,"Generated client is not raw-evidence authority, has no GitHub release tag/license assertion in API metadata, and must not log bearer configuration.",Add an optional source-client extra and typed serialization adapter while retaining direct HTTP as the immutable raw route.
OSR-005,duckdb/duckdb,duckdb/duckdb,analytical_storage,e500d77864fe565f90e68f06d729c25b11e775c5,v1.5.5,MIT,ADOPT_NOW,IMMEDIATE_DATA_ENGINE,Read-only analytical engine over external Parquet/JSON with no server,"Direct Parquet SQL, joins, window functions and local portability fit the external historical lake and PIT assembly workload.","Row counts, join cardinality, chronology and output hashes must match independent Polars/reference computations.",SQL must remain read-only for evidence inputs; extension loading and arbitrary path access require explicit control.,Pin the Python client and implement the analytical runtime boundary.
OSR-006,pola-rs/polars,pola-rs/polars,dataframe_engine,35d93c51c58a5bb7420871432d109ce8f0e478cc,rs-0.55.2,MIT,ADOPT_NOW,IMMEDIATE_DATA_ENGINE,Lazy transformation engine over immutable external tables,"Lazy scans, streaming, Arrow interoperability and deterministic expressions fit normalization and feature computation.","Materialized outputs must match schema, count, missingness and hash contracts against independent validation.",Lazy plans do not supply PIT correctness by themselves; version drift can change schemas or expressions.,Pin Polars and make it the default dataframe engine behind project interfaces.
OSR-007,unionai-oss/pandera,unionai-oss/pandera,data_contracts,22010db8df9418c40418dfe7136e985c899575b8,v0.32.1,MIT,ADOPT_NOW,IMMEDIATE_DATA_VALIDATION,Boundary schemas for Polars/pandas frames,"Executable dataframe contracts reduce custom validation code at raw-to-canonical, canonical-to-PIT and training boundaries.","Positive and adversarial fixtures must prove nullability, range, uniqueness and schema-drift failures.","Pandera complements rather than replaces provenance, population coverage or chronological gates.",Pin the Polars extra and add contract helpers to the data boundary.
OSR-008,scikit-learn/scikit-learn,scikit-learn/scikit-learn,classical_ml,c74a434d91c6c7aa4e05a18a7a8ff3c9d9745eb5,1.9.0,BSD-3-Clause,ADOPT_AT_DEPENDENCY,BASELINE_MODELING,Estimator/pipeline adapter beneath ModelArtifact and protected evaluation,"Mature pipelines, logistic models, calibration and metrics replace fragile homegrown training code.",Chronological development replay must beat or match the sealed simple baseline without leakage before promotion.,Random train/test examples are forbidden; estimator serialization and version identity must be pinned.,Pin 1.9.0 when model-ready matrices are approved; keep current prediction contracts authoritative.
OSR-009,statsmodels/statsmodels,statsmodels/statsmodels,statistical_models,ce2ee53f2dcefa7be9d57835842e7a1eca2ffd13,v0.14.6,BSD-3-Clause,ADOPT_AT_DEPENDENCY,BASELINE_MODELING,GLM/count-model adapter beneath canonical model artifacts,"Logistic, Poisson, generalized Poisson, negative-binomial and mixed GLM implementations directly cover planned baselines.","Convergence, dispersion, residual and chronological stability diagnostics must pass on real training matrices.",Inference assumptions and formula processing can leak if time-varying inputs are assembled incorrectly.,Pin 0.14.6 for regularized/statistical baselines after model dataset approval.
OSR-010,dmlc/xgboost,dmlc/xgboost,boosting,68faee0f291f23f2a1c35416a22c98758958784b,v3.4.0,Apache-2.0,ADOPT_AT_DEPENDENCY,BOOSTING_CHALLENGER,Optional boosting backend behind BoostingAdapterSpec,Strong tabular challenger with stable sklearn integration and efficient CPU execution.,"Must earn protected chronological lift, calibration, stability and resource value over GLM/sklearn baselines.",Latest 3.4.0 requires Python 3.12; current host must pin 3.2.0 and control threads/seeds.,Pin 3.2.0 for Python 3.11 and implement only when POST-SUBTASK-073 inputs are ready.
