sequence_hint,local_id,issue_type,summary,state,priority,blocked_by,blocks_count,maturity_after,note
1,EPIC-001,Epic,[EPIC-001] Comprehensive data-universe research,DONE,P1,,0,CONTRACT_DEFINED,Dependency criticality only; this is not a duration estimate.
2,EPIC-002,Epic,[EPIC-002] Canonical entities and identity resolution,DONE,P1,,0,CONTRACT_DEFINED,Dependency criticality only; this is not a duration estimate.
3,EPIC-003,Epic,[EPIC-003] Point-in-time state architecture,DONE,P1,,0,CONTRACT_DEFINED,Dependency criticality only; this is not a duration estimate.
4,EPIC-004,Epic,[EPIC-004] Raw feature registry and schema discovery,DONE,P1,,0,CONTRACT_DEFINED,Dependency criticality only; this is not a duration estimate.
5,EPIC-005,Epic,[EPIC-005] Feature engineering and lifecycle,DONE,P1,,0,CONTRACT_DEFINED,Dependency criticality only; this is not a duration estimate.
6,EPIC-006,Epic,[EPIC-006] Team state and early-season intelligence,DONE,P1,,0,CONTRACT_DEFINED,Dependency criticality only; this is not a duration estimate.
7,EPIC-007,Epic,[EPIC-007] Foundation baseline model capability,DONE,P1,,0,CONTRACT_DEFINED,Dependency criticality only; this is not a duration estimate.
8,EPIC-008,Epic,[EPIC-008] Foundation implementation realization,DONE,P1,,0,FUNCTIONAL_STARTER,Dependency criticality only; this is not a duration estimate.
9,EPIC-009,Epic,"[EPIC-009] Player, roster, depth and availability state",DONE,P1,,0,CONTRACT_DEFINED,Dependency criticality only; this is not a duration estimate.
10,EPIC-010,Epic,"[EPIC-010] Transfers, recruiting and prospect priors",DONE,P1,,0,CONTRACT_DEFINED,Dependency criticality only; this is not a duration estimate.
11,EPIC-011,Epic,[EPIC-011] Coaching and staff intelligence,DONE,P1,,0,CONTRACT_DEFINED,Dependency criticality only; this is not a duration estimate.
12,EPIC-012,Epic,"[EPIC-012] Environment, resources, venue and travel context",DONE,P1,,0,CONTRACT_DEFINED,Dependency criticality only; this is not a duration estimate.
13,EPIC-013,Epic,"[EPIC-013] Possession, field position and special teams mechanics",DONE,P1,,0,CONTRACT_DEFINED,Dependency criticality only; this is not a duration estimate.
14,EPIC-014,Epic,"[EPIC-014] Opponent adjustment, style and schedule stress",DONE,P1,,0,CONTRACT_DEFINED,Dependency criticality only; this is not a duration estimate.
15,EPIC-015,Epic,[EPIC-015] Advanced intelligence implementation realization,DONE,P1,,0,FUNCTIONAL_STARTER,Dependency criticality only; this is not a duration estimate.
16,EPIC-016,Epic,[EPIC-016] Texas A&M high-resolution state,DONE,P1,,0,CONTRACT_DEFINED,Dependency criticality only; this is not a duration estimate.
17,EPIC-017,Epic,[EPIC-017] A&M specialization architecture,DONE,P1,,0,CONTRACT_DEFINED,Dependency criticality only; this is not a duration estimate.
18,EPIC-018,Epic,[EPIC-018] Scientific BAS labels and cross-fitting,DONE,P1,,0,CONTRACT_DEFINED,Dependency criticality only; this is not a duration estimate.
19,EPIC-019,Epic,[EPIC-019] BAS decomposition and statistical validation,DONE,P1,,0,CONTRACT_DEFINED,Dependency criticality only; this is not a duration estimate.
20,EPIC-020,Epic,[EPIC-020] A&M specialization and BAS starter implementation,DONE,P1,,0,FUNCTIONAL_STARTER,Dependency criticality only; this is not a duration estimate.
