family_id,feature_family,candidate_seed_count,initial_lifecycle_state,candidate_lane,target_scope,required_evidence_ids,w10_empirical_result,notes
FF-001,advanced_efficiency_probability,69,EXPERIMENTAL,PURE_AND_MARKET_ELIGIBLE,WIN;MARGIN;TEAM_SCORE;OPP_SCORE;BAS_TARGETS_WITH_TARGET_SPECIFIC_DECISIONS,FE-001;FE-002;FE-003;FE-004;FE-005;FE-006;FE-007;FE-008;FE-012,NOT_RUN_REAL_DATA,Organizational family only; empirical evidence decides use.
FF-002,drives_field_position,52,EXPERIMENTAL,PURE_AND_MARKET_ELIGIBLE,WIN;MARGIN;TEAM_SCORE;OPP_SCORE;BAS_TARGETS_WITH_TARGET_SPECIFIC_DECISIONS,FE-001;FE-002;FE-003;FE-004;FE-005;FE-006;FE-007;FE-008;FE-012,NOT_RUN_REAL_DATA,Organizational family only; empirical evidence decides use.
FF-003,game_state_tempo_clock,22,EXPERIMENTAL,PURE_AND_MARKET_ELIGIBLE,WIN;MARGIN;TEAM_SCORE;OPP_SCORE;BAS_TARGETS_WITH_TARGET_SPECIFIC_DECISIONS,FE-001;FE-002;FE-003;FE-004;FE-005;FE-006;FE-007;FE-008;FE-012,NOT_RUN_REAL_DATA,Organizational family only; empirical evidence decides use.
FF-004,injuries_availability,12,EXPERIMENTAL,PURE_AND_MARKET_ELIGIBLE,WIN;MARGIN;TEAM_SCORE;OPP_SCORE;BAS_TARGETS_WITH_TARGET_SPECIFIC_DECISIONS,FE-001;FE-002;FE-003;FE-004;FE-005;FE-006;FE-007;FE-008;FE-012,NOT_RUN_REAL_DATA,Availability must preserve UNKNOWN/noncoverage and replacement context.
FF-005,market_betting,16,EXPERIMENTAL,MARKET_AUGMENTED_ONLY,WIN;MARGIN;TEAM_SCORE;OPP_SCORE;BAS_TARGETS_WITH_TARGET_SPECIFIC_DECISIONS,FE-001;FE-002;FE-003;FE-004;FE-005;FE-006;FE-007;FE-008;FE-012,NOT_RUN_REAL_DATA,Organizational family only; empirical evidence decides use.
FF-006,other,131,EXPERIMENTAL,PURE_AND_MARKET_ELIGIBLE,WIN;MARGIN;TEAM_SCORE;OPP_SCORE;BAS_TARGETS_WITH_TARGET_SPECIFIC_DECISIONS,FE-001;FE-002;FE-003;FE-004;FE-005;FE-006;FE-007;FE-008;FE-012,NOT_RUN_REAL_DATA,Organizational family only; empirical evidence decides use.
FF-007,passing_receiving,81,EXPERIMENTAL,PURE_AND_MARKET_ELIGIBLE,WIN;MARGIN;TEAM_SCORE;OPP_SCORE;BAS_TARGETS_WITH_TARGET_SPECIFIC_DECISIONS,FE-001;FE-002;FE-003;FE-004;FE-005;FE-006;FE-007;FE-008;FE-012,NOT_RUN_REAL_DATA,Organizational family only; empirical evidence decides use.
FF-008,penalties,22,EXPERIMENTAL,PURE_AND_MARKET_ELIGIBLE,WIN;MARGIN;TEAM_SCORE;OPP_SCORE;BAS_TARGETS_WITH_TARGET_SPECIFIC_DECISIONS,FE-001;FE-002;FE-003;FE-004;FE-005;FE-006;FE-007;FE-008;FE-012,NOT_RUN_REAL_DATA,Organizational family only; empirical evidence decides use.
FF-009,play_participation,56,EXPERIMENTAL,PURE_AND_MARKET_ELIGIBLE,WIN;MARGIN;TEAM_SCORE;OPP_SCORE;BAS_TARGETS_WITH_TARGET_SPECIFIC_DECISIONS,FE-001;FE-002;FE-003;FE-004;FE-005;FE-006;FE-007;FE-008;FE-012,NOT_RUN_REAL_DATA,Organizational family only; empirical evidence decides use.
FF-010,program_resources,15,EXPERIMENTAL,PURE_AND_MARKET_ELIGIBLE,WIN;MARGIN;TEAM_SCORE;OPP_SCORE;BAS_TARGETS_WITH_TARGET_SPECIFIC_DECISIONS,FE-001;FE-002;FE-003;FE-004;FE-005;FE-006;FE-007;FE-008;FE-012,NOT_RUN_REAL_DATA,Resource features require coverage/proxy uncertainty.
