"source_id","owner","dataset","domain","official_nonofficial","canonical_url","stable_id_capability","join_keys","source_role","acquisition_priority","inclusion_status","upstream_relationship","independent_corroboration","access_method","authentication","cost","rate_limits","historical_depth","divisions_covered","timestamp_fields","pit_feasibility","known_at_feasibility","snapshot_required","pit_guardrail","terms_or_license","redistribution","attribution","repository_eligibility","availability_disposition","supersession_status","production_disposition","disposition_reason","version_or_commit","refresh_change","verified_at_utc","provenance_basis"
"SRC-001","SportsDataverse / cfbfastR","cfbfastR-cfb-data","games/PBP/box/advanced/rosters/betting","NONOFFICIAL_DERIVED","https://github.com/sportsdataverse/cfbfastR-cfb-data","source-specific","canonical mapping required","DERIVED_ANALYSIS_DATA","PRIMARY","INCLUDE","SRC-061;ESPN_UNREGISTERED_UPSTREAM","NO_DERIVED_SIBLING","bulk repository/releases","none","free","source-specific","dataset-dependent; broad modern CFB","FBS/FCS primarily","game/start/date plus source fields; derived release time not universal","POSTGAME_OR_SNAPSHOT_BY_DATASET","REVIEW_REQUIRED","YES","Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.","PUBLIC_REPOSITORY_UPSTREAM_TERMS_REVIEW","DERIVED_PUBLIC_REPO_REVIEW","source-specific","CONTRACT_DERIVED_OUTPUTS_ONLY_NO_RAW_REPACKAGE","AVAILABLE_SUBJECT_TO_ACCESS_CONTRACT","NOT_SUPERSEDED","CANDIDATE_CONTRACT_AND_RIGHTS_REVIEW_REQUIRED","Analysis-ready sibling derived from SRC-061 enriched JSON and ESPN upstream; never count as independent corroboration.","git:9d8cc8113fa521177d1b8784828fa17fba191b48","REFINED","2026-08-09T06:17:30Z","docs/data_research/w06/DATA_UNIVERSE_MASTER.csv;docs/data_research/w24/SOURCE_REFRESH_DELTA.csv"
"SRC-002","Rad Sports Analytics / CollegeFootballData","CollegeFootballData API","games/PBP/drives/teams/players/recruiting/transfers/ratings/weather/betting","NONOFFICIAL_AGGREGATOR","https://api.collegefootballdata.com/","source-specific","canonical mapping required","PRIMARY_AGGREGATOR","PRIMARY","INCLUDE","MULTIPLE_PROVIDER_AND_PUBLIC_FEEDS_REVIEW_REQUIRED","YES_WITH_UPSTREAM_CAUTION","REST; exporter; GraphQL tiers","API key","free + paid tiers","tier-based","endpoint-dependent; broad modern/historical CFB","FBS/FCS; some lower-division context","endpoint-specific; game start, line data, etc.","DIRECT_OR_SNAPSHOT_BY_ENDPOINT","REVIEW_REQUIRED","YES","Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.","TERMS_GOVERNED_API","TERMS_REVIEW_REQUIRED","source-specific","CONTRACT_DERIVED_OUTPUTS_ONLY_NO_RAW_REPACKAGE","AVAILABLE_SUBJECT_TO_ACCESS_CONTRACT","NOT_SUPERSEDED","CANDIDATE_CONTRACT_AND_RIGHTS_REVIEW_REQUIRED","Inventory classification only; promotion requires a source contract, rights decision, PIT proof, and immutable snapshot evidence.","live-rest-http-200:2026-08-09T06:17:03Z","REFINED","2026-08-09T06:17:03Z","docs/data_research/w06/DATA_UNIVERSE_MASTER.csv;docs/data_research/w24/SOURCE_REFRESH_DELTA.csv"
"SRC-003","Open-Meteo","Historical Weather / Historical Forecast","weather","NONOFFICIAL_WEATHER_AGGREGATOR","https://open-meteo.com/en/docs/historical-weather-api","source-specific","canonical mapping required","FORECAST_RECONSTRUCTION","SECONDARY","INCLUDE","MULTIPLE_NATIONAL_WEATHER_SERVICES_REVIEW_REQUIRED","YES","REST API","none/customer API key for paid","free noncommercial + paid commercial","source-specific","observed/reanalysis from 1940; forecast archive varies","all venues","valid time; API/model metadata","DIRECT_PREGAME_SAFE_WHEN_RUN_SEMANTICS_CAPTURED","REVIEW_REQUIRED","YES","Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.","CC_BY_4_0_DATA_PLUS_API_TERMS","ATTRIBUTION_AND_PLAN_REVIEW","source-specific","CONTRACT_DERIVED_OUTPUTS_ONLY_NO_RAW_REPACKAGE","AVAILABLE_SUBJECT_TO_ACCESS_CONTRACT","NOT_SUPERSEDED","CANDIDATE_CONTRACT_AND_RIGHTS_REVIEW_REQUIRED","Inventory classification only; promotion requires a source contract, rights decision, PIT proof, and immutable snapshot evidence.","UNPINNED_CONTRACT_REQUIRED","REFINED","2026-08-09T00:30:00Z","docs/data_research/w06/DATA_UNIVERSE_MASTER.csv;docs/data_research/w24/SOURCE_REFRESH_DELTA.csv"
"SRC-004","Knight Commission / Newhouse","College Athletics Database","resources/finance","NONOFFICIAL_CURATED","https://www.knightnewhousedata.org/","source-specific","canonical mapping required","resource context/validation","PRIMARY","INCLUDE","SOURCE_SPECIFIC_OR_DIRECT_OWNER_REVIEW_REQUIRED","NOT_CLAIMED_SINGLE_SOURCE","web/custom reporting","none","free","source-specific","historical public-college athletics finance; current site updated through 2025 data","college institutions","fiscal/reporting year","HISTORICAL_AGGREGATE_ONLY","REVIEW_REQUIRED","CONDITIONAL","Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.","REVIEW_TERMS","REVIEW_REQUIRED","source-specific","CONTRACT_DERIVED_OUTPUTS_ONLY_NO_RAW_REPACKAGE","AVAILABLE_SUBJECT_TO_ACCESS_CONTRACT","NOT_SUPERSEDED","CANDIDATE_CONTRACT_AND_RIGHTS_REVIEW_REQUIRED","Inventory classification only; promotion requires a source contract, rights decision, PIT proof, and immutable snapshot evidence.","UNPINNED_CONTRACT_REQUIRED","W06_BASELINE","2026-08-08T00:00:00Z","docs/data_research/w06/DATA_UNIVERSE_MASTER.csv;docs/data_research/w06/POINT_IN_TIME_FEASIBILITY_MATRIX.csv;docs/data_research/w06/SOURCE_ACCESS_LICENSE_MATRIX.csv"
"SRC-005","Official school athletics sites","rosters/schedules/game notes/media guides","team/roster/context","OFFICIAL","school-specific","source-specific","canonical mapping required","official team evidence and validation","PRIMARY","INCLUDE","SOURCE_SPECIFIC_OR_DIRECT_OWNER_REVIEW_REQUIRED","NOT_CLAIMED_SINGLE_SOURCE","HTML/PDF/download","none","free","source-specific","school-dependent; A&M deep archive","all where site exists","page/document publication/update when available","DIRECT_PREGAME_CANDIDATE_IF_PUBLICATION_DATED","REVIEW_REQUIRED","YES","Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.","REVIEW_TERMS","REVIEW_REQUIRED","source-specific","CONTRACT_DERIVED_OUTPUTS_ONLY_NO_RAW_REPACKAGE","AVAILABLE_SUBJECT_TO_ACCESS_CONTRACT","NOT_SUPERSEDED","CANDIDATE_CONTRACT_AND_RIGHTS_REVIEW_REQUIRED","Inventory classification only; promotion requires a source contract, rights decision, PIT proof, and immutable snapshot evidence.","UNPINNED_CONTRACT_REQUIRED","W06_BASELINE","2026-08-08T00:00:00Z","docs/data_research/w06/DATA_UNIVERSE_MASTER.csv;docs/data_research/w06/POINT_IN_TIME_FEASIBILITY_MATRIX.csv;docs/data_research/w06/SOURCE_ACCESS_LICENSE_MATRIX.csv"
"SRC-006","PFF","College football premium grades/data","advanced charting","NONOFFICIAL_COMMERCIAL","https://www.pff.com/college","source-specific","canonical mapping required","optional enrichment only","DEFERRED","DEFERRED","SOURCE_SPECIFIC_OR_DIRECT_OWNER_REVIEW_REQUIRED","NOT_CLAIMED_SINGLE_SOURCE","licensed product","subscription/license","paid","source-specific","vendor-dependent","FBS emphasis","varies","REVIEW_REQUIRED","REVIEW_REQUIRED","CONDITIONAL","Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.","REVIEW_TERMS","REVIEW_REQUIRED","source-specific","CONTRACT_DERIVED_OUTPUTS_ONLY_NO_RAW_REPACKAGE","DEFERRED_USER_REACTIVATION_REQUIRED","NOT_SUPERSEDED","DEFERRED_USER_REACTIVATION_REQUIRED","Project governance explicitly defers PFF until user reactivation; no dependency may require it.","UNPINNED_CONTRACT_REQUIRED","W06_BASELINE","2026-08-08T00:00:00Z","docs/data_research/w06/DATA_UNIVERSE_MASTER.csv;docs/data_research/w06/POINT_IN_TIME_FEASIBILITY_MATRIX.csv;docs/data_research/w06/SOURCE_ACCESS_LICENSE_MATRIX.csv"
"SRC-007","U.S. Department of Education","EADA athletics data","resources/finance","OFFICIAL_GOVERNMENT","https://ope.ed.gov/athletics/","source-specific","canonical mapping required","public/private program resource lane","PRIMARY","INCLUDE","SOURCE_SPECIFIC_OR_DIRECT_OWNER_REVIEW_REQUIRED","NOT_CLAIMED_SINGLE_SOURCE","bulk/custom download","none","free","source-specific","annual; historical downloads available","Title-IV coeducational institutions","survey year/report year","HISTORICAL_AGGREGATE_ONLY","REVIEW_REQUIRED","CONDITIONAL","Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.","US_GOV_PUBLIC_DATA_TERMS","PUBLIC_DATA_WITH_PROVENANCE","source-specific","CONTRACT_DERIVED_OUTPUTS_ONLY_NO_RAW_REPACKAGE","AVAILABLE_SUBJECT_TO_ACCESS_CONTRACT","NOT_SUPERSEDED","CANDIDATE_CONTRACT_AND_RIGHTS_REVIEW_REQUIRED","Inventory classification only; promotion requires a source contract, rights decision, PIT proof, and immutable snapshot evidence.","UNPINNED_CONTRACT_REQUIRED","W06_BASELINE","2026-08-08T00:00:00Z","docs/data_research/w06/DATA_UNIVERSE_MASTER.csv;docs/data_research/w06/POINT_IN_TIME_FEASIBILITY_MATRIX.csv;docs/data_research/w06/SOURCE_ACCESS_LICENSE_MATRIX.csv"
"SRC-008","U.S. Department of Education / NCES","IPEDS","institution/resources","OFFICIAL_GOVERNMENT","https://nces.ed.gov/ipeds/use-the-data","source-specific","canonical mapping required","institution identity/context/resource covariates","SECONDARY","INCLUDE","SOURCE_SPECIFIC_OR_DIRECT_OWNER_REVIEW_REQUIRED","NOT_CLAIMED_SINGLE_SOURCE","bulk download/API tools","none","free","source-specific","1980-81 onward for many collections","postsecondary institutions","academic/fiscal collection year","HISTORICAL_AGGREGATE_ONLY","REVIEW_REQUIRED","CONDITIONAL","Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.","US_GOV_PUBLIC_DATA_TERMS","PUBLIC_DATA_WITH_PROVENANCE","source-specific","CONTRACT_DERIVED_OUTPUTS_ONLY_NO_RAW_REPACKAGE","AVAILABLE_SUBJECT_TO_ACCESS_CONTRACT","NOT_SUPERSEDED","CANDIDATE_CONTRACT_AND_RIGHTS_REVIEW_REQUIRED","Inventory classification only; promotion requires a source contract, rights decision, PIT proof, and immutable snapshot evidence.","UNPINNED_CONTRACT_REQUIRED","W06_BASELINE","2026-08-08T00:00:00Z","docs/data_research/w06/DATA_UNIVERSE_MASTER.csv;docs/data_research/w06/POINT_IN_TIME_FEASIBILITY_MATRIX.csv;docs/data_research/w06/SOURCE_ACCESS_LICENSE_MATRIX.csv"
"SRC-009","Texas A&M Athletics","A&M roster/schedule/stats/archive","TAMU specialization","OFFICIAL","https://12thman.com/sports/football","source-specific","canonical mapping required","highest-resolution A&M evidence","PRIMARY","INCLUDE","SOURCE_SPECIFIC_OR_DIRECT_OWNER_REVIEW_REQUIRED","NOT_CLAIMED_SINGLE_SOURCE","HTML/PDF","none","free","source-specific","deep program archive; stats archive reaches 1950 on current site","Texas A&M","event/document date/publication where available","DIRECT_PREGAME_CANDIDATE_IF_DATED","REVIEW_REQUIRED","CONDITIONAL","Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.","REVIEW_TERMS","REVIEW_REQUIRED","source-specific","CONTRACT_DERIVED_OUTPUTS_ONLY_NO_RAW_REPACKAGE","AVAILABLE_SUBJECT_TO_ACCESS_CONTRACT","NOT_SUPERSEDED","CANDIDATE_CONTRACT_AND_RIGHTS_REVIEW_REQUIRED","Inventory classification only; promotion requires a source contract, rights decision, PIT proof, and immutable snapshot evidence.","UNPINNED_CONTRACT_REQUIRED","W06_BASELINE","2026-08-08T00:00:00Z","docs/data_research/w06/DATA_UNIVERSE_MASTER.csv;docs/data_research/w06/POINT_IN_TIME_FEASIBILITY_MATRIX.csv;docs/data_research/w06/SOURCE_ACCESS_LICENSE_MATRIX.csv"
"SRC-010","National College Football Awards Association","award watch lists/calendar","preseason honors","OFFICIAL_ORGANIZATION","https://collegefootballawards.com/","source-specific","canonical mapping required","dated consensus prior candidate","PRIMARY","INCLUDE","SOURCE_SPECIFIC_OR_DIRECT_OWNER_REVIEW_REQUIRED","NOT_CLAIMED_SINGLE_SOURCE","HTML/news releases","none","free","source-specific","award-dependent historical/current","national","announcement date","DIRECT_PREGAME_SAFE_AFTER_PUBLICATION","REVIEW_REQUIRED","CONDITIONAL","Never use observations/publications newer than forecast cutoff; postgame/future outcomes banned for same historical forecast.","REVIEW_TERMS","REVIEW_REQUIRED","source-specific","CONTRACT_DERIVED_OUTPUTS_ONLY_NO_RAW_REPACKAGE","AVAILABLE_SUBJECT_TO_ACCESS_CONTRACT","NOT_SUPERSEDED","CANDIDATE_CONTRACT_AND_RIGHTS_REVIEW_REQUIRED","Inventory classification only; promotion requires a source contract, rights decision, PIT proof, and immutable snapshot evidence.","UNPINNED_CONTRACT_REQUIRED","W06_BASELINE","2026-08-08T00:00:00Z","docs/data_research/w06/DATA_UNIVERSE_MASTER.csv;docs/data_research/w06/POINT_IN_TIME_FEASIBILITY_MATRIX.csv;docs/data_research/w06/SOURCE_ACCESS_LICENSE_MATRIX.csv"
