assumption_id,assumption,status,constraint_class,notes
ASSUMPTION-001,SportsDataverse remains a strong public historical/PBP source through implementation,SUPPORTED_W06_CURRENT_SOURCE,B,"W06 confirms the current SportsDataverse/cfbfastR repository remains a strong bulk historical source, but upstream publisher provenance/rights and schema versioning remain required."
ASSUMPTION-002,CFBD remains a strong supplemental source and API access is obtainable,SUPPORTED_W06_CURRENT_SOURCE_PENDING_MATERIALIZATION,B,W06 confirms CFBD remains active with current API/tier documentation and broad endpoint coverage; authenticated full materialization is still future implementation work.
ASSUMPTION-003,Local 32GB/RTX5060 environment can support Phases 1–4 with careful engineering,SUPPORTED,B,Source log 018; real benchmarks still to be measured.
ASSUMPTION-004,A&M official archives can support deeper historical roster/depth/injury reconstruction,PARTIALLY_SUPPORTED_W06,B,"Official recent conference availability reporting substantially strengthens A&M/recent-season reconstruction, but national historical depth/injury coverage remains incomplete."
ASSUMPTION-005,A single canonical entity layer can reconcile major source identities with acceptable unresolved rate,PENDING,A,Large-scale entity-resolution validation not yet performed.
ASSUMPTION-006,PIT-safe weather forecast history exists for desired forecast snapshots,SUPPORTED_W06_WITH_ERA_LIMITS,A,NOAA model archives and Open-Meteo previous/single-run capabilities provide PIT-reconstructable issued forecasts for meaningful modern eras; coverage differs by model/variable/year.
ASSUMPTION-007,Historical market timestamps can be reconstructed sufficiently for market-augmented evaluation,PARTIALLY_SUPPORTED_W06_OPTIONAL_PAID,A,"Timestamped historical market snapshots are obtainable from paid sources for modern eras, but older/deeper history and cost/rights remain constraints; pure-football lane remains independent."
ASSUMPTION-008,EADA can provide broad public/private baseline after materialization,SUPPORTED_PENDING_MATERIALIZATION,B,Recon identifies official federal path but raw annual file not in pack.
ASSUMPTION-009,Current five-phase framework remains useful after Wave06/implementation evidence,SUPPORTED_W06,B,W06 source research did not justify replacing the five-phase organizational framework; later evidence may still refine boundaries.
ASSUMPTION-010,The v1.2 reconnaissance pack covers all currently known architecture domains needed to begin planning,SUPERSEDED_BY_W06_EXPANSION,B,"The v1.2 reconnaissance pack was sufficient to begin planning but W06 found important new/expanded source classes, especially official availability archives, issued forecast-run weather and regulatory-environment evidence."
ASSUMPTION-011,A modular monolith is sufficient for Phases 1-4 under the current local/snapshot-serving product scope,SUPPORTED_AS_DEFAULT,B,Revisit only if measured scaling/security/reliability needs justify service separation.
ASSUMPTION-012,Parquet plus DuckDB can satisfy the early local analytical workload,PENDING_IMPLEMENTATION_BENCHMARK,B,"W07-W19 must benchmark data volume, entity workflows and memory behavior before treating this as final physical storage."
ASSUMPTION-013,Pregame product needs are compatible with immutable snapshot serving rather than synchronous online model execution,SUPPORTED_BY_CURRENT_SCOPE,B,W22 product requirements may challenge this if interactive latency semantics materially change.
ASSUMPTION-014,A network online feature store is unnecessary for the pregame system,SUPPORTED_BY_CURRENT_SCOPE,B,Future live/in-game work may require a different serving architecture without changing pregame PIT history.
ASSUMPTION-015,Official conference availability reporting can serve as a high-confidence recent availability lane only within each policy season/game/report scope,SUPPORTED_W06,A,Coverage varies by conference/start year and often applies only to conference games; noncoverage must remain UNKNOWN rather than healthy.
ASSUMPTION-016,Regulatory changes materially affect roster/experience feature semantics and require explicit effective dating,SUPPORTED_W06,A,W06 confirms recent roster-limit and eligibility changes make season-only implicit encoding inadequate for some roster/player features.
ASSUMPTION-017,Commercial advanced charting/tracking may add marginal predictive value but is not required for a strong core system,PENDING_EXPERIMENT,C,Current commercial sources exist; W18+ may evaluate only after strong open/public baselines and rights/cost review.
ASSUMPTION-018,A single authoritative writer plus append-only resolution events is sufficient for the current local entity workflow,SUPPORTED_BY_CURRENT_SCOPE_REOPEN_W19_W22,B,PostgreSQL remains optional; reopen if concurrent writers/transactional correction requirements appear.
ASSUMPTION-019,Type-prefixed UUID4 is a practical dependency-free surrogate ID representation before real entity materialization,SUPPORTED_AS_DEFAULT_NOT_YET_MATERIALIZED,B,Opacity/stability/no-source-coupling are protected; representation may change before assigned production IDs exist.
ASSUMPTION-020,A labeled resolver benchmark can eventually support some automatic candidate classes beyond verified direct/crosswalk mappings,PENDING_W19_LABELED_EVIDENCE,C,No fuzzy auto-accept is enabled in W07; THR-008 remains blank.
ASSUMPTION-021,A two-axis knowledge/validity temporal model is sufficient for the pregame PIT system before specialized live-event ordering,SUPPORTED_W08_CONTRACT,B,
ASSUMPTION-022,retrieved_at is a safe conservative fallback when earlier first-known time cannot be defended,SUPPORTED_CONSERVATIVE_POLICY,B,
ASSUMPTION-023,Exact issued weather-run archives will support all desired forecast horizons/eras,PENDING_MATERIALIZATION,B,
ASSUMPTION-024,Historical scheme/play-caller evidence can be reconstructed with useful national coverage.,PENDING_MATERIALIZATION,B,Do not infer absent history as continuity.
ASSUMPTION-025,Official or reliable pregame officiating assignments will have enough coverage to justify a crew-specific experiment.,PENDING_RESEARCH,C,Fail closed if not demonstrated.
ASSUMPTION-026,Venue/travel metadata can be reconstructed accurately enough for DST-aware historical context.,PENDING_MATERIALIZATION,B,Actual itinerary is optional; do not fabricate.
ASSUMPTION-027,Resource semantic crosswalks can support valid universal/public-enriched comparisons.,PENDING_MATERIALIZATION,B,EADA and MFRS concepts remain source-specific.
ASSUMPTION-028,Rule/eligibility/transfer histories can be versioned sufficiently for affected historical features.,PENDING_MATERIALIZATION,A,W19 materialization evidence required.
ASSUMPTION-029,Score-state and style proxies have enough historical coverage to support later experiments.,PENDING_MATERIALIZATION,C,No W13 promotion.
ASSUMPTION-030,A&M/SEC/official evidence can support meaningfully deeper A&M current-state resolution than national baseline.,PENDING_MATERIALIZATION,B,Do not infer missing history; W19 coverage measurement required.
ASSUMPTION-031,A&M-specific specialization may contain incremental signal beyond the national foundation.,PENDING_W17_EVIDENCE,C,Null/no-adjustment remains fully acceptable.
ASSUMPTION-032,PIT-safe peer cohorts can be defined reproducibly without outcome cherry-picking.,PENDING_W15_W17_EVIDENCE,C,Cohort candidates remain unselected.
ASSUMPTION-033,Strict-prior historical analogs can add stable value or explanation.,PENDING_W17_EVIDENCE,C,No automatic adjustment in W14.
ASSUMPTION-034,Multiple A&M weekly snapshots can add enough decision value to justify operational cadence.,PENDING_W17_W22_EVIDENCE,C,Exact cadence remains unselected.
