local_id,issue_type,parent_id,epic_id,depth,import_id,parent_import_id
EPIC-001,Epic,,,0,100001,
EPIC-002,Epic,,,0,100002,
EPIC-003,Epic,,,0,100003,
EPIC-004,Epic,,,0,100004,
EPIC-005,Epic,,,0,100005,
EPIC-006,Epic,,,0,100006,
EPIC-007,Epic,,,0,100007,
EPIC-008,Epic,,,0,100008,
EPIC-009,Epic,,,0,100009,
EPIC-010,Epic,,,0,100010,
EPIC-011,Epic,,,0,100011,
EPIC-012,Epic,,,0,100012,
EPIC-013,Epic,,,0,100013,
EPIC-014,Epic,,,0,100014,
EPIC-015,Epic,,,0,100015,
EPIC-016,Epic,,,0,100016,
EPIC-017,Epic,,,0,100017,
EPIC-018,Epic,,,0,100018,
EPIC-019,Epic,,,0,100019,
EPIC-020,Epic,,,0,100020,
EPIC-021,Epic,,,0,100021,
EPIC-022,Epic,,,0,100022,
EPIC-023,Epic,,,0,100023,
EPIC-024,Epic,,,0,100024,
EPIC-025,Epic,,,0,100025,
EPIC-026,Epic,,,0,100026,
EPIC-027,Epic,,,0,100027,
EPIC-028,Epic,,,0,100028,
EPIC-029,Epic,,,0,100029,
EPIC-030,Epic,,,0,100030,
EPIC-031,Epic,,,0,100031,
EPIC-032,Epic,,,0,100032,
EPIC-033,Epic,,,0,100033,
POST-EPIC-001,Epic,,,0,100034,
POST-EPIC-002,Epic,,,0,100035,
POST-EPIC-003,Epic,,,0,100036,
POST-EPIC-004,Epic,,,0,100037,
POST-EPIC-005,Epic,,,0,100038,
POST-EPIC-006,Epic,,,0,100039,
POST-EPIC-007,Epic,,,0,100040,
POST-EPIC-008,Epic,,,0,100041,
POST-EPIC-009,Epic,,,0,100042,
POST-EPIC-010,Epic,,,0,100043,
POST-EPIC-011,Epic,,,0,100044,
POST-EPIC-012,Epic,,,0,100045,
POST-EPIC-013,Epic,,,0,100046,
POST-EPIC-014,Epic,,,0,100047,
POST-EPIC-015,Epic,,,0,100048,
POST-EPIC-016,Epic,,,0,100049,
POST-EPIC-017,Epic,,,0,100050,
POST-STORY-001,Story,POST-EPIC-001,POST-EPIC-001,1,100051,100034
POST-STORY-002,Story,POST-EPIC-001,POST-EPIC-001,1,100052,100034
POST-STORY-003,Story,POST-EPIC-001,POST-EPIC-001,1,100053,100034
POST-STORY-004,Story,POST-EPIC-001,POST-EPIC-001,1,100054,100034
POST-STORY-005,Story,POST-EPIC-002,POST-EPIC-002,1,100055,100035
POST-STORY-006,Story,POST-EPIC-002,POST-EPIC-002,1,100056,100035
POST-STORY-007,Story,POST-EPIC-002,POST-EPIC-002,1,100057,100035
POST-STORY-008,Story,POST-EPIC-002,POST-EPIC-002,1,100058,100035
POST-STORY-009,Story,POST-EPIC-003,POST-EPIC-003,1,100059,100036
POST-STORY-010,Story,POST-EPIC-003,POST-EPIC-003,1,100060,100036
POST-STORY-011,Story,POST-EPIC-003,POST-EPIC-003,1,100061,100036
POST-STORY-012,Story,POST-EPIC-004,POST-EPIC-004,1,100062,100037
POST-STORY-013,Story,POST-EPIC-004,POST-EPIC-004,1,100063,100037
POST-STORY-014,Story,POST-EPIC-004,POST-EPIC-004,1,100064,100037
POST-STORY-015,Story,POST-EPIC-005,POST-EPIC-005,1,100065,100038
POST-STORY-016,Story,POST-EPIC-005,POST-EPIC-005,1,100066,100038
POST-STORY-017,Story,POST-EPIC-005,POST-EPIC-005,1,100067,100038
POST-STORY-018,Story,POST-EPIC-006,POST-EPIC-006,1,100068,100039
POST-STORY-019,Story,POST-EPIC-006,POST-EPIC-006,1,100069,100039
POST-STORY-020,Story,POST-EPIC-006,POST-EPIC-006,1,100070,100039
POST-STORY-021,Story,POST-EPIC-007,POST-EPIC-007,1,100071,100040
POST-STORY-022,Story,POST-EPIC-007,POST-EPIC-007,1,100072,100040
POST-STORY-023,Story,POST-EPIC-007,POST-EPIC-007,1,100073,100040
POST-STORY-024,Story,POST-EPIC-008,POST-EPIC-008,1,100074,100041
POST-STORY-025,Story,POST-EPIC-008,POST-EPIC-008,1,100075,100041
POST-STORY-026,Story,POST-EPIC-008,POST-EPIC-008,1,100076,100041
POST-STORY-027,Story,POST-EPIC-009,POST-EPIC-009,1,100077,100042
POST-STORY-028,Story,POST-EPIC-009,POST-EPIC-009,1,100078,100042
POST-STORY-029,Story,POST-EPIC-009,POST-EPIC-009,1,100079,100042
POST-STORY-030,Story,POST-EPIC-010,POST-EPIC-010,1,100080,100043
POST-STORY-031,Story,POST-EPIC-010,POST-EPIC-010,1,100081,100043
POST-STORY-032,Story,POST-EPIC-010,POST-EPIC-010,1,100082,100043
POST-STORY-033,Story,POST-EPIC-011,POST-EPIC-011,1,100083,100044
POST-STORY-034,Story,POST-EPIC-011,POST-EPIC-011,1,100084,100044
POST-STORY-035,Story,POST-EPIC-011,POST-EPIC-011,1,100085,100044
POST-STORY-036,Story,POST-EPIC-012,POST-EPIC-012,1,100086,100045
POST-STORY-037,Story,POST-EPIC-012,POST-EPIC-012,1,100087,100045
POST-STORY-038,Story,POST-EPIC-012,POST-EPIC-012,1,100088,100045
POST-STORY-039,Story,POST-EPIC-013,POST-EPIC-013,1,100089,100046
POST-STORY-040,Story,POST-EPIC-013,POST-EPIC-013,1,100090,100046
POST-STORY-041,Story,POST-EPIC-013,POST-EPIC-013,1,100091,100046
POST-STORY-042,Story,POST-EPIC-014,POST-EPIC-014,1,100092,100047
POST-STORY-043,Story,POST-EPIC-014,POST-EPIC-014,1,100093,100047
POST-STORY-044,Story,POST-EPIC-014,POST-EPIC-014,1,100094,100047
POST-STORY-045,Story,POST-EPIC-015,POST-EPIC-015,1,100095,100048
POST-STORY-046,Story,POST-EPIC-015,POST-EPIC-015,1,100096,100048
POST-STORY-047,Story,POST-EPIC-015,POST-EPIC-015,1,100097,100048
POST-STORY-048,Story,POST-EPIC-016,POST-EPIC-016,1,100098,100049
POST-STORY-049,Story,POST-EPIC-016,POST-EPIC-016,1,100099,100049
POST-STORY-050,Story,POST-EPIC-016,POST-EPIC-016,1,100100,100049
POST-STORY-051,Story,POST-EPIC-017,POST-EPIC-017,1,100101,100050
POST-STORY-052,Story,POST-EPIC-017,POST-EPIC-017,1,100102,100050
POST-STORY-053,Story,POST-EPIC-017,POST-EPIC-017,1,100103,100050
TASK-001,Task,EPIC-001,EPIC-001,1,100104,100001
TASK-002,Task,EPIC-001,EPIC-001,1,100105,100001
TASK-003,Task,EPIC-001,EPIC-001,1,100106,100001
TASK-004,Task,EPIC-001,EPIC-001,1,100107,100001
TASK-005,Task,EPIC-001,EPIC-001,1,100108,100001
TASK-006,Task,EPIC-001,EPIC-001,1,100109,100001
TASK-007,Task,EPIC-002,EPIC-002,1,100110,100002
TASK-008,Task,EPIC-002,EPIC-002,1,100111,100002
TASK-009,Task,EPIC-002,EPIC-002,1,100112,100002
TASK-010,Task,EPIC-002,EPIC-002,1,100113,100002
TASK-011,Task,EPIC-002,EPIC-002,1,100114,100002
TASK-012,Task,EPIC-002,EPIC-002,1,100115,100002
TASK-013,Task,EPIC-003,EPIC-003,1,100116,100003
TASK-014,Task,EPIC-003,EPIC-003,1,100117,100003
TASK-015,Task,EPIC-003,EPIC-003,1,100118,100003
TASK-016,Task,EPIC-003,EPIC-003,1,100119,100003
TASK-017,Task,EPIC-003,EPIC-003,1,100120,100003
TASK-018,Task,EPIC-003,EPIC-003,1,100121,100003
TASK-019,Task,EPIC-004,EPIC-004,1,100122,100004
TASK-020,Task,EPIC-004,EPIC-004,1,100123,100004
TASK-021,Task,EPIC-004,EPIC-004,1,100124,100004
TASK-022,Task,EPIC-004,EPIC-004,1,100125,100004
TASK-023,Task,EPIC-004,EPIC-004,1,100126,100004
TASK-024,Task,EPIC-005,EPIC-005,1,100127,100005
TASK-025,Task,EPIC-005,EPIC-005,1,100128,100005
TASK-026,Task,EPIC-005,EPIC-005,1,100129,100005
TASK-027,Task,EPIC-005,EPIC-005,1,100130,100005
TASK-028,Task,EPIC-005,EPIC-005,1,100131,100005
TASK-029,Task,EPIC-005,EPIC-005,1,100132,100005
TASK-030,Task,EPIC-006,EPIC-006,1,100133,100006
TASK-031,Task,EPIC-006,EPIC-006,1,100134,100006
TASK-032,Task,EPIC-006,EPIC-006,1,100135,100006
TASK-033,Task,EPIC-006,EPIC-006,1,100136,100006
TASK-034,Task,EPIC-006,EPIC-006,1,100137,100006
TASK-035,Task,EPIC-006,EPIC-006,1,100138,100006
TASK-036,Task,EPIC-007,EPIC-007,1,100139,100007
TASK-037,Task,EPIC-007,EPIC-007,1,100140,100007
TASK-038,Task,EPIC-007,EPIC-007,1,100141,100007
TASK-039,Task,EPIC-007,EPIC-007,1,100142,100007
TASK-040,Task,EPIC-007,EPIC-007,1,100143,100007
TASK-041,Task,EPIC-008,EPIC-008,1,100144,100008
TASK-042,Task,EPIC-008,EPIC-008,1,100145,100008
TASK-043,Task,EPIC-008,EPIC-008,1,100146,100008
TASK-044,Task,EPIC-008,EPIC-008,1,100147,100008
TASK-045,Task,EPIC-008,EPIC-008,1,100148,100008
TASK-046,Task,EPIC-008,EPIC-008,1,100149,100008
TASK-047,Task,EPIC-009,EPIC-009,1,100150,100009
TASK-048,Task,EPIC-009,EPIC-009,1,100151,100009
TASK-049,Task,EPIC-009,EPIC-009,1,100152,100009
TASK-050,Task,EPIC-009,EPIC-009,1,100153,100009
TASK-051,Task,EPIC-009,EPIC-009,1,100154,100009
TASK-052,Task,EPIC-009,EPIC-009,1,100155,100009
TASK-053,Task,EPIC-010,EPIC-010,1,100156,100010
TASK-054,Task,EPIC-010,EPIC-010,1,100157,100010
TASK-055,Task,EPIC-010,EPIC-010,1,100158,100010
TASK-056,Task,EPIC-010,EPIC-010,1,100159,100010
TASK-057,Task,EPIC-010,EPIC-010,1,100160,100010
TASK-058,Task,EPIC-010,EPIC-010,1,100161,100010
TASK-059,Task,EPIC-011,EPIC-011,1,100162,100011
TASK-060,Task,EPIC-011,EPIC-011,1,100163,100011
TASK-061,Task,EPIC-011,EPIC-011,1,100164,100011
TASK-062,Task,EPIC-011,EPIC-011,1,100165,100011
TASK-063,Task,EPIC-011,EPIC-011,1,100166,100011
TASK-064,Task,EPIC-011,EPIC-011,1,100167,100011
TASK-065,Task,EPIC-012,EPIC-012,1,100168,100012
TASK-066,Task,EPIC-012,EPIC-012,1,100169,100012
TASK-067,Task,EPIC-012,EPIC-012,1,100170,100012
TASK-068,Task,EPIC-012,EPIC-012,1,100171,100012
TASK-069,Task,EPIC-012,EPIC-012,1,100172,100012
TASK-070,Task,EPIC-012,EPIC-012,1,100173,100012
TASK-071,Task,EPIC-013,EPIC-013,1,100174,100013
TASK-072,Task,EPIC-013,EPIC-013,1,100175,100013
TASK-073,Task,EPIC-013,EPIC-013,1,100176,100013
TASK-074,Task,EPIC-013,EPIC-013,1,100177,100013
TASK-075,Task,EPIC-013,EPIC-013,1,100178,100013
TASK-076,Task,EPIC-013,EPIC-013,1,100179,100013
TASK-077,Task,EPIC-014,EPIC-014,1,100180,100014
TASK-078,Task,EPIC-014,EPIC-014,1,100181,100014
TASK-079,Task,EPIC-014,EPIC-014,1,100182,100014
TASK-080,Task,EPIC-014,EPIC-014,1,100183,100014
TASK-081,Task,EPIC-014,EPIC-014,1,100184,100014
TASK-082,Task,EPIC-014,EPIC-014,1,100185,100014
TASK-083,Task,EPIC-015,EPIC-015,1,100186,100015
TASK-084,Task,EPIC-015,EPIC-015,1,100187,100015
TASK-085,Task,EPIC-015,EPIC-015,1,100188,100015
TASK-086,Task,EPIC-015,EPIC-015,1,100189,100015
TASK-087,Task,EPIC-015,EPIC-015,1,100190,100015
TASK-088,Task,EPIC-016,EPIC-016,1,100191,100016
TASK-089,Task,EPIC-016,EPIC-016,1,100192,100016
TASK-090,Task,EPIC-016,EPIC-016,1,100193,100016
TASK-091,Task,EPIC-016,EPIC-016,1,100194,100016
TASK-092,Task,EPIC-016,EPIC-016,1,100195,100016
TASK-093,Task,EPIC-016,EPIC-016,1,100196,100016
TASK-094,Task,EPIC-017,EPIC-017,1,100197,100017
TASK-095,Task,EPIC-017,EPIC-017,1,100198,100017
TASK-096,Task,EPIC-017,EPIC-017,1,100199,100017
TASK-097,Task,EPIC-017,EPIC-017,1,100200,100017
TASK-098,Task,EPIC-017,EPIC-017,1,100201,100017
TASK-099,Task,EPIC-017,EPIC-017,1,100202,100017
TASK-100,Task,EPIC-018,EPIC-018,1,100203,100018
TASK-101,Task,EPIC-018,EPIC-018,1,100204,100018
TASK-102,Task,EPIC-018,EPIC-018,1,100205,100018
TASK-103,Task,EPIC-018,EPIC-018,1,100206,100018
TASK-104,Task,EPIC-018,EPIC-018,1,100207,100018
TASK-105,Task,EPIC-019,EPIC-019,1,100208,100019
TASK-106,Task,EPIC-019,EPIC-019,1,100209,100019
TASK-107,Task,EPIC-019,EPIC-019,1,100210,100019
TASK-108,Task,EPIC-019,EPIC-019,1,100211,100019
TASK-109,Task,EPIC-019,EPIC-019,1,100212,100019
TASK-110,Task,EPIC-019,EPIC-019,1,100213,100019
TASK-111,Task,EPIC-020,EPIC-020,1,100214,100020
TASK-112,Task,EPIC-020,EPIC-020,1,100215,100020
TASK-113,Task,EPIC-020,EPIC-020,1,100216,100020
TASK-114,Task,EPIC-020,EPIC-020,1,100217,100020
TASK-115,Task,EPIC-020,EPIC-020,1,100218,100020
TASK-116,Task,EPIC-021,EPIC-021,1,100219,100021
TASK-117,Task,EPIC-021,EPIC-021,1,100220,100021
TASK-118,Task,EPIC-021,EPIC-021,1,100221,100021
TASK-119,Task,EPIC-021,EPIC-021,1,100222,100021
TASK-120,Task,EPIC-021,EPIC-021,1,100223,100021
TASK-121,Task,EPIC-021,EPIC-021,1,100224,100021
TASK-122,Task,EPIC-022,EPIC-022,1,100225,100022
TASK-123,Task,EPIC-022,EPIC-022,1,100226,100022
TASK-124,Task,EPIC-022,EPIC-022,1,100227,100022
TASK-125,Task,EPIC-022,EPIC-022,1,100228,100022
TASK-126,Task,EPIC-022,EPIC-022,1,100229,100022
TASK-127,Task,EPIC-022,EPIC-022,1,100230,100022
TASK-128,Task,EPIC-023,EPIC-023,1,100231,100023
TASK-129,Task,EPIC-023,EPIC-023,1,100232,100023
TASK-130,Task,EPIC-023,EPIC-023,1,100233,100023
TASK-131,Task,EPIC-023,EPIC-023,1,100234,100023
TASK-132,Task,EPIC-023,EPIC-023,1,100235,100023
TASK-133,Task,EPIC-023,EPIC-023,1,100236,100023
TASK-134,Task,EPIC-024,EPIC-024,1,100237,100024
TASK-135,Task,EPIC-024,EPIC-024,1,100238,100024
TASK-136,Task,EPIC-024,EPIC-024,1,100239,100024
TASK-137,Task,EPIC-024,EPIC-024,1,100240,100024
TASK-138,Task,EPIC-024,EPIC-024,1,100241,100024
TASK-139,Task,EPIC-024,EPIC-024,1,100242,100024
TASK-140,Task,EPIC-025,EPIC-025,1,100243,100025
TASK-141,Task,EPIC-025,EPIC-025,1,100244,100025
TASK-142,Task,EPIC-025,EPIC-025,1,100245,100025
TASK-143,Task,EPIC-025,EPIC-025,1,100246,100025
TASK-144,Task,EPIC-025,EPIC-025,1,100247,100025
TASK-145,Task,EPIC-025,EPIC-025,1,100248,100025
TASK-146,Task,EPIC-026,EPIC-026,1,100249,100026
TASK-147,Task,EPIC-026,EPIC-026,1,100250,100026
TASK-148,Task,EPIC-026,EPIC-026,1,100251,100026
TASK-149,Task,EPIC-026,EPIC-026,1,100252,100026
TASK-150,Task,EPIC-026,EPIC-026,1,100253,100026
TASK-151,Task,EPIC-026,EPIC-026,1,100254,100026
