open_issue_id,title,source_path,start_line,end_line,jira_issue_ids,disposition,source_ref_id
ISSUE-001,SportsDataverse (MEDIUM),governance/OPEN_ISSUES.md,5,10,POST-SUBTASK-069,MAPPED_TO_CURRENT_DOMAIN_GATE,SRCREF-01901
ISSUE-002,SportsDataverse/CFBD (HIGH),governance/OPEN_ISSUES.md,11,16,POST-SUBTASK-024,MAPPED_TO_CURRENT_DOMAIN_GATE,SRCREF-01902
ISSUE-003,CFBD (MEDIUM),governance/OPEN_ISSUES.md,17,22,POST-SUBTASK-141,MAPPED_TO_CURRENT_DOMAIN_GATE,SRCREF-01903
ISSUE-004,Open-Meteo (LOW),governance/OPEN_ISSUES.md,23,28,POST-SUBTASK-141,MAPPED_TO_CURRENT_DOMAIN_GATE,SRCREF-01904
ISSUE-005,EADA (MEDIUM),governance/OPEN_ISSUES.md,29,34,POST-SUBTASK-123,MAPPED_TO_CURRENT_DOMAIN_GATE,SRCREF-01905
ISSUE-006,All sources (HIGH),governance/OPEN_ISSUES.md,35,40,POST-SUBTASK-123,MAPPED_TO_CURRENT_DOMAIN_GATE,SRCREF-01906
ISSUE-007,All feature families (HIGH),governance/OPEN_ISSUES.md,41,46,POST-SUBTASK-060,MAPPED_TO_CURRENT_DOMAIN_GATE,SRCREF-01907
ISSUE-008,Entity resolution (HIGH),governance/OPEN_ISSUES.md,47,52,POST-SUBTASK-069,MAPPED_TO_CURRENT_DOMAIN_GATE,SRCREF-01908
ISSUE-009,Texas A&M (HIGH),governance/OPEN_ISSUES.md,53,58,POST-SUBTASK-087,MAPPED_TO_CURRENT_DOMAIN_GATE,SRCREF-01909
ISSUE-010,Resources (HIGH),governance/OPEN_ISSUES.md,59,64,POST-SUBTASK-114,MAPPED_TO_CURRENT_DOMAIN_GATE,SRCREF-01910
ISSUE-011,Weather (MEDIUM),governance/OPEN_ISSUES.md,65,70,POST-SUBTASK-123,MAPPED_TO_CURRENT_DOMAIN_GATE,SRCREF-01911
ISSUE-012,PFF (NONE),governance/OPEN_ISSUES.md,71,76,POST-SUBTASK-141,MAPPED_TO_CURRENT_DOMAIN_GATE,SRCREF-01912
ISSUE-013,Draft development (MEDIUM),governance/OPEN_ISSUES.md,77,82,POST-SUBTASK-069,MAPPED_TO_CURRENT_DOMAIN_GATE,SRCREF-01913
ISSUE-014,Preseason honors (MEDIUM),governance/OPEN_ISSUES.md,83,88,POST-SUBTASK-141,MAPPED_TO_CURRENT_DOMAIN_GATE,SRCREF-01914
ISSUE-015,Coach role effects (HIGH),governance/OPEN_ISSUES.md,89,94,POST-SUBTASK-078,MAPPED_TO_CURRENT_DOMAIN_GATE,SRCREF-01915
ISSUE-016,Transfer translation (HIGH),governance/OPEN_ISSUES.md,95,100,POST-SUBTASK-078,MAPPED_TO_CURRENT_DOMAIN_GATE,SRCREF-01916
ISSUE-017,Availability impact (HIGH),governance/OPEN_ISSUES.md,101,106,POST-SUBTASK-078,MAPPED_TO_CURRENT_DOMAIN_GATE,SRCREF-01917
ISSUE-018,Home-field strength (MEDIUM),governance/OPEN_ISSUES.md,107,112,POST-SUBTASK-069,MAPPED_TO_CURRENT_DOMAIN_GATE,SRCREF-01918
ISSUE-019,Possession/tempo (MEDIUM),governance/OPEN_ISSUES.md,113,118,POST-SUBTASK-078,MAPPED_TO_CURRENT_DOMAIN_GATE,SRCREF-01919
ISSUE-020,Field position (MEDIUM),governance/OPEN_ISSUES.md,119,124,POST-SUBTASK-078,MAPPED_TO_CURRENT_DOMAIN_GATE,SRCREF-01920
ISSUE-021,Special teams (MEDIUM),governance/OPEN_ISSUES.md,125,130,POST-SUBTASK-078,MAPPED_TO_CURRENT_DOMAIN_GATE,SRCREF-01921
ISSUE-022,Fourth down/clock (LOW),governance/OPEN_ISSUES.md,131,136,POST-SUBTASK-069,MAPPED_TO_CURRENT_DOMAIN_GATE,SRCREF-01922
ISSUE-023,Officiating (LOW),governance/OPEN_ISSUES.md,137,142,POST-SUBTASK-069,MAPPED_TO_CURRENT_DOMAIN_GATE,SRCREF-01923
