research_id,pass,query,date,source_reviewed,conclusion,follow_up,evidence
W06-R-001,A_DOMAIN,college football data API NCAA official statistics lower divisions injuries availability weather odds rules resources transfers tracking,2026-08-08,multiple current primary/official/vendor sources,"Broad domain discovery; recon inventory expanded with official availability, forecast-run weather, lower divisions, regulation, commercial charting.",See data universe/domain/gap matrices,Current web research performed 2026-08-08; URLs preserved in DATA_UNIVERSE_MASTER.csv
W06-R-002,B_SOURCE,CollegeFootballData API current endpoints access tiers terms 2026,2026-08-08,multiple current primary/official/vendor sources,CFBD API v5.17.0/current tiers and terms confirmed.,See data universe/domain/gap matrices,Current web research performed 2026-08-08; URLs preserved in DATA_UNIVERSE_MASTER.csv
W06-R-003,B_SOURCE,SportsDataverse cfbfastR-cfb-data datasets 2026 GitHub,2026-08-08,multiple current primary/official/vendor sources,Current repo dataset families/upstream nature confirmed.,See data universe/domain/gap matrices,Current web research performed 2026-08-08; URLs preserved in DATA_UNIVERSE_MASTER.csv
W06-R-004,B_SOURCE,NCAA football statistics records archive FCS DII DIII official,2026-08-08,multiple current primary/official/vendor sources,NCAA official stats/records identified as strong lower-division/validation source.,See data universe/domain/gap matrices,Current web research performed 2026-08-08; URLs preserved in DATA_UNIVERSE_MASTER.csv
W06-R-005,B_SOURCE,SEC football availability report archive 2024 official,2026-08-08,multiple current primary/official/vendor sources,SEC official report/archive confirmed from 2024.,See data universe/domain/gap matrices,Current web research performed 2026-08-08; URLs preserved in DATA_UNIVERSE_MASTER.csv
W06-R-006,B_SOURCE,Big Ten gameday availability report football 2023 official,2026-08-08,multiple current primary/official/vendor sources,Big Ten availability reporting confirmed from 2023.,See data universe/domain/gap matrices,Current web research performed 2026-08-08; URLs preserved in DATA_UNIVERSE_MASTER.csv
W06-R-007,B_SOURCE,ACC availability reporting football 2025 official,2026-08-08,multiple current primary/official/vendor sources,ACC policy/report cadence/statuses confirmed from 2025.,See data universe/domain/gap matrices,Current web research performed 2026-08-08; URLs preserved in DATA_UNIVERSE_MASTER.csv
W06-R-008,B_SOURCE,Big 12 player availability reporting football 2025 official,2026-08-08,multiple current primary/official/vendor sources,Big 12 policy confirmed from 2025.,See data universe/domain/gap matrices,Current web research performed 2026-08-08; URLs preserved in DATA_UNIVERSE_MASTER.csv
W06-R-009,B_SOURCE,American Conference football player availability reports 2025 official,2026-08-08,multiple current primary/official/vendor sources,American intraconference report archive confirmed.,See data universe/domain/gap matrices,Current web research performed 2026-08-08; URLs preserved in DATA_UNIVERSE_MASTER.csv
W06-R-010,B_SOURCE,Sun Belt football availability reporting 2025 official,2026-08-08,multiple current primary/official/vendor sources,Sun Belt reporting confirmed.,See data universe/domain/gap matrices,Current web research performed 2026-08-08; URLs preserved in DATA_UNIVERSE_MASTER.csv
W06-R-011,B_SOURCE,Conference USA football availability reports 2025 official,2026-08-08,multiple current primary/official/vendor sources,CUSA reporting confirmed.,See data universe/domain/gap matrices,Current web research performed 2026-08-08; URLs preserved in DATA_UNIVERSE_MASTER.csv
W06-R-012,B_SOURCE,MAC football availability report 2024 official,2026-08-08,multiple current primary/official/vendor sources,MAC gameday reports confirmed including 2024 archive.,See data universe/domain/gap matrices,Current web research performed 2026-08-08; URLs preserved in DATA_UNIVERSE_MASTER.csv
W06-R-013,B_SOURCE,College Football Playoff student-athlete availability reporting 2025-26 official,2026-08-08,multiple current primary/official/vendor sources,CFP postseason reporting/archived data confirmed.,See data universe/domain/gap matrices,Current web research performed 2026-08-08; URLs preserved in DATA_UNIVERSE_MASTER.csv
W06-R-014,B_SOURCE,Open-Meteo previous runs historical forecast model runs API,2026-08-08,multiple current primary/official/vendor sources,Previous Runs/Single Runs model-init semantics and coverage confirmed.,See data universe/domain/gap matrices,Current web research performed 2026-08-08; URLs preserved in DATA_UNIVERSE_MASTER.csv
W06-R-015,B_SOURCE,NOAA HRRR historical forecast archive model runs 2014,2026-08-08,multiple current primary/official/vendor sources,NOAA HRRR archive availability since 2014 confirmed.,See data universe/domain/gap matrices,Current web research performed 2026-08-08; URLs preserved in DATA_UNIVERSE_MASTER.csv
W06-R-016,C_ALTERNATIVE,SportsDataIO NCAA football injuries betting line movement depth charts,2026-08-08,multiple current primary/official/vendor sources,Licensed injuries and timestamped line movement available; no college depth charts.,See data universe/domain/gap matrices,Current web research performed 2026-08-08; URLs preserved in DATA_UNIVERSE_MASTER.csv
W06-R-017,C_ALTERNATIVE,Sportradar NCAA football API historical data 2013 live feeds,2026-08-08,multiple current primary/official/vendor sources,Licensed 20-feed alternative/live path confirmed.,See data universe/domain/gap matrices,Current web research performed 2026-08-08; URLs preserved in DATA_UNIVERSE_MASTER.csv
W06-R-018,C_ALTERNATIVE,Sports Info Solutions advanced college football data feeds,2026-08-08,multiple current primary/official/vendor sources,Commercial advanced charting/live alternative confirmed.,See data universe/domain/gap matrices,Current web research performed 2026-08-08; URLs preserved in DATA_UNIVERSE_MASTER.csv
