requirement_id,constraint_class,lifecycle_status,acceptance_control_ids,acceptance_state,owner_wave,threshold_refs,evidence_artifact,notes
REQ-001,A,ACTIVE,AC-001,CURRENTLY_VERIFIED_W04,W01-W25,,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-002,A,ACTIVE,AC-001,CURRENTLY_VERIFIED_W04,W01-W25,,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-003,A,ACTIVE,AC-002,CURRENTLY_VERIFIED_W04,W01-W25,,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-004,A,ACTIVE,AC-002,CURRENTLY_VERIFIED_W04,W01-W25,,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-005,A,ACTIVE,AC-002;AC-007,CURRENTLY_VERIFIED_W04,W01-W25,,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-006,A,ACTIVE,AC-001,CURRENTLY_VERIFIED_W04,W01-W25,,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-007,A,ACTIVE,AC-001,CURRENTLY_VERIFIED_W04,W02-W25,,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-008,A,ACTIVE,AC-002,CURRENTLY_VERIFIED_W04,W01-W25,,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-009,A,ACTIVE,AC-003,CURRENTLY_VERIFIED_W04,W01-W25,,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-010,A,ACTIVE,AC-006,CURRENTLY_VERIFIED_W04,W01-W25,,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-011,A,ACTIVE,AC-006,CURRENTLY_VERIFIED_W04,W01-W25,,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-012,A,ACTIVE,AC-005;AC-044,CURRENTLY_VERIFIED_W04,W01-W25,,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-013,A,ACTIVE,AC-005,CURRENTLY_VERIFIED_W04,W02-W25,,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-014,B,DEFAULT,AC-003;AC-007;AC-044,CURRENTLY_VERIFIED_W04,W01-W25,,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-015,C,HYPOTHESIS_RULE,AC-021,EXPERIMENT_REQUIRED_NONBLOCKING_UNTIL_PROMOTION,W01-W25,THR-007,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-016,A,ACTIVE,AC-045,CURRENTLY_VERIFIED_W04,W01-W25,,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-017,A,ACTIVE,AC-002;AC-003,CURRENTLY_VERIFIED_W04,W01-W25,,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-018,A,ACTIVE,AC-004;AC-042,PARTIAL_OR_CONTRACT_DEFINED,W01-W25,,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-019,A,ACTIVE,AC-032;AC-178;AC-185,REFERENCE_VERIFIED_W18,W18+,,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-020,A,ACTIVE,AC-001,CURRENTLY_VERIFIED_W04,W01-W25,,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-021,A,ACTIVE,AC-023,CONTRACT_DEFINED_OWNER_PENDING,ALL,,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-022,A,ACTIVE,AC-023,CONTRACT_DEFINED_OWNER_PENDING,W03+,,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-023,A,ACTIVE,AC-023,CONTRACT_DEFINED_OWNER_PENDING,W11+,,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-024,A,ACTIVE,AC-023,CONTRACT_DEFINED_OWNER_PENDING,W11+,,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-025,A,ACTIVE,AC-023,CONTRACT_DEFINED_OWNER_PENDING,W14+,,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-026,A,ACTIVE,AC-023;AC-026,CONTRACT_DEFINED_OWNER_PENDING,W16+,,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-027,A,ACTIVE,AC-023;AC-026,CONTRACT_DEFINED_OWNER_PENDING,W16+,,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-028,A,ACTIVE,AC-023;AC-026,CONTRACT_DEFINED_OWNER_PENDING,W16+,,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-029,A,ACTIVE,AC-023;AC-026,CONTRACT_DEFINED_OWNER_PENDING,W16+,,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-030,A,ACTIVE,AC-023;AC-026,CONTRACT_DEFINED_OWNER_PENDING,W16+,,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
REQ-031,A,ACTIVE,AC-023;AC-026,CONTRACT_DEFINED_OWNER_PENDING,W12-W16,,governance/ACCEPTANCE_CONTROL_CATALOG.csv;configs/acceptance_registry.json,W04 defines contract; PASS requires owning-wave evidence unless explicitly CURRENTLY_VERIFIED/VERIFIED_HISTORICAL.
